Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Чугуевская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334									
		0.74%	0.34%	0.00%	1.87%	0.95%	0.74%	0.81%	0.54%	0.00%	0.00%	0.39%	0.99%	0.37%	1.30%	0.60%	0.96%	0.57%	0.97%	1.49%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.85%	0.00%	0.00%	1.21%	1.03%	0.79%	1.92%	1.19%	0.69%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1357	13	2	64	30	41	59	36	13	34	30	66	125	52	31	63	41	109	51	14	53	19	51	3	6	20	27	33	77	2	98	19	46	0	29									
		12.78%	4.41%	1.16%	17.11%	28.57%	6.07%	11.99%	19.57%	15.48%	13.49%	11.72%	13.17%	15.45%	22.51%	18.45%	15.07%	7.75%	21.21%	8.46%	16.28%	25.12%	5.41%	14.21%	5.88%	22.22%	17.09%	14.92%	10.12%	11.61%	2.06%	15.46%	12.18%	13.65%	0.00%	13.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	0	0	1	0	1	4	1	0	0	2	1	3	0	1	2	0	3	0	0	1	1	2	0	0	0	0	0	4	2	1	0	0	0	0									
		0.28%	0.00%	0.00%	0.27%	0.00%	0.15%	0.81%	0.54%	0.00%	0.00%	0.78%	0.20%	0.37%	0.00%	0.60%	0.48%	0.00%	0.58%	0.00%	0.00%	0.47%	0.28%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	2.06%	0.16%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	325	2	0	15	0	7	17	0	6	4	3	6	24	9	4	9	8	22	8	3	6	7	2	0	1	2	2	3	17	11	45	36	8	16	22									
		3.06%	0.68%	0.00%	4.01%	0.00%	1.04%	3.46%	0.00%	7.14%	1.59%	1.17%	1.20%	2.97%	3.90%	2.38%	2.15%	1.51%	4.28%	1.33%	3.49%	2.84%	1.99%	0.56%	0.00%	3.70%	1.71%	1.10%	0.92%	2.56%	11.34%	7.10%	23.08%	2.37%	11.11%	10.28%									
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
