Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																
Дата голосования: 18.09.2016																																																																																																																																																
																																																																																																																																																
Наименование Избирательной комиссии:    Братская городская																																																																																																																																																
																																																																																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																
																																																																																																																																																
		Сумма	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №1891	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №8020	УИК №8023	УИК №8056	УИК №8057	УИК №8058	УИК №8066	УИК №8067	УИК №8068	УИК №8069	УИК №8070	УИК №8079	УИК №8099	УИК №8100	УИК №8101	УИК №8102	УИК №8104	УИК №8105	УИК №8106	УИК №8107	УИК №8158	УИК №8173	УИК №8174	УИК №8185	УИК №8200	УИК №8201	УИК №8202	УИК №8267	УИК №8270	УИК №8284	УИК №8326	УИК №8329	УИК №8352	УИК №8353									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3067	30	20	40	30	30	30	20	30	30	30	40	20	30	30	30	20	40	40	40	40	40	30	30	40	40	30	40	40	40	30	40	30	30	40	40	20	20	40	40	40	40	30	30	40	40	40	30	30	30	30	40	30	10	20	30	40	20	20	17	20	30	40	30	20	40	40	30	40	40	20	20	20	40	40	30	40	40	20	40	30	40	30	10	30	20	20	10	10	10	40	30	40	20	30	10	0	0	0	0	0	10	5	2	2	1	5	5	5	5	5	5	10	5	5	5	5	4	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1262	6	4	6	11	8	5	9	12	10	6	17	8	6	14	9	9	22	25	21	20	18	11	10	14	11	10	7	14	16	24	18	16	14	18	13	11	8	13	14	6	12	6	11	19	16	7	10	16	13	13	23	13	6	5	9	15	10	12	13	11	12	20	17	15	23	14	19	20	25	20	17	10	35	13	15	22	14	15	14	13	17	13	4	18	7	1	7	5	7	20	20	17	5	21	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1357	3	6	6	5	10	0	23	7	12	6	5	5	7	9	8	9	7	22	16	8	11	7	3	10	7	12	12	7	9	29	16	8	10	10	7	36	13	14	11	6	10	5	10	8	4	5	4	13	4	9	8	14	8	3	19	17	12	11	9	17	9	9	12	8	7	12	12	9	12	13	7	190	14	10	6	12	7	1	6	10	13	12	7	9	12	7	8	7	9	12	11	11	17	2	11	7	8	45	7	5	0	5	0	0	0	1	0	5	0	0	4	8	0	0	3	0	0	0	0	97	8	0	1	0	3	3	15	3	13	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	1805	24	16	34	19	22	25	11	18	20	24	23	12	24	16	21	11	18	15	19	20	22	19	20	26	29	20	33	26	24	6	22	14	16	22	27	9	12	27	26	34	28	24	19	21	24	33	20	14	17	17	17	17	4	15	21	25	10	8	4	9	18	20	13	5	17	26	11	20	15	0	3	10	5	27	15	18	26	5	26	17	23	17	6	12	13	19	3	5	3	20	10	23	15	9	0	0	0	0	0	0	10	5	2	2	1	4	5	5	5	5	5	10	5	5	5	5	4	3	3	5	5	5	4	4	5	5	5	5	5	5	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	79	1	1	1	0	1	0	0	0	0	1	2	1	0	2	0	1	2	0	4	2	3	3	1	0	3	2	0	4	0	4	0	1	1	3	1	2	1	2	1	0	0	1	1	0	2	1	2	1	1	0	1	2	0	0	1	1	0	1	0	0	0	2	0	0	2	1	1	1	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1535	0	2	18	10	17	12	7	7	12	7	13	8	10	4	7	8	17	18	12	20	13	8	9	16	13	16	15	12	20	18	13	9	11	25	15	5	5	15	18	19	7	11	13	25	12	14	11	15	5	7	23	14	1	10	5	15	9	15	0	13	13	28	9	13	11	19	11	18	26	12	13	11	23	22	19	13	11	11	7	8	11	6	2	2	2	1	1	0	3	8	3	11	0	4	2	0	2	4	1	0	16	17	10	6	5	3	15	14	0	22	14	18	5	1	4	6	3	2	0	67	27	16	16	9	6	20	27	21	34	14	29	17	1									
		2.42%	0.00%	0.71%	3.36%	2.18%	3.78%	2.40%	1.51%	1.25%	2.23%	1.64%	2.34%	2.27%	2.75%	0.91%	1.26%	2.92%	2.21%	1.95%	1.79%	2.52%	1.78%	1.71%	1.84%	2.11%	1.78%	2.75%	2.30%	1.82%	3.05%	2.33%	1.65%	1.49%	1.51%	2.87%	2.09%	1.09%	1.70%	1.89%	2.39%	2.53%	0.92%	1.99%	2.35%	3.50%	1.55%	1.71%	1.90%	2.35%	0.84%	1.40%	2.70%	2.27%	0.56%	2.74%	1.12%	1.92%	2.22%	3.46%	0.00%	3.75%	2.09%	3.23%	1.44%	2.60%	1.53%	2.95%	1.75%	2.31%	2.91%	2.26%	2.65%	2.08%	2.86%	2.23%	2.86%	1.66%	1.46%	2.59%	1.10%	1.24%	1.68%	1.14%	0.82%	0.40%	0.54%	0.42%	0.59%	0.00%	1.43%	1.09%	0.50%	1.70%	0.00%	0.73%	1.60%	0.00%	1.46%	1.50%	1.23%	0.00%	5.95%	6.64%	9.52%	5.56%	5.81%	1.29%	6.28%	8.81%	0.00%	3.94%	4.12%	4.36%	5.00%	4.17%	2.76%	2.17%	3.57%	1.16%	0.00%	5.10%	7.96%	16.49%	4.31%	4.59%	5.08%	5.97%	5.16%	9.50%	7.80%	9.21%	7.55%	6.59%	1.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1704	13	11	6	11	10	9	6	11	17	8	12	7	12	21	16	13	15	23	12	25	20	5	9	22	22	10	9	20	12	13	24	10	17	19	17	20	5	21	13	21	23	10	20	18	18	22	10	27	14	12	24	11	7	18	21	23	23	12	6	13	16	29	23	16	29	14	30	22	38	20	19	12	26	25	29	28	31	11	23	18	20	19	6	16	14	2	10	10	7	26	21	17	9	14	5	0	10	4	3	4	6	2	2	3	1	4	6	1	1	15	3	7	1	0	1	1	2	1	0	21	8	1	4	4	1	6	5	4	7	6	3	2	0									
		2.69%	4.01%	3.89%	1.12%	2.40%	2.22%	1.80%	1.29%	1.97%	3.17%	1.88%	2.16%	1.99%	3.30%	4.78%	2.87%	4.74%	1.95%	2.49%	1.79%	3.14%	2.73%	1.07%	1.84%	2.90%	3.02%	1.72%	1.38%	3.03%	1.83%	1.68%	3.05%	1.65%	2.33%	2.18%	2.37%	4.37%	1.70%	2.64%	1.72%	2.80%	3.03%	1.81%	3.62%	2.52%	2.32%	2.68%	1.72%	4.23%	2.34%	2.40%	2.82%	1.78%	3.89%	4.93%	4.69%	2.94%	5.68%	2.77%	3.85%	3.75%	2.58%	3.34%	3.68%	3.20%	4.02%	2.18%	4.76%	2.82%	4.25%	3.77%	3.88%	2.26%	3.23%	2.53%	4.37%	3.59%	4.12%	2.59%	3.63%	2.80%	3.05%	3.60%	2.45%	3.20%	3.78%	0.83%	5.88%	4.13%	3.33%	3.55%	3.49%	2.62%	2.74%	2.55%	4.00%	0.00%	7.30%	1.50%	3.70%	5.56%	2.23%	0.78%	1.90%	2.78%	1.16%	1.72%	2.51%	0.63%	3.57%	2.68%	0.88%	1.69%	1.00%	0.00%	0.69%	0.36%	2.38%	0.58%	0.00%	1.60%	2.36%	1.03%	1.08%	2.04%	0.85%	1.79%	0.96%	1.81%	1.61%	3.95%	0.78%	0.78%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1190	13	2	13	4	15	7	16	8	10	10	8	4	6	5	12	2	10	18	9	15	11	11	6	18	15	11	17	12	12	13	5	13	9	16	9	6	5	15	13	17	9	7	13	17	8	16	8	11	8	11	18	7	2	3	5	17	12	11	0	4	18	23	14	6	20	16	12	11	22	13	8	9	21	25	19	16	15	5	8	7	20	11	2	13	5	3	1	2	3	15	12	15	6	6	1	0	2	2	3	2	3	4	2	2	2	5	4	2	4	17	6	8	3	1	5	9	3	3	2	22	13	3	2	3	1	7	14	2	7	2	8	0	1									
		1.88%	4.01%	0.71%	2.43%	0.87%	3.33%	1.40%	3.45%	1.43%	1.86%	2.35%	1.44%	1.14%	1.65%	1.14%	2.15%	0.73%	1.30%	1.95%	1.34%	1.89%	1.50%	2.35%	1.23%	2.37%	2.06%	1.89%	2.61%	1.82%	1.83%	1.68%	0.64%	2.15%	1.23%	1.84%	1.25%	1.31%	1.70%	1.89%	1.72%	2.26%	1.19%	1.27%	2.35%	2.38%	1.03%	1.95%	1.38%	1.72%	1.34%	2.20%	2.12%	1.13%	1.11%	0.82%	1.12%	2.17%	2.96%	2.54%	0.00%	1.15%	2.90%	2.65%	2.24%	1.20%	2.77%	2.49%	1.90%	1.41%	2.46%	2.45%	1.63%	1.70%	2.61%	2.53%	2.86%	2.05%	1.99%	1.18%	1.26%	1.09%	3.05%	2.08%	0.82%	2.60%	1.35%	1.25%	0.59%	0.83%	1.43%	2.05%	1.99%	2.31%	1.83%	1.09%	0.80%	0.00%	1.46%	0.75%	3.70%	2.78%	1.12%	1.56%	1.90%	1.85%	2.33%	2.15%	1.67%	1.26%	14.29%	3.04%	1.76%	1.94%	3.00%	4.17%	3.45%	3.26%	3.57%	1.73%	2.47%	1.68%	3.83%	3.09%	0.54%	1.53%	0.85%	2.09%	2.68%	0.90%	1.61%	1.32%	2.08%	0.00%	1.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23077	140	129	219	152	156	176	183	207	198	160	192	104	146	177	234	86	282	340	230	298	236	172	199	261	279	196	231	233	241	260	246	199	280	288	238	163	126	263	261	263	346	199	175	252	278	294	197	202	211	177	268	199	87	176	140	287	126	155	52	112	211	289	206	157	252	228	222	294	317	180	178	222	228	316	244	270	245	152	208	227	224	185	75	174	122	92	50	70	88	253	188	228	110	253	39	24	64	120	27	27	148	106	53	38	33	101	111	57	12	222	125	208	35	11	46	182	43	71	63	498	131	30	242	98	68	127	267	71	112	81	104	121	26									
		36.43%	43.21%	45.58%	40.93%	33.19%	34.67%	35.13%	39.44%	37.10%	36.87%	37.56%	34.59%	29.55%	40.11%	40.32%	42.01%	31.39%	36.62%	36.80%	34.33%	37.48%	32.24%	36.75%	40.70%	34.43%	38.27%	33.68%	35.48%	35.36%	36.74%	33.59%	31.30%	32.84%	38.36%	33.10%	33.15%	35.59%	42.86%	33.08%	34.62%	35.02%	45.65%	36.05%	31.65%	35.29%	35.82%	35.85%	33.97%	31.61%	35.28%	35.33%	31.49%	32.25%	48.33%	48.22%	31.25%	36.65%	31.11%	35.80%	33.33%	32.28%	33.98%	33.33%	32.96%	31.40%	34.95%	35.46%	35.24%	37.74%	35.46%	33.90%	36.33%	41.89%	28.36%	32.02%	36.75%	34.57%	32.54%	35.76%	32.81%	35.25%	34.15%	35.04%	30.61%	34.80%	32.97%	38.33%	29.41%	28.93%	41.90%	34.52%	31.23%	35.19%	33.54%	46.17%	31.20%	36.36%	46.72%	44.94%	33.33%	37.50%	55.02%	41.41%	50.48%	35.19%	38.37%	43.35%	46.44%	35.85%	42.86%	39.71%	36.76%	50.36%	35.00%	45.83%	31.72%	65.94%	51.19%	41.04%	77.78%	37.93%	38.64%	30.93%	65.23%	50.00%	57.63%	37.91%	51.05%	32.13%	25.69%	53.29%	27.08%	46.90%	40.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	610	0	1	5	3	1	8	4	3	0	2	2	0	1	6	6	1	2	6	8	2	6	6	2	9	8	4	2	8	2	4	9	3	13	4	7	3	3	9	6	4	5	0	2	2	8	10	3	3	4	3	7	2	1	2	3	6	6	2	0	3	6	7	6	9	6	11	9	10	7	8	6	4	6	11	8	15	13	3	7	2	3	0	1	2	0	0	0	2	1	5	2	2	2	4	2	0	0	4	1	0	5	9	2	1	2	7	6	5	1	16	10	7	1	2	3	5	0	5	0	33	3	1	3	3	2	13	13	3	5	2	6	4	2									
		0.96%	0.00%	0.35%	0.93%	0.66%	0.22%	1.60%	0.86%	0.54%	0.00%	0.47%	0.36%	0.00%	0.27%	1.37%	1.08%	0.36%	0.26%	0.65%	1.19%	0.25%	0.82%	1.28%	0.41%	1.19%	1.10%	0.69%	0.31%	1.21%	0.30%	0.52%	1.15%	0.50%	1.78%	0.46%	0.97%	0.66%	1.02%	1.13%	0.80%	0.53%	0.66%	0.00%	0.36%	0.28%	1.03%	1.22%	0.52%	0.47%	0.67%	0.60%	0.82%	0.32%	0.56%	0.55%	0.67%	0.77%	1.48%	0.46%	0.00%	0.86%	0.97%	0.81%	0.96%	1.80%	0.83%	1.71%	1.43%	1.28%	0.78%	1.51%	1.22%	0.75%	0.75%	1.11%	1.20%	1.92%	1.73%	0.71%	1.10%	0.31%	0.46%	0.00%	0.41%	0.40%	0.00%	0.00%	0.00%	0.83%	0.48%	0.68%	0.33%	0.31%	0.61%	0.73%	1.60%	0.00%	0.00%	1.50%	1.23%	0.00%	1.86%	3.52%	1.90%	0.93%	2.33%	3.00%	2.51%	3.14%	3.57%	2.86%	2.94%	1.69%	1.00%	8.33%	2.07%	1.81%	0.00%	2.89%	0.00%	2.51%	0.88%	1.03%	0.81%	1.53%	1.69%	3.88%	2.49%	1.36%	1.15%	1.32%	1.56%	1.55%	3.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	212	1	1	1	3	0	1	1	3	0	1	1	0	1	4	1	3	2	2	1	0	2	0	1	1	0	1	1	3	0	3	4	3	2	2	2	2	0	4	1	2	1	2	2	4	2	1	5	2	0	0	1	1	0	0	1	1	2	2	1	0	2	3	4	2	5	4	5	7	2	0	0	5	4	3	1	5	1	1	2	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	1	2	0	1	1	2	0	1	1	3	2	1	0	4	2	5	0	1	1	1	0	2	0	7	0	0	1	1	2	1	2	0	8	2	1	1	0									
		0.33%	0.31%	0.35%	0.19%	0.66%	0.00%	0.20%	0.22%	0.54%	0.00%	0.23%	0.18%	0.00%	0.27%	0.91%	0.18%	1.09%	0.26%	0.22%	0.15%	0.00%	0.27%	0.00%	0.20%	0.13%	0.00%	0.17%	0.15%	0.46%	0.00%	0.39%	0.51%	0.50%	0.27%	0.23%	0.28%	0.44%	0.00%	0.50%	0.13%	0.27%	0.13%	0.36%	0.36%	0.56%	0.26%	0.12%	0.86%	0.31%	0.00%	0.00%	0.12%	0.16%	0.00%	0.00%	0.22%	0.13%	0.49%	0.46%	0.64%	0.00%	0.32%	0.35%	0.64%	0.40%	0.69%	0.62%	0.79%	0.90%	0.22%	0.00%	0.00%	0.94%	0.50%	0.30%	0.15%	0.64%	0.13%	0.24%	0.32%	0.16%	0.15%	0.19%	0.00%	0.20%	0.00%	0.42%	0.59%	0.00%	0.48%	0.00%	0.17%	0.15%	0.00%	0.00%	0.00%	1.52%	0.73%	0.75%	0.00%	1.39%	0.37%	0.78%	0.00%	0.93%	1.16%	1.29%	0.84%	0.63%	0.00%	0.72%	0.59%	1.21%	0.00%	4.17%	0.69%	0.36%	0.00%	1.16%	0.00%	0.53%	0.00%	0.00%	0.27%	0.51%	1.69%	0.30%	0.38%	0.00%	1.83%	1.32%	0.26%	0.39%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	12091	86	64	130	101	90	121	102	116	109	83	118	82	83	83	114	67	144	165	136	144	178	99	98	147	129	123	146	104	153	165	182	144	119	169	156	71	66	147	158	132	154	128	120	155	174	180	105	129	135	100	165	128	46	70	104	158	79	78	37	56	90	165	142	119	147	114	117	123	129	107	107	105	186	187	102	131	156	79	147	134	150	122	76	101	71	46	50	32	35	138	140	156	75	132	25	20	22	83	19	17	44	26	9	13	4	37	21	17	7	104	21	41	10	0	24	18	15	20	6	115	31	14	27	30	6	21	55	13	47	9	28	29	7									
