Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Томская (182)																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	199	0	0	0	1	3	5	3	1	0	3	2	14	5	4	0	2	8	5	1	2	17	9	4	0	1	0	5	2	2	4	11	0	3	4	5	2	0	3	1	0	0	1	3	0	0	0	2	0	1	0	2	1	13	11	1	5	0	8	0	0	3	1	4	3	0	0	2	1	1	4									
		1.33%	0.00%	0.00%	0.00%	0.32%	1.21%	1.26%	2.42%	0.59%	0.00%	2.59%	1.07%	2.77%	1.34%	2.99%	0.00%	1.65%	1.82%	0.96%	0.93%	0.72%	2.46%	1.71%	8.89%	0.00%	0.52%	0.00%	1.10%	1.18%	1.44%	0.84%	2.19%	0.00%	4.00%	1.79%	1.49%	0.80%	0.00%	1.46%	1.92%	0.00%	0.00%	1.43%	5.45%	0.00%	0.00%	0.00%	1.57%	0.00%	0.50%	0.00%	0.65%	0.53%	1.35%	2.14%	0.32%	1.90%	0.00%	2.09%	0.00%	0.00%	0.93%	0.41%	2.31%	2.59%	0.00%	0.00%	1.82%	2.44%	1.33%	1.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	708	0	2	5	18	11	23	5	6	5	3	8	24	20	2	2	3	29	22	7	7	14	29	3	11	8	11	25	4	2	23	28	1	3	3	13	12	1	5	3	5	5	1	4	1	4	1	11	2	11	1	29	11	58	31	11	8	6	24	1	3	14	12	8	5	4	3	7	2	2	22									
		4.73%	0.00%	4.76%	4.17%	5.81%	4.44%	5.79%	4.03%	3.55%	2.67%	2.59%	4.28%	4.74%	5.35%	1.49%	5.88%	2.48%	6.59%	4.22%	6.48%	2.54%	2.02%	5.51%	6.67%	6.59%	4.15%	13.75%	5.49%	2.37%	1.44%	4.82%	5.57%	1.92%	4.00%	1.34%	3.87%	4.80%	1.67%	2.43%	5.77%	3.45%	7.94%	1.43%	7.27%	2.08%	5.26%	1.18%	8.66%	5.71%	5.47%	2.44%	9.39%	5.88%	6.02%	6.03%	3.55%	3.04%	2.94%	6.27%	2.04%	4.41%	4.36%	4.90%	4.62%	4.31%	3.31%	4.69%	6.36%	4.88%	2.67%	5.91%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	282	0	0	4	9	5	7	1	9	2	2	6	5	6	3	2	2	9	3	5	6	17	11	2	1	1	3	11	2	2	14	7	1	0	3	4	3	1	5	0	2	2	1	0	2	2	1	3	0	5	0	6	1	11	9	4	10	5	9	3	2	9	3	2	1	2	2	2	1	0	8									
		1.88%	0.00%	0.00%	3.33%	2.90%	2.02%	1.76%	0.81%	5.33%	1.07%	1.72%	3.21%	0.99%	1.60%	2.24%	5.88%	1.65%	2.05%	0.58%	4.63%	2.17%	2.46%	2.09%	4.44%	0.60%	0.52%	3.75%	2.42%	1.18%	1.44%	2.94%	1.39%	1.92%	0.00%	1.34%	1.19%	1.20%	1.67%	2.43%	0.00%	1.38%	3.17%	1.43%	0.00%	4.17%	2.63%	1.18%	2.36%	0.00%	2.49%	0.00%	1.94%	0.53%	1.14%	1.75%	1.29%	3.80%	2.45%	2.35%	6.12%	2.94%	2.80%	1.22%	1.16%	0.86%	1.65%	3.13%	1.82%	2.44%	0.00%	2.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6406	18	17	48	147	118	174	61	83	119	43	62	179	170	50	13	64	160	200	42	116	242	201	13	71	102	36	190	62	65	205	198	24	33	110	135	139	29	101	22	85	29	39	31	24	33	54	46	13	96	30	137	71	389	207	157	94	93	145	18	28	119	125	76	51	47	41	52	10	43	161									
		42.76%	58.06%	40.48%	40.00%	47.42%	47.58%	43.83%	49.19%	49.11%	63.64%	37.07%	33.16%	35.38%	45.45%	37.31%	38.24%	52.89%	36.36%	38.39%	38.89%	42.03%	34.97%	38.21%	28.89%	42.51%	52.85%	45.00%	41.76%	36.69%	46.76%	42.98%	39.36%	46.15%	44.00%	49.11%	40.18%	55.60%	48.33%	49.03%	42.31%	58.62%	46.03%	55.71%	56.36%	50.00%	43.42%	63.53%	36.22%	37.14%	47.76%	73.17%	44.34%	37.97%	40.39%	40.27%	50.65%	35.74%	45.59%	37.86%	36.73%	41.18%	37.07%	51.02%	43.93%	43.97%	38.84%	64.06%	47.27%	24.39%	57.33%	43.28%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	244	0	2	5	2	2	3	1	4	0	0	3	15	3	1	0	2	8	9	5	2	18	9	0	4	3	3	5	7	5	2	8	0	0	7	4	2	0	3	1	1	0	1	0	1	3	0	1	0	1	1	5	0	17	4	4	4	4	4	0	0	10	2	11	4	7	3	4	0	0	4									
		1.63%	0.00%	4.76%	4.17%	0.65%	0.81%	0.76%	0.81%	2.37%	0.00%	0.00%	1.60%	2.96%	0.80%	0.75%	0.00%	1.65%	1.82%	1.73%	4.63%	0.72%	2.60%	1.71%	0.00%	2.40%	1.55%	3.75%	1.10%	4.14%	3.60%	0.42%	1.59%	0.00%	0.00%	3.13%	1.19%	0.80%	0.00%	1.46%	1.92%	0.69%	0.00%	1.43%	0.00%	2.08%	3.95%	0.00%	0.79%	0.00%	0.50%	2.44%	1.62%	0.00%	1.77%	0.78%	1.29%	1.52%	1.96%	1.04%	0.00%	0.00%	3.12%	0.82%	6.36%	3.45%	5.79%	4.69%	3.64%	0.00%	0.00%	1.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	3									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.19%	0.00%	0.00%	0.00%	0.00%	0.44%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.52%	0.19%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.81%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3207	6	12	26	61	50	77	33	48	29	31	44	96	88	38	11	21	91	122	24	67	154	112	7	33	40	20	111	38	32	118	119	12	19	43	77	43	18	56	15	20	20	12	10	10	14	19	30	13	52	2	53	31	159	88	61	58	47	96	19	22	74	62	26	24	18	8	18	13	11	75									
		21.41%	19.35%	28.57%	21.67%	19.68%	20.16%	19.40%	26.61%	28.40%	15.51%	26.72%	23.53%	18.97%	23.53%	28.36%	32.35%	17.36%	20.68%	23.42%	22.22%	24.28%	22.25%	21.29%	15.56%	19.76%	20.73%	25.00%	24.40%	22.49%	23.02%	24.74%	23.66%	23.08%	25.33%	19.20%	22.92%	17.20%	30.00%	27.18%	28.85%	13.79%	31.75%	17.14%	18.18%	20.83%	18.42%	22.35%	23.62%	37.14%	25.87%	4.88%	17.15%	16.58%	16.51%	17.12%	19.68%	22.05%	23.04%	25.07%	38.78%	32.35%	23.05%	25.31%	15.03%	20.69%	14.88%	12.50%	16.36%	31.71%	14.67%	20.16%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	94	0	1	0	4	0	1	0	2	1	2	2	11	3	0	0	0	2	7	1	3	6	4	0	2	0	0	2	1	0	3	3	0	2	0	3	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	3	2	3	1	4	3	0	0	0	1	1	2	0	0	1	0	2	0	0	0									
		0.63%	0.00%	2.38%	0.00%	1.29%	0.00%	0.25%	0.00%	1.18%	0.53%	1.72%	1.07%	2.17%	0.80%	0.00%	0.00%	0.00%	0.45%	1.34%	0.93%	1.09%	0.87%	0.76%	0.00%	1.20%	0.00%	0.00%	0.44%	0.59%	0.00%	0.63%	0.60%	0.00%	2.67%	0.00%	0.89%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	2.08%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.97%	1.07%	0.31%	0.19%	1.29%	1.14%	0.00%	0.00%	0.00%	1.47%	0.31%	0.82%	0.00%	0.00%	0.83%	0.00%	1.82%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	181	0	1	1	3	2	4	1	2	0	4	2	10	3	2	0	0	10	7	2	3	12	12	1	3	1	0	2	0	1	6	0	2	0	3	6	4	0	5	0	0	0	0	0	0	1	0	2	1	1	0	1	2	30	7	0	4	1	2	0	0	5	0	3	0	1	2	1	0	1	1									
		1.21%	0.00%	2.38%	0.83%	0.97%	0.81%	1.01%	0.81%	1.18%	0.00%	3.45%	1.07%	1.98%	0.80%	1.49%	0.00%	0.00%	2.27%	1.34%	1.85%	1.09%	1.73%	2.28%	2.22%	1.80%	0.52%	0.00%	0.44%	0.00%	0.72%	1.26%	0.00%	3.85%	0.00%	1.34%	1.79%	1.60%	0.00%	2.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	1.57%	2.86%	0.50%	0.00%	0.32%	1.07%	3.12%	1.36%	0.00%	1.52%	0.49%	0.52%	0.00%	0.00%	1.56%	0.00%	1.73%	0.00%	0.83%	3.13%	0.91%	0.00%	1.33%	0.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	0	1	0	0	0	2	0	0	0	0	1	1	3	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1									
		0.17%	0.00%	2.38%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.53%	0.20%	0.80%	0.00%	0.00%	0.83%	0.23%	0.00%	0.93%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	1.25%	0.22%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.65%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.27%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	344	1	0	8	1	13	11	3	0	1	2	5	30	7	4	0	1	16	8	2	6	43	26	0	1	2	2	5	5	2	3	6	1	1	4	9	4	1	4	0	2	0	0	1	1	0	1	2	0	1	1	4	4	17	14	8	4	5	5	2	2	10	2	4	2	1	0	4	0	2	7									
		2.30%	3.23%	0.00%	6.67%	0.32%	5.24%	2.77%	2.42%	0.00%	0.53%	1.72%	2.67%	5.93%	1.87%	2.99%	0.00%	0.83%	3.64%	1.54%	1.85%	2.17%	6.21%	4.94%	0.00%	0.60%	1.04%	2.50%	1.10%	2.96%	1.44%	0.63%	1.19%	1.92%	1.33%	1.79%	2.68%	1.60%	1.67%	1.94%	0.00%	1.38%	0.00%	0.00%	1.82%	2.08%	0.00%	1.18%	1.57%	0.00%	0.50%	2.44%	1.29%	2.14%	1.77%	2.72%	2.58%	1.52%	2.45%	1.31%	4.08%	2.94%	3.12%	0.82%	2.31%	1.72%	0.83%	0.00%	3.64%	0.00%	2.67%	1.88%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2028	5	4	16	36	26	61	10	8	16	11	29	59	34	14	4	10	45	67	10	27	106	67	9	30	26	2	51	34	19	54	83	9	12	36	52	26	8	17	8	27	5	7	5	6	18	2	21	4	23	3	52	45	176	97	33	41	29	53	3	6	48	19	26	17	24	2	8	14	10	63									
		13.54%	16.13%	9.52%	13.33%	11.61%	10.48%	15.37%	8.06%	4.73%	8.56%	9.48%	15.51%	11.66%	9.09%	10.45%	11.76%	8.26%	10.23%	12.86%	9.26%	9.78%	15.32%	12.74%	20.00%	17.96%	13.47%	2.50%	11.21%	20.12%	13.67%	11.32%	16.50%	17.31%	16.00%	16.07%	15.48%	10.40%	13.33%	8.25%	15.38%	18.62%	7.94%	10.00%	9.09%	12.50%	23.68%	2.35%	16.54%	11.43%	11.44%	7.32%	16.83%	24.06%	18.28%	18.87%	10.65%	15.59%	14.22%	13.84%	6.12%	8.82%	14.95%	7.76%	15.03%	14.66%	19.83%	3.13%	7.27%	34.15%	13.33%	16.94%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	62	0	0	0	3	1	2	0	0	0	0	1	1	3	1	1	0	1	3	0	2	1	0	2	0	2	0	5	0	0	4	3	0	0	1	0	2	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	2	5	1	1	0	1	2	1	0	1	3	0	0	0	1	0	0	0	0									
		0.41%	0.00%	0.00%	0.00%	0.97%	0.40%	0.50%	0.00%	0.00%	0.00%	0.00%	0.53%	0.20%	0.80%	0.75%	2.94%	0.00%	0.23%	0.58%	0.00%	0.72%	0.14%	0.00%	4.44%	0.00%	1.04%	0.00%	1.10%	0.00%	0.00%	0.84%	0.60%	0.00%	0.00%	0.45%	0.00%	0.80%	0.00%	0.00%	0.00%	0.69%	1.59%	0.00%	0.00%	0.00%	1.32%	0.00%	0.79%	0.00%	0.50%	0.00%	0.00%	1.07%	0.52%	0.19%	0.32%	0.00%	0.49%	0.52%	2.04%	0.00%	0.31%	1.22%	0.00%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	784	1	2	7	14	10	18	6	3	12	15	15	46	18	12	0	12	50	56	4	29	48	31	3	6	7	2	22	6	5	24	23	2	0	6	16	9	2	6	0	2	0	3	0	0	0	4	2	1	4	3	10	10	40	21	15	23	7	25	2	0	14	6	6	8	11	1	5	0	5	8									
		5.23%	3.23%	4.76%	5.83%	4.52%	4.03%	4.53%	4.84%	1.78%	6.42%	12.93%	8.02%	9.09%	4.81%	8.96%	0.00%	9.92%	11.36%	10.75%	3.70%	10.51%	6.94%	5.89%	6.67%	3.59%	3.63%	2.50%	4.84%	3.55%	3.60%	5.03%	4.57%	3.85%	0.00%	2.68%	4.76%	3.60%	3.33%	2.91%	0.00%	1.38%	0.00%	4.29%	0.00%	0.00%	0.00%	4.71%	1.57%	2.86%	1.99%	7.32%	3.24%	5.35%	4.15%	4.09%	4.84%	8.75%	3.43%	6.53%	4.08%	0.00%	4.36%	2.45%	3.47%	6.90%	9.09%	1.56%	4.55%	0.00%	6.67%	2.15%									
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
