Выборы Президента Российской Федерации																																																														
																																																														
"Наименование Избирательной комиссии:    Пермь, Кировская"																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055					
11	Число полученных открепительных  удостоверений	2600	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0					
12	Число выданных открепительных удостоверений	1063	23	15	24	32	18	15	33	24	17	29	30	21	8	23	18	24	18	24	11	20	8	19	22	20	25	20	20	25	20	20	13	14	25	17	20	30	28	20	15	16	5	23	28	25	22	19	28	35	19	16	14	5	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	851	4	9	10	19	8	1	18	11	6	29	13	16	12	18	3	14	14	15	12	7	11	9	13	16	4	8	14	22	15	10	13	8	14	11	9	18	4	8	9	13	7	8	15	5	9	9	58	22	19	10	19	4	63	61	74					
14	Число неиспользованных открепительных удостоверений	1537	27	35	26	18	32	35	17	26	33	21	20	29	42	27	32	26	32	26	39	30	42	31	28	30	25	30	30	25	30	30	37	36	25	33	30	20	22	30	35	34	45	27	22	25	28	31	22	15	31	34	36	45	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	2851	60	54	65	85	32	38	72	39	56	34	55	44	17	43	39	61	50	50	51	43	52	81	80	88	62	48	59	66	57	45	70	75	76	68	74	68	54	67	61	61	17	60	50	40	48	19	50	54	56	54	38	12	21	20	12					
		5.35%	7.39%	5.81%	7.03%	6.30%	4.17%	4.99%	5.84%	4.45%	5.87%	3.27%	4.36%	4.10%	3.93%	3.97%	4.03%	5.80%	6.69%	5.38%	6.27%	4.04%	5.87%	6.20%	7.51%	6.88%	5.31%	5.14%	6.23%	6.22%	4.62%	5.32%	6.72%	6.33%	5.81%	5.35%	5.15%	5.40%	5.10%	6.12%	6.95%	5.86%	4.43%	5.36%	5.38%	4.58%	4.82%	3.10%	4.07%	5.07%	4.73%	4.02%	3.74%	3.67%	6.09%	10.26%	4.17%					
19	. Малышкин Олег Александрович	1372	13	34	33	28	20	15	37	25	29	32	41	37	14	31	26	20	23	23	13	19	20	38	23	26	29	25	21	35	40	15	34	24	32	27	37	33	23	27	28	26	9	24	21	21	22	23	32	28	35	33	23	12	5	2	6					
		2.58%	1.60%	3.66%	3.57%	2.08%	2.60%	1.97%	3.00%	2.85%	3.04%	3.08%	3.25%	3.45%	3.23%	2.87%	2.69%	1.90%	3.08%	2.48%	1.60%	1.79%	2.26%	2.91%	2.16%	2.03%	2.49%	2.68%	2.22%	3.30%	3.24%	1.77%	3.26%	2.03%	2.44%	2.13%	2.57%	2.62%	2.17%	2.47%	3.19%	2.50%	2.34%	2.14%	2.26%	2.40%	2.21%	3.75%	2.60%	2.63%	2.96%	2.46%	2.26%	3.67%	1.45%	1.03%	2.08%					
20	. Миронов Сергей Михайлович	853	7	9	17	19	8	13	22	27	20	7	24	22	9	27	18	14	14	8	10	16	23	17	35	21	23	15	23	15	22	10	18	27	21	23	26	21	12	12	10	18	2	14	14	12	12	8	11	17	14	19	8	1	5	6	7					
		1.60%	0.86%	0.97%	1.84%	1.41%	1.04%	1.71%	1.79%	3.08%	2.10%	0.67%	1.90%	2.05%	2.08%	2.50%	1.86%	1.33%	1.87%	0.86%	1.23%	1.50%	2.60%	1.30%	3.29%	1.64%	1.97%	1.61%	2.43%	1.41%	1.78%	1.18%	1.73%	2.28%	1.60%	1.81%	1.81%	1.67%	1.13%	1.10%	1.14%	1.73%	0.52%	1.25%	1.51%	1.37%	1.20%	1.31%	0.90%	1.60%	1.18%	1.42%	0.79%	0.31%	1.45%	3.08%	2.43%					
21	. Путин Владимир Владимирович	35182	536	581	568	883	501	525	793	582	590	728	862	746	304	712	720	648	451	594	512	709	554	823	683	770	737	585	582	653	799	586	670	723	825	854	951	838	707	689	578	726	270	756	625	620	700	424	869	728	826	919	764	257	228	113	205					
		66.04%	66.01%	62.54%	61.47%	65.46%	65.23%	68.90%	64.37%	66.36%	61.84%	70.07%	68.36%	69.59%	70.21%	65.80%	74.46%	61.60%	60.37%	63.94%	62.98%	66.64%	62.53%	62.97%	64.13%	60.16%	63.15%	62.63%	61.46%	61.55%	64.80%	69.27%	64.30%	61.06%	63.03%	67.24%	66.13%	66.51%	66.82%	62.98%	65.83%	69.74%	70.31%	67.50%	67.28%	70.94%	70.28%	69.17%	70.71%	68.36%	69.76%	68.48%	75.12%	78.59%	66.09%	57.95%	71.18%					
22	. Хакамада Ирина Муцуовна	3979	57	68	65	99	61	41	103	66	63	82	58	56	20	71	43	122	69	77	72	71	73	111	77	104	91	86	67	108	95	56	85	122	121	101	98	108	80	83	75	62	30	91	66	48	73	51	85	81	73	106	54	13	12	8	21					
		7.47%	7.02%	7.32%	7.03%	7.34%	7.94%	5.38%	8.36%	7.53%	6.60%	7.89%	4.60%	5.22%	4.62%	6.56%	4.45%	11.60%	9.24%	8.29%	8.86%	6.67%	8.24%	8.49%	7.23%	8.12%	7.80%	9.21%	7.07%	10.18%	7.70%	6.62%	8.16%	10.30%	9.24%	7.95%	6.82%	8.57%	7.56%	7.59%	8.54%	5.96%	7.81%	8.12%	7.10%	5.49%	7.33%	8.32%	6.92%	7.61%	6.17%	7.90%	5.31%	3.98%	3.48%	4.10%	7.29%					
23	. Харитонов Николай Михайлович	5958	97	129	113	109	101	105	138	84	131	106	161	104	44	149	73	119	90	122	95	141	121	153	125	197	164	119	145	126	141	90	109	130	142	144	180	88	116	153	83	90	38	113	102	85	78	49	112	97	119	131	91	18	55	23	20					
		11.18%	11.95%	13.89%	12.23%	8.08%	13.15%	13.78%	11.20%	9.58%	13.73%	10.20%	12.77%	9.70%	10.16%	13.77%	7.55%	11.31%	12.05%	13.13%	11.69%	13.25%	13.66%	11.71%	11.74%	15.39%	14.05%	12.74%	15.31%	11.88%	11.44%	10.64%	10.46%	10.98%	10.85%	11.34%	12.52%	6.98%	10.96%	13.99%	9.45%	8.65%	9.90%	10.09%	10.98%	9.73%	7.83%	7.99%	9.11%	9.11%	10.05%	9.76%	8.95%	5.50%	15.94%	11.79%	6.94%					
																																																														
24	Против всех	2702	36	41	60	115	37	15	61	43	52	48	52	57	23	44	40	61	45	46	53	60	37	77	39	65	51	47	43	50	67	41	56	79	87	45	61	101	57	57	42	51	14	55	42	38	58	34	57	49	57	66	28	12	13	22	15					
		5.07%	4.43%	4.41%	6.49%	8.52%	4.82%	1.97%	4.95%	4.90%	5.45%	4.62%	4.12%	5.32%	5.31%	4.07%	4.14%	5.80%	6.02%	4.95%	6.52%	5.64%	4.18%	5.89%	3.66%	5.08%	4.37%	5.03%	4.54%	4.71%	5.43%	4.85%	5.37%	6.67%	6.65%	3.54%	4.24%	8.02%	5.39%	5.21%	4.78%	4.90%	3.65%	4.91%	4.52%	4.35%	5.82%	5.55%	4.64%	4.60%	4.81%	4.92%	2.75%	3.67%	3.77%	11.28%	5.21%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
