Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																									
Дата голосования: 02.12.2007																																																																																																																									
																																																																																																																									
Наименование Избирательной комиссии:    Сергиево-Посадская																																																																																																																									
																																																																																																																									
Сводная таблица результатов выборов																																																																																																																									
																																																																																																																									
		Сумма	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																									
18	1.Политическая партия «Аграрная партия России»	3254	58	50	29	19	11	37	44	34	52	31	13	30	19	50	16	46	44	43	30	34	41	11	38	22	36	35	32	38	50	30	5	19	42	36	38	51	39	53	48	23	38	47	40	31	25	25	28	48	20	25	6	7	4	11	19	32	26	30	36	17	35	59	34	28	42	42	18	23	39	34	11	32	40	50	41	5	13	11	13	13	37	46	38	0	29	21	18	40	27	34	34	29	19	4	28	13	14	17	3	12	6	11	22	31	33	15	63	23	7	15	26	17	37	10					
		2.95%	4.83%	3.77%	5.41%	2.56%	4.68%	3.51%	4.25%	3.07%	5.97%	3.12%	4.25%	1.96%	2.17%	4.09%	1.61%	3.70%	4.29%	3.38%	2.58%	2.70%	2.91%	1.92%	4.27%	2.60%	3.13%	3.12%	2.36%	2.76%	3.48%	5.14%	2.09%	3.23%	3.65%	3.32%	3.73%	3.11%	2.61%	3.37%	3.14%	3.19%	3.14%	3.38%	2.89%	4.50%	3.89%	2.49%	2.24%	3.45%	3.39%	2.70%	1.31%	4.52%	1.47%	1.84%	2.94%	1.82%	2.66%	2.39%	2.73%	1.77%	2.74%	4.34%	3.25%	2.27%	3.15%	2.20%	2.41%	1.49%	1.97%	1.70%	1.77%	1.71%	2.44%	2.52%	2.79%	0.98%	6.31%	8.15%	1.36%	2.84%	2.84%	3.10%	2.85%	0.00%	2.20%	2.63%	2.35%	3.59%	2.85%	2.56%	2.61%	3.90%	2.44%	5.41%	2.68%	4.11%	3.26%	6.09%	1.88%	2.58%	1.00%	1.49%	2.76%	4.10%	5.96%	3.82%	3.66%	4.11%	1.83%	4.39%	5.36%	3.49%	7.58%	1.21%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1491	29	30	10	6	2	18	20	24	19	18	6	28	17	19	19	17	19	18	20	23	26	4	16	10	8	17	10	31	26	13	2	10	25	17	18	44	33	37	33	8	25	24	23	6	11	13	29	25	5	9	4	0	2	7	8	4	12	12	6	7	16	22	18	12	17	34	8	7	19	22	6	18	29	26	25	4	1	0	9	0	11	17	13	2	17	6	5	8	15	9	4	11	4	0	11	4	2	6	0	4	4	1	0	3	3	1	23	7	0	2	9	5	3	6					
		1.35%	2.42%	2.26%	1.87%	0.81%	0.85%	1.71%	1.93%	2.17%	2.18%	1.81%	1.96%	1.83%	1.95%	1.55%	1.91%	1.37%	1.85%	1.41%	1.72%	1.82%	1.84%	0.70%	1.80%	1.18%	0.69%	1.51%	0.74%	2.25%	1.81%	2.23%	0.84%	1.70%	2.17%	1.57%	1.77%	2.68%	2.21%	2.35%	2.16%	1.11%	2.06%	1.72%	1.66%	0.87%	1.71%	1.29%	2.32%	1.80%	0.85%	0.97%	0.87%	0.00%	0.73%	1.17%	1.24%	0.23%	1.23%	0.96%	0.45%	0.73%	1.25%	1.62%	1.72%	0.97%	1.27%	1.78%	1.07%	0.45%	0.96%	1.10%	0.96%	0.96%	1.77%	1.31%	1.70%	0.78%	0.49%	0.00%	0.94%	0.00%	0.84%	1.14%	0.97%	0.55%	1.29%	0.75%	0.65%	0.72%	1.58%	0.68%	0.31%	1.48%	0.51%	0.00%	1.05%	1.27%	0.47%	2.15%	0.00%	0.86%	0.67%	0.14%	0.00%	0.40%	0.54%	0.25%	1.34%	1.25%	0.00%	0.58%	1.86%	1.03%	0.61%	0.73%					
20	3.Политическая партия «Демократическая партия России»	161	0	1	3	1	2	2	1	2	2	1	0	1	0	6	1	1	1	0	2	0	2	1	0	1	3	4	2	1	0	0	2	0	1	3	1	1	1	1	10	3	1	4	4	0	1	3	1	4	2	2	0	0	1	0	1	0	2	2	0	0	2	6	4	0	2	0	1	1	1	6	0	3	0	4	2	4	0	1	0	0	2	0	1	0	1	2	0	2	2	1	2	1	0	0	2	0	1	0	0	1	0	4	0	2	1	1	2	1	0	1	0	0	0	2					
		0.15%	0.00%	0.08%	0.56%	0.13%	0.85%	0.19%	0.10%	0.18%	0.23%	0.10%	0.00%	0.07%	0.00%	0.49%	0.10%	0.08%	0.10%	0.00%	0.17%	0.00%	0.14%	0.17%	0.00%	0.12%	0.26%	0.36%	0.15%	0.07%	0.00%	0.00%	0.84%	0.00%	0.09%	0.28%	0.10%	0.06%	0.07%	0.06%	0.65%	0.42%	0.08%	0.29%	0.29%	0.00%	0.16%	0.30%	0.08%	0.29%	0.34%	0.22%	0.00%	0.00%	0.37%	0.00%	0.15%	0.00%	0.20%	0.16%	0.00%	0.00%	0.16%	0.44%	0.38%	0.00%	0.15%	0.00%	0.13%	0.06%	0.05%	0.30%	0.00%	0.16%	0.00%	0.20%	0.14%	0.78%	0.00%	0.74%	0.00%	0.00%	0.15%	0.00%	0.07%	0.00%	0.08%	0.25%	0.00%	0.18%	0.21%	0.08%	0.15%	0.13%	0.00%	0.00%	0.19%	0.00%	0.23%	0.00%	0.00%	0.22%	0.00%	0.54%	0.00%	0.26%	0.18%	0.25%	0.12%	0.18%	0.00%	0.29%	0.00%	0.00%	0.00%	0.24%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	15948	180	207	87	107	24	214	177	205	147	126	31	137	181	275	191	197	181	213	180	186	210	73	143	164	244	182	199	213	247	96	10	74	221	190	213	265	327	352	336	134	242	286	226	100	81	74	156	239	81	148	80	25	51	68	66	145	136	199	157	97	170	242	185	160	148	218	73	108	178	168	83	218	221	399	204	51	30	18	110	36	205	122	126	32	235	127	124	161	142	181	172	93	102	5	163	58	36	24	20	33	35	68	83	44	77	58	139	71	40	66	53	104	60	73					
		14.44%	15.00%	15.60%	16.23%	14.42%	10.21%	20.28%	17.08%	18.52%	16.88%	12.68%	10.13%	8.95%	20.71%	22.49%	19.22%	15.86%	17.66%	16.73%	15.49%	14.75%	14.89%	12.76%	16.09%	19.41%	21.18%	16.21%	14.65%	15.48%	17.19%	16.44%	4.18%	12.56%	19.22%	17.53%	20.92%	16.16%	21.87%	22.36%	21.99%	18.56%	19.98%	20.55%	16.31%	14.51%	12.60%	7.37%	12.50%	17.18%	13.73%	15.97%	17.43%	16.13%	18.68%	11.35%	10.22%	8.25%	13.92%	15.88%	11.88%	10.10%	13.31%	17.81%	17.67%	12.97%	11.09%	11.43%	9.79%	7.00%	8.99%	8.38%	13.34%	11.62%	13.51%	20.11%	13.88%	10.00%	14.56%	13.33%	11.54%	7.88%	15.75%	8.22%	9.45%	8.77%	17.84%	15.88%	16.17%	14.45%	14.99%	13.65%	13.21%	12.52%	13.11%	6.76%	15.61%	18.35%	8.37%	8.60%	12.50%	7.10%	5.85%	9.19%	10.41%	5.81%	13.90%	14.76%	8.09%	12.68%	10.47%	19.30%	10.93%	21.36%	12.30%	8.83%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1516	21	18	12	12	3	8	18	12	11	10	0	16	9	13	18	19	15	12	11	8	16	5	9	7	16	16	11	23	20	5	2	5	11	28	15	18	25	23	23	15	29	32	35	4	11	9	14	16	4	3	7	1	3	8	8	22	13	12	152	9	23	36	10	22	11	22	16	8	15	24	6	19	20	79	25	7	8	1	7	1	32	20	21	2	15	11	3	12	6	8	14	3	2	0	9	3	0	0	1	2	3	0	7	16	0	3	15	7	2	4	0	0	1	3					
		1.37%	1.75%	1.36%	2.24%	1.62%	1.28%	0.76%	1.74%	1.08%	1.26%	1.01%	0.00%	1.05%	1.03%	1.06%	1.81%	1.53%	1.46%	0.94%	0.95%	0.63%	1.13%	0.87%	1.01%	0.83%	1.39%	1.42%	0.81%	1.67%	1.39%	0.86%	0.84%	0.85%	0.96%	2.58%	1.47%	1.10%	1.67%	1.46%	1.51%	2.08%	2.39%	2.30%	2.53%	0.58%	1.71%	0.90%	1.12%	1.15%	0.68%	0.32%	1.53%	0.65%	1.10%	1.34%	1.24%	1.25%	1.33%	0.96%	11.51%	0.94%	1.80%	2.65%	0.96%	1.78%	0.82%	1.15%	2.14%	0.52%	0.76%	1.20%	0.96%	1.01%	1.22%	3.98%	1.70%	1.37%	3.88%	0.74%	0.73%	0.22%	2.46%	1.35%	1.57%	0.55%	1.14%	1.38%	0.39%	1.08%	0.63%	0.60%	1.08%	0.40%	0.26%	0.00%	0.86%	0.95%	0.00%	0.00%	0.63%	0.43%	0.50%	0.00%	0.88%	2.11%	0.00%	0.76%	0.87%	1.25%	0.52%	1.17%	0.00%	0.00%	0.20%	0.36%					
23	6.Политическая партия «Партия социальной справедливости»	325	1	2	0	4	0	3	3	2	7	1	0	3	2	3	5	1	1	3	1	3	3	1	2	2	3	3	2	3	3	1	2	5	3	1	3	7	6	2	4	2	3	4	5	2	2	2	4	4	3	2	2	1	0	3	1	0	1	4	3	1	2	3	6	2	1	11	1	6	1	2	2	7	63	4	4	3	1	0	2	0	1	7	4	1	4	3	0	2	1	3	5	1	1	0	1	3	3	0	0	0	1	3	0	0	0	0	4	1	0	2	1	0	0	2					
		0.29%	0.08%	0.15%	0.00%	0.54%	0.00%	0.28%	0.29%	0.18%	0.80%	0.10%	0.00%	0.20%	0.23%	0.25%	0.50%	0.08%	0.10%	0.24%	0.09%	0.24%	0.21%	0.17%	0.22%	0.24%	0.26%	0.27%	0.15%	0.22%	0.21%	0.17%	0.84%	0.85%	0.26%	0.09%	0.29%	0.43%	0.40%	0.13%	0.26%	0.28%	0.25%	0.29%	0.36%	0.29%	0.31%	0.20%	0.32%	0.29%	0.51%	0.22%	0.44%	0.65%	0.00%	0.50%	0.15%	0.00%	0.10%	0.32%	0.23%	0.10%	0.16%	0.22%	0.57%	0.16%	0.07%	0.58%	0.13%	0.39%	0.05%	0.10%	0.32%	0.37%	3.85%	0.20%	0.27%	0.59%	0.49%	0.00%	0.21%	0.00%	0.08%	0.47%	0.30%	0.27%	0.30%	0.38%	0.00%	0.18%	0.11%	0.23%	0.38%	0.13%	0.13%	0.00%	0.10%	0.95%	0.70%	0.00%	0.00%	0.00%	0.17%	0.41%	0.00%	0.00%	0.00%	0.00%	0.23%	0.18%	0.00%	0.58%	0.21%	0.00%	0.00%	0.24%					
24	7.Политическая партия «Либерально-демократическая партия России»	8481	94	131	36	63	23	73	83	90	71	93	21	119	64	89	65	117	87	107	95	94	135	47	58	56	84	91	116	102	113	42	10	47	92	105	59	172	93	128	110	56	87	107	113	59	38	86	155	149	37	72	43	15	31	35	85	71	61	96	65	89	98	107	77	83	144	135	55	54	76	76	46	92	95	126	86	33	13	12	61	21	125	142	111	16	113	73	105	81	98	88	96	56	59	13	54	21	62	26	9	50	43	74	38	54	52	31	177	43	32	28	30	40	38	88					
		7.68%	7.83%	9.87%	6.72%	8.49%	9.79%	6.92%	8.01%	8.13%	8.15%	9.36%	6.86%	7.77%	7.32%	7.28%	6.54%	9.42%	8.49%	8.41%	8.18%	7.45%	9.57%	8.22%	6.52%	6.63%	7.29%	8.10%	8.54%	7.41%	7.86%	7.19%	4.18%	7.98%	8.00%	9.69%	5.80%	10.49%	6.22%	8.13%	7.20%	7.76%	7.18%	7.69%	8.15%	8.56%	5.91%	8.57%	12.42%	10.71%	6.27%	7.77%	9.37%	9.68%	11.36%	5.84%	13.16%	4.04%	6.24%	7.66%	4.92%	9.27%	7.67%	7.87%	7.35%	6.73%	10.79%	7.08%	7.37%	3.50%	3.84%	3.79%	7.40%	4.90%	5.81%	6.35%	5.85%	6.47%	6.31%	8.89%	6.40%	4.60%	9.60%	9.56%	8.32%	4.38%	8.58%	9.13%	13.69%	7.27%	10.35%	6.64%	7.37%	7.54%	7.58%	17.57%	5.17%	6.65%	14.42%	9.32%	5.63%	10.75%	7.19%	10.00%	4.77%	7.13%	9.39%	7.89%	10.30%	7.68%	8.38%	8.19%	6.19%	8.21%	7.79%	10.64%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8248	114	109	57	53	26	88	98	119	76	79	12	109	83	109	75	107	115	130	97	133	120	29	79	105	109	89	97	124	107	30	11	48	104	75	84	96	119	100	125	63	135	129	114	56	49	54	109	140	34	93	35	13	23	31	63	71	64	93	70	47	84	147	73	86	96	136	41	72	86	74	34	109	118	184	105	28	16	5	57	25	118	105	106	20	126	95	67	68	61	67	83	45	49	7	107	19	29	15	17	13	12	52	21	33	37	21	142	39	18	25	28	14	40	47					
		7.47%	9.50%	8.21%	10.63%	7.14%	11.06%	8.34%	9.46%	10.75%	8.73%	7.95%	3.92%	7.12%	9.50%	8.91%	7.55%	8.62%	11.22%	10.21%	8.35%	10.55%	8.51%	5.07%	8.89%	12.43%	9.46%	7.93%	7.14%	9.01%	7.45%	5.14%	4.60%	8.15%	9.04%	6.92%	8.25%	5.85%	7.96%	6.35%	8.18%	8.73%	11.15%	9.27%	8.23%	8.13%	7.62%	5.38%	8.73%	10.06%	5.76%	10.03%	7.63%	8.39%	8.42%	5.18%	9.75%	4.04%	6.55%	7.42%	5.30%	4.90%	6.58%	10.82%	6.97%	6.97%	7.19%	7.13%	5.50%	4.67%	4.35%	3.69%	5.47%	5.81%	7.21%	9.27%	7.14%	5.49%	7.77%	3.70%	5.98%	5.47%	9.06%	7.07%	7.95%	5.48%	9.57%	11.88%	8.74%	6.10%	6.44%	5.05%	6.37%	6.06%	6.30%	9.46%	10.25%	6.01%	6.74%	5.38%	10.63%	2.80%	2.01%	7.03%	2.63%	4.36%	6.68%	5.34%	8.26%	6.96%	4.71%	7.31%	5.77%	2.87%	8.20%	5.68%					
