Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
"Наименование Избирательной комиссии:    Курск, Сеймская"																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1603	20	30	20	25	25	25	20	20	31	30	25	20	35	20	20	50	20	20	20	40	20	30	20	20	30	35	20	30	20	20	30	30	20	20	30	30	20	35	20	30	20	20	20	35	30	20	20	20	20	20	37	20	20	30	20	40	30	20	30	45	40	20	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1447	15	30	13	25	23	23	11	20	31	27	24	17	35	19	20	41	20	16	14	39	19	29	20	12	25	34	20	30	20	20	29	30	20	19	30	30	16	34	17	24	13	14	20	35	30	20	7	20	14	20	37	15	17	25	19	38	30	15	26	45	35	11	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1928	29	36	34	20	17	20	29	23	26	23	29	18	21	19	28	12	94	14	17	17	14	14	6	7	16	11	16	2	2	18	16	102	41	17	148	43	52	45	26	30	30	7	7	8	2	4	1	29	18	22	29	44	54	30	69	42	32	34	54	54	51	8	16	31	89	11									
14	Число погашенных неиспользованных открепительных удостоверений	156	5	0	7	0	2	2	9	0	0	3	1	3	0	1	0	9	0	4	6	1	1	1	0	8	5	1	0	0	0	0	1	0	0	1	0	0	4	1	3	6	7	6	0	0	0	0	13	0	6	0	0	5	3	5	1	2	0	5	4	0	5	9	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	397	4	8	3	3	9	5	2	5	11	7	12	5	6	18	16	13	7	7	2	6	2	7	4	12	6	14	12	8	8	4	8	15	5	7	5	3	7	9	3	6	6	10	10	6	5	3	0	2	2	6	11	1	3	3	0	6	3	3	3	12	4	4	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	621	8	9	4	9	3	13	3	9	24	15	20	11	10	13	14	20	10	9	8	8	9	14	4	3	14	11	14	5	3	11	4	15	12	7	19	11	5	16	6	7	9	3	8	8	18	6	4	7	12	7	15	9	8	3	9	20	8	4	11	20	11	3	7	0	0	1									
		1.25%	1.12%	1.02%	1.08%	1.42%	0.47%	1.31%	0.57%	1.54%	2.20%	1.66%	1.99%	1.19%	1.03%	1.22%	1.56%	1.77%	1.11%	1.80%	1.86%	0.93%	1.32%	1.42%	0.77%	0.45%	2.03%	1.39%	1.66%	0.66%	0.63%	1.74%	0.60%	1.22%	1.57%	0.99%	1.67%	1.37%	0.76%	1.79%	1.24%	1.02%	1.18%	0.39%	0.93%	0.93%	1.47%	0.62%	1.31%	1.01%	1.77%	1.02%	2.07%	1.23%	0.88%	0.56%	1.33%	1.79%	0.80%	1.01%	1.31%	1.95%	1.08%	0.46%	0.96%	0.00%	0.00%	1.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2010	33	39	10	28	29	46	20	19	57	33	23	44	42	48	49	47	28	37	15	22	31	37	27	31	23	29	28	21	16	22	22	50	34	34	36	15	29	33	20	35	29	20	47	25	45	39	20	29	26	33	22	40	41	25	28	43	44	15	35	47	51	17	31	4	8	4									
		4.04%	4.62%	4.43%	2.70%	4.41%	4.50%	4.64%	3.82%	3.25%	5.22%	3.66%	2.30%	4.74%	4.31%	4.51%	5.45%	4.17%	3.11%	7.40%	3.50%	2.55%	4.54%	3.76%	5.17%	4.61%	3.33%	3.67%	3.33%	2.79%	3.38%	3.48%	3.31%	4.07%	4.46%	4.85%	3.16%	1.87%	4.39%	3.69%	4.15%	5.10%	3.79%	2.62%	5.49%	2.91%	3.68%	4.01%	6.54%	4.17%	3.83%	4.82%	3.03%	5.46%	4.52%	4.66%	4.14%	3.84%	4.41%	3.77%	4.17%	4.59%	5.01%	2.59%	4.27%	4.71%	2.93%	4.40%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	852	7	14	2	10	20	9	12	8	14	14	18	14	25	23	17	27	19	12	13	21	14	21	17	11	13	10	9	9	12	14	9	23	12	9	17	9	12	16	10	14	9	19	25	5	23	11	2	9	13	7	6	6	16	7	9	19	13	9	16	18	19	10	13	5	2	1									
		1.71%	0.98%	1.59%	0.54%	1.57%	3.10%	0.91%	2.29%	1.37%	1.28%	1.55%	1.80%	1.51%	2.56%	2.16%	1.89%	2.40%	2.11%	2.40%	3.03%	2.43%	2.05%	2.14%	3.26%	1.64%	1.88%	1.27%	1.07%	1.20%	2.53%	2.21%	1.36%	1.87%	1.57%	1.28%	1.49%	1.12%	1.82%	1.79%	2.07%	2.04%	1.18%	2.49%	2.92%	0.58%	1.88%	1.13%	0.65%	1.29%	1.92%	1.02%	0.83%	0.82%	1.76%	1.30%	1.33%	1.70%	1.30%	2.26%	1.91%	1.76%	1.87%	1.52%	1.79%	5.88%	0.73%	1.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20756	317	358	191	238	279	406	180	231	415	374	421	409	368	370	352	461	413	168	181	380	310	423	233	261	294	307	415	336	206	251	268	504	339	278	508	328	261	305	177	278	317	300	366	394	555	468	148	272	263	283	300	327	381	229	314	450	379	168	307	368	396	359	368	44	162	44									
		41.77%	44.40%	40.64%	51.48%	37.48%	43.26%	40.93%	34.42%	39.55%	37.97%	41.51%	42.06%	44.07%	37.74%	34.77%	39.15%	40.91%	45.89%	33.60%	42.19%	43.98%	45.39%	43.03%	44.64%	38.84%	42.61%	38.86%	49.29%	44.68%	43.46%	39.65%	40.36%	40.98%	44.49%	39.66%	44.52%	40.95%	39.55%	34.08%	36.72%	40.52%	41.44%	39.37%	42.76%	45.87%	45.34%	48.15%	48.37%	39.08%	38.79%	41.31%	41.38%	44.67%	42.01%	42.64%	46.38%	40.21%	37.98%	42.21%	36.59%	35.94%	38.94%	54.73%	50.69%	51.76%	59.34%	48.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	614	9	13	5	4	16	11	8	9	15	14	15	10	15	11	11	10	16	7	8	7	11	16	8	9	6	6	18	12	1	8	14	12	19	5	14	12	9	12	2	7	15	7	9	7	14	9	2	8	6	6	10	6	11	8	7	12	9	1	7	12	15	4	9	2	3	0									
		1.24%	1.26%	1.48%	1.35%	0.63%	2.48%	1.11%	1.53%	1.54%	1.37%	1.55%	1.50%	1.08%	1.54%	1.03%	1.22%	0.89%	1.78%	1.40%	1.86%	0.81%	1.61%	1.63%	1.53%	1.34%	0.87%	0.76%	2.14%	1.60%	0.21%	1.26%	2.11%	0.98%	2.49%	0.71%	1.23%	1.50%	1.36%	1.34%	0.41%	1.02%	1.96%	0.92%	1.05%	0.81%	1.14%	0.93%	0.65%	1.15%	0.88%	0.88%	1.38%	0.82%	1.21%	1.49%	1.03%	1.07%	0.90%	0.25%	0.83%	1.17%	1.47%	0.61%	1.24%	2.35%	1.10%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	64	0	1	0	1	0	0	1	1	0	0	2	3	0	1	0	2	1	0	1	1	1	2	0	1	1	0	1	0	0	1	5	1	3	2	2	1	1	1	2	1	0	1	1	2	2	0	0	0	3	1	1	0	1	0	2	3	1	0	2	2	0	0	1	0	0	0									
		0.13%	0.00%	0.11%	0.00%	0.16%	0.00%	0.00%	0.19%	0.17%	0.00%	0.00%	0.20%	0.32%	0.00%	0.09%	0.00%	0.18%	0.11%	0.00%	0.23%	0.12%	0.15%	0.20%	0.00%	0.15%	0.14%	0.00%	0.12%	0.00%	0.00%	0.16%	0.75%	0.08%	0.39%	0.29%	0.18%	0.12%	0.15%	0.11%	0.41%	0.15%	0.00%	0.13%	0.12%	0.23%	0.16%	0.00%	0.00%	0.00%	0.44%	0.15%	0.14%	0.00%	0.11%	0.00%	0.30%	0.27%	0.10%	0.00%	0.24%	0.20%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8481	114	144	61	127	95	172	97	109	131	142	147	136	184	203	129	180	130	97	86	175	114	164	86	120	114	159	123	141	82	97	130	219	93	114	189	157	96	183	87	126	132	142	152	175	207	179	55	110	130	122	122	136	149	92	102	184	159	61	124	182	189	112	139	13	40	20									
		17.07%	15.97%	16.35%	16.44%	20.00%	14.73%	17.34%	18.55%	18.66%	11.99%	15.76%	14.69%	14.66%	18.87%	19.08%	14.35%	15.97%	14.44%	19.40%	20.05%	20.25%	16.69%	16.68%	16.48%	17.86%	16.52%	20.13%	14.61%	18.75%	17.30%	15.32%	19.58%	17.80%	12.20%	16.26%	16.56%	19.60%	14.55%	20.45%	18.05%	18.37%	17.25%	18.64%	17.76%	20.37%	16.91%	18.42%	17.97%	15.80%	19.17%	17.81%	16.83%	18.58%	16.43%	17.13%	15.07%	16.44%	15.93%	15.33%	14.78%	17.77%	18.58%	17.07%	19.15%	15.29%	14.65%	21.98%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	355	2	7	2	4	6	8	3	6	8	7	5	13	9	7	7	15	4	4	2	7	2	6	3	7	3	10	1	5	4	5	8	7	6	7	8	6	4	9	5	7	11	6	5	6	4	5	0	4	3	7	6	8	2	2	5	3	4	2	7	8	12	5	1	0	0	0									
		0.71%	0.28%	0.79%	0.54%	0.63%	0.93%	0.81%	0.57%	1.03%	0.73%	0.78%	0.50%	1.40%	0.92%	0.66%	0.78%	1.33%	0.44%	0.80%	0.47%	0.81%	0.29%	0.61%	0.57%	1.04%	0.43%	1.27%	0.12%	0.66%	0.84%	0.79%	1.20%	0.57%	0.79%	0.99%	0.70%	0.75%	0.61%	1.01%	1.04%	1.02%	1.44%	0.79%	0.58%	0.70%	0.33%	0.51%	0.00%	0.57%	0.44%	1.02%	0.83%	1.09%	0.22%	0.37%	0.74%	0.27%	0.40%	0.50%	0.83%	0.78%	1.18%	0.76%	0.14%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	409	3	5	2	6	3	10	6	7	17	11	13	9	11	6	5	8	4	6	3	13	4	12	2	7	7	6	10	8	8	7	5	4	8	1	10	4	7	7	1	3	5	3	10	3	20	10	3	4	5	5	6	6	6	4	2	12	5	2	6	11	4	3	2	1	2	0									
		0.82%	0.42%	0.57%	0.54%	0.94%	0.47%	1.01%	1.15%	1.20%	1.56%	1.22%	1.30%	0.97%	1.13%	0.56%	0.56%	0.71%	0.44%	1.20%	0.70%	1.50%	0.59%	1.22%	0.38%	1.04%	1.01%	0.76%	1.19%	1.06%	1.69%	1.11%	0.75%	0.33%	1.05%	0.14%	0.88%	0.50%	1.06%	0.78%	0.21%	0.44%	0.65%	0.39%	1.17%	0.35%	1.63%	1.03%	0.98%	0.57%	0.74%	0.73%	0.83%	0.82%	0.66%	0.74%	0.30%	1.07%	0.50%	0.50%	0.72%	1.07%	0.39%	0.46%	0.28%	1.18%	0.73%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	65	0	2	1	0	2	0	2	0	1	2	1	0	1	0	1	1	0	0	0	1	3	1	1	1	2	1	0	0	0	1	3	0	1	2	1	2	2	2	0	0	0	0	1	0	3	6	0	1	1	1	0	0	2	0	1	1	2	0	4	2	0	1	1	0	0	0									
		0.13%	0.00%	0.23%	0.27%	0.00%	0.31%	0.00%	0.38%	0.00%	0.09%	0.22%	0.10%	0.00%	0.10%	0.00%	0.11%	0.09%	0.00%	0.00%	0.00%	0.12%	0.44%	0.10%	0.19%	0.15%	0.29%	0.13%	0.00%	0.00%	0.00%	0.16%	0.45%	0.00%	0.13%	0.29%	0.09%	0.25%	0.30%	0.22%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.25%	0.62%	0.00%	0.14%	0.15%	0.15%	0.00%	0.00%	0.22%	0.00%	0.15%	0.09%	0.20%	0.00%	0.48%	0.20%	0.00%	0.15%	0.14%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	703	9	9	6	14	7	18	11	8	36	12	27	25	12	28	7	17	15	7	6	7	3	16	6	6	8	14	12	18	8	6	11	23	10	12	14	11	8	18	8	6	4	16	6	4	12	11	0	8	9	3	18	9	11	7	7	20	12	2	11	7	10	8	4	1	2	2									
		1.41%	1.26%	1.02%	1.62%	2.20%	1.09%	1.81%	2.10%	1.37%	3.29%	1.33%	2.70%	2.69%	1.23%	2.63%	0.78%	1.51%	1.67%	1.40%	1.40%	0.81%	0.44%	1.63%	1.15%	0.89%	1.16%	1.77%	1.43%	2.39%	1.69%	0.95%	1.66%	1.87%	1.31%	1.71%	1.23%	1.37%	1.21%	2.01%	1.66%	0.87%	0.52%	2.10%	0.70%	0.47%	0.98%	1.13%	0.00%	1.15%	1.33%	0.44%	2.48%	1.23%	1.21%	1.30%	1.03%	1.79%	1.20%	0.50%	1.31%	0.68%	0.98%	1.22%	0.55%	1.18%	0.73%	2.20%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8149	116	139	52	117	103	158	107	91	231	166	151	147	167	206	199	201	159	96	48	112	92	151	75	113	114	130	108	90	66	118	92	204	131	127	170	155	132	151	86	116	134	92	97	96	141	90	46	160	131	119	124	112	162	93	121	192	212	73	200	201	179	71	80	5	23	8									
		16.40%	16.25%	15.78%	14.02%	18.43%	15.97%	15.93%	20.46%	15.58%	21.13%	18.42%	15.08%	15.84%	17.13%	19.36%	22.14%	17.83%	17.67%	19.20%	11.19%	12.96%	13.47%	15.36%	14.37%	16.82%	16.52%	16.46%	12.83%	11.97%	13.92%	18.64%	13.86%	16.59%	17.19%	18.12%	14.90%	19.35%	20.00%	16.87%	17.84%	16.91%	17.52%	12.07%	11.33%	11.18%	11.52%	9.26%	15.03%	22.99%	19.32%	17.37%	17.10%	15.30%	17.86%	17.32%	17.87%	17.16%	21.24%	18.34%	23.84%	19.63%	17.60%	10.82%	11.02%	5.88%	8.42%	8.79%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	2443	49	58	16	32	20	48	39	24	62	34	65	29	46	54	36	50	36	14	19	43	27	50	29	41	47	38	39	35	24	23	19	64	42	31	50	34	30	52	22	30	28	65	64	59	77	55	14	38	23	16	33	29	47	16	21	65	55	24	36	56	57	29	19	3	9	4									
		4.92%	6.86%	6.58%	4.31%	5.04%	3.10%	4.84%	7.46%	4.11%	5.67%	3.77%	6.49%	3.13%	4.72%	5.08%	4.00%	4.44%	4.00%	2.80%	4.43%	4.98%	3.95%	5.09%	5.56%	6.10%	6.81%	4.81%	4.63%	4.65%	5.06%	3.63%	2.86%	5.20%	5.51%	4.42%	4.38%	4.24%	4.55%	5.81%	4.56%	4.37%	3.66%	8.53%	7.48%	6.87%	6.29%	5.66%	4.58%	5.46%	3.39%	2.34%	4.55%	3.96%	5.18%	2.98%	3.10%	5.81%	5.51%	6.03%	4.29%	5.47%	5.60%	4.42%	2.62%	3.53%	3.30%	4.40%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2797	25	47	9	32	48	62	21	41	47	38	72	45	61	59	46	61	54	25	30	44	38	39	15	42	30	49	57	41	23	50	51	72	40	53	78	41	48	66	22	32	48	50	46	65	86	46	9	35	30	32	45	31	56	39	39	67	61	23	45	60	52	21	33	5	13	6									
		5.63%	3.50%	5.33%	2.43%	5.04%	7.44%	6.25%	4.02%	7.02%	4.30%	4.22%	7.19%	4.85%	6.26%	5.55%	5.12%	5.41%	6.00%	5.00%	6.99%	5.09%	5.56%	3.97%	2.87%	6.25%	4.35%	6.20%	6.77%	5.45%	4.85%	7.90%	7.68%	5.85%	5.25%	7.56%	6.84%	5.12%	7.27%	7.37%	4.56%	4.66%	6.27%	6.56%	5.37%	7.57%	7.03%	4.73%	2.94%	5.03%	4.42%	4.67%	6.21%	4.23%	6.17%	7.26%	5.76%	5.99%	6.11%	5.78%	5.36%	5.86%	5.11%	3.20%	4.55%	5.88%	4.76%	6.59%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
