Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №19																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	966	17	16	21	46	18	21	17	22	15	12	16	28	17	8	17	19	19	14	12	15	5	14	22	9	5	27	20	13	19	7	24	23	8	10	8	15	12	15	18	4	13	11	15	12	17	12	9	7	6	19	13	2	12	27	20	14	31	7	11	18	10	13	19					
14	Число погашенных неиспользованных открепительных удостоверений	733	21	13	17	3	13	22	1	16	17	15	17	2	0	5	13	12	11	18	6	7	20	4	12	7	5	4	16	18	11	12	9	0	19	27	13	14	8	12	9	13	18	15	16	16	2	17	17	7	11	12	8	10	11	5	7	4	12	4	16	14	18	19	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	17291	135	191	214	259	244	287	252	116	243	198	279	255	196	295	199	334	264	93	343	130	362	261	378	304	268	431	346	361	382	370	359	434	272	277	175	184	383	362	316	91	196	228	293	285	136	119	321	324	418	326	344	202	200	206	416	195	250	345	343	450	390	158	303					
		25.89%	21.13%	24.30%	31.70%	22.39%	28.44%	27.70%	29.93%	16.41%	23.73%	25.95%	31.70%	24.88%	27.07%	31.75%	21.24%	28.69%	26.75%	12.42%	27.37%	12.20%	29.79%	18.07%	30.19%	30.13%	24.61%	32.19%	27.79%	31.56%	35.34%	31.95%	31.11%	28.26%	19.07%	21.51%	14.61%	14.94%	28.60%	30.73%	19.92%	9.52%	19.94%	31.98%	31.34%	33.26%	16.61%	17.15%	29.21%	29.59%	33.12%	27.58%	29.53%	29.11%	33.39%	17.52%	30.32%	20.48%	27.26%	30.86%	31.35%	30.67%	30.73%	12.97%	29.30%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6384	97	103	81	170	83	104	67	49	101	79	84	112	66	57	63	80	122	62	96	82	69	97	94	83	63	110	115	105	97	99	126	164	115	129	136	97	103	115	241	81	82	60	59	61	66	60	101	105	84	150	129	76	68	116	155	124	86	107	105	157	153	141	142					
		9.56%	15.18%	13.10%	12.00%	14.69%	9.67%	10.04%	7.96%	6.93%	9.86%	10.35%	9.55%	10.93%	9.12%	6.14%	6.72%	6.87%	12.36%	8.28%	7.66%	7.69%	5.68%	6.72%	7.51%	8.23%	5.79%	8.22%	9.24%	9.18%	8.97%	8.55%	10.92%	10.68%	8.06%	10.02%	11.35%	7.87%	7.69%	9.76%	15.20%	8.47%	8.34%	8.42%	6.31%	7.12%	8.06%	8.65%	9.19%	9.59%	6.66%	12.69%	11.07%	10.95%	11.35%	9.86%	11.30%	13.03%	9.38%	9.57%	9.60%	10.70%	12.06%	11.58%	13.73%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	849	15	13	4	29	11	14	11	8	8	15	13	17	12	7	14	13	17	12	22	8	14	7	12	13	17	12	12	16	16	11	14	25	15	18	8	17	16	19	16	13	9	12	10	9	7	6	16	13	22	11	18	8	12	13	17	16	14	11	9	20	18	6	18					
		1.27%	2.35%	1.65%	0.59%	2.51%	1.28%	1.35%	1.31%	1.13%	0.78%	1.97%	1.48%	1.66%	1.66%	0.75%	1.49%	1.12%	1.72%	1.60%	1.76%	0.75%	1.15%	0.48%	0.96%	1.29%	1.56%	0.90%	0.96%	1.40%	1.48%	0.95%	1.21%	1.63%	1.05%	1.40%	0.67%	1.38%	1.19%	1.61%	1.01%	1.36%	0.92%	1.68%	1.07%	1.05%	0.85%	0.86%	1.46%	1.19%	1.74%	0.93%	1.55%	1.15%	2.00%	1.11%	1.24%	1.68%	1.53%	0.98%	0.82%	1.36%	1.42%	0.49%	1.74%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11598	85	145	121	202	153	175	154	108	153	133	163	189	117	196	165	196	181	71	223	220	192	224	237	204	170	241	234	174	205	208	218	267	227	219	168	191	290	215	267	165	179	136	183	143	129	50	213	168	254	201	219	140	89	234	217	167	217	202	188	227	198	199	179					
		17.37%	13.30%	18.45%	17.93%	17.46%	17.83%	16.89%	18.29%	15.28%	14.94%	17.43%	18.52%	18.44%	16.16%	21.10%	17.61%	16.84%	18.34%	9.48%	17.80%	20.64%	15.80%	15.51%	18.93%	20.22%	15.61%	17.99%	18.80%	15.21%	18.96%	17.96%	18.89%	17.38%	15.92%	17.00%	14.02%	15.50%	21.66%	18.25%	16.83%	17.26%	18.21%	19.07%	19.57%	16.69%	15.75%	7.20%	19.38%	15.34%	20.13%	17.01%	18.80%	20.17%	14.86%	19.90%	15.82%	17.54%	23.66%	18.07%	17.18%	15.47%	15.60%	16.34%	17.31%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10218	59	118	81	158	157	185	140	99	138	131	151	203	144	181	130	299	155	88	248	98	188	204	226	155	125	231	152	191	147	206	166	232	186	161	149	179	216	155	190	190	141	140	178	182	85	75	189	146	204	125	168	105	76	132	262	156	137	151	191	277	166	175	145					
		15.30%	9.23%	15.01%	12.00%	13.66%	18.30%	17.86%	16.63%	14.00%	13.48%	17.17%	17.16%	19.80%	19.89%	19.48%	13.87%	25.69%	15.70%	11.75%	19.79%	9.19%	15.47%	14.13%	18.05%	15.36%	11.48%	17.25%	12.21%	16.70%	13.60%	17.79%	14.38%	15.10%	13.04%	12.50%	12.44%	14.53%	16.13%	13.16%	11.98%	19.87%	14.34%	19.64%	19.04%	21.24%	10.38%	10.81%	17.20%	13.33%	16.16%	10.58%	14.42%	15.13%	12.69%	11.22%	19.10%	16.39%	14.94%	13.51%	17.46%	18.88%	13.08%	14.37%	14.02%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18675	226	202	160	299	180	241	196	289	350	184	170	216	171	163	347	216	227	402	304	497	371	590	264	220	424	284	358	268	205	239	248	376	581	457	521	536	293	285	520	384	350	129	184	157	382	360	230	314	254	346	255	148	139	438	268	279	196	267	205	292	292	505	221					
		27.96%	35.37%	25.70%	23.70%	25.84%	20.98%	23.26%	23.28%	40.88%	34.18%	24.12%	19.32%	21.07%	23.62%	17.55%	37.03%	18.56%	22.99%	53.67%	24.26%	46.62%	30.53%	40.86%	21.09%	21.80%	38.93%	21.21%	28.76%	23.43%	18.96%	20.64%	21.49%	24.48%	40.74%	35.48%	43.49%	43.51%	21.88%	24.19%	32.79%	40.17%	35.61%	18.09%	19.68%	18.32%	46.64%	51.87%	20.93%	28.68%	20.13%	29.27%	21.89%	21.33%	23.21%	37.24%	19.53%	29.31%	21.37%	23.88%	18.74%	19.90%	23.01%	41.46%	21.37%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	649	7	6	8	23	12	8	7	8	12	9	10	14	9	5	7	8	7	7	8	19	8	11	16	14	11	13	12	9	11	9	5	21	12	12	8	12	10	9	15	8	15	2	17	6	4	12	10	11	11	6	9	4	3	10	18	10	12	9	12	16	9	10	13					
		0.97%	1.10%	0.76%	1.19%	1.99%	1.40%	0.77%	0.83%	1.13%	1.17%	1.18%	1.14%	1.37%	1.24%	0.54%	0.75%	0.69%	0.71%	0.93%	0.64%	1.78%	0.66%	0.76%	1.28%	1.39%	1.01%	0.97%	0.96%	0.79%	1.02%	0.78%	0.43%	1.37%	0.84%	0.93%	0.67%	0.97%	0.75%	0.76%	0.95%	0.84%	1.53%	0.28%	1.82%	0.70%	0.49%	1.73%	0.91%	1.00%	0.87%	0.51%	0.77%	0.58%	0.50%	0.85%	1.31%	1.05%	1.31%	0.81%	1.10%	1.09%	0.71%	0.82%	1.26%					
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
