Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Моршанская																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	10	8	4	4	4	4	3	3	3	3	6	3	3	5	7	4	3	3	3	4	3	3	6	6	15	10	20	5	5	10	8	8	6	5	3	3	5	3	3	3	3	3	3	8	5	5	3	5	6	3	4	15	15	7	12	12	5	3	5	4	3	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	24	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	0	2	0	1	0	2	0	1	1	0	1	0	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	2	1	1	0	0	0	0	0	0	0	1	0	2	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0					
14	Число погашенных открепительных удостоверений	326	10	6	4	4	4	3	3	3	3	3	6	3	3	5	6	4	3	3	2	4	3	3	6	6	15	10	18	4	5	8	8	7	3	5	3	3	5	3	3	3	3	3	3	5	4	5	3	5	6	3	4	15	11	7	12	11	5	3	5	4	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
18	"1. ""ЕДИНЕНИЕ"""	299	8	12	0	6	3	4	5	5	2	0	4	1	2	10	19	2	3	2	6	2	0	2	15	5	3	6	6	2	5	9	5	13	3	0	0	2	3	3	6	1	2	5	0	8	4	2	3	6	12	2	9	12	3	0	9	9	5	0	10	2	3	8					
		1.78%	1.40%	2.46%	0.0%	2.28%	1.22%	2.10%	2.56%	1.90%	0.93%	0.0%	1.06%	0.53%	0.74%	2.47%	4.04%	0.98%	3.26%	1.21%	5.66%	0.89%	0.0%	1.19%	4.10%	1.79%	0.45%	1.01%	0.92%	1.28%	2.11%	1.59%	1.82%	4.83%	0.65%	0.0%	0.0%	2.81%	1.31%	2.34%	8.33%	1.75%	2.56%	3.40%	0.0%	1.81%	1.21%	0.75%	1.46%	2.13%	3.07%	2.08%	3.93%	1.81%	0.56%	0.0%	1.83%	1.82%	2.60%	0.0%	4.97%	0.81%	2.54%	4.02%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	125	3	4	1	0	1	1	0	2	1	1	1	0	2	2	2	2	0	2	0	1	1	1	0	6	0	7	7	2	0	3	1	2	4	2	0	0	3	0	1	0	0	2	2	8	5	1	0	2	4	0	2	10	5	3	3	6	2	0	1	0	2	1					
		0.74%	0.52%	0.82%	1.29%	0.0%	0.40%	0.52%	0.0%	0.76%	0.46%	0.98%	0.26%	0.0%	0.74%	0.49%	0.42%	0.98%	0.0%	1.21%	0.0%	0.44%	0.94%	0.59%	0.0%	2.15%	0.0%	1.17%	1.08%	1.28%	0.0%	0.53%	0.36%	0.74%	0.86%	0.71%	0.0%	0.0%	1.31%	0.0%	1.38%	0.0%	0.0%	1.36%	2.38%	1.81%	1.52%	0.37%	0.0%	0.71%	1.02%	0.0%	0.87%	1.51%	0.93%	1.43%	0.61%	1.21%	1.04%	0.0%	0.49%	0.0%	1.69%	0.50%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1616	90	98	6	17	174	16	24	19	21	2	65	15	52	13	59	10	3	24	20	21	11	11	31	16	5	25	32	20	10	34	13	22	59	42	1	21	19	5	9	10	5	3	7	48	32	30	22	35	28	3	7	66	37	10	38	29	8	12	10	14	13	14					
		9.64%	15.81%	20.12%	7.79%	6.46%	71.31%	8.42%	12.30%	7.25%	9.81%	1.96%	17.28%	7.97%	19.40%	3.21%	12.55%	4.90%	3.26%	14.54%	18.86%	9.37%	10.37%	6.54%	8.49%	5.73%	0.75%	4.20%	4.94%	12.82%	4.23%	6.00%	4.74%	8.17%	12.82%	14.99%	1.63%	29.57%	8.29%	3.90%	12.5%	17.54%	6.41%	2.04%	8.33%	10.90%	9.75%	11.32%	10.73%	12.45%	7.17%	3.12%	3.05%	9.98%	6.91%	4.78%	7.75%	5.89%	4.16%	14.81%	4.97%	5.69%	11.01%	7.03%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	284	12	5	1	6	4	9	1	4	2	1	3	0	2	4	9	9	1	3	2	4	3	2	9	2	0	20	10	4	6	18	3	1	8	3	0	0	6	1	3	1	1	1	2	7	7	2	4	1	3	2	7	16	15	3	4	14	5	0	4	0	2	2					
		1.69%	2.10%	1.02%	1.29%	2.28%	1.63%	4.73%	0.51%	1.52%	0.93%	0.98%	0.79%	0.0%	0.74%	0.99%	1.91%	4.41%	1.08%	1.81%	1.88%	1.78%	2.83%	1.19%	2.46%	0.71%	0.0%	3.36%	1.54%	2.56%	2.54%	3.18%	1.09%	0.37%	1.73%	1.07%	0.0%	0.0%	2.62%	0.78%	4.16%	1.75%	1.28%	0.68%	2.38%	1.59%	2.13%	0.75%	1.95%	0.35%	0.76%	2.08%	3.05%	2.42%	2.80%	1.43%	0.81%	2.84%	2.60%	0.0%	1.99%	0.0%	1.69%	1.00%					
22	"5. ""За Русь Святую"""	122	8	2	0	4	1	0	1	0	1	1	3	1	2	1	9	3	1	0	0	0	0	1	2	1	0	8	7	1	1	5	1	2	0	2	0	1	1	0	1	2	0	1	3	7	2	0	2	4	2	0	1	4	2	2	4	3	2	0	3	4	2	0					
		0.72%	1.40%	0.41%	0.0%	1.52%	0.40%	0.0%	0.51%	0.0%	0.46%	0.98%	0.79%	0.53%	0.74%	0.24%	1.91%	1.47%	1.08%	0.0%	0.0%	0.0%	0.0%	0.59%	0.54%	0.35%	0.0%	1.34%	1.08%	0.64%	0.42%	0.88%	0.36%	0.74%	0.0%	0.71%	0.0%	1.40%	0.43%	0.0%	1.38%	3.50%	0.0%	0.68%	3.57%	1.59%	0.60%	0.0%	0.97%	1.42%	0.51%	0.0%	0.43%	0.60%	0.37%	0.95%	0.81%	0.60%	1.04%	0.0%	1.49%	1.62%	1.69%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	1	2	0	0	1	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	2	0	2	1	1	0	0	0	2	1	0	1	0	0	0	0	0	0	2	0	1	0	0	2	1	0	0	0	2	0	1	0	2	0	0	1	0	0	2	1	0	0					
		0.20%	0.17%	0.41%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.49%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	1.88%	0.0%	0.54%	0.35%	0.15%	0.0%	0.0%	0.0%	0.84%	0.17%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.77%	0.0%	1.28%	0.0%	0.0%	0.45%	0.30%	0.0%	0.0%	0.0%	0.51%	0.0%	0.43%	0.0%	0.37%	0.0%	0.0%	0.20%	0.0%	0.0%	0.99%	0.40%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	60	3	1	2	0	2	0	0	1	0	0	0	0	1	0	4	0	0	0	0	1	0	3	3	0	0	2	2	0	0	0	0	2	3	0	0	0	0	0	0	0	1	1	0	3	1	1	0	0	0	0	0	6	3	1	7	2	2	0	0	1	0	1					
		0.35%	0.52%	0.20%	2.59%	0.0%	0.81%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	1.78%	0.82%	0.0%	0.0%	0.33%	0.30%	0.0%	0.0%	0.0%	0.0%	0.74%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.28%	0.68%	0.0%	0.68%	0.30%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.90%	0.56%	0.47%	1.42%	0.40%	1.04%	0.0%	0.0%	0.40%	0.0%	0.50%					
25	"8. ""Народно-республиканская партия России"""	34	5	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	2	1	1	2	1	2	1	1	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	1					
		0.20%	0.87%	0.20%	0.0%	0.0%	0.0%	0.0%	0.51%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	0.35%	0.30%	0.16%	0.15%	1.28%	0.42%	0.35%	0.36%	0.37%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.28%	0.0%	0.0%	0.45%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.15%	0.37%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	2	0	1	0	2	0	1	0					
		0.13%	0.0%	0.0%	0.0%	0.38%	0.0%	1.05%	0.0%	0.38%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.97%	0.35%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.40%	0.0%	0.52%	0.0%	0.99%	0.0%	0.84%	0.0%					
27	"10. ""Аграрная партия России"""	1217	19	35	12	34	2	10	41	28	39	4	32	14	39	24	27	10	16	8	10	60	13	28	18	16	12	16	40	27	67	40	14	24	35	19	0	7	7	15	11	6	2	17	7	17	14	43	17	34	18	11	21	28	14	5	23	4	9	11	2	29	2	10					
		7.26%	3.33%	7.18%	15.58%	12.92%	0.81%	5.26%	21.02%	10.68%	18.22%	3.92%	8.51%	7.44%	14.55%	5.94%	5.74%	4.90%	17.39%	4.84%	9.43%	26.78%	12.26%	16.66%	4.93%	5.73%	1.80%	2.69%	6.18%	17.30%	28.38%	7.06%	5.10%	8.92%	7.60%	6.78%	0.0%	9.85%	3.05%	11.71%	15.27%	10.52%	2.56%	11.56%	8.33%	3.86%	4.26%	16.22%	8.29%	12.09%	4.61%	11.45%	9.17%	4.23%	2.61%	2.39%	4.69%	0.81%	4.68%	13.58%	0.99%	11.78%	1.69%	5.02%					
28	"11. ""Истинные патриоты России"""	42	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	24	3	3	0	0	0	0	0	0	0	2	0	0	0					
		0.25%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.35%	6.15%	3.12%	1.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.99%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	129	0	0	0	3	0	3	4	0	0	0	5	4	0	4	3	3	0	0	0	2	2	2	7	3	0	5	6	1	3	4	3	1	8	1	0	0	2	0	0	0	1	2	1	1	1	1	1	7	1	1	4	3	4	1	3	6	2	0	3	5	1	1					
		0.77%	0.0%	0.0%	0.0%	1.14%	0.0%	1.57%	2.05%	0.0%	0.0%	0.0%	1.32%	2.12%	0.0%	0.99%	0.63%	1.47%	0.0%	0.0%	0.0%	0.89%	1.88%	1.19%	1.91%	1.07%	0.0%	0.84%	0.92%	0.64%	1.27%	0.70%	1.09%	0.37%	1.73%	0.35%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	1.28%	1.36%	1.19%	0.22%	0.30%	0.37%	0.48%	2.49%	0.25%	1.04%	1.74%	0.45%	0.74%	0.47%	0.61%	1.21%	1.04%	0.0%	1.49%	2.03%	0.84%	0.50%					
30	"13. ""Демократическая партия России"""	28	2	2	1	1	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	2	0	0	2	2	0	1	1	0	0	0	0	0	0	0					
		0.16%	0.35%	0.41%	1.29%	0.38%	0.40%	0.0%	1.02%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.36%	0.0%	0.21%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.71%	0.0%	0.0%	0.87%	0.30%	0.0%	0.47%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	32	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	1	1	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	3	0	1	2	0	0	1	0	1	1					
		0.19%	0.17%	0.20%	0.0%	0.38%	0.0%	0.52%	0.0%	0.0%	0.46%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.71%	0.0%	0.16%	0.15%	0.64%	0.0%	0.0%	0.72%	0.0%	0.65%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.87%	0.0%	0.56%	0.0%	0.20%	0.40%	0.0%	0.0%	0.49%	0.0%	0.84%	0.50%					
32	"15. ""Партия СЛОН"""	17	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.37%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.43%	0.78%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.15%	0.0%	0.47%	0.20%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	909	27	18	4	9	1	7	3	13	11	0	19	10	10	25	29	15	8	2	3	14	6	3	30	4	23	47	35	5	5	33	15	14	22	16	1	6	9	4	3	0	1	2	6	32	17	5	16	2	9	12	23	61	49	28	19	47	13	3	13	19	9	14					
		5.42%	4.74%	3.69%	5.19%	3.42%	0.40%	3.68%	1.53%	4.96%	5.14%	0.0%	5.05%	5.31%	3.73%	6.18%	6.17%	7.35%	8.69%	1.21%	2.83%	6.24%	5.66%	1.78%	8.21%	1.43%	3.45%	7.91%	5.40%	3.20%	2.11%	5.83%	5.47%	5.20%	4.78%	5.71%	1.63%	8.45%	3.93%	3.12%	4.16%	0.0%	1.28%	1.36%	7.14%	7.27%	5.18%	1.88%	7.80%	0.71%	2.30%	12.5%	10.04%	9.22%	9.15%	13.39%	3.87%	9.55%	6.77%	3.70%	6.46%	7.72%	7.62%	7.03%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	58	1	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	1	0	1	1	1	1	4	3	0	3	1	0	2	3	2	0	0	1	0	0	1	0	1	0	4	0	3	0	0	3	0	2	4	0	0	0	1	0	1	1	1	1	1	1					
		0.34%	0.17%	0.0%	2.59%	0.0%	0.0%	0.52%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.17%	0.0%	0.94%	0.0%	0.94%	0.59%	0.27%	0.35%	0.60%	0.50%	0.0%	1.92%	0.42%	0.0%	0.72%	1.11%	0.43%	0.0%	0.0%	1.40%	0.0%	0.0%	1.38%	0.0%	1.28%	0.0%	4.76%	0.0%	0.91%	0.0%	0.0%	1.06%	0.0%	2.08%	1.74%	0.0%	0.0%	0.0%	0.20%	0.0%	0.52%	1.23%	0.49%	0.40%	0.84%	0.50%					
35	"18. ""ЛДПР"""	1811	66	34	5	25	10	32	12	37	21	35	45	6	25	37	43	46	2	10	15	14	22	28	36	49	32	99	69	10	24	53	24	31	30	47	5	1	31	2	6	5	10	16	5	38	37	32	24	40	39	14	34	71	78	39	48	51	21	10	20	29	7	24					
		10.81%	11.59%	6.98%	6.49%	9.50%	4.09%	16.84%	6.15%	14.12%	9.81%	34.31%	11.96%	3.19%	9.32%	9.15%	9.14%	22.54%	2.17%	6.06%	14.15%	6.24%	20.75%	16.66%	9.86%	17.56%	4.81%	16.66%	10.66%	6.41%	10.16%	9.36%	8.75%	11.52%	6.52%	16.78%	8.19%	1.40%	13.53%	1.56%	8.33%	8.77%	12.82%	10.88%	5.95%	8.63%	11.28%	12.07%	11.70%	14.23%	10.0%	14.58%	14.84%	10.74%	14.57%	18.66%	9.79%	10.36%	10.93%	12.34%	9.95%	11.78%	5.93%	12.06%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	276	12	6	2	3	3	3	2	4	4	1	7	3	3	6	5	3	1	2	0	5	3	1	6	5	1	12	7	2	2	12	8	3	9	7	0	0	2	2	2	0	1	3	1	8	7	3	4	3	6	3	5	8	9	3	9	14	4	3	7	8	2	6					
		1.64%	2.10%	1.23%	2.59%	1.14%	1.22%	1.57%	1.02%	1.52%	1.86%	0.98%	1.86%	1.59%	1.11%	1.48%	1.06%	1.47%	1.08%	1.21%	0.0%	2.23%	2.83%	0.59%	1.64%	1.79%	0.15%	2.02%	1.08%	1.28%	0.84%	2.12%	2.91%	1.11%	1.95%	2.49%	0.0%	0.0%	0.87%	1.56%	2.77%	0.0%	1.28%	2.04%	1.19%	1.81%	2.13%	1.13%	1.95%	1.06%	1.53%	3.12%	2.18%	1.21%	1.68%	1.43%	1.83%	2.84%	2.08%	3.70%	3.48%	3.25%	1.69%	3.01%					
37	"20. ""Политическая партия ""Единая Россия"""	5213	191	132	29	86	27	70	51	90	81	52	106	79	85	161	175	59	25	57	28	47	17	62	109	90	343	157	187	25	50	171	122	86	121	71	47	20	73	76	12	22	17	31	10	136	137	72	59	79	115	37	56	165	130	34	141	170	59	33	58	57	34	91					
		31.12%	33.56%	27.10%	37.66%	32.69%	11.06%	36.84%	26.15%	34.35%	37.85%	50.98%	28.19%	42.02%	31.71%	39.85%	37.23%	28.92%	27.17%	34.54%	26.41%	20.98%	16.03%	36.90%	29.86%	32.25%	51.57%	26.43%	28.90%	16.02%	21.18%	30.21%	44.52%	31.97%	26.30%	25.35%	77.04%	28.16%	31.87%	59.37%	16.66%	38.59%	21.79%	21.08%	11.90%	30.90%	41.76%	27.16%	28.78%	28.11%	29.48%	38.54%	24.45%	24.96%	24.29%	16.26%	28.77%	34.55%	30.72%	40.74%	28.85%	23.17%	28.81%	45.72%					
38	"21. ""Российская Конституционно-демократическая партия"""	34	2	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	2	0	1	1	0	1	2	1	0	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	3	0	0	1	0	1	0	0	1	0	0					
		0.20%	0.35%	0.20%	0.0%	0.38%	0.0%	0.52%	0.51%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.21%	0.49%	0.0%	0.0%	0.94%	0.89%	0.0%	0.59%	0.27%	0.0%	0.15%	0.33%	0.15%	0.0%	0.84%	0.0%	0.0%	0.37%	0.0%	0.0%	3.27%	0.0%	0.0%	0.0%	0.0%	0.0%	1.28%	0.0%	0.0%	0.22%	0.0%	0.0%	0.97%	0.0%	0.25%	0.0%	0.0%	0.45%	0.0%	0.0%	0.20%	0.0%	0.52%	0.0%	0.0%	0.40%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	28	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	2	1	1	0	0	0	0	0	0	0	0	3	1	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	0	2	0	0	1	0	1	0					
