Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																											
																																																																											
Наименование Избирательной комиссии:    Ковровская городская																																																																											
																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																											
																																																																											
		Сумма	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1240	10	15	20	30	10	20	20	20	20	10	20	20	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	15	20	20	20	20	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	10	0	0	0	0	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	370	0	0	9	25	1	0	5	3	10	1	7	6	4	3	3	5	3	3	5	5	3	2	8	10	2	5	12	9	7	3	5	2	5	5	5	6	8	5	8	4	11	4	1	10	4	3	9	9	5	5	2	4	6	7	6	4	3	9	8	6	10	3	2	0	0	0	0	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	200	0	4	0	7	1	1	3	4	6	4	12	2	2	5	6	1	3	0	0	2	1	6	2	1	2	1	2	8	2	4	5	4	3	2	4	7	6	5	4	5	4	4	1	3	0	3	2	1	0	4	2	3	3	1	3	0	0	4	1	0	3	1	6	6	0	3	1	4					
14	Число погашенных открепительных удостоверений	870	10	15	11	5	9	20	15	17	10	9	13	14	6	17	17	15	17	17	15	15	17	18	12	10	18	15	8	11	13	17	15	18	15	15	15	14	12	15	12	11	9	16	19	10	6	17	11	11	15	15	18	16	14	13	14	16	17	11	12	14	10	7	8	0	0	0	0	23					
15	Число открепительных удостоверений выданных ТИК	40	0	0	0	0	10	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	"1. ""ЕДИНЕНИЕ"""	508	10	3	1	37	0	9	5	9	6	3	15	3	5	3	10	4	2	14	10	3	4	6	3	1	7	9	5	7	10	16	6	4	11	10	14	7	11	16	9	3	6	14	4	6	5	6	8	7	10	2	6	12	5	7	12	8	6	17	8	1	10	5	0	4	2	1	0	25					
		0.83%	2.02%	0.47%	0.14%	2.09%	0.0%	1.01%	0.55%	1.08%	0.66%	1.23%	1.78%	0.41%	1.18%	0.53%	0.98%	0.51%	0.23%	1.67%	1.35%	0.32%	0.35%	0.51%	0.27%	0.08%	0.69%	1.21%	0.45%	0.58%	0.82%	1.15%	0.67%	0.45%	1.03%	1.22%	1.08%	0.62%	0.90%	1.11%	0.82%	0.58%	0.53%	1.38%	0.46%	0.57%	0.87%	0.62%	0.88%	0.69%	1.04%	0.23%	0.50%	0.97%	0.56%	0.72%	1.13%	1.34%	1.18%	1.30%	0.60%	0.10%	1.22%	0.67%	0.0%	1.36%	1.53%	1.09%	0.0%	1.22%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1629	12	13	18	73	5	20	21	17	14	7	23	21	10	20	30	23	18	20	16	13	27	24	24	26	12	11	46	46	33	32	23	18	18	13	24	28	34	33	23	16	38	18	43	20	10	29	25	18	30	30	30	33	27	28	21	24	15	50	42	22	37	24	16	9	0	2	0	83					
		2.68%	2.42%	2.07%	2.54%	4.13%	1.19%	2.26%	2.32%	2.04%	1.55%	2.89%	2.74%	2.90%	2.36%	3.54%	2.95%	2.97%	2.08%	2.39%	2.16%	1.42%	2.41%	2.04%	2.22%	2.23%	1.19%	1.48%	4.15%	3.85%	2.71%	2.31%	2.59%	2.02%	1.68%	1.59%	1.85%	2.51%	2.78%	2.30%	2.10%	3.10%	3.36%	1.78%	5.0%	1.91%	1.74%	2.99%	2.78%	1.79%	3.12%	3.54%	2.53%	2.69%	3.04%	2.90%	1.98%	4.04%	2.95%	3.83%	3.16%	2.35%	4.53%	3.22%	5.29%	3.06%	0.0%	2.19%	0.0%	4.05%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2968	39	29	30	48	17	37	62	48	38	13	53	40	30	32	48	46	64	48	33	59	47	54	60	72	42	35	50	55	57	80	46	59	51	41	47	58	58	70	45	26	47	47	31	54	26	57	33	45	57	29	47	74	40	41	40	42	32	59	71	51	52	33	17	15	7	5	2	47					
		4.89%	7.89%	4.62%	4.23%	2.72%	4.04%	4.18%	6.85%	5.76%	4.22%	5.37%	6.32%	5.52%	7.10%	5.67%	4.72%	5.95%	7.41%	5.75%	4.46%	6.46%	4.20%	4.59%	5.56%	6.20%	4.16%	4.73%	4.51%	4.61%	4.68%	5.78%	5.19%	6.64%	4.78%	5.01%	3.63%	5.20%	4.75%	4.88%	4.11%	5.04%	4.15%	4.65%	3.60%	5.17%	4.54%	5.89%	3.67%	4.49%	5.93%	3.42%	3.97%	6.03%	4.50%	4.25%	3.78%	7.08%	6.31%	4.52%	5.35%	5.46%	6.38%	4.42%	5.62%	5.10%	5.38%	5.49%	6.89%	2.29%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3040	12	17	34	36	8	17	38	32	33	5	31	29	25	32	66	48	43	37	21	45	61	79	46	68	44	51	59	61	62	99	31	28	55	31	67	67	47	74	52	27	89	47	50	62	16	66	52	48	46	60	79	69	77	60	51	19	30	94	82	40	65	43	9	9	4	1	3	51					
		5.00%	2.42%	2.71%	4.80%	2.04%	1.90%	1.92%	4.20%	3.84%	3.67%	2.06%	3.69%	4.00%	5.92%	5.67%	6.49%	6.21%	4.98%	4.43%	2.84%	4.93%	5.45%	6.72%	4.26%	5.85%	4.36%	6.90%	5.32%	5.11%	5.09%	7.16%	3.50%	3.15%	5.15%	3.79%	5.17%	6.01%	3.84%	5.16%	4.75%	5.24%	7.87%	4.65%	5.81%	5.94%	2.79%	6.82%	5.78%	4.79%	4.79%	7.09%	6.67%	5.62%	8.67%	6.22%	4.82%	3.20%	5.91%	7.20%	6.17%	4.28%	7.97%	5.77%	2.98%	3.06%	3.07%	1.09%	10.34%	2.49%					
22	"5. ""За Русь Святую"""	299	6	3	5	7	4	3	2	4	3	2	8	1	4	1	11	6	1	8	4	9	2	5	6	5	1	1	5	3	7	7	4	5	7	2	6	6	3	5	5	0	3	3	6	3	0	4	3	3	7	4	5	5	6	8	13	3	5	8	6	4	9	3	1	2	0	0	0	8					
		0.49%	1.21%	0.47%	0.70%	0.39%	0.95%	0.33%	0.22%	0.48%	0.33%	0.82%	0.95%	0.13%	0.94%	0.17%	1.08%	0.77%	0.11%	0.95%	0.54%	0.98%	0.17%	0.42%	0.55%	0.43%	0.09%	0.13%	0.45%	0.25%	0.57%	0.50%	0.45%	0.56%	0.65%	0.24%	0.46%	0.53%	0.24%	0.34%	0.45%	0.0%	0.26%	0.29%	0.69%	0.28%	0.0%	0.41%	0.33%	0.29%	0.72%	0.47%	0.42%	0.40%	0.67%	0.82%	1.22%	0.50%	0.98%	0.61%	0.45%	0.42%	1.10%	0.40%	0.33%	0.68%	0.0%	0.0%	0.0%	0.39%					
23	"6. ""Объединенная Российская партия ""Русь"""	141	2	1	3	5	0	2	2	1	0	1	3	1	0	5	2	3	0	2	2	1	2	2	0	1	2	0	5	4	3	2	0	2	4	4	3	2	3	7	1	2	2	1	0	3	1	1	1	2	1	1	5	1	0	1	4	1	1	3	4	3	2	1	0	0	0	0	0	17					
		0.23%	0.40%	0.15%	0.42%	0.28%	0.0%	0.22%	0.22%	0.12%	0.0%	0.41%	0.35%	0.13%	0.0%	0.88%	0.19%	0.38%	0.0%	0.23%	0.27%	0.10%	0.17%	0.17%	0.0%	0.08%	0.19%	0.0%	0.45%	0.33%	0.24%	0.14%	0.0%	0.22%	0.37%	0.48%	0.23%	0.17%	0.24%	0.48%	0.09%	0.38%	0.17%	0.09%	0.0%	0.28%	0.17%	0.10%	0.11%	0.19%	0.10%	0.11%	0.42%	0.08%	0.0%	0.10%	0.37%	0.16%	0.19%	0.23%	0.30%	0.32%	0.24%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.83%					
24	"7. ""Новый курс - Автомобильная Россия"""	655	2	8	6	37	2	5	8	4	6	2	14	9	5	5	6	11	3	6	3	7	9	8	14	12	5	11	19	19	13	25	9	4	9	6	14	7	12	16	17	7	6	9	13	8	6	7	22	6	7	5	9	9	9	8	11	7	5	21	30	4	14	9	2	1	0	0	0	42					
		1.07%	0.40%	1.27%	0.84%	2.09%	0.47%	0.56%	0.88%	0.48%	0.66%	0.82%	1.67%	1.24%	1.18%	0.88%	0.59%	1.42%	0.34%	0.71%	0.40%	0.76%	0.80%	0.68%	1.29%	1.03%	0.49%	1.48%	1.71%	1.59%	1.06%	1.80%	1.01%	0.45%	0.84%	0.73%	1.08%	0.62%	0.98%	1.11%	1.55%	1.35%	0.53%	0.89%	1.51%	0.76%	1.04%	0.72%	2.44%	0.59%	0.72%	0.59%	0.76%	0.73%	1.01%	0.82%	1.04%	1.18%	0.98%	1.61%	2.26%	0.42%	1.71%	1.20%	0.66%	0.34%	0.0%	0.0%	0.0%	2.05%					
25	"8. ""Народно-республиканская партия России"""	66	3	1	2	4	0	1	2	0	1	1	0	2	0	0	0	1	0	0	1	0	0	0	0	2	1	0	3	2	1	2	1	1	3	1	1	0	1	3	0	1	0	0	1	3	3	2	0	1	1	1	0	2	1	0	0	0	1	2	1	0	3	1	0	0	0	0	0	1					
		0.10%	0.60%	0.15%	0.28%	0.22%	0.0%	0.11%	0.22%	0.0%	0.11%	0.41%	0.0%	0.27%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.17%	0.09%	0.0%	0.27%	0.16%	0.08%	0.14%	0.11%	0.11%	0.28%	0.12%	0.07%	0.0%	0.08%	0.20%	0.0%	0.19%	0.0%	0.0%	0.11%	0.28%	0.52%	0.20%	0.0%	0.09%	0.10%	0.11%	0.0%	0.16%	0.11%	0.0%	0.0%	0.0%	0.19%	0.15%	0.07%	0.0%	0.36%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.04%					
26	"9. ""Российская экологическая партия ""Зеленые"""	388	9	2	5	9	3	2	3	4	7	1	4	4	1	7	11	6	3	2	6	3	4	15	8	8	9	6	12	7	18	16	8	8	2	3	11	8	9	9	3	0	9	2	1	8	3	7	7	6	6	3	13	5	2	3	7	3	3	8	7	4	1	0	4	1	2	0	0	17					
		0.63%	1.82%	0.31%	0.70%	0.51%	0.71%	0.22%	0.33%	0.48%	0.77%	0.41%	0.47%	0.55%	0.23%	1.24%	1.08%	0.77%	0.34%	0.23%	0.81%	0.32%	0.35%	1.27%	0.74%	0.68%	0.89%	0.81%	1.08%	0.58%	1.48%	1.15%	0.90%	0.90%	0.18%	0.36%	0.85%	0.71%	0.73%	0.62%	0.27%	0.0%	0.79%	0.19%	0.11%	0.76%	0.52%	0.72%	0.77%	0.59%	0.62%	0.35%	1.09%	0.40%	0.22%	0.31%	0.66%	0.50%	0.59%	0.61%	0.52%	0.42%	0.12%	0.0%	1.32%	0.34%	1.53%	0.0%	0.0%	0.83%					
27	"10. ""Аграрная партия России"""	1726	13	30	14	18	16	28	26	25	19	7	39	25	18	11	25	21	28	21	24	29	48	34	31	41	35	21	24	52	28	44	27	28	29	17	26	30	44	29	37	15	23	32	18	30	12	25	26	36	39	30	38	4	34	27	22	24	19	34	46	40	12	27	14	5	2	3	0	27					
		2.84%	2.63%	4.78%	1.97%	1.02%	3.80%	3.16%	2.87%	3.00%	2.11%	2.89%	4.65%	3.45%	4.26%	1.95%	2.46%	2.72%	3.24%	2.51%	3.24%	3.17%	4.29%	2.89%	2.87%	3.53%	3.47%	2.84%	2.16%	4.36%	2.30%	3.18%	3.05%	3.15%	2.72%	2.08%	2.00%	2.69%	3.60%	2.02%	3.38%	2.91%	2.03%	3.16%	2.09%	2.87%	2.09%	2.58%	2.89%	3.59%	4.06%	3.54%	3.21%	0.32%	3.82%	2.80%	2.08%	4.04%	3.74%	2.60%	3.46%	4.28%	1.47%	3.62%	4.63%	1.70%	1.53%	3.29%	0.0%	1.31%					
28	"11. ""Истинные патриоты России"""	57	5	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	2	1	0	0	2	1	3	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	18					
		0.09%	1.01%	0.0%	0.0%	0.17%	0.0%	0.11%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.10%	0.08%	0.17%	0.09%	0.0%	0.0%	0.27%	0.09%	0.25%	0.0%	0.07%	0.11%	0.0%	0.09%	0.12%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.11%	0.0%	0.0%	0.20%	0.11%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.07%	0.0%	0.0%	0.13%	0.33%	0.34%	0.76%	0.0%	0.0%	0.87%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	654	2	2	6	16	2	4	10	7	12	2	7	6	4	6	10	6	4	10	6	15	10	22	13	18	10	5	19	18	6	10	8	9	24	10	14	11	23	20	14	3	14	13	8	17	8	13	10	13	6	11	16	13	10	8	5	1	3	13	15	13	12	5	3	0	2	0	0	18					
		1.07%	0.40%	0.31%	0.84%	0.90%	0.47%	0.45%	1.10%	0.84%	1.33%	0.82%	0.83%	0.82%	0.94%	1.06%	0.98%	0.77%	0.46%	1.19%	0.81%	1.64%	0.89%	1.87%	1.20%	1.55%	0.99%	0.67%	1.71%	1.51%	0.49%	0.72%	0.90%	1.01%	2.25%	1.22%	1.08%	0.98%	1.88%	1.39%	1.28%	0.58%	1.23%	1.28%	0.93%	1.62%	1.39%	1.34%	1.11%	1.29%	0.62%	1.30%	1.35%	1.06%	1.12%	0.82%	0.47%	0.16%	0.59%	0.99%	1.13%	1.39%	1.47%	0.67%	0.99%	0.0%	1.53%	0.0%	0.0%	0.87%					
30	"13. ""Демократическая партия России"""	108	2	1	1	8	0	4	1	0	1	1	0	3	2	1	1	4	1	2	0	0	3	0	2	3	0	1	1	2	0	5	1	2	3	5	0	0	2	3	2	1	0	3	2	0	1	2	0	1	2	0	0	1	1	4	2	2	1	3	1	1	1	3	0	0	0	1	0	7					
		0.17%	0.40%	0.15%	0.14%	0.45%	0.0%	0.45%	0.11%	0.0%	0.11%	0.41%	0.0%	0.41%	0.47%	0.17%	0.09%	0.51%	0.11%	0.23%	0.0%	0.0%	0.26%	0.0%	0.18%	0.25%	0.0%	0.13%	0.09%	0.16%	0.0%	0.36%	0.11%	0.22%	0.28%	0.61%	0.0%	0.0%	0.16%	0.20%	0.18%	0.19%	0.0%	0.29%	0.23%	0.0%	0.17%	0.20%	0.0%	0.09%	0.20%	0.0%	0.0%	0.08%	0.11%	0.41%	0.18%	0.33%	0.19%	0.23%	0.07%	0.10%	0.12%	0.40%	0.0%	0.0%	0.0%	1.09%	0.0%	0.34%					
31	"14. ""Великая Россия - Евразийский Союз"""	146	4	3	0	2	0	1	2	3	4	0	1	3	0	3	2	3	3	1	4	5	3	4	2	2	0	5	2	3	1	1	1	0	4	1	1	2	4	2	1	4	3	7	2	1	4	1	1	3	1	2	5	1	0	1	5	2	0	1	2	3	1	0	0	1	0	2	0	10					
		0.24%	0.80%	0.47%	0.0%	0.11%	0.0%	0.11%	0.22%	0.36%	0.44%	0.0%	0.11%	0.41%	0.0%	0.53%	0.19%	0.38%	0.34%	0.11%	0.54%	0.54%	0.26%	0.34%	0.18%	0.17%	0.0%	0.67%	0.18%	0.25%	0.08%	0.07%	0.11%	0.0%	0.37%	0.12%	0.07%	0.17%	0.32%	0.13%	0.09%	0.77%	0.26%	0.69%	0.23%	0.09%	0.69%	0.10%	0.11%	0.29%	0.10%	0.23%	0.42%	0.08%	0.0%	0.10%	0.47%	0.33%	0.0%	0.07%	0.15%	0.32%	0.12%	0.0%	0.0%	0.34%	0.0%	2.19%	0.0%	0.48%					
32	"15. ""Партия СЛОН"""	117	1	0	1	19	0	2	3	0	0	0	1	1	0	1	2	0	0	0	1	2	2	1	2	0	4	1	3	0	5	1	0	1	3	2	3	1	0	2	3	2	0	1	0	2	0	2	0	3	0	0	1	2	0	1	3	0	3	2	2	0	2	1	3	0	0	0	0	19					
		0.19%	0.20%	0.0%	0.14%	1.07%	0.0%	0.22%	0.33%	0.0%	0.0%	0.0%	0.11%	0.13%	0.0%	0.17%	0.19%	0.0%	0.0%	0.0%	0.13%	0.21%	0.17%	0.08%	0.18%	0.0%	0.39%	0.13%	0.27%	0.0%	0.41%	0.07%	0.0%	0.11%	0.28%	0.24%	0.23%	0.08%	0.0%	0.13%	0.27%	0.38%	0.0%	0.09%	0.0%	0.19%	0.0%	0.20%	0.0%	0.29%	0.0%	0.0%	0.08%	0.16%	0.0%	0.10%	0.28%	0.0%	0.59%	0.15%	0.15%	0.0%	0.24%	0.13%	0.99%	0.0%	0.0%	0.0%	0.0%	0.92%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7107	22	58	57	91	52	111	89	129	90	20	99	100	34	66	124	89	77	121	76	129	142	154	105	129	141	92	152	117	137	162	102	115	123	90	143	123	149	196	155	57	191	119	156	151	43	132	114	112	131	107	172	141	119	149	125	60	56	181	161	139	98	82	25	22	7	7	2	87					
		11.71%	4.45%	9.25%	8.05%	5.15%	12.38%	12.55%	9.84%	15.50%	10.01%	8.26%	11.81%	13.81%	8.05%	11.70%	12.20%	11.52%	8.92%	14.50%	10.28%	14.14%	12.70%	13.11%	9.73%	11.11%	13.98%	12.44%	13.73%	9.81%	11.26%	11.72%	11.52%	12.95%	11.53%	11.01%	11.05%	11.04%	12.20%	13.68%	14.18%	11.06%	16.90%	11.78%	18.13%	14.47%	7.51%	13.65%	12.68%	11.18%	13.64%	12.64%	14.53%	11.50%	13.40%	15.45%	11.82%	10.11%	11.04%	13.88%	12.13%	14.89%	12.02%	11.00%	8.27%	7.48%	5.38%	7.69%	6.89%	4.25%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	111	1	1	3	11	1	2	4	1	2	2	2	0	0	0	1	1	1	3	1	1	1	1	1	1	2	1	4	6	2	2	1	1	5	4	1	1	4	3	1	1	0	2	1	0	2	2	1	0	2	1	0	3	1	0	1	0	0	0	3	1	1	1	1	1	0	0	0	6					
		0.18%	0.20%	0.15%	0.42%	0.62%	0.23%	0.22%	0.44%	0.12%	0.22%	0.82%	0.23%	0.0%	0.0%	0.0%	0.09%	0.12%	0.11%	0.35%	0.13%	0.10%	0.08%	0.08%	0.09%	0.08%	0.19%	0.13%	0.36%	0.50%	0.16%	0.14%	0.11%	0.11%	0.46%	0.48%	0.07%	0.08%	0.32%	0.20%	0.09%	0.19%	0.0%	0.19%	0.11%	0.0%	0.34%	0.20%	0.11%	0.0%	0.20%	0.11%	0.0%	0.24%	0.11%	0.0%	0.09%	0.0%	0.0%	0.0%	0.22%	0.10%	0.12%	0.13%	0.33%	0.34%	0.0%	0.0%	0.0%	0.29%					
35	"18. ""ЛДПР"""	8458	55	94	104	293	52	123	127	114	150	32	122	74	54	77	136	85	108	113	101	99	148	166	175	157	133	113	100	159	190	190	152	122	138	107	259	144	151	192	167	72	123	155	71	117	89	150	140	139	128	98	161	185	106	136	116	108	71	137	145	109	78	71	45	30	24	17	6	555					
		13.93%	11.13%	14.99%	14.68%	16.60%	12.38%	13.91%	14.04%	13.70%	16.68%	13.22%	14.55%	10.22%	12.79%	13.65%	13.38%	11.01%	12.51%	13.54%	13.66%	10.85%	13.23%	14.13%	16.21%	13.52%	13.19%	15.29%	9.03%	13.33%	15.62%	13.74%	17.17%	13.73%	12.94%	13.09%	20.01%	12.92%	12.36%	13.40%	15.27%	13.98%	10.88%	15.34%	8.25%	11.21%	15.55%	15.51%	15.57%	13.88%	13.33%	11.58%	13.60%	15.08%	11.93%	14.10%	10.97%	18.21%	14.00%	10.50%	10.92%	11.68%	9.57%	9.53%	14.90%	10.20%	18.46%	18.68%	20.68%	27.11%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1351	7	8	18	18	9	14	18	19	24	8	13	18	8	12	24	15	18	16	20	20	26	17	23	22	39	25	22	24	47	28	22	20	31	29	31	28	43	33	27	15	25	31	19	24	8	20	16	27	18	14	32	32	15	13	24	7	15	23	36	22	15	14	4	6	4	1	1	26					
		2.22%	1.41%	1.27%	2.54%	1.02%	2.14%	1.58%	1.99%	2.28%	2.66%	3.30%	1.55%	2.48%	1.89%	2.12%	2.36%	1.94%	2.08%	1.91%	2.70%	2.19%	2.32%	1.44%	2.13%	1.89%	3.86%	3.38%	1.98%	2.01%	3.86%	2.02%	2.48%	2.25%	2.90%	3.54%	2.39%	2.51%	3.52%	2.30%	2.47%	2.91%	2.21%	3.06%	2.20%	2.30%	1.39%	2.06%	1.77%	2.69%	1.87%	1.65%	2.70%	2.61%	1.68%	1.34%	2.27%	1.18%	2.95%	1.76%	2.71%	2.35%	1.84%	1.87%	1.32%	2.04%	3.07%	1.09%	3.44%	1.27%					
