Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																		
Дата голосования: 18.09.2016																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Лискинская																																																																																																		
																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																		
																																																																																																		
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	565	5	5	10	10	10	10	10	10	10	10	5	5	5	5	5	5	8	8	0	5	5	9	15	7	5	8	10	9	10	7	10	10	5	10	5	5	5	10	15	3	10	10	10	18	8	5	1	10	8	3	5	2	5	5	5	0	2	5	14	3	5	5	3	5	10	10	10	5	10	5	5	3	0	3	5	2	5	5	3	3	5	8	5	10	2	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	339	4	1	9	7	8	5	7	2	10	1	5	4	3	4	1	5	5	8	0	4	5	5	9	1	2	8	5	3	10	1	10	7	1	10	3	5	1	10	9	1	2	10	10	18	6	3	1	8	8	2	1	1	2	1	1	0	0	5	14	1	4	1	0	0	3	2	4	0	1	5	0	0	0	0	0	2	4	1	0	1	2	8	4	4	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	282	3	2	4	7	6	1	6	2	7	3	8	2	0	3	5	1	10	2	0	3	4	2	6	4	1	0	1	5	3	2	15	0	1	1	0	2	2	1	1	3	1	4	1	4	4	7	0	6	3	2	0	2	5	4	3	48	3	0	2	1	9	0	2	4	2	0	0	0	5	0	1	1	3	2	3	0	5	0	0	1	1	3	3	2	2	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	226	1	4	1	3	2	5	3	8	0	9	0	1	2	1	4	0	3	0	0	1	0	4	6	6	3	0	5	6	0	6	0	3	4	0	2	0	4	0	6	2	8	0	0	0	2	2	0	2	0	1	4	1	3	4	4	0	2	0	0	2	1	4	3	5	7	8	6	5	9	0	5	3	0	3	5	0	1	4	3	2	3	0	1	6	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	106	3	2	2	4	2	1	5	0	3	0	0	1	1	0	1	2	2	0	0	1	3	0	3	2	1	1	2	4	3	2	5	6	0	5	2	1	3	2	0	0	15	2	0	3	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	275	3	8	2	1	0	0	6	14	3	2	13	1	10	0	0	1	2	4	2	18	1	9	13	0	1	2	5	1	8	2	16	12	0	8	0	0	1	7	2	1	0	0	4	0	0	0	1	6	3	2	0	0	2	5	3	1	1	2	6	4	6	1	2	4	4	1	0	0	0	8	0	4	0	0	1	4	0	1	2	3	5	3	1	2	1	1	2									
		0.49%	0.58%	1.63%	0.26%	0.11%	0.00%	0.00%	1.44%	1.47%	0.26%	0.70%	2.44%	0.10%	1.75%	0.00%	0.00%	0.11%	0.28%	1.01%	1.13%	2.06%	0.12%	1.00%	1.54%	0.00%	0.19%	0.29%	0.56%	0.16%	0.96%	0.34%	2.17%	1.49%	0.00%	1.87%	0.00%	0.00%	0.30%	0.71%	0.23%	0.54%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	1.03%	0.79%	0.42%	0.50%	0.00%	0.00%	0.24%	0.47%	0.32%	0.22%	0.24%	0.24%	0.45%	0.80%	0.73%	0.14%	0.30%	0.39%	0.87%	0.14%	0.00%	0.00%	0.00%	1.25%	0.00%	1.04%	0.00%	0.00%	0.21%	1.55%	0.00%	0.12%	0.25%	0.43%	0.67%	0.53%	0.13%	0.18%	0.36%	0.60%	0.62%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	499	3	18	1	1	1	1	11	33	0	4	19	2	8	1	3	0	4	16	1	10	0	2	17	0	10	3	0	2	19	10	14	12	0	8	2	0	5	9	2	0	0	0	2	0	3	11	1	15	13	3	0	0	15	13	19	0	2	1	5	3	0	2	3	9	11	25	0	14	0	7	0	5	0	0	2	0	3	3	3	19	9	3	3	4	1	1	14									
		0.89%	0.58%	3.66%	0.13%	0.11%	0.16%	0.10%	2.64%	3.47%	0.00%	1.39%	3.57%	0.20%	1.40%	0.20%	0.37%	0.00%	0.56%	4.05%	0.56%	1.15%	0.00%	0.22%	2.02%	0.00%	1.95%	0.44%	0.00%	0.33%	2.29%	1.72%	1.90%	1.49%	0.00%	1.87%	0.27%	0.00%	1.48%	0.91%	0.23%	0.00%	0.00%	0.00%	0.66%	0.00%	0.39%	1.61%	1.03%	1.97%	1.81%	0.74%	0.00%	0.00%	1.79%	1.23%	2.01%	0.00%	0.47%	0.12%	0.38%	0.60%	0.00%	0.28%	0.45%	0.88%	2.40%	3.52%	0.00%	2.58%	0.00%	1.09%	0.00%	1.31%	0.00%	0.00%	0.42%	0.00%	0.42%	0.36%	0.38%	2.72%	1.21%	0.53%	0.38%	0.35%	0.36%	0.60%	4.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	360	6	9	8	1	1	0	8	12	0	10	12	2	11	2	5	1	2	5	2	14	2	4	9	0	0	2	11	5	6	9	18	4	0	12	0	0	2	8	1	0	0	0	1	0	0	2	1	11	7	2	0	0	8	10	8	0	0	4	5	4	5	1	0	7	3	9	3	12	0	13	0	4	0	3	1	0	0	2	7	4	3	2	3	3	3	0	5									
		0.64%	1.16%	1.83%	1.03%	0.11%	0.16%	0.00%	1.92%	1.26%	0.00%	3.48%	2.26%	0.20%	1.93%	0.39%	0.62%	0.11%	0.28%	1.27%	1.13%	1.61%	0.24%	0.45%	1.07%	0.00%	0.00%	0.29%	1.23%	0.82%	0.72%	1.55%	2.44%	0.50%	0.00%	2.81%	0.00%	0.00%	0.59%	0.81%	0.11%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.29%	1.03%	1.45%	0.98%	0.50%	0.00%	0.00%	0.95%	0.95%	0.85%	0.00%	0.00%	0.47%	0.38%	0.80%	0.61%	0.14%	0.00%	0.69%	0.66%	1.27%	0.52%	2.21%	0.00%	2.03%	0.00%	1.04%	0.00%	0.74%	0.21%	0.00%	0.00%	0.24%	0.88%	0.57%	0.40%	0.35%	0.38%	0.26%	1.07%	0.00%	1.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	41453	391	280	475	703	503	888	169	717	876	137	232	761	328	398	610	717	518	167	135	532	634	675	394	486	359	486	678	471	594	437	310	567	520	173	589	374	277	866	718	150	435	327	245	91	635	558	63	466	544	334	645	284	630	752	735	365	361	704	1077	349	679	581	531	837	310	476	470	398	640	433	443	295	89	303	392	207	565	673	642	469	538	465	646	926	234	127	189									
		74.27%	75.48%	56.91%	61.13%	75.03%	80.10%	86.47%	40.53%	75.32%	77.04%	47.74%	43.61%	76.95%	57.44%	77.89%	76.06%	76.03%	72.96%	42.28%	76.27%	61.01%	75.12%	75.33%	46.74%	79.93%	69.98%	71.58%	76.01%	77.34%	71.48%	75.22%	42.01%	70.26%	78.20%	40.52%	79.38%	68.25%	82.20%	87.56%	81.41%	81.08%	80.86%	74.32%	80.59%	85.05%	82.68%	81.58%	64.95%	61.24%	75.87%	82.88%	80.02%	83.04%	75.18%	71.08%	77.78%	80.75%	84.94%	83.12%	81.10%	70.22%	82.30%	81.60%	80.21%	82.06%	67.69%	66.95%	81.03%	73.43%	80.50%	67.55%	81.14%	77.02%	83.96%	75.00%	82.53%	80.23%	80.03%	80.02%	80.96%	67.19%	72.31%	82.16%	81.16%	81.66%	83.27%	76.05%	58.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	126	2	4	2	1	0	0	0	2	1	2	4	1	3	1	0	0	2	3	0	11	0	1	13	0	1	1	2	1	5	1	9	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	20	0	2	0	0	1	1	3	1	0	3	1	1	0	0	0	0	0	1	1	0	0	0	0	2	1	1	1	1	0	0	0	0	1									
		0.23%	0.39%	0.81%	0.26%	0.11%	0.00%	0.00%	0.00%	0.21%	0.09%	0.70%	0.75%	0.10%	0.53%	0.20%	0.00%	0.00%	0.28%	0.76%	0.00%	1.26%	0.00%	0.11%	1.54%	0.00%	0.19%	0.15%	0.22%	0.16%	0.60%	0.17%	1.22%	0.25%	0.00%	0.23%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.36%	1.89%	0.00%	0.44%	0.00%	0.00%	0.08%	0.20%	0.36%	0.14%	0.00%	0.29%	0.22%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.94%	0.00%	0.00%	0.00%	0.00%	0.24%	0.13%	0.14%	0.13%	0.18%	0.00%	0.00%	0.00%	0.00%	0.31%									
24	"6. Политическая партия ""Гражданская Платформа"""	65	1	2	1	1	0	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0									
		0.12%	0.19%	0.41%	0.13%	0.11%	0.00%	0.00%	0.00%	0.32%	0.00%	0.35%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.12%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.50%	0.00%	0.00%	0.00%	0.09%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.10%	0.22%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	5.24%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2664	3	43	50	45	5	5	72	48	23	37	110	17	81	11	5	10	61	74	11	79	12	36	80	12	27	17	42	11	74	29	128	54	29	67	19	11	8	38	21	0	30	15	11	2	9	37	13	71	40	7	9	3	17	56	32	14	4	14	36	35	8	70	30	16	32	52	4	44	22	66	19	20	3	17	10	14	0	32	12	49	34	7	31	31	16	6	59									
		4.77%	0.58%	8.74%	6.44%	4.80%	0.80%	0.49%	17.27%	5.04%	2.02%	12.89%	20.68%	1.72%	14.19%	2.15%	0.62%	1.06%	8.59%	18.73%	6.21%	9.06%	1.42%	4.02%	9.49%	1.97%	5.26%	2.50%	4.71%	1.81%	8.90%	4.99%	17.34%	6.69%	4.36%	15.69%	2.56%	2.01%	2.37%	3.84%	2.38%	0.00%	5.58%	3.41%	3.62%	1.87%	1.17%	5.41%	13.40%	9.33%	5.58%	1.74%	1.12%	0.88%	2.03%	5.29%	3.39%	3.10%	0.94%	1.65%	2.71%	7.04%	0.97%	9.83%	4.53%	1.57%	6.99%	7.31%	0.69%	8.12%	2.77%	10.30%	3.48%	5.22%	2.83%	4.21%	2.11%	5.43%	0.00%	3.80%	1.51%	7.02%	4.57%	1.24%	3.89%	2.73%	5.69%	3.59%	18.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	98	1	1	1	1	1	0	2	5	1	0	3	1	2	0	0	0	0	0	0	8	0	2	7	0	0	2	0	0	3	6	3	5	0	7	0	0	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	5	7	0	0	0	4	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	2	2	1	0									
		0.18%	0.19%	0.20%	0.13%	0.11%	0.16%	0.00%	0.48%	0.53%	0.09%	0.00%	0.56%	0.10%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.22%	0.83%	0.00%	0.00%	0.29%	0.00%	0.00%	0.36%	1.03%	0.41%	0.62%	0.00%	1.64%	0.00%	0.00%	0.30%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.42%	0.00%	0.00%	0.00%	0.00%	0.47%	0.74%	0.00%	0.00%	0.00%	0.30%	0.20%	0.00%	0.14%	0.00%	0.20%	0.22%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.18%	0.71%	0.60%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	142	1	2	2	2	0	0	2	3	0	3	2	1	5	0	0	0	0	3	0	12	0	5	4	0	3	2	15	0	3	1	3	4	3	2	0	0	0	0	1	0	0	0	0	0	0	1	0	4	2	0	0	1	1	2	5	0	3	1	4	7	0	0	0	4	3	3	0	0	0	3	0	2	0	0	1	0	0	3	0	4	1	0	0	0	1	0	2									
		0.25%	0.19%	0.41%	0.26%	0.21%	0.00%	0.00%	0.48%	0.32%	0.00%	1.05%	0.38%	0.10%	0.88%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	1.38%	0.00%	0.56%	0.47%	0.00%	0.58%	0.29%	1.68%	0.00%	0.36%	0.17%	0.41%	0.50%	0.45%	0.47%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.53%	0.28%	0.00%	0.00%	0.29%	0.12%	0.19%	0.53%	0.00%	0.71%	0.12%	0.30%	1.41%	0.00%	0.00%	0.00%	0.39%	0.66%	0.42%	0.00%	0.00%	0.00%	0.47%	0.00%	0.52%	0.00%	0.00%	0.21%	0.00%	0.00%	0.36%	0.00%	0.57%	0.13%	0.00%	0.00%	0.00%	0.36%	0.00%	0.62%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	0	3	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	7	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	1	0	2	1	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.08%	0.00%	0.61%	0.00%	0.11%	0.00%	0.00%	0.00%	0.11%	0.00%	0.35%	0.19%	0.10%	0.18%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.14%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.12%	0.00%	0.30%	0.10%	0.66%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	156	2	5	2	0	1	0	2	3	3	1	8	2	2	0	2	1	0	6	0	12	0	0	6	0	0	0	0	0	7	2	7	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2	4	3	1	0	0	5	5	7	0	1	4	2	2	2	0	0	4	2	3	1	0	0	6	0	1	0	1	1	0	3	2	9	1	2	1	2	0	0	0	0									
		0.28%	0.39%	1.02%	0.26%	0.00%	0.16%	0.00%	0.48%	0.32%	0.26%	0.35%	1.50%	0.20%	0.35%	0.00%	0.25%	0.11%	0.00%	1.52%	0.00%	1.38%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.34%	0.95%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	2.06%	0.53%	0.42%	0.25%	0.00%	0.00%	0.60%	0.47%	0.74%	0.00%	0.24%	0.47%	0.15%	0.40%	0.24%	0.00%	0.00%	0.39%	0.44%	0.42%	0.17%	0.00%	0.00%	0.94%	0.00%	0.26%	0.00%	0.25%	0.21%	0.00%	0.42%	0.24%	1.13%	0.14%	0.27%	0.18%	0.25%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4731	38	83	126	81	52	29	96	78	99	54	84	96	93	41	81	117	101	93	20	99	110	66	134	45	101	93	48	59	72	47	161	66	32	102	57	137	21	43	45	17	36	46	33	2	31	38	8	72	81	19	72	17	65	80	25	24	5	27	37	29	36	17	25	18	58	73	48	53	58	74	29	13	2	41	20	10	27	46	32	48	52	40	29	51	18	17	32									
		8.48%	7.34%	16.87%	16.22%	8.64%	8.28%	2.82%	23.02%	8.19%	8.71%	18.82%	15.79%	9.71%	16.29%	8.02%	10.10%	12.41%	14.23%	23.54%	11.30%	11.35%	13.03%	7.37%	15.90%	7.40%	19.69%	13.70%	5.38%	9.69%	8.66%	8.09%	21.82%	8.18%	4.81%	23.89%	7.68%	25.00%	6.23%	4.35%	5.10%	9.19%	6.69%	10.45%	10.86%	1.87%	4.04%	5.56%	8.25%	9.46%	11.30%	4.71%	8.93%	4.97%	7.76%	7.56%	2.65%	5.31%	1.18%	3.19%	2.79%	5.84%	4.36%	2.39%	3.78%	1.76%	12.66%	10.27%	8.28%	9.78%	7.30%	11.54%	5.31%	3.39%	1.89%	10.15%	4.21%	3.88%	3.82%	5.47%	4.04%	6.88%	6.99%	7.07%	3.64%	4.50%	6.41%	10.18%	9.88%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	101	3	2	2	1	1	0	1	1	0	1	0	1	1	0	3	0	0	0	0	10	0	3	4	0	0	2	0	2	3	0	2	7	0	2	1	0	0	0	0	0	0	0	1	1	0	1	0	2	4	1	0	0	2	6	0	0	2	1	1	2	1	1	0	5	0	2	2	0	0	3	0	0	0	1	0	0	0	0	0	0	6	0	0	0	1	0	2									
		0.18%	0.58%	0.41%	0.26%	0.11%	0.16%	0.00%	0.24%	0.11%	0.00%	0.35%	0.00%	0.10%	0.18%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	0.33%	0.47%	0.00%	0.00%	0.29%	0.00%	0.33%	0.36%	0.00%	0.27%	0.87%	0.00%	0.47%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.93%	0.00%	0.15%	0.00%	0.26%	0.56%	0.25%	0.00%	0.00%	0.24%	0.57%	0.00%	0.00%	0.47%	0.12%	0.08%	0.40%	0.12%	0.14%	0.00%	0.49%	0.00%	0.28%	0.34%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.36%	0.00%	0.62%									
