Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
Наименование Избирательной комиссии:    Ефремовская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	449	7	8	5	8	5	10	9	12	12	8	8	5	11	5	8	8	14	5	8	11	8	8	8	8	4	11	8	8	8	10	5	5	7	5	5	5	10	5	5	5	5	10	8	5	2	5	5	5	5	5	5	5	5	5	8	5	5	11	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	320	7	8	5	8	2	10	9	11	11	6	8	1	10	3	7	8	14	2	8	11	8	8	6	3	4	11	8	5	8	10	0	0	6	0	1	3	6	2	4	0	2	7	8	0	0	2	2	1	0	3	3	3	1	1	8	5	2	11	3	5	3	2	0	0	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	269	6	12	3	8	2	11	8	7	8	14	15	6	9	3	5	0	8	3	8	7	6	3	8	2	2	5	8	5	7	1	2	3	0	2	0	3	3	1	4	1	2	0	5	3	1	3	2	4	2	1	3	3	1	0	0	0	1	7	1	5	3	1	1	4	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	129	0	0	0	0	3	0	0	1	1	2	0	4	1	2	1	0	0	3	0	0	0	0	2	5	0	0	0	3	0	0	5	5	1	5	4	2	4	3	1	5	3	3	0	5	2	3	3	4	5	2	2	2	4	4	0	0	3	0	2	0	2	3	5	5	1	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	2	3	1	0	1	2	1	2	2	1	1	0	1	1	1	1	4	3	1	0	0	1	1	0	1	1	3	2	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	4	13	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
18	1.Политическая партия «Аграрная партия России»	849	10	27	25	21	10	19	20	18	34	14	11	2	24	8	27	20	39	5	21	11	19	20	11	21	11	25	31	22	7	4	2	2	22	3	6	10	13	8	31	8	14	4	6	3	8	6	13	1	12	2	3	6	1	11	7	9	11	13	3	5	26	4	12	3	16	8					
		3.24%	2.29%	3.10%	5.06%	3.85%	4.13%	2.32%	3.23%	2.48%	4.01%	2.38%	2.43%	0.87%	3.60%	3.14%	3.49%	2.30%	3.72%	2.11%	3.07%	1.61%	3.41%	3.47%	2.30%	3.63%	1.93%	2.86%	3.79%	5.41%	2.86%	1.25%	0.98%	2.38%	7.19%	2.08%	3.77%	3.66%	2.36%	4.82%	10.16%	4.04%	6.11%	1.73%	2.35%	1.85%	3.52%	3.21%	4.73%	0.37%	4.86%	1.57%	1.75%	2.26%	0.93%	5.39%	3.38%	8.41%	2.76%	2.64%	1.23%	1.30%	7.18%	2.17%	6.90%	2.50%	4.78%	2.14%					
19	2.Всероссийская политическая партия «Гражданская Сила»	164	5	8	4	3	0	5	6	9	4	3	5	4	7	1	10	7	13	1	3	8	5	4	2	4	3	4	4	0	3	1	2	0	2	0	0	2	2	0	0	0	0	1	0	1	0	0	2	1	3	0	1	0	0	0	2	0	1	1	1	0	3	0	2	0	0	1					
		0.62%	1.15%	0.92%	0.81%	0.55%	0.00%	0.61%	0.97%	1.24%	0.47%	0.51%	1.10%	1.75%	1.05%	0.39%	1.29%	0.80%	1.24%	0.42%	0.44%	1.17%	0.90%	0.69%	0.42%	0.69%	0.53%	0.46%	0.49%	0.00%	1.22%	0.31%	0.98%	0.00%	0.65%	0.00%	0.00%	0.73%	0.36%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.62%	0.00%	0.00%	0.73%	0.37%	1.21%	0.00%	0.58%	0.00%	0.00%	0.00%	0.97%	0.00%	0.25%	0.20%	0.41%	0.00%	0.83%	0.00%	1.15%	0.00%	0.00%	0.27%					
20	3.Политическая партия «Демократическая партия России»	26	0	1	0	1	0	0	1	2	0	2	0	1	2	0	0	2	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0					
		0.10%	0.00%	0.11%	0.00%	0.18%	0.00%	0.00%	0.16%	0.28%	0.00%	0.34%	0.00%	0.44%	0.30%	0.00%	0.00%	0.23%	0.00%	0.42%	0.00%	0.00%	0.18%	0.17%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.18%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.20%	0.00%	0.00%	0.55%	0.00%	0.00%	0.83%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4593	94	179	89	109	48	150	139	160	158	127	81	38	102	58	137	189	150	35	192	137	131	111	114	133	155	170	149	54	25	26	27	7	41	8	21	26	66	18	56	12	6	28	24	23	97	22	40	49	54	11	38	33	18	20	37	26	48	61	27	24	29	19	23	10	50	54					
		17.50%	21.56%	20.55%	18.02%	20.00%	19.83%	18.34%	22.42%	22.07%	18.65%	21.56%	17.88%	16.59%	15.32%	22.75%	17.72%	21.70%	14.33%	14.77%	28.07%	20.09%	23.52%	19.27%	23.80%	22.97%	27.19%	19.47%	18.19%	13.27%	10.20%	8.10%	13.17%	8.33%	13.40%	5.56%	13.21%	9.52%	11.96%	10.84%	18.36%	6.06%	2.62%	12.12%	9.41%	14.20%	42.73%	11.76%	14.55%	18.15%	21.86%	8.66%	22.22%	12.41%	16.82%	9.80%	17.87%	24.30%	12.03%	12.37%	11.07%	6.22%	8.01%	10.33%	13.22%	8.33%	14.93%	14.48%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	164	3	7	5	4	1	5	0	6	5	1	2	0	4	0	8	9	9	2	3	1	1	7	6	7	4	7	6	1	3	5	0	0	1	0	0	1	1	1	4	0	0	0	0	0	0	2	1	1	1	0	0	0	11	4	1	0	0	6	0	0	2	0	2	0	1	2					
		0.62%	0.69%	0.80%	1.01%	0.73%	0.41%	0.61%	0.00%	0.83%	0.59%	0.17%	0.44%	0.00%	0.60%	0.00%	1.03%	1.03%	0.86%	0.84%	0.44%	0.15%	0.18%	1.22%	1.25%	1.21%	0.70%	0.80%	0.73%	0.25%	1.22%	1.56%	0.00%	0.00%	0.33%	0.00%	0.00%	0.37%	0.18%	0.60%	1.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.07%	0.36%	0.37%	0.40%	0.00%	0.00%	0.00%	10.28%	1.96%	0.48%	0.00%	0.00%	1.22%	0.00%	0.00%	0.55%	0.00%	1.15%	0.00%	0.30%	0.54%					
23	6.Политическая партия «Партия социальной справедливости»	44	1	1	0	2	0	1	2	0	2	1	1	1	0	2	1	4	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	3	1	0	0	0	0	0	1	0	1	0	0	3	0	2	0	0	0	0	0	1	2	0	1	0	0	1	0	1	0					
		0.17%	0.23%	0.11%	0.00%	0.37%	0.00%	0.12%	0.32%	0.00%	0.24%	0.17%	0.22%	0.44%	0.00%	0.78%	0.13%	0.46%	0.10%	0.42%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.18%	0.00%	0.12%	0.25%	0.00%	0.31%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.54%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.53%	0.00%	0.00%	1.21%	0.00%	1.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.41%	0.00%	0.26%	0.00%	0.00%	0.57%	0.00%	0.30%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1868	32	54	27	41	14	61	35	51	75	46	29	16	62	15	54	76	86	21	37	62	25	29	31	52	44	75	54	29	20	23	9	6	17	12	13	15	46	11	6	15	20	24	9	7	19	12	29	20	27	8	9	13	3	21	8	7	24	38	11	8	35	16	10	6	18	40					
		7.12%	7.34%	6.20%	5.47%	7.52%	5.79%	7.46%	5.65%	7.03%	8.85%	7.81%	6.40%	6.99%	9.31%	5.88%	6.99%	8.73%	8.21%	8.86%	5.41%	9.09%	4.49%	5.03%	6.47%	8.98%	7.72%	8.59%	6.59%	7.13%	8.16%	7.17%	4.39%	7.14%	5.56%	8.33%	8.18%	5.49%	8.33%	6.63%	1.97%	7.58%	8.73%	10.39%	3.53%	4.32%	8.37%	6.42%	10.55%	7.41%	10.93%	6.30%	5.26%	4.89%	2.80%	10.29%	3.86%	6.54%	6.02%	7.71%	4.51%	2.07%	9.67%	8.70%	5.75%	5.00%	5.37%	10.72%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2433	46	87	31	66	22	68	56	78	83	48	44	26	53	18	65	60	98	17	62	86	63	77	44	47	62	89	94	40	48	10	23	3	27	10	7	22	53	11	19	15	5	11	4	2	9	11	15	12	27	14	16	20	3	7	30	6	24	68	12	146	9	15	12	34	22	21					
		9.27%	10.55%	9.99%	6.28%	12.11%	9.09%	8.31%	9.03%	10.76%	9.80%	8.15%	9.71%	11.35%	7.96%	7.06%	8.41%	6.89%	9.36%	7.17%	9.06%	12.61%	11.31%	13.37%	9.19%	8.12%	10.88%	10.19%	11.48%	9.83%	19.59%	3.12%	11.22%	3.57%	8.82%	6.94%	4.40%	8.06%	9.60%	6.63%	6.23%	7.58%	2.18%	4.76%	1.57%	1.23%	3.96%	5.88%	5.45%	4.44%	10.93%	11.02%	9.36%	7.52%	2.80%	3.43%	14.49%	5.61%	6.02%	13.79%	4.92%	37.82%	2.49%	8.15%	6.90%	28.33%	6.57%	5.63%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	241	3	10	2	3	0	10	8	4	7	11	9	2	9	3	7	9	11	1	7	6	8	7	5	6	2	7	6	6	0	2	1	0	1	0	2	2	4	0	4	1	4	1	3	1	1	1	3	2	3	1	3	1	1	8	0	0	4	2	0	2	5	2	0	0	5	2					
		0.92%	0.69%	1.15%	0.40%	0.55%	0.00%	1.22%	1.29%	0.55%	0.83%	1.87%	1.99%	0.87%	1.35%	1.18%	0.91%	1.03%	1.05%	0.42%	1.02%	0.88%	1.44%	1.22%	1.04%	1.04%	0.35%	0.80%	0.73%	1.47%	0.00%	0.62%	0.49%	0.00%	0.33%	0.00%	1.26%	0.73%	0.72%	0.00%	1.31%	0.51%	1.75%	0.43%	1.18%	0.62%	0.44%	0.53%	1.09%	0.74%	1.21%	0.79%	1.75%	0.38%	0.93%	3.92%	0.00%	0.00%	1.00%	0.41%	0.00%	0.52%	1.38%	1.09%	0.00%	0.00%	1.49%	0.54%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	15483	233	474	304	286	141	486	336	390	457	328	256	134	397	150	447	487	624	150	349	358	285	306	254	298	279	481	459	250	136	247	139	65	190	109	110	194	359	111	185	146	179	162	206	124	90	130	171	181	113	90	99	190	70	132	121	58	283	296	189	197	246	126	111	65	221	243					
		58.99%	53.44%	54.42%	61.54%	52.48%	58.26%	59.41%	54.19%	53.79%	53.96%	55.69%	56.51%	58.52%	59.61%	58.82%	57.83%	55.91%	59.60%	63.29%	51.02%	52.49%	51.17%	53.13%	53.03%	51.47%	48.95%	55.10%	56.04%	61.43%	55.51%	76.95%	67.80%	77.38%	62.09%	75.69%	69.18%	71.06%	65.04%	66.87%	60.66%	73.74%	78.17%	70.13%	80.78%	76.54%	39.65%	69.52%	62.18%	67.04%	45.75%	70.87%	57.89%	71.43%	65.42%	64.71%	58.45%	54.21%	70.93%	60.04%	77.46%	51.04%	67.96%	68.48%	63.79%	54.17%	65.97%	65.15%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	187	7	17	7	3	4	8	10	4	13	7	5	3	4	0	8	2	9	3	4	4	9	5	3	3	4	2	9	2	1	2	0	0	3	0	0	1	0	1	0	1	1	0	3	0	1	1	0	1	0	0	0	0	0	1	0	0	0	3	1	2	1	1	1	0	1	1					
		0.71%	1.61%	1.95%	1.42%	0.55%	1.65%	0.98%	1.61%	0.55%	1.53%	1.19%	1.10%	1.31%	0.60%	0.00%	1.03%	0.23%	0.86%	1.27%	0.58%	0.59%	1.62%	0.87%	0.63%	0.52%	0.70%	0.23%	1.10%	0.49%	0.41%	0.62%	0.00%	0.00%	0.98%	0.00%	0.00%	0.37%	0.00%	0.60%	0.00%	0.51%	0.44%	0.00%	1.18%	0.00%	0.44%	0.53%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.61%	0.41%	0.52%	0.28%	0.54%	0.57%	0.00%	0.30%	0.27%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
