Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Озерская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887					
18	"1. ""ЕДИНЕНИЕ"""	180	6	2	3	6	8	7	9	7	2	6	2	6	3	16	8	3	5	15	4	6	4	3	5	5	15	3	11	10					
		1.24%	1.24%	0.94%	1.86%	1.23%	2.15%	1.32%	2.35%	1.03%	1.05%	0.94%	1.31%	0.71%	0.99%	1.78%	1.01%	1.37%	0.69%	1.57%	0.85%	1.15%	1.30%	0.44%	0.62%	1.70%	1.46%	1.06%	1.88%	1.93%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	226	4	0	1	6	2	13	2	10	0	9	2	17	2	16	12	9	6	12	1	10	3	9	28	8	27	4	8	5					
		1.56%	0.82%	0.0%	0.62%	1.23%	0.53%	2.45%	0.52%	1.47%	0.0%	1.41%	1.31%	2.01%	0.66%	1.78%	1.51%	4.12%	0.82%	1.25%	0.21%	1.91%	0.98%	1.34%	3.51%	2.73%	2.63%	1.41%	1.36%	0.96%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	381	6	5	10	7	16	13	7	29	2	11	3	18	12	31	29	4	31	17	9	12	11	17	15	9	22	6	13	16					
		2.63%	1.24%	2.36%	6.21%	1.44%	4.30%	2.45%	1.83%	4.27%	1.05%	1.73%	1.97%	2.13%	3.97%	3.46%	3.66%	1.83%	4.28%	1.78%	1.92%	2.30%	3.59%	2.54%	1.88%	3.07%	2.14%	2.12%	2.22%	3.08%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	437	5	4	2	7	9	9	13	19	6	14	4	31	13	48	17	4	28	34	19	20	11	26	24	8	33	5	15	9					
		3.02%	1.03%	1.89%	1.24%	1.44%	2.41%	1.69%	3.40%	2.79%	3.17%	2.20%	2.63%	3.67%	4.30%	5.36%	2.14%	1.83%	3.87%	3.56%	4.06%	3.83%	3.59%	3.88%	3.01%	2.73%	3.22%	1.77%	2.56%	1.73%					
22	"5. ""За Русь Святую"""	81	1	5	0	1	1	8	3	6	3	4	0	2	2	7	4	0	1	1	6	2	1	7	3	0	6	0	3	4					
		0.55%	0.20%	2.36%	0.0%	0.20%	0.26%	1.50%	0.78%	0.88%	1.58%	0.63%	0.0%	0.23%	0.66%	0.78%	0.50%	0.0%	0.13%	0.10%	1.28%	0.38%	0.32%	1.04%	0.37%	0.0%	0.58%	0.0%	0.51%	0.77%					
23	"6. ""Объединенная Российская партия ""Русь"""	47	0	2	0	1	2	2	0	4	0	4	0	2	5	2	3	1	2	0	1	0	1	1	0	1	2	0	5	6					
		0.32%	0.0%	0.94%	0.0%	0.20%	0.53%	0.37%	0.0%	0.58%	0.0%	0.63%	0.0%	0.23%	1.65%	0.22%	0.37%	0.45%	0.27%	0.0%	0.21%	0.0%	0.32%	0.14%	0.0%	0.34%	0.19%	0.0%	0.85%	1.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	145	5	7	1	4	2	7	6	5	2	5	1	5	2	7	4	2	2	7	8	9	10	3	6	2	13	6	11	3					
		1.00%	1.03%	3.31%	0.62%	0.82%	0.53%	1.32%	1.57%	0.73%	1.05%	0.78%	0.65%	0.59%	0.66%	0.78%	0.50%	0.91%	0.27%	0.73%	1.71%	1.72%	3.26%	0.44%	0.75%	0.68%	1.26%	2.12%	1.88%	0.57%					
25	"8. ""Народно-республиканская партия России"""	19	0	0	0	0	0	2	1	1	0	2	0	2	1	0	0	1	1	0	1	1	0	2	1	0	3	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.26%	0.14%	0.0%	0.31%	0.0%	0.23%	0.33%	0.0%	0.0%	0.45%	0.13%	0.0%	0.21%	0.19%	0.0%	0.29%	0.12%	0.0%	0.29%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	33	4	0	0	0	1	1	0	0	0	1	0	4	0	2	1	0	1	1	1	0	2	4	3	0	4	0	2	1					
		0.22%	0.82%	0.0%	0.0%	0.0%	0.26%	0.18%	0.0%	0.0%	0.0%	0.15%	0.0%	0.47%	0.0%	0.22%	0.12%	0.0%	0.13%	0.10%	0.21%	0.0%	0.65%	0.59%	0.37%	0.0%	0.39%	0.0%	0.34%	0.19%					
27	"10. ""Аграрная партия России"""	367	12	7	6	24	18	30	19	22	1	20	9	15	9	17	18	3	9	15	13	12	6	13	13	10	18	3	13	12					
		2.53%	2.48%	3.31%	3.72%	4.93%	4.83%	5.66%	4.97%	3.24%	0.52%	3.15%	5.92%	1.77%	2.98%	1.89%	2.27%	1.37%	1.24%	1.57%	2.78%	2.30%	1.96%	1.94%	1.63%	3.41%	1.75%	1.06%	2.22%	2.31%					
28	"11. ""Истинные патриоты России"""	12	1	0	0	1	0	1	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0					
		0.08%	0.20%	0.0%	0.0%	0.20%	0.0%	0.18%	0.52%	0.0%	0.0%	0.15%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	227	9	2	0	8	2	12	1	5	2	3	4	14	1	30	17	2	7	12	5	14	5	11	9	12	18	5	9	8					
		1.56%	1.86%	0.94%	0.0%	1.64%	0.53%	2.26%	0.26%	0.73%	1.05%	0.47%	2.63%	1.66%	0.33%	3.35%	2.14%	0.91%	0.96%	1.25%	1.07%	2.68%	1.63%	1.64%	1.13%	4.09%	1.75%	1.77%	1.54%	1.54%					
30	"13. ""Демократическая партия России"""	28	0	1	1	0	0	3	1	5	0	2	0	2	1	1	0	0	2	2	2	1	0	0	2	1	1	0	0	0					
		0.19%	0.0%	0.47%	0.62%	0.0%	0.0%	0.56%	0.26%	0.73%	0.0%	0.31%	0.0%	0.23%	0.33%	0.11%	0.0%	0.0%	0.27%	0.20%	0.42%	0.19%	0.0%	0.0%	0.25%	0.34%	0.09%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	0	0	0	0	0	1	0	4	0	0	0	3	1	3	0	1	0	2	1	0	0	2	0	0	0	0	0	1					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.58%	0.0%	0.0%	0.0%	0.35%	0.33%	0.33%	0.0%	0.45%	0.0%	0.20%	0.21%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%					
32	"15. ""Партия СЛОН"""	9	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	1	0					
		0.06%	0.0%	0.0%	0.0%	0.20%	0.0%	0.18%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.14%	0.0%	0.0%	0.19%	0.0%	0.17%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1223	26	12	9	37	49	65	30	48	18	59	19	62	24	65	64	25	65	92	42	52	15	53	74	21	102	18	46	31					
		8.45%	5.38%	5.68%	5.59%	7.61%	13.17%	12.26%	7.85%	7.06%	9.52%	9.30%	12.5%	7.35%	7.94%	7.26%	8.08%	11.46%	8.99%	9.63%	8.99%	9.98%	4.90%	7.92%	9.29%	7.16%	9.96%	6.38%	7.87%	5.98%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	44	2	1	3	1	2	6	0	1	0	3	2	3	1	6	3	0	0	0	0	0	0	4	0	0	4	0	1	1					
		0.30%	0.41%	0.47%	1.86%	0.20%	0.53%	1.13%	0.0%	0.14%	0.0%	0.47%	1.31%	0.35%	0.33%	0.67%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.39%	0.0%	0.17%	0.19%					
35	"18. ""ЛДПР"""	1742	65	18	15	61	29	65	34	85	28	62	13	133	31	112	82	24	66	107	48	58	33	90	112	48	141	44	73	65					
		12.04%	13.45%	8.53%	9.31%	12.55%	7.79%	12.26%	8.90%	12.51%	14.81%	9.77%	8.55%	15.77%	10.26%	12.51%	10.35%	11.00%	9.12%	11.20%	10.27%	11.13%	10.78%	13.45%	14.07%	16.38%	13.76%	15.60%	12.5%	12.54%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	327	9	0	1	11	4	14	8	20	8	14	2	22	4	15	20	3	10	22	9	6	5	13	17	10	23	5	16	36					
		2.26%	1.86%	0.0%	0.62%	2.26%	1.07%	2.64%	2.09%	2.94%	4.23%	2.20%	1.31%	2.60%	1.32%	1.67%	2.52%	1.37%	1.38%	2.30%	1.92%	1.15%	1.63%	1.94%	2.13%	3.41%	2.24%	1.77%	2.73%	6.94%					
37	"20. ""Политическая партия ""Единая Россия"""	6384	188	104	96	240	160	187	170	310	90	260	68	367	133	365	352	102	320	460	229	223	142	315	364	112	437	136	233	221					
		44.12%	38.92%	49.28%	59.62%	49.38%	43.01%	35.28%	44.50%	45.65%	47.61%	41.00%	44.73%	43.53%	44.03%	40.78%	44.44%	46.78%	44.26%	48.16%	49.03%	42.80%	46.40%	47.08%	45.72%	38.22%	42.67%	48.22%	39.89%	42.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	23	2	2	0	1	0	2	1	0	0	0	0	0	0	5	0	0	0	1	0	0	1	0	3	1	3	1	0	0					
		0.15%	0.41%	0.94%	0.0%	0.20%	0.0%	0.37%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.32%	0.0%	0.37%	0.34%	0.29%	0.35%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	29	1	0	0	0	0	1	1	2	0	2	0	0	0	0	0	0	0	3	1	0	1	1	3	0	9	1	2	1					
		0.20%	0.20%	0.0%	0.0%	0.0%	0.0%	0.18%	0.26%	0.29%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.21%	0.0%	0.32%	0.14%	0.37%	0.0%	0.87%	0.35%	0.34%	0.19%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1541	91	23	9	37	31	34	51	57	15	100	10	80	32	73	114	28	117	96	48	50	31	63	64	32	80	27	85	63					
		10.65%	18.84%	10.90%	5.59%	7.61%	8.33%	6.41%	13.35%	8.39%	7.93%	15.77%	6.57%	9.48%	10.59%	8.15%	14.39%	12.84%	16.18%	10.05%	10.27%	9.59%	10.13%	9.41%	8.04%	10.92%	7.81%	9.57%	14.55%	12.16%					
																																			
41	Против всех	657	37	6	2	19	19	29	12	29	10	27	8	46	17	49	31	6	33	46	13	38	14	21	41	8	50	8	23	15					
		4.54%	7.66%	2.84%	1.24%	3.90%	5.10%	5.47%	3.14%	4.27%	5.29%	4.25%	5.26%	5.45%	5.62%	5.47%	3.91%	2.75%	4.56%	4.81%	2.78%	7.29%	4.57%	3.13%	5.15%	2.73%	4.88%	2.83%	3.93%	2.89%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
