Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Усть-Лабинская																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК  5601	УИК  5602	УИК  5603	УИК  5604	УИК  5605	УИК  5606	УИК  5607	УИК  5608	УИК  5609	УИК  5610	УИК  5611	УИК  5612	УИК  5613	УИК  5614	УИК  5615	УИК  5616	УИК  5617	УИК  5618	УИК  5619	УИК  5620	УИК  5621	УИК  5622	УИК  5623	УИК  5624	УИК  5625	УИК  5626	УИК  5627	УИК  5628	УИК  5629	УИК  5630	УИК  5631	УИК  5632	УИК  5633	УИК  5634	УИК  5635	УИК  5636	УИК  5637	УИК  5638	УИК  5639	УИК  5640	УИК  5641	УИК  5642	УИК  5643	УИК  5644	УИК  5645	УИК  5646	УИК  5647	УИК  5648	УИК  5649	УИК  5650	УИК  5651	УИК  5652	УИК  5653	УИК  5654	УИК  5655	УИК  5656	УИК  5657	УИК  5658					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	698	20	18	17	15	14	10	11	14	12	12	16	13	10	17	10	17	12	16	12	0	10	14	6	8	5	12	7	7	7	10	8	11	13	12	8	17	16	17	12	5	7	16	15	20	20	13	15	13	9	12	15	5	8	12	12	5	13	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	132	6	3	2	6	1	1	1	3	4	3	7	7	2	2	2	4	1	7	5	0	0	3	0	2	0	4	0	1	0	2	2	4	2	6	1	4	0	1	1	0	0	1	1	3	5	1	4	1	0	3	2	0	0	0	5	0	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	120	3	2	1	0	4	4	2	4	5	2	7	2	2	0	5	2	0	2	3	0	3	3	0	6	2	1	0	1	0	1	1	0	3	0	0	7	4	1	1	0	0	2	0	0	11	3	1	1	2	0	5	0	0	0	3	0	4	4					
14	Число погашенных открепительных удостоверений	566	14	15	15	9	13	9	10	11	8	9	9	6	8	15	8	13	11	9	7	0	10	11	6	6	5	8	7	6	7	8	6	7	11	6	7	13	16	16	11	5	7	15	14	17	15	12	11	12	9	9	13	5	8	12	7	5	12	12					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	"1. ""ЕДИНЕНИЕ"""	321	7	6	4	5	8	1	5	2	5	8	4	6	9	4	6	4	2	4	6	0	7	7	3	0	1	6	1	3	1	2	2	2	16	8	3	1	3	9	3	6	4	10	6	11	7	15	10	7	3	9	9	3	2	16	10	2	7	10					
		0.73%	0.51%	0.49%	0.36%	0.46%	0.96%	0.18%	0.71%	0.24%	0.89%	1.25%	0.41%	0.88%	1.84%	0.37%	1.20%	0.34%	0.32%	0.37%	0.70%	0.0%	1.37%	0.63%	1.33%	0.0%	0.53%	0.79%	0.37%	1.03%	0.39%	0.28%	0.53%	0.30%	1.93%	1.02%	0.60%	0.10%	0.29%	0.94%	0.36%	3.26%	1.68%	0.91%	0.61%	0.84%	0.56%	1.60%	0.88%	0.79%	0.44%	1.12%	0.77%	1.48%	0.58%	1.54%	1.28%	1.18%	0.64%	0.87%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	439	10	19	13	10	9	15	8	18	15	9	20	15	8	11	9	24	7	7	13	1	7	14	1	5	2	6	0	0	2	5	1	4	2	6	1	3	4	5	8	0	0	9	7	17	7	3	10	22	4	3	10	0	0	7	8	0	11	4					
		1.00%	0.72%	1.57%	1.17%	0.93%	1.08%	2.75%	1.14%	2.20%	2.68%	1.40%	2.06%	2.21%	1.63%	1.03%	1.80%	2.09%	1.12%	0.64%	1.51%	0.27%	1.37%	1.27%	0.44%	1.29%	1.06%	0.79%	0.0%	0.0%	0.78%	0.72%	0.26%	0.61%	0.24%	0.77%	0.20%	0.30%	0.39%	0.52%	0.98%	0.0%	0.0%	0.81%	0.72%	1.30%	0.56%	0.32%	0.88%	2.48%	0.59%	0.37%	0.86%	0.0%	0.0%	0.67%	1.02%	0.0%	1.01%	0.34%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	639	16	11	12	22	14	3	16	18	11	8	12	13	8	17	9	24	11	23	18	2	5	13	2	1	4	4	3	0	15	12	5	1	9	8	5	16	21	24	11	0	0	9	24	16	24	7	17	7	3	9	14	5	7	12	14	3	14	27					
		1.46%	1.16%	0.90%	1.08%	2.06%	1.68%	0.55%	2.28%	2.20%	1.96%	1.25%	1.23%	1.92%	1.63%	1.59%	1.80%	2.09%	1.76%	2.12%	2.10%	0.54%	0.98%	1.17%	0.88%	0.25%	2.12%	0.53%	1.12%	0.0%	5.85%	1.73%	1.32%	0.15%	1.08%	1.02%	1.00%	1.61%	2.07%	2.52%	1.35%	0.0%	0.0%	0.81%	2.47%	1.23%	1.92%	0.74%	1.51%	0.79%	0.44%	1.12%	1.20%	2.47%	2.04%	1.15%	1.79%	1.77%	1.29%	2.35%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	638	34	32	23	16	9	6	12	19	13	10	29	25	16	20	7	17	12	29	17	0	8	18	3	2	4	5	5	1	0	11	1	2	8	14	4	9	7	11	3	1	0	14	13	30	20	12	11	7	1	5	21	2	3	7	5	3	8	13					
		1.46%	2.48%	2.64%	2.08%	1.49%	1.08%	1.10%	1.71%	2.32%	2.32%	1.56%	2.99%	3.69%	3.27%	1.88%	1.40%	1.48%	1.92%	2.68%	1.98%	0.0%	1.56%	1.63%	1.33%	0.51%	2.12%	0.66%	1.87%	0.34%	0.0%	1.58%	0.26%	0.30%	0.96%	1.79%	0.80%	0.90%	0.69%	1.15%	0.36%	0.54%	0.0%	1.27%	1.33%	2.31%	1.60%	1.28%	0.97%	0.79%	0.14%	0.62%	1.81%	0.99%	0.87%	0.67%	0.64%	1.77%	0.73%	1.13%					
22	"5. ""За Русь Святую"""	212	5	6	2	4	3	3	1	7	2	5	7	4	4	6	8	3	3	4	4	0	5	3	0	3	1	6	1	2	0	4	6	2	4	3	7	3	6	4	11	3	1	0	2	1	8	5	4	1	1	0	2	3	1	5	2	0	11	10					
		0.48%	0.36%	0.49%	0.18%	0.37%	0.36%	0.55%	0.14%	0.85%	0.35%	0.78%	0.72%	0.59%	0.81%	0.56%	1.60%	0.26%	0.48%	0.37%	0.46%	0.0%	0.98%	0.27%	0.0%	0.77%	0.53%	0.79%	0.37%	0.69%	0.0%	0.57%	1.59%	0.30%	0.48%	0.38%	1.40%	0.30%	0.59%	0.42%	1.35%	1.63%	0.42%	0.0%	0.20%	0.07%	0.64%	0.53%	0.35%	0.11%	0.14%	0.0%	0.17%	1.48%	0.29%	0.48%	0.25%	0.0%	1.01%	0.87%					
23	"6. ""Объединенная Российская партия ""Русь"""	118	2	3	2	11	4	2	0	1	1	6	1	0	1	1	0	1	4	5	4	0	2	2	1	4	0	1	2	0	0	1	0	1	7	0	1	1	0	5	1	0	0	4	5	4	3	2	4	2	2	2	3	0	0	2	1	1	3	2					
		0.27%	0.14%	0.24%	0.18%	1.03%	0.48%	0.36%	0.0%	0.12%	0.17%	0.93%	0.10%	0.0%	0.20%	0.09%	0.0%	0.08%	0.64%	0.46%	0.46%	0.0%	0.39%	0.18%	0.44%	1.03%	0.0%	0.13%	0.75%	0.0%	0.0%	0.14%	0.0%	0.15%	0.84%	0.0%	0.20%	0.10%	0.0%	0.52%	0.12%	0.0%	0.0%	0.36%	0.51%	0.30%	0.24%	0.21%	0.35%	0.22%	0.29%	0.25%	0.25%	0.0%	0.0%	0.19%	0.12%	0.59%	0.27%	0.17%					
24	"7. ""Новый курс - Автомобильная Россия"""	347	10	11	13	10	5	5	5	2	6	7	11	7	3	8	2	9	5	5	14	0	2	6	1	5	0	3	0	0	1	4	4	0	4	3	1	9	5	3	3	0	1	15	7	12	4	6	7	44	8	4	9	0	3	6	7	0	12	10					
		0.79%	0.72%	0.90%	1.17%	0.93%	0.60%	0.91%	0.71%	0.24%	1.07%	1.09%	1.13%	1.03%	0.61%	0.75%	0.40%	0.78%	0.80%	0.46%	1.63%	0.0%	0.39%	0.54%	0.44%	1.29%	0.0%	0.39%	0.0%	0.0%	0.39%	0.57%	1.06%	0.0%	0.48%	0.38%	0.20%	0.90%	0.49%	0.31%	0.36%	0.0%	0.42%	1.36%	0.72%	0.92%	0.32%	0.64%	0.62%	4.97%	1.18%	0.50%	0.77%	0.0%	0.87%	0.57%	0.89%	0.0%	1.10%	0.87%					
25	"8. ""Народно-республиканская партия России"""	48	3	1	2	2	0	0	4	0	1	0	1	0	0	2	3	0	0	2	2	1	0	1	0	1	0	3	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	2	1	1	3	3	0	1	0	0	2	0	0	0	0	0	0	1					
		0.11%	0.21%	0.08%	0.18%	0.18%	0.0%	0.0%	0.57%	0.0%	0.17%	0.0%	0.10%	0.0%	0.0%	0.18%	0.60%	0.0%	0.0%	0.18%	0.23%	0.27%	0.0%	0.09%	0.0%	0.25%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.26%	0.15%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.18%	0.10%	0.07%	0.24%	0.32%	0.0%	0.11%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%					
26	"9. ""Российская экологическая партия ""Зеленые"""	86	1	10	0	0	2	2	3	0	1	4	2	1	2	2	0	2	1	1	5	0	1	2	0	0	1	3	0	0	0	1	0	0	1	2	0	1	3	4	4	3	0	2	2	1	3	0	1	1	2	1	2	0	0	1	0	0	4	1					
		0.19%	0.07%	0.82%	0.0%	0.0%	0.24%	0.36%	0.42%	0.0%	0.17%	0.62%	0.20%	0.14%	0.40%	0.18%	0.0%	0.17%	0.16%	0.09%	0.58%	0.0%	0.19%	0.18%	0.0%	0.0%	0.53%	0.39%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.12%	0.25%	0.0%	0.10%	0.29%	0.42%	0.49%	1.63%	0.0%	0.18%	0.20%	0.07%	0.24%	0.0%	0.08%	0.11%	0.29%	0.12%	0.17%	0.0%	0.0%	0.09%	0.0%	0.0%	0.36%	0.08%					
27	"10. ""Аграрная партия России"""	1565	20	57	33	32	20	11	10	17	14	25	19	25	19	42	13	21	14	28	14	8	14	28	3	15	6	42	4	20	17	28	40	49	20	40	21	25	40	49	37	3	3	58	41	44	43	24	37	0	44	15	52	5	8	43	46	6	62	91					
		3.59%	1.45%	4.71%	2.99%	2.99%	2.40%	2.01%	1.43%	2.08%	2.50%	3.91%	1.96%	3.69%	3.89%	3.95%	2.61%	1.83%	2.25%	2.59%	1.63%	2.17%	2.74%	2.54%	1.33%	3.89%	3.19%	5.58%	1.50%	6.92%	6.64%	4.04%	10.63%	7.53%	2.41%	5.13%	4.22%	2.51%	3.94%	5.15%	4.54%	1.63%	1.26%	5.28%	4.22%	3.38%	3.44%	2.56%	3.28%	0.0%	6.49%	1.88%	4.48%	2.47%	2.33%	4.14%	5.89%	3.55%	5.71%	7.92%					
28	"11. ""Истинные патриоты России"""	25	1	0	0	1	0	0	1	0	0	0	0	0	1	3	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	1	1					
		0.05%	0.07%	0.0%	0.0%	0.09%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.28%	0.0%	0.34%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.08%	0.49%	0.0%	0.0%	0.12%	0.0%	0.09%	0.08%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	369	13	7	7	9	9	6	11	19	12	11	9	10	3	8	3	12	7	12	13	0	7	9	0	0	3	4	0	0	1	5	3	1	5	5	5	7	2	16	7	0	1	7	8	12	6	2	15	5	5	8	8	0	1	4	5	0	10	11					
		0.84%	0.94%	0.57%	0.63%	0.84%	1.08%	1.10%	1.57%	2.32%	2.14%	1.72%	0.92%	1.47%	0.61%	0.75%	0.60%	1.04%	1.12%	1.11%	1.51%	0.0%	1.37%	0.81%	0.0%	0.0%	1.59%	0.53%	0.0%	0.0%	0.39%	0.72%	0.79%	0.15%	0.60%	0.64%	1.00%	0.70%	0.19%	1.68%	0.85%	0.0%	0.42%	0.63%	0.82%	0.92%	0.48%	0.21%	1.33%	0.56%	0.73%	1.00%	0.68%	0.0%	0.29%	0.38%	0.64%	0.0%	0.92%	0.95%					
30	"13. ""Демократическая партия России"""	57	1	3	0	0	4	0	0	0	0	0	3	1	0	3	0	0	1	0	1	0	1	1	0	0	2	0	0	0	1	1	0	0	0	0	0	1	1	0	2	1	0	0	0	2	4	2	1	5	2	0	0	1	0	5	1	0	2	4					
		0.13%	0.07%	0.24%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.14%	0.0%	0.28%	0.0%	0.0%	0.16%	0.0%	0.11%	0.0%	0.19%	0.09%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.39%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.09%	0.0%	0.24%	0.54%	0.0%	0.0%	0.0%	0.15%	0.32%	0.21%	0.08%	0.56%	0.29%	0.0%	0.0%	0.49%	0.0%	0.48%	0.12%	0.0%	0.18%	0.34%					
31	"14. ""Великая Россия - Евразийский Союз"""	65	2	1	0	2	0	1	2	1	0	0	0	2	1	2	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	3	1	0	2	2	1	5	1	1	0	1	0	5	1	1	4	0	2	11	2					
		0.14%	0.14%	0.08%	0.0%	0.18%	0.0%	0.18%	0.28%	0.12%	0.0%	0.0%	0.0%	0.29%	0.20%	0.18%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.40%	0.0%	0.0%	0.0%	0.36%	0.54%	0.0%	0.18%	0.20%	0.07%	0.40%	0.10%	0.08%	0.0%	0.14%	0.0%	0.43%	0.49%	0.29%	0.38%	0.0%	1.18%	1.01%	0.17%					
32	"15. ""Партия СЛОН"""	26	2	2	0	3	1	0	0	3	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0					
		0.05%	0.14%	0.16%	0.0%	0.28%	0.12%	0.0%	0.0%	0.36%	0.0%	0.15%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.10%	0.0%	0.0%	0.0%	0.0%	0.42%	0.18%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4147	200	135	173	127	133	60	71	97	67	57	125	46	42	137	51	150	70	146	89	1	50	101	11	34	12	91	29	13	22	57	29	41	43	63	42	79	80	61	29	8	5	84	68	140	117	79	101	77	39	93	123	6	30	40	32	7	63	171					
		9.52%	14.59%	11.16%	15.68%	11.90%	16.02%	11.00%	10.15%	11.87%	11.98%	8.92%	12.91%	6.80%	8.60%	12.88%	10.24%	13.08%	11.25%	13.51%	10.39%	0.27%	9.80%	9.16%	4.88%	8.83%	6.38%	12.10%	10.90%	4.49%	8.59%	8.23%	7.71%	6.30%	5.18%	8.08%	8.45%	7.95%	7.89%	6.41%	3.56%	4.34%	2.10%	7.65%	7.00%	10.78%	9.38%	8.43%	8.97%	8.70%	5.76%	11.66%	10.60%	2.97%	8.77%	3.85%	4.10%	4.14%	5.80%	14.89%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	66	0	0	2	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	2	1	0	5	0	2	2	1	1	1	4	0	0	1	0	0	1	0	4	0	4	0	0	2	1	6	1	2	1	0	3	2	2	0	0	2	2	1	1	2					
		0.15%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.14%	0.12%	0.0%	0.0%	0.10%	0.14%	0.0%	0.09%	0.0%	0.08%	0.16%	0.0%	0.23%	0.27%	0.0%	0.45%	0.0%	0.51%	1.06%	0.13%	0.37%	0.34%	1.56%	0.0%	0.0%	0.15%	0.0%	0.0%	0.20%	0.0%	0.39%	0.0%	0.49%	0.0%	0.0%	0.18%	0.10%	0.46%	0.08%	0.21%	0.08%	0.0%	0.44%	0.25%	0.17%	0.0%	0.0%	0.19%	0.25%	0.59%	0.09%	0.17%					
35	"18. ""ЛДПР"""	5618	248	176	184	173	108	89	87	88	72	102	111	94	49	106	68	165	104	155	132	19	70	145	26	63	22	95	35	24	33	110	49	108	77	103	75	133	124	155	115	26	33	165	111	156	87	92	149	81	72	52	136	45	41	105	110	17	131	117					
		12.90%	18.10%	14.55%	16.68%	16.21%	13.01%	16.33%	12.44%	10.77%	12.88%	15.96%	11.46%	13.90%	10.04%	9.97%	13.65%	14.39%	16.72%	14.35%	15.42%	5.17%	13.72%	13.15%	11.55%	16.36%	11.70%	12.63%	13.15%	8.30%	12.89%	15.89%	13.03%	16.61%	9.28%	13.22%	15.09%	13.39%	12.24%	16.29%	14.12%	14.13%	13.86%	15.02%	11.43%	12.01%	6.97%	9.81%	13.24%	9.15%	10.63%	6.52%	11.72%	22.27%	11.98%	10.11%	14.10%	10.05%	12.07%	10.19%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	673	14	23	11	13	20	7	6	13	3	15	24	9	2	15	10	32	9	8	20	2	5	18	2	11	3	5	3	2	1	10	2	15	17	10	10	12	12	12	9	3	4	5	16	29	56	21	18	16	5	3	17	5	6	15	7	1	9	22					
		1.54%	1.02%	1.90%	0.99%	1.21%	2.40%	1.28%	0.85%	1.59%	0.53%	2.34%	2.47%	1.33%	0.40%	1.41%	2.00%	2.79%	1.44%	0.74%	2.33%	0.54%	0.98%	1.63%	0.88%	2.85%	1.59%	0.66%	1.12%	0.69%	0.39%	1.44%	0.53%	2.30%	2.05%	1.28%	2.01%	1.20%	1.18%	1.26%	1.10%	1.63%	1.68%	0.45%	1.64%	2.23%	4.49%	2.24%	1.6%	1.80%	0.73%	0.37%	1.46%	2.47%	1.75%	1.44%	0.89%	0.59%	0.82%	1.91%					
37	"20. ""Политическая партия ""Единая Россия"""	17428	551	445	390	345	283	210	296	268	218	216	371	250	183	386	200	432	227	381	324	294	200	519	55	176	94	320	138	149	70	241	158	265	339	292	186	346	269	295	367	56	124	282	320	592	544	456	553	396	338	360	468	103	141	661	423	91	432	339					
		40.01%	40.21%	36.80%	35.35%	32.33%	34.09%	38.53%	42.34%	32.80%	38.99%	33.80%	38.32%	36.98%	37.5%	36.31%	40.16%	37.69%	36.49%	35.27%	37.85%	80.10%	39.21%	47.09%	24.44%	45.71%	50.0%	42.55%	51.87%	51.55%	27.34%	34.82%	42.02%	40.76%	40.89%	37.48%	37.42%	34.84%	26.55%	31.01%	45.08%	30.43%	52.10%	25.68%	32.95%	45.60%	43.62%	48.66%	49.15%	44.74%	49.92%	45.16%	40.34%	50.99%	41.22%	63.68%	54.23%	53.84%	39.81%	29.52%					
38	"21. ""Российская Конституционно-демократическая партия"""	68	2	1	0	3	0	0	0	1	0	1	0	0	0	3	1	0	0	1	1	1	0	1	0	0	0	1	1	2	0	1	0	2	2	3	2	5	1	2	3	0	0	1	1	2	2	6	0	1	2	2	0	2	1	0	1	1	2	3					
		0.15%	0.14%	0.08%	0.0%	0.28%	0.0%	0.0%	0.0%	0.12%	0.0%	0.15%	0.0%	0.0%	0.0%	0.28%	0.20%	0.0%	0.0%	0.09%	0.11%	0.27%	0.0%	0.09%	0.0%	0.0%	0.0%	0.13%	0.37%	0.69%	0.0%	0.14%	0.0%	0.30%	0.24%	0.38%	0.40%	0.50%	0.09%	0.21%	0.36%	0.0%	0.0%	0.09%	0.10%	0.15%	0.16%	0.64%	0.0%	0.11%	0.29%	0.25%	0.0%	0.99%	0.29%	0.0%	0.12%	0.59%	0.18%	0.26%					
39	"22. ""Развитие предпринимательства"""	92	3	2	2	5	3	3	1	2	3	1	0	1	3	5	0	2	1	1	5	0	1	1	0	0	0	1	1	0	1	2	0	0	1	0	0	3	3	2	5	0	0	3	5	2	7	3	0	0	2	0	2	0	1	0	0	0	1	2					
		0.21%	0.21%	0.16%	0.18%	0.46%	0.36%	0.55%	0.14%	0.24%	0.53%	0.15%	0.0%	0.14%	0.61%	0.47%	0.0%	0.17%	0.16%	0.09%	0.58%	0.0%	0.19%	0.09%	0.0%	0.0%	0.0%	0.13%	0.37%	0.0%	0.39%	0.28%	0.0%	0.0%	0.12%	0.0%	0.0%	0.30%	0.29%	0.21%	0.61%	0.0%	0.0%	0.27%	0.51%	0.15%	0.56%	0.32%	0.0%	0.0%	0.29%	0.0%	0.17%	0.0%	0.29%	0.0%	0.0%	0.0%	0.09%	0.17%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	8791	186	227	184	226	161	100	144	196	93	117	176	137	115	229	95	200	113	210	131	25	99	190	111	49	16	116	35	64	77	184	65	136	231	159	107	294	384	252	154	70	51	360	282	170	260	166	166	188	108	191	232	16	85	75	81	31	231	240					
		20.18%	13.57%	18.77%	16.68%	21.18%	19.39%	18.34%	20.60%	23.99%	16.63%	18.30%	18.18%	20.26%	23.56%	21.54%	19.07%	17.45%	18.16%	19.44%	15.30%	6.81%	19.41%	17.24%	49.33%	12.72%	8.51%	15.42%	13.15%	22.14%	30.07%	26.58%	17.28%	20.92%	27.86%	20.41%	21.52%	29.60%	37.90%	26.49%	18.91%	38.04%	21.42%	32.78%	29.04%	13.09%	20.85%	17.71%	14.75%	21.24%	15.95%	23.96%	20.0%	7.92%	24.85%	7.22%	10.38%	18.34%	21.29%	20.90%					
																																																																	
