Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Ленинская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155					
11	Число полученных открепительных  удостоверений	3335	20	40	70	70	50	60	40	60	60	60	70	60	60	60	20	50	70	60	60	40	20	20	50	40	10	10	40	40	50	10	40	50	70	80	10	5	10	10	10	30	10	80	80	70	10	20	70	60	50	40	80	10	60	10	70	70	60	80	80	30	10	70	60	100	80	50	60	60	10	60	50	0					
12	Число выданных открепительных удостоверений	1006	3	7	7	3	12	12	12	17	16	7	11	13	21	9	3	14	23	9	9	8	7	10	11	20	0	8	11	12	8	2	17	12	21	25	2	0	1	2	7	19	2	27	28	70	0	3	19	11	13	13	17	0	7	0	21	23	24	25	22	13	4	25	32	52	66	10	13	33	10	8	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	987	6	8	11	16	6	3	13	6	1	8	17	9	9	6	9	7	16	7	14	7	24	14	110	7	9	12	9	17	45	17	10	9	32	34	2	7	18	18	13	11	1	15	13	47	14	8	8	16	11	11	9	3	20	2	5	7	8	22	14	7	3	10	19	0	23	26	3	22	7	4	32	0					
14	Число неиспользованных открепительных удостоверений	2329	17	33	63	67	38	48	28	43	44	53	59	47	39	51	17	36	47	51	51	32	13	10	39	20	10	2	29	28	42	8	23	38	49	55	8	5	9	8	3	11	8	53	52	0	10	17	51	49	37	27	63	10	53	10	49	47	36	55	58	17	6	45	28	48	14	40	47	27	0	52	46	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	. Глазьев Сергей Юрьевич	4074	35	61	76	87	69	67	109	72	73	60	74	90	61	42	31	52	92	56	57	58	32	29	46	48	15	15	45	56	84	18	40	29	77	122	4	2	15	21	12	41	22	127	126	108	9	19	87	109	59	56	71	10	51	3	81	55	61	109	80	47	15	120	101	16	110	50	70	73	18	70	45	23					
		6.05%	5.96%	6.75%	5.61%	6.75%	7.22%	6.01%	7.36%	7.22%	7.12%	6.88%	5.29%	6.91%	6.08%	3.87%	6.24%	6.14%	6.13%	5.91%	6.26%	7.44%	7.05%	5.86%	5.15%	5.66%	6.05%	4.95%	5.62%	6.37%	8.28%	6.00%	4.84%	3.49%	5.85%	7.34%	2.53%	3.28%	5.26%	6.16%	5.04%	5.56%	5.93%	7.88%	7.73%	6.83%	4.31%	3.83%	7.25%	8.63%	5.40%	7.04%	4.65%	5.62%	4.17%	2.75%	6.29%	4.42%	4.57%	6.26%	5.63%	6.43%	4.97%	8.86%	8.28%	0.81%	7.51%	5.01%	6.20%	5.90%	3.91%	5.57%	4.21%	7.12%					
19	. Малышкин Олег Александрович	983	10	6	21	20	13	12	28	15	22	17	19	16	16	16	6	15	11	17	9	8	5	4	14	14	3	5	10	19	8	5	25	16	27	33	6	0	4	6	3	7	7	29	21	20	3	2	19	16	15	16	19	4	40	1	19	16	16	21	16	9	4	28	21	12	20	14	10	14	10	19	8	3					
		1.46%	1.70%	0.66%	1.55%	1.55%	1.36%	1.08%	1.89%	1.50%	2.14%	1.95%	1.36%	1.23%	1.60%	1.47%	1.21%	1.77%	0.73%	1.80%	0.99%	1.03%	1.10%	0.81%	1.57%	1.65%	1.21%	1.65%	1.25%	2.16%	0.79%	1.67%	3.03%	1.93%	2.05%	1.99%	3.80%	0.00%	1.40%	1.76%	1.26%	0.95%	1.89%	1.80%	1.29%	1.27%	1.44%	0.40%	1.58%	1.27%	1.37%	2.01%	1.25%	2.25%	3.27%	0.92%	1.48%	1.29%	1.20%	1.21%	1.13%	1.23%	1.32%	2.07%	1.72%	0.61%	1.37%	1.40%	0.89%	1.13%	2.17%	1.51%	0.75%	0.93%					
20	. Миронов Сергей Михайлович	417	5	5	13	9	14	8	22	5	9	12	13	8	4	9	3	7	19	9	2	7	3	7	3	1	0	3	6	8	6	2	5	9	9	11	2	0	0	1	0	5	0	7	9	6	4	0	6	9	8	4	10	0	2	0	8	8	9	6	5	5	0	8	8	2	1	7	5	6	2	3	4	1					
		0.62%	0.85%	0.55%	0.96%	0.70%	1.46%	0.72%	1.49%	0.50%	0.88%	1.38%	0.93%	0.61%	0.40%	0.83%	0.60%	0.83%	1.27%	0.95%	0.22%	0.90%	0.66%	1.41%	0.34%	0.12%	0.00%	0.99%	0.75%	0.91%	0.59%	0.67%	0.61%	1.08%	0.68%	0.66%	1.27%	0.00%	0.00%	0.29%	0.00%	0.68%	0.00%	0.43%	0.55%	0.38%	1.91%	0.00%	0.50%	0.71%	0.73%	0.50%	0.66%	0.00%	0.16%	0.00%	0.62%	0.64%	0.67%	0.34%	0.35%	0.68%	0.00%	0.59%	0.66%	0.10%	0.07%	0.70%	0.44%	0.48%	0.43%	0.24%	0.37%	0.31%					
21	. Путин Владимир Владимирович	48364	415	576	944	897	644	801	1009	706	733	596	991	942	703	793	348	571	1070	673	648	542	282	364	643	561	166	207	572	615	664	207	621	644	952	1098	117	37	222	235	178	535	292	1132	1128	1137	147	408	844	859	758	538	1143	132	902	76	924	975	1000	1204	1030	500	250	832	806	1861	1055	749	834	833	368	1006	866	253					
		71.78%	70.70%	63.72%	69.72%	69.64%	67.36%	71.84%	68.18%	70.81%	71.44%	68.35%	70.89%	72.35%	70.09%	73.09%	70.02%	67.41%	71.33%	71.07%	71.21%	69.49%	62.11%	73.54%	72.00%	66.16%	66.94%	68.32%	71.41%	69.97%	65.48%	69.00%	75.18%	77.59%	72.34%	66.10%	74.05%	60.66%	77.89%	68.91%	74.79%	72.49%	78.71%	70.22%	69.20%	71.92%	70.33%	82.26%	70.33%	68.01%	69.35%	67.59%	74.90%	74.16%	73.81%	69.72%	71.74%	78.38%	74.91%	69.12%	72.48%	68.40%	82.78%	61.40%	66.07%	94.13%	72.01%	74.97%	73.87%	67.29%	80.00%	80.03%	81.09%	78.33%					
22	. Хакамада Ирина Муцуовна	3458	19	74	79	73	47	52	77	58	54	57	94	65	53	45	18	43	90	43	63	41	40	25	31	35	16	25	47	56	87	15	33	31	58	120	7	6	8	5	5	35	8	77	80	88	15	15	58	80	70	75	56	2	33	0	64	58	54	118	83	44	5	107	74	25	73	42	56	104	5	20	31	8					
		5.13%	3.24%	8.19%	5.83%	5.67%	4.92%	4.66%	5.20%	5.82%	5.26%	6.54%	6.72%	4.99%	5.28%	4.15%	3.62%	5.08%	6.00%	4.54%	6.92%	5.26%	8.81%	5.05%	3.47%	4.13%	6.45%	8.25%	5.87%	6.37%	8.58%	5.00%	4.00%	3.73%	4.41%	7.22%	4.43%	9.84%	2.81%	1.47%	2.10%	4.74%	2.16%	4.78%	4.91%	5.57%	7.18%	3.02%	4.83%	6.33%	6.40%	9.42%	3.67%	1.12%	2.70%	0.00%	4.97%	4.66%	4.04%	6.77%	5.84%	6.02%	1.66%	7.90%	6.07%	1.26%	4.98%	4.20%	4.96%	8.40%	1.09%	1.59%	2.90%	2.48%					
23	. Харитонов Николай Михайлович	5756	36	119	146	114	101	104	127	83	61	72	99	91	113	99	55	98	139	66	71	84	51	38	107	131	39	29	58	73	111	33	65	63	113	152	14	12	19	61	24	54	21	153	149	110	19	29	97	112	95	41	143	11	124	27	113	68	108	156	114	74	18	144	129	22	103	72	77	102	26	72	79	23					
		8.54%	6.13%	13.16%	10.78%	8.85%	10.56%	9.33%	8.58%	8.32%	5.95%	8.26%	7.08%	6.99%	11.27%	9.12%	11.07%	11.57%	9.27%	6.97%	7.80%	10.77%	11.23%	7.68%	11.98%	15.45%	15.73%	9.57%	7.24%	8.30%	10.95%	11.00%	7.87%	7.59%	8.59%	9.15%	8.86%	19.67%	6.67%	17.89%	10.08%	7.32%	5.66%	9.49%	9.14%	6.96%	9.09%	5.85%	8.08%	8.87%	8.69%	5.15%	9.37%	6.18%	10.15%	24.77%	8.77%	5.47%	8.09%	8.96%	8.02%	10.12%	5.96%	10.63%	10.57%	1.11%	7.03%	7.21%	6.82%	8.24%	5.65%	5.73%	7.40%	7.12%					
																																																																															
24	Против всех	3576	47	55	66	71	50	56	88	46	62	48	95	80	45	52	28	47	65	71	57	37	34	23	45	51	9	17	56	43	36	17	29	31	58	105	4	4	11	8	11	57	13	77	107	89	12	15	69	65	85	62	68	6	51	1	65	56	63	108	74	50	10	100	75	34	96	47	64	90	28	48	23	10					
		5.31%	8.01%	6.08%	4.87%	5.51%	5.23%	5.02%	5.95%	4.61%	6.04%	5.50%	6.80%	6.14%	4.49%	4.79%	5.63%	5.55%	4.33%	7.50%	6.26%	4.74%	7.49%	4.65%	5.04%	6.01%	3.63%	5.61%	6.99%	4.89%	3.55%	5.67%	3.51%	3.73%	4.41%	6.32%	2.53%	6.56%	3.86%	2.35%	4.62%	7.72%	3.50%	4.78%	6.56%	5.63%	5.74%	3.02%	5.75%	5.15%	7.78%	7.79%	4.46%	3.37%	4.17%	0.92%	5.05%	4.50%	4.72%	6.20%	5.21%	6.84%	3.31%	7.38%	6.15%	1.72%	6.55%	4.70%	5.67%	7.27%	6.09%	3.82%	2.15%	3.10%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
