Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																															
																																																																																															
Наименование Избирательной комиссии:    Василеостровская № 2																																																																																															
																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																															
																																																																																															
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №1801	УИК №1802	УИК №1803					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	3982	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	282	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	668	7	18	9	2	2	14	14	5	15	8	5	16	19	14	9	6	6	8	4	8	5	6	9	14	14	6	11	6	5	13	12	13	8	7	10	7	9	13	6	4	9	11	9	4	6	12	14	8	13	7	14	12	4	8	9	7	10	8	8	4	7	6	4	0	2	8	14	8	10	6	13	6	17	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	556	7	4	12	6	5	9	13	6	8	7	10	4	10	4	4	4	7	12	9	7	20	10	6	5	10	6	9	4	8	6	5	5	10	13	6	4	3	7	11	18	6	4	5	5	5	8	25	1	2	4	9	5	3	6	4	7	19	2	6	2	11	4	6	7	6	0	4	6	9	0	6	2	9	15	7	6	5	3	7	1	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	3314	43	32	41	48	48	36	36	45	35	42	45	34	31	36	41	44	44	42	46	42	45	44	41	36	36	44	39	44	45	37	38	37	42	275	40	43	41	37	44	46	41	39	41	46	44	38	36	42	37	43	36	38	46	42	41	43	40	42	42	46	43	44	46	50	48	42	36	42	40	44	37	44	33	38	39	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	18	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																															
18	"1. ""ЕДИНЕНИЕ"""	584	8	19	8	10	6	10	6	9	5	6	3	9	8	3	3	8	5	8	3	13	6	8	9	7	10	10	9	7	8	10	4	14	14	21	6	7	5	5	5	6	14	6	8	14	3	6	16	5	10	7	6	6	2	11	8	6	5	6	2	5	4	9	9	7	2	11	6	7	7	5	4	7	13	10	11	0	0	0	2	0	0	0	0	1	1	0	1	0					
		0.84%	0.97%	1.46%	0.90%	1.31%	0.74%	1.09%	0.79%	1.31%	0.64%	0.67%	0.40%	0.95%	0.73%	0.48%	0.36%	2.36%	0.92%	0.79%	0.29%	1.55%	0.67%	0.98%	1.23%	0.87%	1.28%	1.20%	1.28%	0.97%	1.12%	0.91%	0.40%	1.33%	1.49%	2.04%	0.82%	1.11%	0.80%	0.48%	0.56%	0.65%	1.31%	0.56%	1.17%	1.71%	0.37%	0.54%	1.16%	0.39%	0.93%	0.64%	0.46%	0.52%	0.33%	1.10%	0.81%	0.50%	0.42%	0.57%	0.20%	0.63%	0.35%	0.77%	0.77%	1.41%	0.36%	0.98%	0.59%	0.65%	0.62%	0.58%	0.35%	0.74%	1.09%	0.89%	1.09%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	5.26%	7.14%	0.0%	0.72%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	8081	115	100	113	96	103	131	83	96	103	107	99	88	91	50	92	40	59	122	142	110	96	124	89	97	79	89	87	86	80	162	151	109	132	107	99	87	78	111	138	92	99	110	78	115	86	152	160	162	126	120	122	125	58	115	119	128	130	129	109	62	105	112	132	43	71	128	118	142	173	94	135	117	165	126	69	1	0	1	2	0	1	0	2	0	0	0	5	1					
		11.66%	13.99%	7.72%	12.78%	12.63%	12.73%	14.34%	10.93%	13.97%	13.29%	12.09%	13.37%	9.30%	8.37%	8.03%	11.28%	11.83%	10.90%	12.16%	14.11%	13.17%	10.83%	15.23%	12.25%	12.15%	10.11%	10.73%	12.39%	11.92%	11.22%	14.84%	15.32%	10.43%	14.10%	10.41%	13.61%	13.85%	12.56%	10.79%	15.52%	9.99%	9.29%	10.43%	11.47%	14.05%	10.72%	13.78%	11.68%	12.83%	11.78%	10.99%	9.44%	10.96%	9.74%	11.51%	12.19%	10.68%	11.17%	12.34%	10.94%	7.83%	9.36%	9.63%	11.42%	8.72%	13.12%	11.40%	11.74%	13.37%	15.48%	10.90%	12.12%	12.47%	13.95%	11.28%	6.84%	10.0%	0.0%	7.69%	7.14%	0.0%	2.56%	0.0%	4.76%	0.0%	0.0%	0.0%	3.62%	4.34%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1857	20	24	33	15	23	24	28	18	28	24	23	10	28	19	20	8	16	36	22	22	20	19	34	25	21	20	19	28	27	39	26	28	28	16	11	16	14	25	17	18	41	19	16	25	13	35	29	34	21	35	31	28	21	20	30	29	19	25	31	23	32	41	31	17	11	30	28	29	24	27	36	19	36	47	24	0	1	0	0	1	2	0	1	0	0	0	3	0					
		2.68%	2.43%	1.85%	3.73%	1.97%	2.84%	2.62%	3.68%	2.62%	3.61%	2.71%	3.10%	1.05%	2.57%	3.05%	2.45%	2.36%	2.95%	3.58%	2.18%	2.63%	2.25%	2.33%	4.68%	3.13%	2.68%	2.41%	2.70%	3.88%	3.78%	3.57%	2.63%	2.67%	2.99%	1.55%	1.51%	2.54%	2.25%	2.43%	1.91%	1.95%	3.84%	1.80%	2.35%	3.05%	1.62%	3.17%	2.11%	2.69%	1.96%	3.20%	2.39%	2.45%	3.52%	2.00%	3.07%	2.42%	1.63%	2.39%	3.11%	2.90%	2.85%	3.52%	2.68%	3.44%	2.03%	2.67%	2.78%	2.73%	2.14%	3.13%	3.23%	2.02%	3.04%	4.20%	2.38%	0.0%	5.88%	0.0%	0.0%	3.84%	5.12%	0.0%	2.38%	0.0%	0.0%	0.0%	2.17%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	7692	96	100	126	98	102	122	91	98	105	114	86	74	64	48	79	26	59	117	132	99	90	92	96	72	57	99	67	89	50	103	100	126	100	106	84	62	65	109	100	95	130	135	84	78	82	134	172	200	130	138	163	127	67	106	105	131	135	102	107	70	115	107	107	46	74	122	111	137	157	81	145	101	154	122	85	2	0	0	2	3	1	0	8	4	1	0	13	0					
		11.10%	11.67%	7.72%	14.25%	12.89%	12.60%	13.36%	11.98%	14.26%	13.54%	12.88%	11.62%	7.82%	5.89%	7.71%	9.69%	7.69%	10.90%	11.66%	13.12%	11.85%	10.15%	11.30%	13.22%	9.02%	7.29%	11.94%	9.54%	12.34%	7.01%	9.44%	10.15%	12.05%	10.68%	10.32%	11.55%	9.87%	10.46%	10.60%	11.24%	10.32%	12.20%	12.80%	12.35%	9.53%	10.22%	12.14%	12.56%	15.84%	12.16%	12.64%	12.61%	11.14%	11.26%	10.61%	10.75%	10.93%	11.60%	9.76%	10.74%	8.84%	10.25%	9.20%	9.26%	9.33%	13.67%	10.87%	11.04%	12.90%	14.05%	9.39%	13.02%	10.76%	13.02%	10.92%	8.43%	20.0%	0.0%	0.0%	7.14%	11.53%	2.56%	0.0%	19.04%	21.05%	7.14%	0.0%	9.42%	0.0%					
22	"5. ""За Русь Святую"""	334	3	1	2	3	3	8	7	1	4	10	2	8	3	1	1	2	2	6	3	8	6	10	4	7	5	2	2	5	10	11	3	4	5	5	4	2	2	4	8	3	4	4	1	6	2	3	8	6	2	6	7	9	4	4	3	7	6	3	6	3	0	1	3	2	2	1	5	6	6	5	7	4	1	5	9	0	0	0	0	0	0	1	1	0	0	0	1	0					
		0.48%	0.36%	0.07%	0.22%	0.39%	0.37%	0.87%	0.92%	0.14%	0.51%	1.12%	0.27%	0.84%	0.27%	0.16%	0.12%	0.59%	0.36%	0.59%	0.29%	0.95%	0.67%	1.22%	0.55%	0.87%	0.64%	0.24%	0.28%	0.69%	1.40%	1.00%	0.30%	0.38%	0.53%	0.48%	0.55%	0.31%	0.32%	0.38%	0.89%	0.32%	0.37%	0.37%	0.14%	0.73%	0.24%	0.27%	0.58%	0.47%	0.18%	0.54%	0.54%	0.78%	0.67%	0.40%	0.30%	0.58%	0.51%	0.28%	0.60%	0.37%	0.0%	0.08%	0.25%	0.40%	0.36%	0.08%	0.49%	0.56%	0.53%	0.58%	0.62%	0.42%	0.08%	0.44%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	2.38%	0.0%	0.0%	0.0%	0.72%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	187	4	5	2	2	4	3	4	0	1	4	1	6	1	0	1	1	0	5	2	4	3	4	0	0	3	2	3	0	1	3	5	5	2	1	1	1	11	3	1	1	2	2	1	5	3	1	2	0	3	0	2	3	2	3	3	4	4	4	2	6	1	1	4	4	1	2	3	3	1	2	6	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.26%	0.48%	0.38%	0.22%	0.26%	0.49%	0.32%	0.52%	0.0%	0.12%	0.45%	0.13%	0.63%	0.09%	0.0%	0.12%	0.29%	0.0%	0.49%	0.19%	0.47%	0.33%	0.49%	0.0%	0.0%	0.38%	0.24%	0.42%	0.0%	0.14%	0.27%	0.50%	0.47%	0.21%	0.09%	0.13%	0.15%	1.77%	0.29%	0.11%	0.10%	0.18%	0.18%	0.14%	0.61%	0.37%	0.09%	0.14%	0.0%	0.28%	0.0%	0.15%	0.26%	0.33%	0.30%	0.30%	0.33%	0.34%	0.38%	0.20%	0.75%	0.08%	0.08%	0.34%	0.81%	0.18%	0.17%	0.29%	0.28%	0.08%	0.23%	0.53%	0.10%	0.16%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	520	10	9	8	4	7	5	1	1	3	6	1	15	13	8	5	6	6	8	12	4	3	4	8	4	7	9	7	5	2	12	8	10	2	15	5	7	2	9	2	12	7	4	4	5	5	5	4	20	4	10	11	4	6	3	3	5	8	6	9	4	5	15	12	4	6	8	2	6	7	7	9	3	12	12	13	0	0	0	0	0	4	0	0	0	1	0	1	1					
		0.75%	1.21%	0.69%	0.90%	0.52%	0.86%	0.54%	0.13%	0.14%	0.38%	0.67%	0.13%	1.58%	1.19%	1.28%	0.61%	1.77%	1.10%	0.79%	1.19%	0.47%	0.33%	0.49%	1.10%	0.50%	0.89%	1.08%	0.99%	0.69%	0.28%	1.09%	0.81%	0.95%	0.21%	1.46%	0.68%	1.11%	0.32%	0.87%	0.22%	1.30%	0.65%	0.37%	0.58%	0.61%	0.62%	0.45%	0.29%	1.58%	0.37%	0.91%	0.85%	0.35%	1.00%	0.30%	0.30%	0.41%	0.68%	0.57%	0.90%	0.50%	0.44%	1.28%	1.03%	0.81%	1.10%	0.71%	0.19%	0.56%	0.62%	0.81%	0.80%	0.31%	1.01%	1.07%	1.28%	0.0%	0.0%	0.0%	0.0%	0.0%	10.25%	0.0%	0.0%	0.0%	7.14%	0.0%	0.72%	4.34%					
25	"8. ""Народно-республиканская партия России"""	69	0	2	1	0	1	1	2	1	1	0	0	1	4	1	1	0	1	2	0	1	0	2	0	0	2	1	1	1	0	1	0	0	1	1	1	1	1	3	1	0	0	1	2	0	1	1	0	3	1	0	0	0	1	0	2	1	0	0	0	1	3	3	1	0	1	1	0	0	0	0	1	2	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.15%	0.11%	0.0%	0.12%	0.10%	0.26%	0.14%	0.12%	0.0%	0.0%	0.10%	0.36%	0.16%	0.12%	0.0%	0.18%	0.19%	0.0%	0.11%	0.0%	0.24%	0.0%	0.0%	0.25%	0.12%	0.14%	0.13%	0.0%	0.09%	0.0%	0.0%	0.10%	0.09%	0.13%	0.15%	0.16%	0.29%	0.11%	0.0%	0.0%	0.09%	0.29%	0.0%	0.12%	0.09%	0.0%	0.23%	0.09%	0.0%	0.0%	0.0%	0.16%	0.0%	0.20%	0.08%	0.0%	0.0%	0.0%	0.12%	0.26%	0.25%	0.08%	0.0%	0.18%	0.08%	0.0%	0.0%	0.0%	0.0%	0.08%	0.21%	0.0%	0.17%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	463	5	15	9	5	10	4	5	6	6	4	4	6	5	5	8	3	1	5	3	5	8	8	5	5	6	4	5	5	6	13	12	4	3	8	4	5	5	2	3	7	11	6	3	8	3	5	7	5	10	7	10	8	6	11	6	8	12	3	3	2	6	10	9	0	4	3	4	8	5	6	7	3	3	7	9	3	0	0	1	0	0	0	1	0	0	0	7	1					
		0.66%	0.60%	1.15%	1.01%	0.65%	1.23%	0.43%	0.65%	0.87%	0.77%	0.45%	0.54%	0.63%	0.46%	0.80%	0.98%	0.88%	0.18%	0.49%	0.29%	0.59%	0.90%	0.98%	0.68%	0.62%	0.76%	0.48%	0.71%	0.69%	0.84%	1.19%	1.21%	0.38%	0.32%	0.77%	0.55%	0.79%	0.80%	0.19%	0.33%	0.76%	1.03%	0.56%	0.44%	0.97%	0.37%	0.45%	0.51%	0.39%	0.93%	0.64%	0.77%	0.70%	1.00%	1.10%	0.61%	0.66%	1.03%	0.28%	0.30%	0.25%	0.53%	0.85%	0.77%	0.0%	0.73%	0.26%	0.39%	0.75%	0.44%	0.69%	0.62%	0.31%	0.25%	0.62%	0.89%	30.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	2.38%	0.0%	0.0%	0.0%	5.07%	4.34%					
27	"10. ""Аграрная партия России"""	855	7	11	8	12	5	14	17	5	6	9	6	6	11	12	16	5	8	13	12	5	14	11	5	7	8	4	8	10	7	17	15	19	11	8	7	10	14	9	14	14	15	19	6	5	12	19	27	12	14	20	11	18	3	17	10	12	15	10	18	7	15	21	14	12	5	11	14	9	14	11	8	13	15	10	12	0	0	0	0	0	0	0	0	0	0	0	1	0					
		1.23%	0.85%	0.84%	0.90%	1.57%	0.61%	1.53%	2.23%	0.72%	0.77%	1.01%	0.81%	0.63%	1.01%	1.92%	1.96%	1.47%	1.47%	1.29%	1.19%	0.59%	1.58%	1.35%	0.68%	0.87%	1.02%	0.48%	1.13%	1.38%	0.98%	1.55%	1.52%	1.81%	1.17%	0.77%	0.96%	1.59%	2.25%	0.87%	1.57%	1.52%	1.40%	1.80%	0.88%	0.61%	1.49%	1.72%	1.97%	0.95%	1.30%	1.83%	0.85%	1.57%	0.50%	1.70%	1.02%	1.00%	1.28%	0.95%	1.80%	0.88%	1.33%	1.80%	1.21%	2.43%	0.92%	0.98%	1.39%	0.84%	1.25%	1.27%	0.71%	1.38%	1.26%	0.89%	1.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%					
28	"11. ""Истинные патриоты России"""	34	4	1	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	1	1	4	1	0	2	1	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.48%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.11%	0.0%	0.10%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.11%	0.45%	0.12%	0.0%	0.25%	0.12%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.09%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.20%	0.0%	0.0%	0.0%	0.10%	0.12%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1289	11	58	20	19	15	14	9	11	12	19	11	11	14	15	7	4	10	17	13	5	14	16	12	8	8	6	9	17	10	15	8	22	20	4	10	7	7	37	18	13	25	20	14	14	16	57	29	37	16	22	17	20	15	13	19	31	23	26	18	15	16	30	29	13	8	21	20	10	16	16	24	18	26	17	21	0	0	0	0	1	0	0	0	0	0	0	0	0					
		1.86%	1.33%	4.47%	2.26%	2.5%	1.85%	1.53%	1.18%	1.60%	1.54%	2.14%	1.48%	1.16%	1.28%	2.41%	0.85%	1.18%	1.84%	1.69%	1.29%	0.59%	1.58%	1.96%	1.65%	1.00%	1.02%	0.72%	1.28%	2.35%	1.40%	1.37%	0.81%	2.10%	2.13%	0.38%	1.37%	1.11%	1.12%	3.59%	2.02%	1.41%	2.34%	1.89%	2.05%	1.71%	1.99%	5.16%	2.11%	2.93%	1.49%	2.01%	1.31%	1.75%	2.52%	1.30%	1.94%	2.58%	1.97%	2.48%	1.80%	1.89%	1.42%	2.57%	2.51%	2.63%	1.47%	1.87%	1.99%	0.94%	1.43%	1.85%	2.15%	1.91%	2.19%	1.52%	2.08%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	78	0	1	0	1	0	3	1	0	2	0	2	1	2	1	1	0	1	2	1	2	4	1	0	1	2	1	0	0	0	0	1	0	5	1	1	0	0	1	0	0	0	0	4	0	0	1	1	0	3	1	1	1	2	1	2	2	0	0	1	0	2	0	0	0	0	2	2	1	2	1	2	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.11%	0.0%	0.07%	0.0%	0.13%	0.0%	0.32%	0.13%	0.0%	0.25%	0.0%	0.27%	0.10%	0.18%	0.16%	0.12%	0.0%	0.18%	0.19%	0.09%	0.23%	0.45%	0.12%	0.0%	0.12%	0.25%	0.12%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.53%	0.09%	0.13%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.09%	0.07%	0.0%	0.28%	0.09%	0.07%	0.08%	0.33%	0.10%	0.20%	0.16%	0.0%	0.0%	0.10%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.17%	0.19%	0.09%	0.17%	0.11%	0.17%	0.31%	0.0%	0.17%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	119	1	0	4	2	3	0	1	2	1	2	1	0	1	2	0	0	0	1	3	2	5	3	1	2	2	1	3	0	1	3	1	1	3	5	0	0	3	1	1	2	0	0	0	0	0	0	0	0	3	1	2	2	0	0	5	3	1	5	2	2	2	2	3	1	0	2	2	0	7	1	0	5	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0					
