Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																							
Дата голосования: 02.12.2007																																																																																																																							
																																																																																																																							
Наименование Избирательной комиссии:    Всеволожская																																																																																																																							
																																																																																																																							
Сводная таблица результатов выборов																																																																																																																							
																																																																																																																							
		Сумма	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3110	30	31	32	32	32	32	32	32	32	32	32	22	32	32	32	32	32	22	32	32	45	30	15	25	25	25	25	20	20	15	15	15	15	20	25	25	25	25	25	25	25	25	10	40	30	30	18	20	20	20	25	25	20	30	25	30	25	20	30	30	30	30	30	30	30	40	50	20	20	30	30	30	30	30	25	65	25	25	20	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	45	20	20	25	25	45	30	35	32	35	43	30	35	20	30	36	44	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1983	12	11	29	16	17	26	17	19	26	30	15	5	22	17	22	19	25	22	11	9	41	26	2	16	18	18	25	13	15	4	1	7	3	20	12	22	11	16	11	10	13	9	4	30	27	28	7	18	2	4	18	17	17	5	21	16	19	8	6	9	20	27	21	28	18	33	49	9	3	17	4	8	14	24	7	60	8	17	1	5	23	18	8	20	17	25	3	15	17	23	14	12	6	24	30	12	6	15	13	41	25	33	32	31	40	20	34	16	12	34	41	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1645	41	4	20	23	11	11	14	19	18	8	21	15	8	7	28	10	18	25	34	18	43	17	2	2	5	4	18	17	7	8	13	6	9	12	31	5	13	11	37	11	8	11	9	6	7	14	18	9	3	7	12	21	19	6	12	16	20	16	9	1	19	18	29	14	18	21	9	10	3	10	8	5	17	22	21	10	17	38	3	11	8	6	7	21	35	2	6	5	96	12	5	7	10	5	0	1	20	5	12	20	23	18	19	11	11	19	23	15	7	17	17	31					
14	Число погашенных неиспользованных открепительных удостоверений	1127	18	20	3	16	15	6	15	13	6	2	17	17	10	15	10	13	7	0	21	23	4	4	13	9	7	7	0	7	5	11	14	8	12	0	13	3	14	9	14	15	12	16	6	10	3	2	11	2	18	16	7	8	3	25	4	14	6	12	24	21	10	3	9	2	12	7	1	11	17	13	26	22	16	6	18	5	17	8	19	20	2	7	17	5	8	0	22	10	8	2	11	13	19	1	15	8	14	10	12	4	5	2	0	4	3	10	1	4	18	2	3	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	124	2	1	1	3	3	2	3	2	2	1	1	0	3	2	2	0	3	5	1	1	9	0	0	3	1	1	1	2	0	0	0	1	0	0	1	1	3	1	1	0	0	2	0	3	1	1	3	1	3	0	2	0	2	2	8	9	4	0	0	0	1	1	0	2	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	1	0	0	1	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																							
18	1.Политическая партия «Аграрная партия России»	2321	22	34	35	50	41	35	30	29	45	40	18	26	24	19	30	33	14	15	13	3	29	37	2	13	28	22	15	13	17	5	2	2	2	12	23	28	27	39	11	25	21	24	4	15	21	32	22	55	31	5	18	12	4	24	21	24	35	11	11	2	25	13	36	32	22	25	17	6	3	16	34	12	37	10	9	4	17	24	12	7	13	18	23	9	10	10	3	20	8	29	10	26	13	20	19	3	7	15	12	40	25	29	43	23	42	46	29	28	12	39	28	8					
		2.51%	2.77%	3.70%	3.03%	4.57%	3.46%	2.96%	2.76%	2.43%	4.46%	3.69%	2.62%	3.74%	3.26%	2.05%	2.86%	3.01%	1.88%	1.63%	1.43%	0.53%	1.84%	2.90%	0.62%	1.72%	2.96%	2.23%	2.21%	2.23%	2.69%	2.33%	1.31%	0.92%	0.83%	2.39%	2.27%	3.01%	2.95%	3.49%	1.33%	2.54%	2.94%	2.75%	2.70%	1.34%	2.04%	2.70%	3.73%	7.46%	6.04%	1.89%	2.20%	1.94%	1.44%	3.38%	2.64%	2.65%	2.99%	2.31%	2.57%	0.70%	2.54%	1.67%	2.78%	2.77%	1.98%	2.18%	1.31%	1.38%	1.72%	2.11%	4.25%	1.43%	3.27%	0.81%	2.05%	0.58%	2.60%	2.69%	3.13%	1.20%	1.60%	1.99%	2.54%	1.59%	1.23%	1.42%	1.15%	2.56%	0.96%	3.05%	2.46%	4.63%	2.72%	2.91%	2.32%	1.27%	1.78%	2.71%	2.06%	2.80%	2.24%	2.04%	2.64%	2.03%	2.74%	3.20%	2.24%	2.59%	1.60%	2.99%	2.10%	2.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1294	17	12	22	23	15	21	19	31	15	44	22	9	13	18	15	16	14	11	19	12	34	16	5	6	4	12	10	5	6	1	0	0	3	6	17	12	10	12	4	5	4	13	2	18	10	13	3	10	2	5	4	8	8	10	15	14	17	8	10	3	20	13	20	13	24	24	10	8	3	14	14	10	13	10	6	13	13	10	1	3	8	6	7	8	3	7	2	9	6	9	1	7	4	7	22	1	6	3	2	20	16	14	16	17	26	19	16	18	5	19	25	10					
		1.40%	2.14%	1.31%	1.90%	2.10%	1.27%	1.78%	1.75%	2.60%	1.49%	4.06%	3.21%	1.29%	1.77%	1.94%	1.43%	1.46%	1.88%	1.19%	2.08%	2.13%	2.16%	1.25%	1.56%	0.80%	0.42%	1.22%	1.47%	0.86%	0.95%	0.47%	0.00%	0.00%	1.25%	1.20%	1.67%	1.29%	1.09%	1.08%	0.48%	0.51%	0.56%	1.49%	1.35%	1.61%	0.97%	1.10%	0.51%	1.36%	0.39%	1.89%	0.49%	1.29%	2.88%	1.41%	1.89%	1.55%	1.46%	1.68%	2.34%	1.05%	2.03%	1.67%	1.55%	1.13%	2.16%	2.09%	0.77%	1.84%	1.72%	1.85%	1.75%	1.19%	1.15%	0.81%	1.37%	1.88%	1.99%	1.12%	0.26%	0.51%	0.98%	0.66%	0.77%	1.42%	0.37%	0.99%	0.77%	1.15%	0.72%	0.95%	0.25%	1.25%	0.84%	1.02%	2.69%	0.42%	1.52%	0.54%	0.34%	1.40%	1.43%	0.99%	0.98%	1.50%	1.70%	1.32%	1.24%	1.66%	0.67%	1.45%	1.87%	2.91%					
20	3.Политическая партия «Демократическая партия России»	91	0	1	3	0	0	0	2	2	2	0	0	0	1	2	1	0	0	0	1	2	4	0	0	0	2	2	0	0	1	0	0	0	0	2	0	0	1	0	1	0	2	1	0	1	2	0	1	3	0	2	2	0	0	2	2	1	0	3	0	0	1	3	1	2	2	2	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	2	1	0	1	1	2	1	0	2	3	0	1	1	0	1	0	2	0	0					
		0.10%	0.00%	0.11%	0.26%	0.00%	0.00%	0.00%	0.18%	0.17%	0.20%	0.00%	0.00%	0.00%	0.14%	0.22%	0.10%	0.00%	0.00%	0.00%	0.11%	0.35%	0.25%	0.00%	0.00%	0.00%	0.21%	0.20%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.11%	0.00%	0.12%	0.00%	0.28%	0.11%	0.00%	0.09%	0.19%	0.00%	0.17%	0.41%	0.00%	0.75%	0.24%	0.00%	0.00%	0.28%	0.25%	0.11%	0.00%	0.63%	0.00%	0.00%	0.10%	0.39%	0.08%	0.17%	0.18%	0.17%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.08%	0.00%	0.00%	0.15%	0.11%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.12%	0.14%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.29%	0.12%	0.00%	0.25%	0.18%	0.34%	0.07%	0.00%	0.14%	0.18%	0.00%	0.07%	0.07%	0.00%	0.09%	0.00%	0.15%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10876	93	132	183	161	161	185	165	176	190	136	60	97	106	116	194	153	122	111	157	86	298	134	33	98	72	72	59	73	67	27	15	27	15	34	97	124	103	113	99	112	73	132	17	86	85	83	42	67	24	30	77	88	21	57	127	63	141	41	40	15	125	98	175	146	148	110	128	32	8	92	107	58	131	78	61	36	80	130	38	41	115	45	66	60	67	71	13	63	46	89	38	45	35	86	88	17	50	60	117	179	174	216	198	127	235	131	189	121	73	200	233	42					
		11.77%	11.70%	14.36%	15.82%	14.73%	13.60%	15.64%	15.19%	14.78%	18.83%	12.53%	8.75%	13.94%	14.40%	12.50%	18.49%	13.95%	16.40%	12.03%	17.21%	15.25%	18.91%	10.49%	10.28%	12.99%	7.60%	7.30%	8.70%	12.50%	10.60%	12.56%	9.80%	12.39%	6.25%	6.77%	9.56%	13.33%	11.26%	10.13%	11.99%	11.38%	10.22%	15.10%	11.49%	7.70%	8.27%	7.01%	7.12%	9.09%	4.68%	11.32%	9.42%	14.24%	7.55%	8.03%	15.97%	6.96%	12.07%	8.60%	9.35%	5.26%	12.69%	12.61%	13.53%	12.64%	13.35%	9.59%	9.87%	7.36%	4.60%	12.14%	13.38%	6.93%	11.56%	6.34%	13.93%	5.19%	12.25%	14.56%	9.90%	7.01%	14.13%	4.98%	7.29%	10.62%	8.23%	10.09%	5.00%	8.08%	5.54%	9.36%	9.36%	8.02%	7.32%	12.50%	10.76%	7.17%	12.69%	10.85%	20.07%	12.53%	15.56%	15.20%	12.16%	11.20%	15.34%	9.12%	14.59%	11.18%	9.73%	15.31%	17.47%	12.21%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1222	10	19	19	21	19	20	18	20	13	30	17	13	9	36	24	39	22	27	25	20	25	7	3	2	3	6	6	2	4	1	0	0	2	2	10	5	7	10	7	10	1	7	3	10	9	8	2	8	8	4	10	6	2	11	11	14	37	15	6	2	18	14	14	21	3	16	12	6	3	12	9	6	26	16	5	0	7	12	4	6	9	9	4	6	1	7	0	4	7	17	4	11	5	5	11	3	8	5	7	11	17	11	12	10	28	11	13	11	7	19	26	6					
		1.32%	1.26%	2.07%	1.64%	1.92%	1.60%	1.69%	1.66%	1.68%	1.29%	2.76%	2.48%	1.87%	1.22%	3.88%	2.29%	3.56%	2.96%	2.93%	2.74%	3.55%	1.59%	0.55%	0.93%	0.27%	0.32%	0.61%	0.88%	0.34%	0.63%	0.47%	0.00%	0.00%	0.83%	0.40%	0.99%	0.54%	0.77%	0.90%	0.85%	1.02%	0.14%	0.80%	2.03%	0.90%	0.88%	0.68%	0.34%	1.09%	1.56%	1.51%	1.22%	0.97%	0.72%	1.55%	1.38%	1.55%	3.17%	3.14%	1.40%	0.70%	1.83%	1.80%	1.08%	1.82%	0.27%	1.39%	0.93%	1.38%	1.72%	1.58%	1.13%	0.72%	2.29%	1.30%	1.14%	0.00%	1.07%	1.34%	1.04%	1.03%	1.11%	0.99%	0.44%	1.06%	0.12%	0.99%	0.00%	0.51%	0.84%	1.79%	0.99%	1.96%	1.05%	0.73%	1.34%	1.27%	2.03%	0.90%	1.20%	0.77%	1.52%	0.77%	0.74%	0.88%	1.83%	0.77%	1.00%	1.02%	0.93%	1.45%	1.95%	1.74%					
23	6.Политическая партия «Партия социальной справедливости»	265	5	3	6	7	9	4	9	4	6	7	3	3	3	1	1	3	3	3	4	1	10	4	1	2	1	5	0	1	2	0	0	0	0	1	3	4	0	1	2	2	0	1	1	3	3	3	2	1	1	0	3	3	0	0	2	1	7	1	1	0	0	2	3	1	1	4	2	4	0	1	2	1	1	1	1	1	3	1	1	1	1	5	4	3	3	6	2	1	0	0	0	2	1	3	5	0	3	1	1	5	2	3	2	1	1	1	7	3	1	7	3	0					
		0.29%	0.63%	0.33%	0.52%	0.64%	0.76%	0.34%	0.83%	0.34%	0.59%	0.65%	0.44%	0.43%	0.41%	0.11%	0.10%	0.27%	0.40%	0.33%	0.44%	0.18%	0.63%	0.31%	0.31%	0.27%	0.11%	0.51%	0.00%	0.17%	0.32%	0.00%	0.00%	0.00%	0.00%	0.20%	0.30%	0.43%	0.00%	0.09%	0.24%	0.20%	0.00%	0.11%	0.68%	0.27%	0.29%	0.25%	0.34%	0.14%	0.19%	0.00%	0.37%	0.49%	0.00%	0.00%	0.25%	0.11%	0.60%	0.21%	0.23%	0.00%	0.00%	0.26%	0.23%	0.09%	0.09%	0.35%	0.15%	0.92%	0.00%	0.13%	0.25%	0.12%	0.09%	0.08%	0.23%	0.14%	0.46%	0.11%	0.26%	0.17%	0.12%	0.55%	0.44%	0.53%	0.37%	0.85%	0.77%	0.13%	0.00%	0.00%	0.00%	0.36%	0.21%	0.44%	0.61%	0.00%	0.76%	0.18%	0.17%	0.35%	0.18%	0.21%	0.12%	0.09%	0.07%	0.07%	0.54%	0.28%	0.13%	0.54%	0.22%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	8296	76	72	76	77	87	80	98	79	62	65	57	57	67	77	79	91	68	72	77	45	121	141	23	56	80	106	97	37	66	19	10	9	27	57	64	60	43	77	43	84	59	55	18	126	105	90	93	116	80	48	79	51	17	186	111	225	192	105	29	27	67	49	80	76	83	128	139	50	19	66	53	36	66	52	20	36	44	94	18	23	71	59	94	59	115	57	13	64	96	86	34	43	63	56	82	27	28	42	24	178	103	111	165	79	132	137	125	100	74	101	144	41					
		8.98%	9.56%	7.83%	6.57%	7.04%	7.35%	6.76%	9.02%	6.63%	6.14%	5.99%	8.31%	8.19%	9.10%	8.30%	7.53%	8.30%	9.14%	7.80%	8.44%	7.98%	7.68%	11.03%	7.17%	7.43%	8.45%	10.75%	14.31%	6.34%	10.44%	8.84%	6.54%	4.13%	11.25%	11.35%	6.31%	6.45%	4.70%	6.90%	5.21%	8.54%	8.26%	6.29%	12.16%	11.28%	10.21%	7.60%	15.76%	15.74%	15.59%	18.11%	9.67%	8.25%	6.12%	26.20%	13.96%	24.86%	16.44%	22.01%	6.78%	9.47%	6.80%	6.31%	6.19%	6.58%	7.48%	11.16%	10.72%	11.49%	10.92%	8.71%	6.63%	4.30%	5.83%	4.22%	4.57%	5.19%	6.74%	10.53%	4.69%	3.93%	8.72%	6.53%	10.39%	10.44%	14.13%	8.10%	5.00%	8.21%	11.57%	9.04%	8.37%	7.66%	13.18%	8.14%	10.02%	11.39%	7.11%	7.59%	4.12%	12.46%	9.21%	7.81%	10.14%	6.97%	8.62%	9.53%	9.65%	9.24%	9.87%	7.73%	10.79%	11.92%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	10776	118	123	158	125	168	154	144	161	115	126	86	61	79	93	134	134	108	151	148	56	189	156	42	73	116	106	85	60	52	24	20	22	17	36	172	137	146	192	133	78	81	89	15	153	107	218	50	64	25	21	113	83	42	63	103	118	208	56	47	21	141	99	182	157	135	113	114	32	12	105	123	42	176	102	60	35	87	102	31	40	105	140	144	46	86	123	34	67	43	113	61	42	27	72	106	20	30	61	76	104	114	155	108	106	172	117	141	106	76	126	153	39					
		11.66%	14.84%	13.38%	13.66%	11.44%	14.19%	13.02%	13.26%	13.52%	11.40%	11.61%	12.54%	8.76%	10.73%	10.02%	12.77%	12.22%	14.52%	16.36%	16.23%	9.93%	11.99%	12.21%	13.08%	9.68%	12.25%	10.75%	12.54%	10.27%	8.23%	11.16%	13.07%	10.09%	7.08%	7.17%	16.95%	14.73%	15.96%	17.20%	16.10%	7.93%	11.34%	10.18%	10.14%	13.70%	10.41%	18.41%	8.47%	8.68%	4.87%	7.92%	13.83%	13.43%	15.11%	8.87%	12.96%	13.04%	17.81%	11.74%	10.98%	7.37%	14.31%	12.74%	14.08%	13.59%	12.17%	9.85%	8.79%	7.36%	6.90%	13.85%	15.38%	5.02%	15.53%	8.29%	13.70%	5.05%	13.32%	11.42%	8.07%	6.84%	12.90%	15.50%	15.91%	8.14%	10.57%	17.47%	13.08%	8.59%	5.18%	11.88%	15.02%	7.49%	5.65%	10.47%	12.96%	8.44%	7.61%	11.03%	13.04%	7.28%	10.20%	10.91%	6.63%	9.35%	11.23%	8.14%	10.89%	9.80%	10.13%	9.65%	11.47%	11.34%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1101	9	13	10	10	8	15	16	12	15	19	10	10	6	7	7	14	9	6	5	5	23	9	3	5	5	11	9	1	2	1	3	4	1	4	10	11	6	11	6	3	4	3	0	7	10	7	4	3	1	2	5	4	1	5	14	4	8	7	10	4	6	8	20	15	17	7	13	3	1	15	9	4	11	9	3	6	4	8	6	7	9	3	9	6	8	15	2	6	6	10	1	7	5	11	11	3	4	5	6	18	22	32	28	29	36	18	65	32	8	36	29	12					
