Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Район Перово																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  3092	УИК  3093	УИК  3094	УИК  3095					
		6.20%	4.99%	4.42%	4.60%	4.19%	6.44%	6.11%	8.78%	7.51%	6.89%	6.17%	5.86%	6.99%	6.04%	7.07%	6.55%	5.71%	6.21%	6.67%	5.25%	6.20%	5.69%	7.29%	9.11%	7.58%	5.95%	7.83%	4.85%	4.96%	6.33%	5.57%	8.99%	8.23%	7.18%	4.28%	5.31%	4.17%	16.66%	1.73%	2.23%	2.59%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1009	36	42	34	22	29	25	23	23	20	11	41	16	26	17	16	23	11	24	25	39	27	26	38	36	35	19	28	34	29	35	24	19	30	26	38	37	0	8	9	8					
		2.15%	2.49%	2.81%	2.20%	1.42%	1.78%	1.62%	1.57%	2.10%	1.97%	1.35%	3.48%	1.41%	2.21%	2.03%	1.45%	2.73%	0.77%	2.32%	2.26%	2.66%	2.10%	1.67%	2.81%	2.41%	2.51%	1.61%	2.56%	2.86%	2.18%	2.47%	2.34%	1.27%	2.07%	2.37%	2.37%	2.41%	0.0%	2.31%	6.71%	10.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4746	143	135	118	102	114	169	202	93	98	79	129	105	118	109	119	77	154	132	118	163	127	192	156	151	144	120	72	112	159	147	120	178	170	76	153	155	0	29	5	3					
		10.12%	9.92%	9.04%	7.64%	6.58%	6.99%	10.98%	13.86%	8.52%	9.65%	9.75%	10.96%	9.30%	10.04%	13.06%	10.82%	9.16%	10.87%	12.77%	10.69%	11.11%	9.91%	12.38%	11.55%	10.14%	10.32%	10.22%	6.59%	9.42%	12.0%	10.37%	11.73%	11.91%	11.74%	6.92%	9.57%	10.11%	0.0%	8.40%	3.73%	3.89%					
22	"5. ""За Русь Святую"""	229	1	6	8	6	12	6	11	4	3	5	11	6	5	2	6	10	8	2	3	10	7	8	9	5	10	3	8	6	2	3	5	4	5	3	10	12	0	2	1	1					
		0.48%	0.06%	0.40%	0.51%	0.38%	0.73%	0.39%	0.75%	0.36%	0.29%	0.61%	0.93%	0.53%	0.42%	0.23%	0.54%	1.19%	0.56%	0.19%	0.27%	0.68%	0.54%	0.51%	0.66%	0.33%	0.71%	0.25%	0.73%	0.50%	0.15%	0.21%	0.48%	0.26%	0.34%	0.27%	0.62%	0.78%	0.0%	0.57%	0.74%	1.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	113	0	3	1	0	8	3	6	3	3	0	1	5	0	2	3	6	2	6	3	3	3	5	3	4	0	2	2	7	4	3	3	5	0	1	3	4	0	1	1	4					
		0.24%	0.0%	0.20%	0.06%	0.0%	0.49%	0.19%	0.41%	0.27%	0.29%	0.0%	0.08%	0.44%	0.0%	0.23%	0.27%	0.71%	0.14%	0.58%	0.27%	0.20%	0.23%	0.32%	0.22%	0.26%	0.0%	0.17%	0.18%	0.58%	0.30%	0.21%	0.29%	0.33%	0.0%	0.09%	0.18%	0.26%	0.0%	0.28%	0.74%	5.19%					
24	"7. ""Новый курс - Автомобильная Россия"""	679	27	28	20	25	9	29	26	19	14	10	19	17	16	12	17	12	21	24	21	16	12	24	11	25	26	12	14	22	15	8	14	27	22	18	17	27	0	1	0	2					
		1.44%	1.87%	1.87%	1.29%	1.61%	0.55%	1.88%	1.78%	1.74%	1.37%	1.23%	1.61%	1.50%	1.36%	1.43%	1.54%	1.42%	1.48%	2.32%	1.90%	1.09%	0.93%	1.54%	0.81%	1.67%	1.86%	1.02%	1.28%	1.85%	1.13%	0.56%	1.36%	1.80%	1.51%	1.64%	1.06%	1.76%	0.0%	0.28%	0.0%	2.59%					
25	"8. ""Народно-республиканская партия России"""	29	0	1	0	1	0	1	1	2	0	0	0	3	3	0	0	0	0	0	0	0	1	0	0	1	2	1	2	1	1	1	2	0	1	1	1	1	0	0	0	1					
		0.06%	0.0%	0.06%	0.0%	0.06%	0.0%	0.06%	0.06%	0.18%	0.0%	0.0%	0.0%	0.26%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.06%	0.14%	0.08%	0.18%	0.08%	0.07%	0.07%	0.19%	0.0%	0.06%	0.09%	0.06%	0.06%	0.0%	0.0%	0.0%	1.29%					
26	"9. ""Российская экологическая партия ""Зеленые"""	307	6	13	14	8	10	16	7	8	5	1	6	8	8	3	7	1	4	11	11	8	11	5	14	8	10	9	6	4	10	9	10	12	5	12	11	12	0	2	2	0					
		0.65%	0.41%	0.87%	0.90%	0.51%	0.61%	1.04%	0.48%	0.73%	0.49%	0.12%	0.50%	0.70%	0.68%	0.35%	0.63%	0.11%	0.28%	1.06%	0.99%	0.54%	0.85%	0.32%	1.03%	0.53%	0.71%	0.76%	0.54%	0.33%	0.75%	0.63%	0.97%	0.80%	0.34%	1.09%	0.68%	0.78%	0.0%	0.57%	1.49%	0.0%					
27	"10. ""Аграрная партия России"""	819	31	20	24	17	29	25	15	31	25	16	23	12	19	20	22	20	16	19	22	34	18	32	12	23	24	22	15	23	19	34	22	22	28	19	28	26	0	11	1	0					
		1.74%	2.15%	1.33%	1.55%	1.09%	1.78%	1.62%	1.02%	2.84%	2.46%	1.97%	1.95%	1.06%	1.61%	2.39%	2.00%	2.38%	1.12%	1.83%	1.99%	2.31%	1.40%	2.06%	0.88%	1.54%	1.72%	1.87%	1.37%	1.93%	1.43%	2.39%	2.15%	1.47%	1.93%	1.73%	1.75%	1.69%	0.0%	3.18%	0.74%	0.0%					
28	"11. ""Истинные патриоты России"""	22	0	0	1	1	0	0	0	1	0	0	2	0	0	2	2	0	0	0	0	0	1	2	0	1	0	2	0	0	0	0	1	1	0	0	3	1	0	1	0	0					
		0.04%	0.0%	0.0%	0.06%	0.06%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.16%	0.0%	0.0%	0.23%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.12%	0.0%	0.06%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.09%	0.06%	0.0%	0.0%	0.18%	0.06%	0.0%	0.28%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	505	19	17	18	14	15	13	6	10	10	10	7	9	17	13	9	8	25	6	7	10	10	18	8	17	14	15	16	15	12	28	12	18	10	17	32	14	0	6	0	0					
		1.07%	1.31%	1.13%	1.16%	0.90%	0.92%	0.84%	0.41%	0.91%	0.98%	1.23%	0.59%	0.79%	1.44%	1.55%	0.81%	0.95%	1.76%	0.58%	0.63%	0.68%	0.78%	1.16%	0.59%	1.14%	1.00%	1.27%	1.46%	1.26%	0.90%	1.97%	1.17%	1.20%	0.69%	1.54%	2.00%	0.91%	0.0%	1.73%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	66	0	4	1	6	0	4	0	0	0	1	2	0	0	1	2	4	0	4	3	2	1	1	1	0	2	4	0	4	2	3	0	2	1	2	2	6	0	0	1	0					
		0.14%	0.0%	0.26%	0.06%	0.38%	0.0%	0.26%	0.0%	0.0%	0.0%	0.12%	0.16%	0.0%	0.0%	0.11%	0.18%	0.47%	0.0%	0.38%	0.27%	0.13%	0.07%	0.06%	0.07%	0.0%	0.14%	0.34%	0.0%	0.33%	0.15%	0.21%	0.0%	0.13%	0.06%	0.18%	0.12%	0.39%	0.0%	0.0%	0.74%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	76	2	0	2	1	5	3	3	2	3	2	1	1	3	3	0	0	4	0	2	3	1	3	3	0	1	2	2	1	3	2	0	4	1	2	5	5	0	0	0	1					
		0.16%	0.13%	0.0%	0.12%	0.06%	0.30%	0.19%	0.20%	0.18%	0.29%	0.24%	0.08%	0.08%	0.25%	0.35%	0.0%	0.0%	0.28%	0.0%	0.18%	0.20%	0.07%	0.19%	0.22%	0.0%	0.07%	0.17%	0.18%	0.08%	0.22%	0.14%	0.0%	0.26%	0.06%	0.18%	0.31%	0.32%	0.0%	0.0%	0.0%	1.29%					
32	"15. ""Партия СЛОН"""	90	2	4	4	5	0	4	4	0	0	2	1	2	3	0	2	1	4	3	3	1	7	3	1	5	2	3	1	1	1	10	1	3	3	0	1	2	0	1	0	0					
		0.19%	0.13%	0.26%	0.25%	0.32%	0.0%	0.26%	0.27%	0.0%	0.0%	0.24%	0.08%	0.17%	0.25%	0.0%	0.18%	0.11%	0.28%	0.29%	0.27%	0.06%	0.54%	0.19%	0.07%	0.33%	0.14%	0.25%	0.09%	0.08%	0.07%	0.70%	0.09%	0.20%	0.20%	0.0%	0.06%	0.13%	0.0%	0.28%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7365	248	201	202	331	260	253	261	120	153	133	147	201	169	139	160	118	216	94	178	247	168	277	239	318	198	159	177	187	196	196	144	251	224	189	249	255	0	73	32	2					
		15.71%	17.21%	13.46%	13.09%	21.36%	15.96%	16.44%	17.91%	10.99%	15.07%	16.41%	12.48%	17.80%	14.38%	16.66%	14.55%	14.04%	15.25%	9.09%	16.13%	16.84%	13.11%	17.87%	17.70%	21.35%	14.20%	13.54%	16.20%	15.74%	14.79%	13.83%	14.07%	16.80%	15.46%	17.22%	15.58%	16.64%	0.0%	21.15%	23.88%	2.59%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	44	0	3	1	0	0	4	3	4	1	2	2	1	2	3	1	0	0	0	0	0	0	3	1	4	0	0	2	0	2	2	1	0	0	1	0	0	0	0	0	1					
		0.09%	0.0%	0.20%	0.06%	0.0%	0.0%	0.26%	0.20%	0.36%	0.09%	0.24%	0.16%	0.08%	0.17%	0.35%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.07%	0.26%	0.0%	0.0%	0.18%	0.0%	0.15%	0.14%	0.09%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	1.29%					
35	"18. ""ЛДПР"""	2862	90	130	97	87	104	91	94	76	66	34	69	68	75	46	63	52	73	81	64	82	80	71	83	68	115	72	65	71	72	85	54	86	82	88	127	81	0	10	2	8					
		6.10%	6.24%	8.70%	6.28%	5.61%	6.38%	5.91%	6.45%	6.96%	6.50%	4.19%	5.86%	6.02%	6.38%	5.51%	5.73%	6.19%	5.15%	7.84%	5.80%	5.59%	6.24%	4.58%	6.14%	4.56%	8.24%	6.13%	5.95%	5.97%	5.43%	5.99%	5.27%	5.75%	5.66%	8.02%	7.94%	5.28%	0.0%	2.89%	1.49%	10.38%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	418	22	24	16	8	11	11	9	7	11	9	9	11	6	7	12	8	16	5	6	16	19	13	7	6	14	10	8	11	7	17	15	9	9	12	21	9	0	3	3	1					
		0.89%	1.52%	1.60%	1.03%	0.51%	0.67%	0.71%	0.61%	0.64%	1.08%	1.11%	0.76%	0.97%	0.51%	0.83%	1.09%	0.95%	1.12%	0.48%	0.54%	1.09%	1.48%	0.83%	0.51%	0.40%	1.00%	0.85%	0.73%	0.92%	0.52%	1.19%	1.46%	0.60%	0.62%	1.09%	1.31%	0.58%	0.0%	0.86%	2.23%	1.29%					
37	"20. ""Политическая партия ""Единая Россия"""	17262	545	614	669	629	669	521	425	420	375	310	430	418	428	264	418	342	540	407	414	524	527	486	472	478	514	419	439	431	471	522	326	501	511	422	569	605	5	123	44	35					
		36.84%	37.82%	41.12%	43.35%	40.60%	41.06%	33.87%	29.16%	38.49%	36.94%	38.27%	36.53%	37.02%	36.42%	31.65%	38.03%	40.71%	38.13%	39.39%	37.53%	35.74%	41.13%	31.35%	34.96%	32.10%	36.87%	35.68%	40.20%	36.27%	35.54%	36.83%	31.86%	33.53%	35.29%	38.46%	35.60%	39.49%	83.33%	35.65%	32.83%	45.45%					
38	"21. ""Российская Конституционно-демократическая партия"""	46	0	3	1	1	2	3	0	2	3	0	2	1	1	3	1	1	0	0	0	1	3	1	1	2	2	1	1	1	1	1	1	2	1	0	2	1	0	0	0	0					
		0.09%	0.0%	0.20%	0.06%	0.06%	0.12%	0.19%	0.0%	0.18%	0.29%	0.0%	0.16%	0.08%	0.08%	0.35%	0.09%	0.11%	0.0%	0.0%	0.0%	0.06%	0.23%	0.06%	0.07%	0.13%	0.14%	0.08%	0.09%	0.08%	0.07%	0.07%	0.09%	0.13%	0.06%	0.0%	0.12%	0.06%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	115	1	0	3	2	4	6	4	4	0	0	4	6	6	4	4	1	9	4	2	0	6	1	0	1	1	3	2	6	6	2	4	5	2	2	6	3	0	1	0	0					
		0.24%	0.06%	0.0%	0.19%	0.12%	0.24%	0.39%	0.27%	0.36%	0.0%	0.0%	0.33%	0.53%	0.51%	0.47%	0.36%	0.11%	0.63%	0.38%	0.18%	0.0%	0.46%	0.06%	0.0%	0.06%	0.07%	0.25%	0.18%	0.50%	0.45%	0.14%	0.39%	0.33%	0.13%	0.18%	0.37%	0.19%	0.0%	0.28%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3493	101	75	119	104	123	116	123	84	73	66	84	78	78	62	65	54	109	66	79	118	77	124	117	135	92	119	81	94	97	116	87	114	116	86	106	103	0	36	15	1					
		7.45%	7.00%	5.02%	7.71%	6.71%	7.55%	7.54%	8.44%	7.69%	7.19%	8.14%	7.13%	6.90%	6.63%	7.43%	5.91%	6.42%	7.69%	6.38%	7.16%	8.04%	6.01%	8.0%	8.66%	9.06%	6.59%	10.13%	7.41%	7.91%	7.32%	8.18%	8.50%	7.63%	8.01%	7.83%	6.63%	6.72%	0.0%	10.43%	11.19%	1.29%					
																																															
41	Против всех	2787	75	93	100	94	88	109	94	74	63	50	82	62	69	54	76	42	77	67	63	75	79	117	36	76	82	63	42	74	96	80	69	92	98	55	109	83	0	12	10	7					
		5.94%	5.20%	6.22%	6.48%	6.06%	5.40%	7.08%	6.45%	6.78%	6.20%	6.17%	6.96%	5.49%	5.87%	6.47%	6.91%	5.0%	5.43%	6.48%	5.71%	5.11%	6.16%	7.54%	2.66%	5.10%	5.88%	5.36%	3.84%	6.22%	7.24%	5.64%	6.74%	6.15%	6.76%	5.01%	6.82%	5.41%	0.0%	3.47%	7.46%	9.09%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
