Выборы Президента Российской Федерации																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Миасская городская																																																																																											
																																																																																											
Итоги голосования 																																																																																											
																																																																																											
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №2193					
11	Число полученных открепительных  удостоверений	878	6	7	4	1	12	14	18	17	14	14	11	18	9	20	20	9	11	14	14	14	15	15	20	16	14	9	9	12	15	15	6	13	19	7	6	15	9	8	9	11	12	10	11	10	11	16	16	10	13	14	12	12	9	12	9	5	8	17	12	5	15	4	8	5	10	5	5	11	8	5	7	8	6	5	11	10	3	5	4	4	3	1	11	10					
12	Число выданных открепительных удостоверений	631	5	7	0	0	5	9	17	11	13	12	8	15	7	16	13	6	7	5	11	14	14	15	17	14	12	1	8	6	15	13	3	13	10	5	5	14	7	3	8	8	11	10	3	3	9	12	15	10	13	8	10	12	9	12	2	0	5	12	12	1	1	0	8	0	10	3	3	6	5	1	2	3	3	4	11	8	2	2	4	0	2	0	11	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	581	10	6	8	1	11	9	11	5	8	10	7	9	3	8	7	1	6	3	8	6	6	7	14	41	9	2	2	3	15	9	5	6	7	13	6	13	6	4	8	3	6	8	12	3	5	4	12	10	8	9	5	9	14	5	6	6	8	10	3	5	6	3	3	4	4	5	7	0	3	5	8	1	7	7	14	4	4	8	1	6	3	1	5	8					
14	Число неиспользованных открепительных удостоверений	247	1	0	4	1	7	5	1	6	1	2	3	3	2	4	7	3	4	9	3	0	1	0	3	2	2	8	1	6	0	2	3	0	9	2	1	1	2	5	1	3	1	0	8	7	2	4	1	0	0	6	2	0	0	0	7	5	3	5	0	4	14	4	0	5	0	2	2	5	3	4	5	5	3	1	0	2	1	3	0	4	1	1	0	9					
15	"Число открепительных удостоверений, выданных в ТИК"	94	0	1	0	0	3	3	0	0	0	1	1	0	2	0	2	0	1	2	0	0	0	2	2	2	0	1	0	1	1	7	0	1	0	2	0	3	2	0	1	0	2	0	2	1	1	0	3	0	0	0	0	1	1	2	1	2	1	4	1	0	2	1	3	1	2	2	3	0	6	1	0	3	2	0	0	2	0	1	1	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																											
18	. Глазьев Сергей Юрьевич	3687	7	6	13	6	37	56	115	76	76	62	66	71	63	59	70	38	59	102	121	95	124	70	105	54	39	32	23	36	61	71	22	52	44	36	25	65	71	25	43	31	58	46	34	41	41	68	79	56	57	57	57	56	53	45	37	16	23	51	47	25	50	22	40	30	33	13	5	18	21	30	22	21	30	13	24	16	13	12	17	10	0	1	25	47					
		4.64%	1.35%	1.70%	3.05%	9.68%	3.81%	5.65%	8.36%	5.62%	6.31%	6.29%	5.85%	5.61%	6.61%	5.64%	6.74%	4.03%	5.04%	7.25%	8.16%	6.82%	7.87%	5.19%	6.44%	3.45%	2.99%	3.43%	2.43%	3.33%	4.50%	4.58%	3.66%	4.09%	3.86%	4.28%	3.52%	4.17%	7.68%	3.40%	4.66%	4.43%	4.51%	4.45%	3.46%	4.51%	4.45%	6.07%	4.57%	4.90%	4.19%	4.13%	5.77%	5.58%	5.25%	3.41%	5.04%	4.19%	2.76%	4.12%	3.55%	5.12%	3.81%	5.19%	4.08%	5.28%	3.54%	3.16%	1.09%	2.68%	2.39%	4.01%	3.04%	2.92%	4.57%	2.50%	3.02%	3.19%	3.05%	1.86%	2.75%	2.10%	0.00%	1.15%	3.62%	4.75%					
19	. Малышкин Олег Александрович	1648	9	7	14	1	18	22	14	18	17	18	17	25	19	15	13	14	35	28	23	23	30	31	26	43	27	19	16	21	33	46	10	25	28	15	10	23	12	16	28	9	29	9	23	21	17	19	36	30	19	26	19	20	17	27	23	15	19	18	27	10	30	5	17	13	20	10	15	20	16	15	19	40	17	19	12	10	26	15	14	15	3	1	12	42					
		2.07%	1.74%	1.99%	3.29%	1.61%	1.86%	2.22%	1.02%	1.33%	1.41%	1.83%	1.51%	1.97%	1.99%	1.43%	1.25%	1.49%	2.99%	1.99%	1.55%	1.65%	1.90%	2.30%	1.60%	2.75%	2.07%	2.03%	1.69%	1.94%	2.43%	2.97%	1.66%	1.97%	2.45%	1.78%	1.41%	1.48%	1.30%	2.18%	3.04%	1.29%	2.26%	0.87%	2.34%	2.31%	1.85%	1.69%	2.08%	2.63%	1.40%	1.88%	1.92%	1.99%	1.68%	2.05%	3.13%	3.93%	2.28%	1.46%	2.04%	2.05%	2.28%	1.18%	1.73%	2.29%	2.15%	2.43%	3.28%	2.98%	1.82%	2.01%	2.62%	5.56%	2.59%	3.65%	1.51%	1.99%	6.10%	2.33%	2.26%	3.15%	1.11%	1.15%	1.74%	4.24%					
20	. Миронов Сергей Михайлович	704	5	2	3	2	10	6	13	18	11	13	10	12	5	10	7	10	12	7	13	22	17	10	10	10	9	12	3	6	14	14	2	11	6	6	11	25	8	8	10	5	8	7	9	9	6	11	18	4	17	12	9	8	9	15	12	3	6	15	10	3	11	5	11	5	5	5	1	1	11	5	6	6	8	4	7	9	1	0	1	5	1	1	10	6					
		0.89%	0.97%	0.57%	0.70%	3.23%	1.03%	0.60%	0.95%	1.33%	0.91%	1.32%	0.89%	0.95%	0.52%	0.96%	0.67%	1.06%	1.02%	0.50%	0.88%	1.58%	1.08%	0.74%	0.61%	0.64%	0.69%	1.28%	0.32%	0.56%	1.03%	0.90%	0.33%	0.87%	0.53%	0.71%	1.55%	1.60%	0.87%	1.09%	1.08%	0.72%	0.62%	0.68%	0.92%	0.99%	0.65%	0.98%	1.04%	0.35%	1.25%	0.87%	0.91%	0.80%	0.89%	1.14%	1.63%	0.79%	0.72%	1.21%	0.76%	0.61%	0.84%	1.18%	1.12%	0.88%	0.54%	1.21%	0.22%	0.15%	1.25%	0.67%	0.83%	0.83%	1.22%	0.77%	0.88%	1.79%	0.23%	0.00%	0.16%	1.05%	0.37%	1.15%	1.45%	0.61%					
21	. Путин Владимир Владимирович	48627	360	263	296	46	644	627	726	802	724	587	697	715	561	635	600	576	690	803	829	825	931	824	965	1049	842	532	603	692	778	927	366	767	745	496	430	978	551	501	529	430	767	660	604	530	523	642	1072	731	837	894	606	594	604	810	458	267	526	697	776	289	693	233	620	321	503	274	323	412	502	478	476	426	381	346	550	384	291	466	408	316	195	72	549	579					
		61.21%	69.50%	74.72%	69.48%	74.19%	66.39%	63.21%	52.80%	59.32%	60.13%	59.53%	61.74%	56.48%	58.87%	60.71%	57.80%	61.15%	58.92%	57.07%	55.94%	59.27%	59.11%	61.08%	59.20%	66.99%	64.57%	56.96%	63.81%	64.01%	57.33%	59.81%	60.90%	60.39%	65.29%	58.98%	60.56%	62.73%	59.63%	68.16%	57.38%	61.52%	59.69%	63.89%	61.44%	58.31%	56.79%	57.27%	61.97%	64.01%	61.45%	64.74%	61.34%	59.16%	59.86%	61.36%	62.40%	69.90%	63.15%	56.35%	58.61%	59.22%	52.78%	54.95%	63.27%	56.51%	53.97%	66.50%	70.68%	61.31%	57.11%	63.90%	65.75%	59.25%	58.08%	66.41%	69.18%	76.49%	68.31%	72.25%	65.91%	66.39%	71.96%	82.76%	79.45%	58.48%					
22	. Хакамада Ирина Муцуовна	4154	16	6	8	3	52	72	115	107	61	42	72	88	68	78	83	69	111	113	119	106	117	122	119	70	69	34	35	50	60	94	33	71	59	34	41	84	57	38	45	54	38	55	44	36	33	69	99	67	72	55	45	44	52	71	32	12	29	53	63	22	54	18	25	19	30	13	9	18	43	28	28	22	15	15	8	15	15	18	19	13	1	2	18	42					
		5.23%	3.09%	1.70%	1.88%	4.84%	5.36%	7.26%	8.36%	7.91%	5.07%	4.26%	6.38%	6.95%	7.14%	7.46%	8.00%	7.32%	9.48%	8.03%	8.03%	7.61%	7.43%	9.04%	7.30%	4.47%	5.29%	3.64%	3.70%	4.63%	4.42%	6.06%	5.49%	5.59%	5.17%	4.04%	5.77%	5.39%	6.17%	5.17%	4.88%	7.73%	2.96%	5.32%	4.48%	3.96%	3.58%	6.16%	5.72%	5.87%	5.29%	3.98%	4.55%	4.38%	5.15%	5.38%	4.36%	3.14%	3.48%	4.28%	4.76%	4.51%	4.11%	4.25%	2.55%	3.35%	3.22%	3.16%	1.97%	2.68%	4.89%	3.74%	3.87%	3.06%	2.29%	2.88%	1.01%	2.99%	3.52%	2.79%	3.07%	2.73%	0.37%	2.30%	2.60%	4.24%					
23	. Харитонов Николай Михайлович	15314	100	53	56	3	149	150	287	241	243	204	183	237	163	174	190	171	180	253	263	217	236	183	272	233	237	236	195	207	311	284	119	250	176	200	144	276	163	104	214	124	289	186	212	205	265	239	279	169	271	225	177	217	206	257	128	58	185	337	306	115	398	122	209	133	272	85	80	159	228	161	132	172	156	101	161	62	52	107	114	88	55	7	32	221					
		19.28%	19.31%	15.06%	13.15%	4.84%	15.36%	15.12%	20.87%	17.83%	20.18%	20.69%	16.21%	18.72%	17.10%	16.63%	18.30%	18.15%	15.37%	17.98%	17.75%	15.59%	14.98%	13.57%	16.69%	14.88%	18.17%	25.27%	20.63%	19.15%	22.92%	18.32%	19.80%	19.69%	15.43%	23.78%	20.28%	17.70%	17.64%	14.15%	23.21%	17.74%	22.49%	18.01%	21.57%	22.55%	28.77%	21.32%	16.13%	14.80%	19.90%	16.29%	17.91%	21.61%	20.42%	19.47%	17.44%	15.18%	22.21%	27.24%	23.11%	23.57%	30.31%	28.77%	21.33%	23.42%	29.18%	20.63%	17.51%	23.66%	25.94%	21.52%	18.23%	23.92%	23.78%	19.39%	20.25%	12.35%	12.21%	16.59%	18.42%	18.49%	20.30%	8.05%	4.63%	22.32%					
																																																																																											
24	Против всех	4477	16	11	29	0	43	50	97	81	64	56	76	105	63	64	69	61	76	85	105	100	107	105	124	92	64	59	53	64	74	90	39	91	63	43	39	99	50	33	45	39	78	58	42	56	26	71	125	75	80	110	68	60	56	79	37	8	43	59	80	18	58	16	51	38	52	8	20	31	46	18	23	20	34	15	19	5	18	21	32	13	12	2	40	32					
		5.64%	3.09%	3.12%	6.81%	0.00%	4.43%	5.04%	7.05%	5.99%	5.32%	5.68%	6.73%	8.29%	6.61%	6.12%	6.65%	6.48%	6.49%	6.04%	7.09%	7.18%	6.79%	7.78%	7.61%	5.87%	4.91%	6.32%	5.61%	5.92%	5.45%	5.81%	6.49%	7.17%	5.52%	5.11%	5.49%	6.35%	5.41%	4.49%	4.88%	5.58%	6.07%	5.61%	4.27%	6.16%	2.82%	6.33%	7.23%	6.57%	5.87%	7.97%	6.88%	5.98%	5.55%	5.98%	5.04%	2.09%	5.16%	4.77%	6.04%	3.69%	4.42%	3.77%	5.20%	6.69%	5.58%	1.94%	4.38%	4.61%	5.23%	2.41%	3.18%	2.78%	5.18%	2.88%	2.39%	1.00%	4.23%	3.26%	5.17%	2.73%	4.43%	2.30%	5.79%	3.23%					
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
