Выборы Президента Российской Федерации																																																																														
																																																																														
Наименование Избирательной комиссии:    Фрунзенская №29																																																																														
																																																																														
Итоги голосования 																																																																														
																																																																														
		Сумма	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712					
11	Число полученных открепительных  удостоверений	3450	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	50					
12	Число выданных открепительных удостоверений	1317	22	23	21	21	12	23	18	29	19	10	15	16	29	23	18	11	24	20	17	17	20	26	18	42	14	14	25	24	26	13	14	18	14	33	18	20	24	25	28	15	19	16	25	20	18	14	6	17	23	20	16	19	10	12	14	13	17	16	26	12	16	19	23	15	14	20	22	17	0	0	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	954	17	12	22	10	18	12	7	16	20	10	23	5	8	25	13	6	6	20	11	16	16	19	21	23	9	6	8	8	12	8	15	5	27	21	17	22	13	10	10	15	10	23	20	20	6	8	11	6	13	11	11	5	4	7	17	7	14	13	7	8	17	20	24	14	16	7	7	19	24	5	18					
14	Число неиспользованных открепительных удостоверений	2133	28	27	29	29	38	27	32	21	31	40	35	34	21	27	32	39	26	30	33	33	30	24	32	8	36	36	25	26	24	37	36	32	36	17	32	30	26	25	22	35	31	34	25	30	32	36	44	33	27	30	34	31	40	38	36	37	33	34	24	38	34	31	27	35	36	30	28	33	0	0	31					
15	"Число открепительных удостоверений, выданных в ТИК"	207	2	4	2	3	1	2	2	3	6	4	2	3	2	1	3	1	4	5	0	2	2	2	7	4	0	3	1	0	2	7	2	4	2	8	4	6	4	3	0	3	3	3	4	3	0	4	2	0	6	0	0	0	0	4	4	13	4	0	4	3	2	3	9	3	2	3	6	2	0	0	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																														
18	. Глазьев Сергей Юрьевич	3731	95	63	46	52	68	71	40	38	56	59	55	56	76	56	43	54	51	67	56	60	59	66	52	48	61	52	59	77	71	89	71	56	60	46	55	49	41	48	60	40	60	72	49	45	45	49	40	46	47	35	50	39	54	35	62	34	47	41	53	34	54	54	72	41	42	62	43	56	0	0	48					
		3.97%	6.66%	4.70%	3.55%	4.35%	5.60%	4.42%	3.53%	3.08%	4.24%	4.35%	4.25%	4.48%	5.36%	4.32%	3.35%	4.29%	4.47%	4.21%	4.10%	4.06%	4.18%	4.82%	2.94%	2.49%	4.44%	4.34%	4.00%	5.21%	3.68%	5.26%	4.73%	4.06%	3.70%	3.25%	3.79%	3.90%	3.06%	3.65%	4.45%	3.75%	4.59%	4.88%	3.39%	4.45%	2.88%	3.23%	3.42%	4.27%	3.25%	3.14%	4.18%	3.65%	4.19%	2.99%	5.29%	2.77%	3.52%	3.56%	4.23%	2.11%	3.63%	3.04%	5.21%	3.21%	3.23%	5.04%	3.23%	3.87%	0.00%	0.00%	3.70%					
19	. Малышкин Олег Александрович	705	6	6	7	7	6	18	6	9	17	16	14	8	11	9	8	9	11	11	14	16	11	10	12	13	17	14	8	8	13	11	6	12	8	10	7	10	7	9	6	3	11	12	10	9	11	4	14	6	5	6	9	6	18	9	8	12	5	11	10	12	8	11	17	10	16	6	18	13	0	0	14					
		0.75%	0.42%	0.45%	0.54%	0.59%	0.49%	1.12%	0.53%	0.73%	1.29%	1.18%	1.08%	0.64%	0.78%	0.69%	0.62%	0.71%	0.96%	0.69%	1.03%	1.08%	0.78%	0.73%	0.68%	0.67%	1.24%	1.17%	0.54%	0.54%	0.67%	0.65%	0.40%	0.87%	0.49%	0.71%	0.48%	0.80%	0.52%	0.68%	0.45%	0.28%	0.84%	0.81%	0.69%	0.89%	0.71%	0.26%	1.20%	0.56%	0.35%	0.54%	0.75%	0.56%	1.40%	0.77%	0.68%	0.98%	0.37%	0.95%	0.80%	0.74%	0.54%	0.62%	1.23%	0.78%	1.23%	0.49%	1.35%	0.90%	0.00%	0.00%	1.08%					
20	. Миронов Сергей Михайлович	1298	43	21	22	23	20	21	11	16	18	13	20	13	14	25	25	14	25	14	23	19	17	14	34	27	21	15	28	25	21	17	16	16	32	17	19	16	18	10	18	8	11	31	22	13	20	16	22	15	16	14	16	13	9	14	8	26	18	12	15	18	14	19	10	19	21	15	26	24	0	1	31					
		1.38%	3.01%	1.57%	1.70%	1.92%	1.65%	1.31%	0.97%	1.30%	1.36%	0.96%	1.55%	1.04%	0.99%	1.93%	1.95%	1.11%	2.19%	0.88%	1.68%	1.29%	1.21%	1.02%	1.92%	1.40%	1.53%	1.25%	1.90%	1.69%	1.09%	1.00%	1.07%	1.16%	1.97%	1.20%	1.31%	1.27%	1.34%	0.76%	1.34%	0.75%	0.84%	2.10%	1.52%	1.29%	1.28%	1.05%	1.88%	1.39%	1.11%	1.26%	1.34%	1.22%	0.70%	1.20%	0.68%	2.12%	1.35%	1.04%	1.20%	1.11%	0.94%	1.07%	0.72%	1.49%	1.62%	1.22%	1.95%	1.66%	0.00%	20.00%	2.39%					
21	. Путин Владимир Владимирович	71614	1011	1011	998	906	856	1125	875	967	1014	1019	968	960	1042	965	977	986	843	1214	1027	1156	1109	1019	1326	1454	1024	912	1089	1097	1525	1255	1139	1049	1229	1078	1117	990	1051	989	1042	838	996	1088	1115	760	1242	1251	879	829	1140	864	923	857	970	913	829	928	1059	883	925	1275	1224	1299	1056	1000	1009	909	1034	1134	18	4	949					
		76.20%	70.85%	75.45%	77.13%	75.75%	70.51%	70.05%	77.30%	78.43%	76.70%	75.09%	74.81%	76.86%	73.48%	74.46%	76.21%	78.32%	73.95%	76.21%	75.24%	78.21%	78.65%	74.49%	74.96%	75.30%	74.58%	76.06%	73.88%	74.27%	79.02%	74.13%	75.88%	76.12%	75.72%	76.18%	76.88%	78.76%	78.43%	75.15%	77.30%	78.54%	76.21%	73.76%	77.16%	75.17%	79.62%	82.41%	75.26%	76.97%	78.78%	77.56%	77.17%	80.17%	75.19%	78.03%	70.73%	75.69%	79.27%	76.65%	73.88%	78.95%	82.31%	73.18%	76.36%	78.19%	77.68%	73.84%	77.57%	78.31%	75.00%	80.00%	73.23%					
22	. Хакамада Ирина Муцуовна	5538	78	71	72	79	108	101	65	58	88	69	64	71	104	88	88	69	69	88	74	75	80	83	85	90	108	77	86	103	103	139	83	86	80	83	99	54	86	93	91	73	72	96	70	75	85	65	71	49	81	64	55	57	56	66	99	86	75	88	93	51	76	123	85	61	54	78	63	89	0	0	94					
		5.89%	5.47%	5.30%	5.56%	6.61%	8.90%	6.29%	5.74%	4.70%	6.66%	5.08%	4.95%	5.68%	7.33%	6.79%	6.86%	5.48%	6.05%	5.52%	5.42%	5.07%	5.67%	6.07%	4.80%	4.66%	7.87%	6.42%	5.83%	6.97%	5.34%	8.21%	5.53%	6.24%	4.93%	5.87%	6.81%	4.30%	6.42%	7.07%	6.75%	6.84%	5.51%	6.51%	4.84%	7.42%	5.45%	4.28%	6.08%	4.55%	5.60%	5.75%	4.60%	5.33%	4.34%	5.64%	8.45%	7.01%	5.61%	7.64%	7.43%	3.16%	5.11%	6.93%	6.15%	4.77%	4.16%	6.34%	4.73%	6.15%	0.00%	0.00%	7.25%					
23	. Харитонов Николай Михайлович	6744	167	116	90	88	108	104	93	82	90	106	116	90	122	107	80	82	95	128	102	94	87	129	86	115	83	86	147	106	113	107	132	106	145	117	87	108	79	96	81	60	87	125	107	65	73	67	99	88	103	88	93	63	130	98	100	77	71	79	98	79	73	100	93	90	99	111	90	72	4	0	92					
		7.18%	11.70%	8.66%	6.96%	7.36%	8.90%	6.48%	8.22%	6.65%	6.81%	7.81%	8.96%	7.21%	8.60%	8.26%	6.24%	6.51%	8.33%	8.04%	7.47%	6.36%	6.17%	9.43%	4.86%	5.96%	6.05%	7.17%	9.97%	7.18%	5.85%	6.32%	8.79%	7.69%	8.93%	8.27%	5.99%	8.59%	5.90%	7.29%	6.01%	5.62%	6.66%	8.47%	7.40%	6.43%	4.68%	4.41%	8.48%	8.17%	7.12%	7.90%	7.78%	5.89%	10.08%	8.38%	8.53%	6.28%	5.31%	6.86%	7.83%	4.89%	4.91%	5.63%	6.72%	7.04%	7.62%	9.02%	6.75%	4.97%	16.67%	0.00%	7.10%					
																																																																														
24	Против всех	4070	27	50	52	40	46	164	36	56	38	72	55	47	47	40	60	42	40	67	62	54	43	42	168	180	49	40	53	56	82	74	46	45	64	57	65	27	58	66	50	38	67	48	65	42	78	66	39	39	52	34	48	32	41	32	60	59	54	36	58	142	37	167	42	56	55	47	54	56	1	0	65					
		4.33%	1.89%	3.73%	4.02%	3.34%	3.79%	10.21%	3.18%	4.54%	2.87%	5.31%	4.25%	3.76%	3.31%	3.09%	4.68%	3.34%	3.51%	4.21%	4.54%	3.65%	3.05%	3.07%	9.50%	9.32%	3.57%	3.34%	3.60%	3.79%	4.25%	4.37%	3.06%	3.27%	3.94%	4.03%	4.47%	2.15%	4.33%	5.02%	3.71%	3.56%	5.13%	3.25%	4.50%	4.15%	5.00%	4.35%	3.34%	3.62%	3.59%	3.05%	4.01%	2.99%	3.18%	2.74%	5.12%	4.81%	4.04%	3.12%	4.63%	8.79%	2.49%	9.41%	3.04%	4.38%	4.23%	3.82%	4.05%	3.87%	4.17%	0.00%	5.02%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
