Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Артинская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148									
		51.09%	45.22%	47.64%	43.17%	51.36%	49.63%	40.96%	50.35%	52.73%	49.14%	60.00%	42.63%	52.70%	28.13%	65.38%	70.98%	59.44%	50.00%	52.67%	49.00%	49.07%	56.36%	67.82%	65.14%	48.64%	55.43%	41.59%	54.55%	65.61%	45.76%	61.29%	52.22%	48.14%	60.53%	71.83%	50.26%	47.01%	60.90%	66.67%	63.78%	48.68%	41.94%	57.41%	56.00%	47.50%	50.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	64	1	6	4	3	3	4	0	2	3	1	1	0	0	1	0	0	9	1	1	3	0	0	0	1	0	2	1	2	4	2	0	2	1	0	0	1	1	0	0	1	0	0	1	1	1									
		0.52%	0.19%	0.98%	0.73%	0.48%	0.44%	0.69%	0.00%	0.48%	0.51%	0.95%	0.53%	0.00%	0.00%	1.28%	0.00%	0.00%	1.32%	0.41%	0.50%	0.51%	0.00%	0.00%	0.00%	0.45%	0.00%	0.61%	0.57%	0.64%	1.03%	3.23%	0.00%	0.37%	0.88%	0.00%	0.00%	0.85%	0.64%	0.00%	0.00%	0.26%	0.00%	0.00%	1.33%	0.83%	0.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	28	2	3	2	2	0	0	0	5	1	0	0	0	0	0	0	0	2	1	1	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	2									
		0.23%	0.38%	0.49%	0.36%	0.32%	0.00%	0.00%	0.00%	1.19%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.41%	0.50%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	1.49%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1951	98	122	122	113	102	122	28	31	108	8	33	12	7	8	25	52	100	10	22	105	11	8	27	50	34	36	26	54	85	8	19	85	20	12	65	9	15	8	9	66	15	37	10	9	5									
		15.76%	18.39%	19.84%	22.22%	18.14%	15.02%	20.99%	19.86%	7.36%	18.49%	7.62%	17.37%	16.22%	21.88%	10.26%	11.16%	12.12%	14.71%	4.12%	11.00%	17.71%	20.00%	9.20%	15.43%	22.73%	19.43%	11.01%	14.77%	17.20%	21.85%	12.90%	21.11%	15.80%	17.54%	16.90%	16.75%	7.69%	9.62%	5.93%	7.09%	17.37%	24.19%	11.67%	13.33%	7.50%	3.73%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	41	5	3	0	2	3	6	0	0	5	0	0	2	0	0	1	0	3	0	0	4	0	0	0	1	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.33%	0.94%	0.49%	0.00%	0.32%	0.44%	1.03%	0.00%	0.00%	0.86%	0.00%	0.00%	2.70%	0.00%	0.00%	0.45%	0.00%	0.44%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.45%	1.14%	0.31%	0.00%	0.00%	0.51%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	54	6	3	4	4	7	6	1	1	6	1	1	0	0	0	0	0	1	1	1	2	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0									
		0.44%	1.13%	0.49%	0.73%	0.64%	1.03%	1.03%	0.71%	0.24%	1.03%	0.95%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.41%	0.50%	0.34%	0.00%	0.00%	0.57%	0.00%	0.00%	0.31%	0.57%	0.32%	0.26%	0.00%	1.11%	0.19%	0.00%	0.00%	0.00%	0.00%	0.64%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	2	2	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0									
		0.13%	0.38%	0.33%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.23%	0.15%	0.41%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	87	4	3	2	6	8	4	0	6	7	0	0	0	0	0	0	0	14	1	1	5	0	0	1	2	0	3	0	2	3	0	0	6	0	0	2	0	1	0	1	2	0	1	1	1	0									
		0.70%	0.75%	0.49%	0.36%	0.96%	1.18%	0.69%	0.00%	1.43%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.06%	0.41%	0.50%	0.84%	0.00%	0.00%	0.57%	0.91%	0.00%	0.92%	0.00%	0.64%	0.77%	0.00%	0.00%	1.12%	0.00%	0.00%	0.52%	0.00%	0.64%	0.00%	0.79%	0.53%	0.00%	0.32%	1.33%	0.83%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1994	71	85	96	93	110	98	23	94	76	11	47	6	8	8	19	71	103	62	48	97	8	13	12	34	22	92	30	21	50	2	9	78	7	5	61	31	23	26	24	79	11	61	14	21	34									
		16.11%	13.32%	13.82%	17.49%	14.93%	16.20%	16.87%	16.31%	22.33%	13.01%	10.48%	24.74%	8.11%	25.00%	10.26%	8.48%	16.55%	15.15%	25.51%	24.00%	16.36%	14.55%	14.94%	6.86%	15.45%	12.57%	28.13%	17.05%	6.69%	12.85%	3.23%	10.00%	14.50%	6.14%	7.04%	15.72%	26.50%	14.74%	19.26%	18.90%	20.79%	17.74%	19.24%	18.67%	17.50%	25.37%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	3	2	1	1	5	2	0	1	4	1	0	1	0	0	1	1	3	1	0	4	0	0	1	3	2	0	1	1	3	1	6	0	0	0	2	1	0	0	0	1	0	1	0	0	0									
		0.44%	0.56%	0.33%	0.18%	0.16%	0.74%	0.34%	0.00%	0.24%	0.68%	0.95%	0.00%	1.35%	0.00%	0.00%	0.45%	0.23%	0.44%	0.41%	0.00%	0.67%	0.00%	0.00%	0.57%	1.36%	1.14%	0.00%	0.57%	0.32%	0.77%	1.61%	6.67%	0.00%	0.00%	0.00%	0.52%	0.85%	0.00%	0.00%	0.00%	0.26%	0.00%	0.32%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	472	37	43	20	19	31	19	6	14	26	3	7	6	1	1	3	10	30	5	2	27	0	1	8	8	7	16	4	8	10	1	0	33	4	1	13	3	1	1	3	8	2	11	4	9	6									
		3.81%	6.94%	6.99%	3.64%	3.05%	4.57%	3.27%	4.26%	3.33%	4.45%	2.86%	3.68%	8.11%	3.13%	1.28%	1.34%	2.33%	4.41%	2.06%	1.00%	4.55%	0.00%	1.15%	4.57%	3.64%	4.00%	4.89%	2.27%	2.55%	2.57%	1.61%	0.00%	6.13%	3.51%	1.41%	3.35%	2.56%	0.64%	0.74%	2.36%	2.11%	3.23%	3.47%	5.33%	7.50%	4.48%									
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
