Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
Наименование Избирательной комиссии:    Майкопская городская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	379	3	2	9	7	7	5	17	7	10	10	8	7	4	5	2	2	1	6	6	12	9	8	14	9	6	12	9	4	6	6	2	5	2	8	3	7	3	1	7	6	9	4	6	8	4	5	5	14	1	0	3	8	5	18	1	0	3	7	1	1	0	8	4	3	3	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	243	3	2	1	1	3	2	5	5	3	0	1	1	0	2	3	2	0	2	2	2	2	4	5	1	2	10	4	1	2	4	1	2	7	3	2	0	2	1	5	7	9	8	8	3	3	8	4	2	4	0	1	2	16	6	4	3	1	8	1	2	6	4	2	2	0	0	0	28	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	368	5	12	4	1	7	9	0	7	4	4	6	7	4	9	6	6	7	8	2	1	4	0	0	5	8	2	5	4	2	2	6	3	6	0	5	7	5	13	7	2	2	4	2	6	4	9	3	0	4	5	11	6	9	1	13	8	5	7	4	13	14	6	21	2	5	5	0	0	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	1	0	0	2	0	0	2	0	1	0	0	0	0	0	1	0	1	0	0	1	2	0	0	3	0	0	0	0	0	0	1	1	2	0	1	2	0	0	2	0	0	0	0	3	0	0	0	1	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
18	1.Политическая партия «Аграрная партия России»	1435	22	25	25	27	16	15	17	20	31	43	25	28	25	35	19	21	16	14	33	21	28	31	33	22	22	23	24	18	27	23	12	19	14	16	11	23	11	20	25	18	20	18	24	28	32	30	18	28	4	3	20	15	33	31	16	15	29	22	9	21	34	34	14	8	9	5	6	5	2	4					
		2.09%	2.19%	2.13%	2.21%	2.42%	1.48%	1.43%	1.75%	1.48%	2.14%	3.26%	1.95%	2.45%	3.02%	2.69%	2.29%	2.18%	1.62%	1.43%	3.47%	2.03%	2.64%	2.91%	2.70%	1.68%	2.16%	1.81%	1.90%	2.45%	3.18%	3.17%	1.60%	2.59%	1.78%	1.70%	1.46%	1.70%	1.08%	1.65%	2.12%	2.38%	2.07%	2.47%	2.49%	1.84%	3.71%	2.02%	2.38%	1.95%	0.99%	1.57%	2.11%	1.14%	2.26%	2.35%	2.79%	0.67%	3.27%	1.72%	3.63%	1.78%	2.50%	2.36%	2.41%	2.33%	1.43%	3.18%	1.43%	1.07%	0.71%	1.04%					
19	2.Всероссийская политическая партия «Гражданская Сила»	613	8	12	18	13	6	7	10	17	11	19	12	6	5	16	12	6	0	6	12	6	12	6	18	8	11	22	13	7	12	6	7	5	4	8	3	14	5	9	10	3	14	9	8	17	8	21	8	15	2	2	11	12	16	14	10	3	11	7	3	3	6	9	1	0	4	1	2	2	3	6					
		0.89%	0.80%	1.02%	1.59%	1.17%	0.55%	0.67%	1.03%	1.26%	0.76%	1.44%	0.94%	0.52%	0.60%	1.23%	1.45%	0.62%	0.00%	0.61%	1.26%	0.58%	1.13%	0.56%	1.47%	0.61%	1.08%	1.73%	1.03%	0.95%	1.42%	0.83%	0.93%	0.68%	0.51%	0.85%	0.40%	1.03%	0.49%	0.74%	0.85%	0.40%	1.45%	1.23%	0.83%	1.12%	0.93%	1.41%	1.06%	1.05%	0.50%	1.05%	1.16%	0.91%	1.10%	1.06%	1.74%	0.13%	1.24%	0.55%	1.21%	0.25%	0.44%	0.63%	0.17%	0.00%	0.64%	0.64%	0.48%	0.43%	1.06%	1.55%					
20	3.Политическая партия «Демократическая партия России»	81	1	2	7	2	0	0	0	1	0	1	1	3	1	1	1	0	0	5	1	0	1	0	1	1	1	1	4	1	0	0	0	0	2	1	1	0	0	2	2	0	3	0	2	3	1	3	1	1	0	0	0	3	1	6	3	2	0	2	0	0	0	1	0	1	1	0	1	1	0	0					
		0.12%	0.10%	0.17%	0.62%	0.18%	0.00%	0.00%	0.00%	0.07%	0.00%	0.08%	0.08%	0.26%	0.12%	0.08%	0.12%	0.00%	0.00%	0.51%	0.11%	0.00%	0.09%	0.00%	0.08%	0.08%	0.10%	0.08%	0.32%	0.14%	0.00%	0.00%	0.00%	0.00%	0.25%	0.11%	0.13%	0.00%	0.00%	0.16%	0.17%	0.00%	0.31%	0.00%	0.21%	0.20%	0.12%	0.20%	0.13%	0.07%	0.00%	0.00%	0.00%	0.23%	0.07%	0.45%	0.52%	0.09%	0.00%	0.16%	0.00%	0.00%	0.00%	0.07%	0.00%	0.29%	0.16%	0.00%	0.24%	0.21%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10452	174	154	155	149	175	134	106	208	223	190	227	221	151	228	137	133	130	145	194	179	192	187	178	250	194	259	148	120	175	127	160	125	130	121	102	140	184	146	178	102	191	117	132	266	196	192	108	294	41	21	124	192	321	211	97	79	124	203	22	137	156	163	58	42	78	26	83	48	37	62					
		15.19%	17.30%	13.14%	13.73%	13.36%	16.14%	12.76%	10.94%	15.37%	15.38%	14.39%	17.69%	19.34%	18.24%	17.51%	16.55%	13.78%	13.13%	14.77%	20.38%	17.31%	18.10%	17.53%	14.55%	19.11%	19.08%	20.38%	11.72%	16.33%	20.64%	17.52%	21.30%	17.01%	16.52%	12.83%	13.55%	10.34%	18.11%	12.02%	15.11%	13.51%	19.77%	16.03%	13.69%	17.48%	22.71%	12.92%	14.27%	20.49%	10.20%	10.99%	13.08%	14.56%	22.02%	15.98%	16.90%	3.52%	13.98%	15.86%	8.87%	11.63%	11.48%	11.32%	10.00%	12.21%	12.42%	16.56%	19.81%	10.26%	13.07%	16.06%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	305	5	3	4	2	9	1	0	6	9	2	4	2	7	3	4	3	5	2	4	8	8	10	1	3	8	14	12	4	2	3	6	2	5	0	4	14	14	7	4	5	7	3	5	3	2	6	1	1	0	2	2	4	12	7	2	4	7	5	0	0	7	5	2	0	2	0	2	1	0	4					
		0.44%	0.50%	0.26%	0.35%	0.18%	0.83%	0.10%	0.00%	0.44%	0.62%	0.15%	0.31%	0.17%	0.85%	0.23%	0.48%	0.31%	0.51%	0.20%	0.42%	0.77%	0.75%	0.94%	0.08%	0.23%	0.79%	1.10%	0.95%	0.54%	0.24%	0.41%	0.80%	0.27%	0.64%	0.00%	0.53%	1.03%	1.38%	0.58%	0.34%	0.66%	0.72%	0.41%	0.52%	0.20%	0.23%	0.40%	0.13%	0.07%	0.00%	1.05%	0.21%	0.30%	0.82%	0.53%	0.35%	0.18%	0.79%	0.39%	0.00%	0.00%	0.52%	0.35%	0.34%	0.00%	0.32%	0.00%	0.48%	0.21%	0.00%	1.04%					
23	6.Политическая партия «Партия социальной справедливости»	135	0	2	1	4	3	3	4	1	5	2	2	2	3	3	0	0	1	1	4	2	1	1	4	3	2	1	5	3	1	2	0	1	3	2	2	1	1	1	3	1	2	2	0	3	2	0	1	2	0	0	2	5	1	1	5	6	3	2	0	1	1	3	3	1	1	0	1	4	1	1					
		0.20%	0.00%	0.17%	0.09%	0.36%	0.28%	0.29%	0.41%	0.07%	0.34%	0.15%	0.16%	0.17%	0.36%	0.23%	0.00%	0.00%	0.10%	0.10%	0.42%	0.19%	0.09%	0.09%	0.33%	0.23%	0.20%	0.08%	0.40%	0.41%	0.12%	0.28%	0.00%	0.14%	0.38%	0.21%	0.27%	0.07%	0.10%	0.08%	0.25%	0.13%	0.21%	0.27%	0.00%	0.20%	0.23%	0.00%	0.13%	0.14%	0.00%	0.00%	0.21%	0.38%	0.07%	0.08%	0.87%	0.27%	0.34%	0.16%	0.00%	0.08%	0.07%	0.21%	0.52%	0.29%	0.16%	0.00%	0.24%	0.85%	0.35%	0.26%					
24	7.Политическая партия «Либерально-демократическая партия России»	5604	77	109	97	81	74	85	74	140	123	114	82	88	58	79	70	70	71	86	71	61	60	75	85	97	73	73	109	76	69	51	39	52	63	86	73	107	71	103	103	70	54	48	86	139	66	117	75	115	13	17	79	109	126	132	73	340	60	87	26	95	141	120	64	18	46	14	15	35	15	34					
		8.15%	7.65%	9.30%	8.59%	7.26%	6.83%	8.10%	7.64%	10.35%	8.48%	8.64%	6.39%	7.70%	7.00%	6.07%	8.45%	7.25%	7.17%	8.76%	7.46%	5.90%	5.66%	7.03%	6.95%	7.42%	7.18%	5.74%	8.63%	10.34%	8.14%	7.03%	5.19%	7.07%	8.01%	9.12%	9.69%	7.90%	6.99%	8.48%	8.74%	9.27%	5.59%	6.58%	8.92%	9.13%	7.65%	7.87%	9.91%	8.01%	3.23%	8.90%	8.33%	8.26%	8.64%	10.00%	12.72%	15.14%	6.76%	6.80%	10.48%	8.06%	10.38%	8.33%	11.03%	5.23%	7.32%	8.92%	3.58%	7.48%	5.30%	8.81%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6020	74	68	89	99	113	73	70	109	123	136	114	78	64	170	85	86	86	71	119	138	117	115	128	146	88	147	120	50	85	76	80	73	69	83	55	137	86	92	86	66	85	62	77	166	92	135	82	143	11	21	124	155	125	125	45	60	66	96	15	81	88	100	30	19	36	7	28	27	22	33					
		8.75%	7.36%	5.80%	7.88%	8.88%	10.42%	6.95%	7.22%	8.06%	8.48%	10.30%	8.89%	6.82%	7.73%	13.06%	10.27%	8.91%	8.69%	7.23%	12.50%	13.35%	11.03%	10.78%	10.47%	11.16%	8.65%	11.57%	9.50%	6.80%	10.02%	10.48%	10.65%	9.93%	8.77%	8.80%	7.30%	10.12%	8.46%	7.57%	7.30%	8.74%	8.80%	8.49%	7.99%	10.91%	10.66%	9.08%	10.83%	9.97%	2.74%	10.99%	13.08%	11.75%	8.57%	9.47%	7.84%	2.67%	7.44%	7.50%	6.05%	6.88%	6.48%	6.94%	5.17%	5.52%	5.73%	4.46%	6.68%	5.77%	7.77%	8.55%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	886	4	12	12	9	14	11	12	20	19	25	15	17	10	24	15	10	12	18	5	9	13	17	21	26	11	13	30	11	14	9	12	12	9	7	6	17	7	15	15	9	20	16	12	22	12	35	10	24	4	3	12	24	19	20	3	7	14	11	1	9	8	23	2	2	2	0	10	6	2	6					
		1.29%	0.40%	1.02%	1.06%	0.81%	1.29%	1.05%	1.24%	1.48%	1.31%	1.89%	1.17%	1.49%	1.21%	1.84%	1.81%	1.04%	1.21%	1.83%	0.53%	0.87%	1.23%	1.59%	1.72%	1.99%	1.08%	1.02%	2.38%	1.50%	1.65%	1.24%	1.60%	1.63%	1.14%	0.74%	0.80%	1.26%	0.69%	1.23%	1.27%	1.19%	2.07%	2.19%	1.24%	1.45%	1.39%	2.36%	1.32%	1.67%	0.99%	1.57%	1.27%	1.82%	1.30%	1.52%	0.52%	0.31%	1.58%	0.86%	0.40%	0.76%	0.59%	1.60%	0.34%	0.58%	0.32%	0.00%	2.39%	1.28%	0.71%	1.55%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	41625	609	758	689	710	647	702	658	786	880	735	770	672	474	709	470	616	614	620	488	581	604	600	734	709	580	668	746	424	442	408	394	432	477	596	487	879	619	770	727	453	538	434	601	846	437	907	433	778	317	117	548	776	776	753	310	1701	547	828	170	819	897	966	390	244	435	101	259	332	198	230					
		60.50%	60.54%	64.68%	61.03%	63.68%	59.69%	66.86%	67.91%	58.09%	60.69%	55.68%	60.02%	58.79%	57.25%	54.45%	56.76%	63.83%	62.02%	63.14%	51.26%	56.19%	56.93%	56.23%	60.02%	54.20%	57.03%	52.56%	59.07%	57.69%	52.12%	56.28%	52.46%	58.78%	60.61%	63.20%	64.67%	64.92%	60.93%	63.37%	61.71%	60.00%	55.69%	59.45%	62.34%	55.58%	50.64%	61.04%	57.20%	54.22%	78.86%	61.26%	57.81%	58.83%	53.22%	57.05%	54.01%	75.77%	61.67%	64.69%	68.55%	69.52%	66.00%	67.08%	67.24%	70.93%	69.27%	64.33%	61.81%	70.94%	69.96%	59.59%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	862	15	17	11	10	8	6	11	25	15	23	21	18	15	25	9	13	10	7	13	19	11	17	8	26	19	20	37	8	7	8	24	7	8	11	6	18	8	30	16	15	20	18	11	13	10	23	12	18	4	4	13	15	11	12	6	11	22	7	0	4	9	8	5	4	1	1	3	0	1	1					
		1.25%	1.49%	1.45%	0.97%	0.90%	0.74%	0.57%	1.14%	1.85%	1.03%	1.74%	1.64%	1.57%	1.81%	1.92%	1.09%	1.35%	1.01%	0.71%	1.37%	1.84%	1.04%	1.59%	0.65%	1.99%	1.87%	1.57%	2.93%	1.09%	0.83%	1.10%	3.20%	0.95%	1.02%	1.17%	0.80%	1.33%	0.79%	2.47%	1.36%	1.99%	2.07%	2.47%	1.14%	0.85%	1.16%	1.55%	1.59%	1.25%	0.99%	2.09%	1.37%	1.14%	0.75%	0.91%	1.05%	0.49%	2.48%	0.55%	0.00%	0.34%	0.66%	0.56%	0.86%	1.16%	0.16%	0.64%	0.72%	0.00%	0.35%	0.26%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
