Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Район Ховрино																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК  3066					
		0.73%	1.35%	0.38%	0.63%	0.39%	0.37%	0.72%	0.87%	0.62%	0.68%	0.78%	0.59%	1.23%	1.19%	0.42%	0.99%	0.35%	0.79%	0.60%	1.37%	0.49%	0.56%	2.38%					
37	"20. ""Политическая партия ""Единая Россия"""	9456	464	423	320	357	374	492	431	426	494	514	485	462	451	457	437	484	449	514	482	490	440	10					
		30.31%	28.55%	27.02%	22.47%	23.57%	28.18%	32.36%	26.82%	26.67%	30.95%	30.92%	32.22%	29.98%	33.63%	32.20%	33.38%	34.35%	32.53%	34.54%	36.79%	34.62%	27.53%	23.80%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	1	0	0	2	1	0	3	1	3	0	1	2	0	1	0	3	3	1	0	3	1	0					
		0.08%	0.06%	0.0%	0.0%	0.13%	0.07%	0.0%	0.18%	0.06%	0.18%	0.0%	0.06%	0.12%	0.0%	0.07%	0.0%	0.21%	0.21%	0.06%	0.0%	0.21%	0.06%	0.0%					
39	"22. ""Развитие предпринимательства"""	75	2	3	2	6	5	2	1	5	4	1	5	6	4	3	2	1	5	1	5	6	6	0					
		0.24%	0.12%	0.19%	0.14%	0.39%	0.37%	0.13%	0.06%	0.31%	0.25%	0.06%	0.33%	0.38%	0.29%	0.21%	0.15%	0.07%	0.36%	0.06%	0.38%	0.42%	0.37%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2519	156	121	104	121	123	118	123	203	139	166	122	128	89	95	94	126	101	101	104	82	100	3					
		8.07%	9.6%	7.73%	7.30%	7.99%	9.26%	7.76%	7.65%	12.71%	8.70%	9.98%	8.10%	8.30%	6.63%	6.69%	7.18%	8.94%	7.31%	6.78%	7.93%	5.79%	6.25%	7.14%					
																													
41	Против всех	1840	112	81	60	76	87	91	77	91	86	89	82	123	92	108	60	76	71	102	60	92	119	5					
		5.89%	6.89%	5.17%	4.21%	5.01%	6.55%	5.98%	4.79%	5.69%	5.38%	5.35%	5.44%	7.98%	6.86%	7.61%	4.58%	5.39%	5.14%	6.85%	4.58%	6.50%	7.44%	11.90%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
