Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    район Южное Бутово																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №3422									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	928	11	14	23	26	17	20	23	12	15	20	16	8	27	25	18	18	14	16	24	19	3	30	11	27	22	15	20	10	9	17	9	20	22	8	8	11	10	30	20	10	9	17	16	15	23	18	16	9	6	10	8	16	20	15	12	14	6	14	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1077	16	7	8	15	19	25	20	12	67	57	81	72	19	39	29	14	7	5	5	13	21	19	45	25	17	13	11	8	14	12	3	14	6	3	4	12	3	8	6	12	14	9	7	6	10	6	19	1	7	10	0	3	7	11	8	10	93	40	30									
14	Число погашенных неиспользованных открепительных удостоверений	373	9	16	17	4	13	15	7	8	5	0	4	2	3	5	12	7	6	4	6	1	7	0	4	3	18	5	0	5	1	13	12	20	8	2	12	4	10	0	0	0	11	3	4	5	7	2	9	11	4	5	2	4	0	15	8	6	4	1	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	116	2	4	5	4	1	0	6	0	4	2	8	3	2	4	2	0	0	3	2	1	0	3	1	4	3	2	2	2	5	2	1	1	4	3	1	2	2	0	0	6	1	1	1	0	0	1	1	0	0	1	1	2	1	0	2	0	2	4	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1579	30	41	34	38	11	18	17	16	28	35	19	20	23	20	29	27	32	36	27	25	5	38	26	25	41	16	16	20	22	37	20	44	22	30	19	26	35	30	34	25	34	32	45	19	39	26	16	15	25	28	25	33	29	30	29	17	25	37	18									
		3.66%	3.53%	4.82%	4.78%	3.88%	1.67%	2.54%	2.74%	2.82%	3.18%	4.45%	2.32%	2.65%	2.98%	2.77%	3.84%	4.04%	3.72%	4.42%	3.26%	3.12%	2.78%	4.13%	3.20%	3.09%	4.86%	2.40%	2.17%	2.84%	3.05%	5.63%	2.75%	5.74%	3.22%	4.52%	2.52%	3.63%	4.32%	4.47%	5.30%	3.83%	4.33%	4.03%	5.19%	2.97%	5.06%	3.58%	3.10%	2.72%	3.88%	3.54%	3.62%	4.20%	3.52%	3.70%	3.37%	2.93%	2.99%	5.17%	4.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	906	14	29	13	17	15	14	10	14	22	24	16	22	11	15	23	13	16	12	9	13	2	22	23	15	11	12	21	11	17	13	14	11	12	23	16	19	12	18	11	21	17	12	16	13	28	14	14	14	12	18	14	16	11	16	13	9	19	16	8									
		2.10%	1.65%	3.41%	1.83%	1.74%	2.27%	1.97%	1.61%	2.46%	2.50%	3.05%	1.95%	2.91%	1.43%	2.08%	3.05%	1.94%	1.86%	1.47%	1.09%	1.62%	1.11%	2.39%	2.83%	1.85%	1.30%	1.80%	2.85%	1.56%	2.35%	1.98%	1.93%	1.43%	1.75%	3.47%	2.12%	2.65%	1.48%	2.68%	1.71%	3.22%	2.17%	1.51%	1.85%	2.03%	3.63%	1.93%	2.71%	2.54%	1.86%	2.28%	2.03%	2.04%	1.34%	1.97%	1.51%	1.55%	2.28%	2.24%	1.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1326	30	24	29	24	32	27	13	18	25	15	30	26	30	20	31	15	28	23	27	14	6	27	38	23	35	24	29	15	21	15	35	18	16	25	19	11	14	25	22	25	21	12	29	30	28	26	22	16	21	26	14	24	26	26	19	15	23	12	12									
		3.07%	3.53%	2.82%	4.07%	2.45%	4.85%	3.81%	2.09%	3.17%	2.84%	1.91%	3.66%	3.44%	3.89%	2.77%	4.11%	2.24%	3.25%	2.82%	3.26%	1.75%	3.33%	2.93%	4.68%	2.84%	4.15%	3.60%	3.93%	2.13%	2.91%	2.28%	4.82%	2.35%	2.34%	3.77%	2.52%	1.54%	1.73%	3.73%	3.43%	3.83%	2.68%	1.51%	3.34%	4.69%	3.63%	3.58%	4.26%	2.90%	3.26%	3.29%	2.03%	3.05%	3.16%	3.21%	2.21%	2.59%	2.75%	1.68%	2.70%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16187	358	320	272	379	267	287	252	237	378	317	349	294	284	270	264	272	302	308	269	312	63	350	269	293	284	253	278	308	248	214	281	275	262	231	239	226	312	261	234	248	284	300	280	240	254	276	185	186	251	276	305	286	321	341	317	226	329	266	144									
		37.49%	42.07%	37.65%	38.20%	38.71%	40.45%	40.48%	40.58%	41.73%	42.95%	40.33%	42.56%	38.94%	36.84%	37.45%	34.97%	40.66%	35.08%	37.79%	32.49%	38.90%	35.00%	38.00%	33.13%	36.22%	33.65%	37.93%	37.67%	43.75%	34.35%	32.57%	38.71%	35.85%	38.30%	34.84%	31.66%	31.56%	38.52%	38.90%	36.45%	37.98%	36.18%	37.78%	32.30%	37.56%	32.94%	38.02%	35.85%	33.76%	38.98%	34.89%	44.20%	36.39%	39.00%	42.05%	36.86%	38.97%	39.40%	37.20%	32.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	825	9	11	7	11	9	8	17	3	13	17	13	11	12	7	16	11	19	22	22	14	5	21	13	20	14	15	17	9	23	19	8	21	12	17	13	19	25	13	12	11	17	21	19	5	16	8	5	17	14	23	11	19	20	9	16	11	10	15	10									
		1.91%	1.06%	1.29%	0.98%	1.12%	1.36%	1.13%	2.74%	0.53%	1.48%	2.16%	1.59%	1.46%	1.56%	0.97%	2.12%	1.64%	2.21%	2.70%	2.66%	1.75%	2.78%	2.28%	1.60%	2.47%	1.66%	2.25%	2.30%	1.28%	3.19%	2.89%	1.10%	2.74%	1.75%	2.56%	1.72%	2.65%	3.09%	1.94%	1.87%	1.68%	2.17%	2.64%	2.19%	0.78%	2.08%	1.10%	0.97%	3.09%	2.17%	2.91%	1.59%	2.42%	2.43%	1.11%	1.86%	1.90%	1.20%	2.10%	2.25%									
24	"6. Политическая партия ""Гражданская Платформа"""	167	2	2	0	3	4	2	2	1	2	3	2	2	2	0	4	1	4	2	5	1	1	4	5	5	2	3	3	7	6	3	4	3	4	7	4	3	3	3	0	1	3	3	1	4	5	1	2	1	1	2	7	6	1	4	2	2	3	2	2									
		0.39%	0.24%	0.24%	0.00%	0.31%	0.61%	0.28%	0.32%	0.18%	0.23%	0.38%	0.24%	0.26%	0.26%	0.00%	0.53%	0.15%	0.46%	0.25%	0.60%	0.12%	0.56%	0.43%	0.62%	0.62%	0.24%	0.45%	0.41%	0.99%	0.83%	0.46%	0.55%	0.39%	0.58%	1.06%	0.53%	0.42%	0.37%	0.45%	0.00%	0.15%	0.38%	0.38%	0.12%	0.63%	0.65%	0.14%	0.39%	0.18%	0.16%	0.25%	1.01%	0.76%	0.12%	0.49%	0.23%	0.34%	0.36%	0.28%	0.45%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6717	170	152	139	154	130	129	120	106	146	109	124	128	131	134	144	109	96	102	128	122	32	121	117	134	115	93	93	107	97	109	125	93	92	74	126	120	96	107	117	100	114	92	107	110	111	128	67	74	105	121	85	127	128	111	157	97	153	124	65									
		15.56%	19.98%	17.88%	19.52%	15.73%	19.70%	18.19%	19.32%	18.66%	16.59%	13.87%	15.12%	16.95%	16.99%	18.59%	19.07%	16.29%	11.15%	12.52%	15.46%	15.21%	17.78%	13.14%	14.41%	16.56%	13.63%	13.94%	12.60%	15.20%	13.43%	16.59%	17.22%	12.13%	13.45%	11.16%	16.69%	16.76%	11.85%	15.95%	18.22%	15.31%	14.52%	11.59%	12.34%	17.21%	14.40%	17.63%	12.98%	13.43%	16.30%	15.30%	12.32%	16.16%	15.55%	13.69%	18.26%	16.72%	18.32%	17.34%	14.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1130	7	14	17	24	18	21	10	6	16	27	13	14	13	18	15	16	34	18	22	15	2	21	27	29	26	20	15	14	16	14	9	27	16	15	14	21	24	23	14	20	16	31	33	22	24	28	16	20	15	18	18	32	17	22	27	17	25	19	25									
		2.62%	0.82%	1.65%	2.39%	2.45%	2.73%	2.96%	1.61%	1.06%	1.82%	3.44%	1.59%	1.85%	1.69%	2.50%	1.99%	2.39%	3.95%	2.21%	2.66%	1.87%	1.11%	2.28%	3.33%	3.58%	3.08%	2.99%	2.03%	1.99%	2.22%	2.13%	1.24%	3.52%	2.34%	2.26%	1.85%	2.93%	2.96%	3.43%	2.18%	3.06%	2.04%	3.90%	3.81%	3.44%	3.11%	3.86%	3.10%	3.63%	2.33%	2.28%	2.61%	4.07%	2.07%	2.71%	3.14%	2.93%	2.99%	2.66%	5.63%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1469	16	19	18	31	15	19	12	18	17	28	15	22	29	25	20	16	42	40	40	30	5	38	30	33	32	24	21	19	31	22	20	27	27	25	41	28	21	22	22	17	28	37	34	27	33	19	15	19	19	36	24	23	18	36	17	13	34	18	42									
		3.40%	1.88%	2.24%	2.53%	3.17%	2.27%	2.68%	1.93%	3.17%	1.93%	3.56%	1.83%	2.91%	3.76%	3.47%	2.65%	2.39%	4.88%	4.91%	4.83%	3.74%	2.78%	4.13%	3.69%	4.08%	3.79%	3.60%	2.85%	2.70%	4.29%	3.35%	2.75%	3.52%	3.95%	3.77%	5.43%	3.91%	2.59%	3.28%	3.43%	2.60%	3.57%	4.66%	3.92%	4.23%	4.28%	2.62%	2.91%	3.45%	2.95%	4.55%	3.48%	2.93%	2.19%	4.44%	1.98%	2.24%	4.07%	2.52%	9.46%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	138	2	3	0	3	1	2	0	0	3	5	2	3	6	5	3	3	4	1	5	5	0	3	3	1	1	3	2	0	3	0	1	1	4	3	2	1	8	0	4	1	3	5	3	2	2	3	1	2	2	0	3	0	2	7	1	1	0	3	1									
		0.32%	0.24%	0.35%	0.00%	0.31%	0.15%	0.28%	0.00%	0.00%	0.34%	0.64%	0.24%	0.40%	0.78%	0.69%	0.40%	0.45%	0.46%	0.12%	0.60%	0.62%	0.00%	0.33%	0.37%	0.12%	0.12%	0.45%	0.27%	0.00%	0.42%	0.00%	0.14%	0.13%	0.58%	0.45%	0.26%	0.14%	0.99%	0.00%	0.62%	0.15%	0.38%	0.63%	0.35%	0.31%	0.26%	0.41%	0.19%	0.36%	0.31%	0.00%	0.43%	0.00%	0.24%	0.86%	0.12%	0.17%	0.00%	0.42%	0.23%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2847	28	31	26	36	34	21	21	17	35	38	32	50	36	33	44	47	100	63	95	70	4	55	63	63	66	37	49	34	55	66	43	55	59	64	82	57	73	35	32	36	63	86	81	27	56	37	32	39	29	68	47	48	63	40	58	48	35	56	49									
		6.59%	3.29%	3.65%	3.65%	3.68%	5.15%	2.96%	3.38%	2.99%	3.98%	4.83%	3.90%	6.62%	4.67%	4.58%	5.83%	7.03%	11.61%	7.73%	11.47%	8.73%	2.22%	5.97%	7.76%	7.79%	7.82%	5.55%	6.64%	4.83%	7.62%	10.05%	5.92%	7.17%	8.63%	9.65%	10.86%	7.96%	9.01%	5.22%	4.98%	5.51%	8.03%	10.83%	9.34%	4.23%	7.26%	5.10%	6.20%	7.08%	4.50%	8.60%	6.81%	6.11%	7.65%	4.93%	6.74%	8.28%	4.19%	7.83%	11.04%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5860	103	104	102	149	58	89	81	86	117	98	119	88	127	111	99	75	106	128	122	109	29	133	122	109	144	94	133	82	110	76	91	115	93	104	114	113	108	83	95	89	109	101	151	83	95	78	95	93	81	106	76	95	111	75	110	67	104	87	35									
		13.57%	12.10%	12.24%	14.33%	15.22%	8.79%	12.55%	13.04%	15.14%	13.30%	12.47%	14.51%	11.66%	16.47%	15.40%	13.11%	11.21%	12.31%	15.71%	14.73%	13.59%	16.11%	14.44%	15.02%	13.47%	17.06%	14.09%	18.02%	11.65%	15.24%	11.57%	12.53%	14.99%	13.60%	15.69%	15.10%	15.78%	13.33%	12.37%	14.80%	13.63%	13.89%	12.72%	17.42%	12.99%	12.32%	10.74%	18.41%	16.88%	12.58%	13.40%	11.01%	12.09%	13.49%	9.25%	12.79%	11.55%	12.46%	12.17%	7.88%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	344	6	11	6	18	11	3	3	3	6	3	3	3	7	6	9	6	5	3	3	7	3	6	4	7	11	6	3	4	1	4	5	8	2	7	3	7	3	1	6	4	5	4	5	5	12	4	11	11	5	10	5	7	8	9	12	3	6	3	2									
		0.80%	0.71%	1.29%	0.84%	1.84%	1.67%	0.42%	0.48%	0.53%	0.68%	0.38%	0.37%	0.40%	0.91%	0.83%	1.19%	0.90%	0.58%	0.37%	0.36%	0.87%	1.67%	0.65%	0.49%	0.87%	1.30%	0.90%	0.41%	0.57%	0.14%	0.61%	0.69%	1.04%	0.29%	1.06%	0.40%	0.98%	0.37%	0.15%	0.93%	0.61%	0.64%	0.50%	0.58%	0.78%	1.56%	0.55%	2.13%	1.99%	0.78%	1.26%	0.72%	0.89%	0.97%	1.11%	1.40%	0.52%	0.72%	0.42%	0.45%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2970	58	72	45	69	42	60	52	30	56	57	71	60	47	46	42	28	66	50	46	49	18	65	53	45	42	53	54	56	61	53	60	60	47	27	54	51	61	44	23	44	60	50	63	37	57	62	30	39	52	54	45	54	55	67	60	47	58	42	21									
		6.88%	6.82%	8.47%	6.32%	7.05%	6.36%	8.46%	8.37%	5.28%	6.36%	7.25%	8.66%	7.95%	6.10%	6.38%	5.56%	4.19%	7.67%	6.13%	5.56%	6.11%	10.00%	7.06%	6.53%	5.56%	4.98%	7.95%	7.32%	7.95%	8.45%	8.07%	8.26%	7.82%	6.87%	4.07%	7.15%	7.12%	7.53%	6.56%	3.58%	6.74%	7.64%	6.30%	7.27%	5.79%	7.39%	8.54%	5.81%	7.08%	8.07%	6.83%	6.52%	6.87%	6.68%	8.26%	6.98%	8.10%	6.95%	5.87%	4.73%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
