Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
Наименование Избирательной комиссии:    Ефремовская 																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	472	5	10	5	5	8	113	7	15	5	5	10	5	10	5	8	5	10	5	7	15	5	7	10	10	10	10	20	5	6	3	3	3	6	3	3	3	5	3	3	3	3	3	3	6	3	3	8	3	3	3	3	3	3	3	3	3	3	10	3	3	3	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	311	3	9	4	1	5	113	7	11	5	3	6	3	6	5	6	4	7	4	7	10	4	6	7	6	9	9	13	3	4	1	0	0	3	0	0	1	1	1	1	0	0	0	0	3	0	0	4	0	0	0	0	0	1	0	1	1	0	7	0	0	2	0	0	3	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	219	6	6	5	3	5	7	6	3	9	4	4	9	5	1	8	4	2	4	4	4	3	5	6	6	1	6	3	7	4	1	1	2	0	4	2	0	3	0	5	0	0	0	4	1	3	0	5	0	2	0	2	2	0	7	0	2	6	3	1	6	4	1	5	3	3	1					
14	Число погашенных открепительных удостоверений	161	2	1	1	4	3	0	0	4	0	2	4	2	4	0	2	1	3	1	0	5	1	1	3	4	1	1	7	2	2	2	3	3	3	3	3	2	4	2	2	3	3	3	3	3	3	3	4	3	3	3	3	3	2	3	2	2	3	3	3	3	1	3	3	0	3	2					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
18	"1. ""ЕДИНЕНИЕ"""	286	5	4	2	1	5	9	6	0	5	6	4	2	7	4	2	4	1	3	5	2	5	0	4	3	2	6	4	1	3	6	8	1	5	1	2	10	22	4	12	6	5	5	1	3	1	3	2	2	5	3	6	4	0	2	1	5	5	9	1	7	5	4	5	6	6	8					
		1.03%	1.13%	0.43%	0.36%	0.16%	2.01%	0.76%	0.87%	0.0%	0.56%	1.13%	0.79%	0.86%	1.09%	1.52%	0.27%	0.45%	0.19%	0.54%	0.74%	0.30%	0.85%	0.0%	0.76%	0.55%	0.25%	0.85%	0.46%	0.26%	1.14%	2.12%	3.58%	0.93%	1.34%	0.59%	1.34%	3.08%	3.58%	2.24%	2.91%	1.98%	2.12%	1.68%	0.45%	1.69%	0.43%	1.36%	0.63%	0.60%	1.81%	2.20%	2.94%	1.44%	0.0%	0.69%	0.49%	3.12%	1.44%	1.78%	0.46%	1.62%	1.21%	1.75%	2.74%	3.97%	1.79%	1.94%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	605	12	36	10	13	7	39	17	26	26	17	15	7	24	1	13	13	19	17	8	17	16	10	11	11	12	10	24	4	12	3	1	1	6	1	5	1	10	6	11	2	4	1	3	0	1	7	7	3	6	1	2	0	1	4	3	0	6	8	7	17	9	6	5	0	6	4					
		2.18%	2.71%	3.92%	1.82%	2.08%	2.82%	3.29%	2.48%	3.70%	2.92%	3.21%	2.97%	3.03%	3.76%	0.38%	1.79%	1.48%	3.63%	3.06%	1.19%	2.57%	2.73%	1.66%	2.10%	2.02%	1.55%	1.43%	2.79%	1.07%	4.58%	1.06%	0.44%	0.93%	1.60%	0.59%	3.35%	0.30%	1.63%	3.37%	2.66%	0.66%	1.70%	0.33%	1.37%	0.0%	0.43%	3.18%	2.23%	0.91%	2.18%	0.73%	0.98%	0.0%	0.64%	1.38%	1.47%	0.0%	1.73%	1.58%	3.27%	3.95%	2.19%	2.63%	2.74%	0.0%	1.79%	0.97%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	945	21	28	31	28	10	37	24	31	25	17	24	14	14	5	19	25	16	12	49	26	24	31	23	11	51	24	41	8	12	9	2	6	6	6	8	7	32	2	9	2	4	10	2	1	2	3	7	11	10	8	6	5	2	9	6	3	7	10	4	11	8	1	8	6	13	18					
		3.41%	4.75%	3.05%	5.65%	4.49%	4.03%	3.13%	3.50%	4.42%	2.80%	3.21%	4.75%	6.06%	2.19%	1.90%	2.61%	2.85%	3.06%	2.16%	7.32%	3.93%	4.09%	5.17%	4.39%	2.02%	6.62%	3.43%	4.77%	2.15%	4.58%	3.19%	0.89%	5.60%	1.60%	3.55%	5.36%	2.16%	5.22%	1.12%	2.18%	0.66%	1.70%	3.36%	0.91%	0.56%	0.87%	1.36%	2.23%	3.35%	3.63%	5.88%	2.94%	1.81%	1.28%	3.11%	2.95%	1.87%	2.02%	1.98%	1.86%	2.55%	1.95%	0.43%	4.39%	3.97%	3.88%	4.37%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	912	16	42	25	36	13	58	35	31	37	26	19	13	31	8	41	24	29	26	23	21	29	16	22	33	18	23	33	8	7	5	2	4	10	3	2	7	12	5	10	8	5	2	0	2	0	0	11	2	7	2	6	0	1	2	2	0	10	9	2	8	5	5	0	8	4	8					
		3.29%	3.61%	4.58%	4.56%	5.77%	5.24%	4.90%	5.11%	4.42%	4.15%	4.92%	3.76%	5.62%	4.86%	3.04%	5.64%	2.73%	5.55%	4.68%	3.43%	3.17%	4.94%	2.67%	4.20%	6.08%	2.33%	3.29%	3.84%	2.15%	2.67%	1.77%	0.89%	3.73%	2.68%	1.77%	1.34%	2.16%	1.95%	2.80%	2.42%	2.64%	2.12%	0.67%	0.0%	1.12%	0.0%	0.0%	3.51%	0.60%	2.54%	1.47%	2.94%	0.0%	0.64%	0.69%	0.98%	0.0%	2.89%	1.78%	0.93%	1.86%	1.21%	2.19%	0.0%	5.29%	1.19%	1.94%					
22	"5. ""За Русь Святую"""	242	6	10	3	7	2	9	10	9	0	2	7	5	3	6	7	3	6	1	3	6	14	9	6	8	5	7	7	4	1	2	2	0	4	1	2	2	7	0	1	4	7	0	1	1	0	0	5	2	2	2	2	0	2	2	0	0	5	0	1	6	4	3	2	1	2	1					
		0.87%	1.35%	1.09%	0.54%	1.12%	0.80%	0.76%	1.46%	1.28%	0.0%	0.37%	1.38%	2.16%	0.47%	2.28%	0.96%	0.34%	1.14%	0.18%	0.44%	0.90%	2.38%	1.50%	1.14%	1.47%	0.64%	1.00%	0.81%	1.07%	0.38%	0.70%	0.89%	0.0%	1.07%	0.59%	1.34%	0.61%	1.14%	0.0%	0.24%	1.32%	2.97%	0.0%	0.45%	0.56%	0.0%	0.0%	1.59%	0.60%	0.72%	1.47%	0.98%	0.0%	1.28%	0.69%	0.0%	0.0%	1.44%	0.0%	0.46%	1.39%	0.97%	1.31%	1.09%	0.66%	0.59%	0.24%					
23	"6. ""Объединенная Российская партия ""Русь"""	84	0	3	2	1	0	8	3	1	4	2	1	0	0	1	0	5	1	2	2	4	0	1	1	0	0	2	1	1	0	0	2	1	0	0	1	4	6	1	1	0	1	0	0	0	1	0	0	0	2	0	1	0	0	1	2	0	2	4	0	6	0	0	0	1	0	1					
		0.30%	0.0%	0.32%	0.36%	0.16%	0.0%	0.67%	0.43%	0.14%	0.44%	0.37%	0.19%	0.0%	0.0%	0.38%	0.0%	0.57%	0.19%	0.36%	0.29%	0.60%	0.0%	0.16%	0.19%	0.0%	0.0%	0.28%	0.11%	0.26%	0.0%	0.0%	0.89%	0.93%	0.0%	0.0%	0.67%	1.23%	0.97%	0.56%	0.24%	0.0%	0.42%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.72%	0.0%	0.49%	0.0%	0.0%	0.34%	0.98%	0.0%	0.57%	0.79%	0.0%	1.39%	0.0%	0.0%	0.0%	0.66%	0.0%	0.24%					
24	"7. ""Новый курс - Автомобильная Россия"""	187	2	9	2	9	3	14	7	11	9	6	8	2	3	1	2	6	5	4	0	7	2	2	6	4	4	5	8	7	1	0	0	0	1	1	0	0	5	0	1	2	1	0	1	2	0	0	0	0	3	1	1	1	1	0	0	0	5	1	0	1	3	0	1	0	0	6					
		0.67%	0.45%	0.98%	0.36%	1.44%	1.20%	1.18%	1.02%	1.56%	1.01%	1.13%	1.58%	0.86%	0.47%	0.38%	0.27%	0.68%	0.95%	0.72%	0.0%	1.05%	0.34%	0.33%	1.14%	0.73%	0.51%	0.71%	0.93%	1.88%	0.38%	0.0%	0.0%	0.0%	0.26%	0.59%	0.0%	0.0%	0.81%	0.0%	0.24%	0.66%	0.42%	0.0%	0.45%	1.12%	0.0%	0.0%	0.0%	0.0%	1.09%	0.73%	0.49%	0.36%	0.64%	0.0%	0.0%	0.0%	1.44%	0.19%	0.0%	0.23%	0.73%	0.0%	0.54%	0.0%	0.0%	1.45%					
25	"8. ""Народно-республиканская партия России"""	59	0	2	0	0	2	0	2	3	6	0	2	0	2	1	0	0	0	2	2	0	2	1	0	1	0	1	1	2	0	0	0	0	4	1	1	0	8	0	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	2	2	1	0	0	0	0					
		0.21%	0.0%	0.21%	0.0%	0.0%	0.80%	0.0%	0.29%	0.42%	0.67%	0.0%	0.39%	0.0%	0.31%	0.38%	0.0%	0.0%	0.0%	0.36%	0.29%	0.0%	0.34%	0.16%	0.0%	0.18%	0.0%	0.14%	0.11%	0.53%	0.0%	0.0%	0.0%	0.0%	1.07%	0.59%	0.67%	0.0%	1.30%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.56%	0.43%	0.0%	0.0%	0.0%	0.0%	0.73%	0.49%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.19%	0.0%	0.46%	0.48%	0.43%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	89	2	4	3	1	1	3	0	1	1	3	1	0	1	1	6	1	4	2	1	0	1	3	3	1	3	2	3	3	2	1	0	0	4	0	1	0	4	1	1	0	0	1	0	0	0	0	0	0	1	0	4	1	1	2	0	0	2	1	0	1	1	0	1	2	2	0					
		0.32%	0.45%	0.43%	0.54%	0.16%	0.40%	0.25%	0.0%	0.14%	0.11%	0.56%	0.19%	0.0%	0.15%	0.38%	0.82%	0.11%	0.76%	0.36%	0.14%	0.0%	0.17%	0.50%	0.57%	0.18%	0.38%	0.28%	0.34%	0.80%	0.76%	0.35%	0.0%	0.0%	1.07%	0.0%	0.67%	0.0%	0.65%	0.56%	0.24%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	1.96%	0.36%	0.64%	0.69%	0.0%	0.0%	0.57%	0.19%	0.0%	0.23%	0.24%	0.0%	0.54%	1.32%	0.59%	0.0%					
27	"10. ""Аграрная партия России"""	1261	15	32	20	24	4	19	20	18	23	12	4	9	17	5	16	30	7	10	20	23	18	30	13	18	16	24	21	15	4	13	13	4	34	19	12	41	73	10	32	59	14	8	1	6	5	18	19	12	12	2	21	32	10	27	16	7	22	36	20	36	30	16	16	35	16	27					
		4.55%	3.39%	3.48%	3.64%	3.85%	1.61%	1.60%	2.92%	2.56%	2.58%	2.27%	0.79%	3.89%	2.66%	1.90%	2.20%	3.42%	1.34%	1.80%	2.98%	3.47%	3.07%	5.00%	2.48%	3.32%	2.07%	3.43%	2.44%	4.04%	1.52%	4.60%	5.82%	3.73%	9.11%	11.24%	8.05%	12.65%	11.90%	5.61%	7.76%	19.53%	5.95%	2.69%	0.45%	3.38%	2.18%	8.18%	6.07%	3.65%	4.36%	1.47%	10.29%	11.59%	6.41%	9.34%	7.88%	4.37%	6.35%	7.14%	9.34%	8.37%	7.31%	7.01%	8.79%	23.17%	4.77%	6.56%					
28	"11. ""Истинные патриоты России"""	22	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	1	1	2	0	1					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.14%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.48%	0.0%	0.42%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.43%	0.54%	1.32%	0.0%	0.24%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	415	7	8	15	8	3	9	14	5	15	6	6	4	23	3	13	8	14	10	7	16	16	6	7	9	9	10	18	1	10	2	1	0	1	2	4	3	5	6	2	3	3	2	4	0	2	1	8	6	2	3	3	9	2	6	0	0	4	10	4	4	16	3	4	1	4	5					
		1.49%	1.58%	0.87%	2.73%	1.28%	1.20%	0.76%	2.04%	0.71%	1.68%	1.13%	1.18%	1.73%	3.61%	1.14%	1.79%	0.91%	2.68%	1.80%	1.04%	2.42%	2.73%	1.00%	1.33%	1.66%	1.16%	1.43%	2.09%	0.26%	3.81%	0.70%	0.44%	0.0%	0.26%	1.18%	2.68%	0.92%	0.81%	3.37%	0.48%	0.99%	1.27%	0.67%	1.83%	0.0%	0.87%	0.45%	2.55%	1.82%	0.72%	2.20%	1.47%	3.26%	1.28%	2.07%	0.0%	0.0%	1.15%	1.98%	1.86%	0.93%	3.90%	1.31%	2.19%	0.66%	1.19%	1.21%					
30	"13. ""Демократическая партия России"""	58	1	1	0	1	1	5	2	1	2	3	0	0	0	0	1	1	0	0	0	2	1	0	1	1	0	2	1	0	0	1	1	0	0	0	1	1	3	0	3	0	3	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	0	2	1	0	0	2	1	4					
		0.20%	0.22%	0.10%	0.0%	0.16%	0.40%	0.42%	0.29%	0.14%	0.22%	0.56%	0.0%	0.0%	0.0%	0.0%	0.13%	0.11%	0.0%	0.0%	0.0%	0.30%	0.17%	0.0%	0.19%	0.18%	0.0%	0.28%	0.11%	0.0%	0.0%	0.35%	0.44%	0.0%	0.0%	0.0%	0.67%	0.30%	0.48%	0.0%	0.72%	0.0%	1.27%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.28%	0.59%	0.0%	0.46%	0.24%	0.0%	0.0%	1.32%	0.29%	0.97%					
31	"14. ""Великая Россия - Евразийский Союз"""	47	1	1	2	1	2	1	0	1	2	3	3	1	1	0	0	0	0	0	0	1	14	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0					
		0.16%	0.22%	0.10%	0.36%	0.16%	0.80%	0.08%	0.0%	0.14%	0.22%	0.56%	0.59%	0.43%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	2.38%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.76%	0.35%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.47%	0.0%	0.72%	0.64%	0.34%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	43	0	3	2	2	0	8	2	1	4	0	0	0	1	0	0	1	3	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	1	1	1	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0					
		0.15%	0.0%	0.32%	0.36%	0.32%	0.0%	0.67%	0.29%	0.14%	0.44%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.11%	0.57%	0.0%	0.14%	0.0%	0.0%	0.16%	0.0%	0.0%	0.12%	0.14%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.24%	0.33%	0.42%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	1.47%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2706	44	132	45	85	41	115	86	77	104	55	68	12	75	28	85	100	73	79	68	73	72	94	59	69	105	71	99	56	19	17	12	1	34	14	2	23	35	14	25	5	10	8	12	11	3	5	20	25	11	17	16	13	1	26	13	18	15	70	18	24	12	14	30	4	18	21					
		9.77%	9.95%	14.39%	8.21%	13.64%	16.53%	9.72%	12.57%	10.98%	11.68%	10.41%	13.46%	5.19%	11.77%	10.64%	11.70%	11.41%	13.98%	14.23%	10.16%	11.04%	12.28%	15.69%	11.28%	12.73%	13.63%	10.17%	11.52%	15.09%	7.25%	6.02%	5.38%	0.93%	9.11%	8.28%	1.34%	7.09%	5.70%	7.86%	6.06%	1.65%	4.25%	2.69%	5.50%	6.21%	1.31%	2.27%	6.38%	7.62%	4.0%	12.49%	7.84%	4.71%	0.64%	8.99%	6.40%	11.25%	4.33%	13.88%	8.41%	5.58%	2.92%	6.14%	16.48%	2.64%	5.37%	5.10%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	57	1	1	1	1	0	6	0	1	2	1	0	2	3	0	1	1	0	0	0	3	1	1	0	0	0	4	1	0	2	0	1	0	1	2	0	1	2	1	1	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	1	1	2	0	3	0	1	0	0	1					
		0.20%	0.22%	0.10%	0.18%	0.16%	0.0%	0.50%	0.0%	0.14%	0.22%	0.18%	0.0%	0.86%	0.47%	0.0%	0.13%	0.11%	0.0%	0.0%	0.0%	0.45%	0.17%	0.16%	0.0%	0.0%	0.0%	0.57%	0.11%	0.0%	0.76%	0.0%	0.44%	0.0%	0.26%	1.18%	0.0%	0.30%	0.32%	0.56%	0.24%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.49%	0.0%	0.28%	0.19%	0.93%	0.0%	0.73%	0.0%	0.54%	0.0%	0.0%	0.24%					
35	"18. ""ЛДПР"""	3211	45	107	72	76	15	189	75	78	117	71	74	24	90	29	92	101	63	98	86	78	72	52	68	62	56	82	105	81	30	47	10	13	59	29	21	25	55	38	20	30	36	20	12	23	11	15	31	19	32	14	12	23	6	46	20	36	29	51	16	24	56	6	21	20	49	48					
		11.60%	10.18%	11.66%	13.13%	12.19%	6.04%	15.98%	10.96%	11.12%	13.14%	13.44%	14.65%	10.38%	14.12%	11.02%	12.67%	11.52%	12.06%	17.65%	12.85%	11.80%	12.28%	8.68%	13.00%	11.43%	7.27%	11.74%	12.22%	21.83%	11.45%	16.66%	4.48%	12.14%	15.81%	17.15%	14.09%	7.71%	8.97%	21.34%	4.85%	9.93%	15.31%	6.73%	5.50%	12.99%	4.80%	6.81%	9.90%	5.79%	11.63%	10.29%	5.88%	8.33%	3.84%	15.91%	9.85%	22.5%	8.38%	10.11%	7.47%	5.58%	13.65%	2.63%	11.53%	13.24%	14.62%	11.67%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	440	4	15	11	8	9	12	13	10	17	5	4	5	10	2	12	10	9	12	7	11	4	11	7	12	13	13	14	1	1	4	9	0	5	5	5	3	12	2	6	5	4	0	4	1	2	2	5	5	6	5	2	13	3	6	6	0	4	9	4	13	6	0	2	10	0	10					
		1.58%	0.90%	1.63%	2.00%	1.28%	3.62%	1.01%	1.90%	1.42%	1.91%	0.94%	0.79%	2.16%	1.56%	0.76%	1.65%	1.14%	1.72%	2.16%	1.04%	1.66%	0.68%	1.83%	1.33%	2.21%	1.68%	1.86%	1.62%	0.26%	0.38%	1.41%	4.03%	0.0%	1.34%	2.95%	3.35%	0.92%	1.95%	1.12%	1.45%	1.65%	1.70%	0.0%	1.83%	0.56%	0.87%	0.90%	1.59%	1.52%	2.18%	3.67%	0.98%	4.71%	1.92%	2.07%	2.95%	0.0%	1.15%	1.78%	1.86%	3.02%	1.46%	0.0%	1.09%	6.62%	0.0%	2.43%					
37	"20. ""Политическая партия ""Единая Россия"""	6741	118	212	145	137	68	304	184	162	224	127	93	46	165	82	188	229	137	135	151	159	113	113	105	96	171	198	225	71	84	48	48	32	126	53	28	68	169	38	70	83	89	76	31	66	13	20	118	63	57	37	40	40	55	67	45	12	97	114	77	106	159	34	35	23	115	147					
		24.35%	26.69%	23.11%	26.45%	21.99%	27.41%	25.71%	26.90%	23.10%	25.16%	24.05%	18.41%	19.91%	25.90%	31.17%	25.89%	26.14%	26.24%	24.32%	22.57%	24.05%	19.28%	18.86%	20.07%	17.71%	22.20%	28.36%	26.19%	19.13%	32.06%	17.02%	21.52%	29.90%	33.78%	31.36%	18.79%	20.98%	27.56%	21.34%	16.99%	27.48%	37.87%	25.58%	14.22%	37.28%	5.67%	9.09%	37.69%	19.20%	20.72%	27.20%	19.60%	14.49%	35.25%	23.18%	22.16%	7.5%	28.03%	22.61%	35.98%	24.65%	38.78%	14.91%	19.23%	15.23%	34.32%	35.76%					
