Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Полтавская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	4	5	5	2	2	1	0	1	0	3	2	2	0	0	1	2	1	0	0	0	0	2	1	0	1	2	0	0	1	0	0	1	0	1	2	1	0	1	1	1	1					
14	Число погашенных открепительных удостоверений	234	16	3	14	8	5	5	5	5	6	5	9	5	5	5	4	10	5	4	5	5	5	5	5	5	5	7	5	5	5	5	5	6	5	3	4	5	8	4	5	5	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	316	19	28	25	9	3	2	2	6	8	0	17	10	6	4	2	12	2	7	6	4	18	2	3	2	4	28	7	24	0	4	0	14	5	3	2	0	17	7	1	2	1					
		2.45%	1.89%	2.05%	2.26%	2.88%	3.06%	1.14%	1.40%	3.01%	4.37%	0.0%	2.32%	5.29%	4.08%	3.36%	2.46%	2.38%	1.73%	3.72%	3.10%	3.84%	2.53%	1.23%	1.33%	1.66%	2.75%	3.64%	2.91%	3.16%	0.0%	2.32%	0.0%	2.71%	2.99%	1.65%	1.81%	0.0%	2.58%	2.89%	0.78%	2.73%	0.67%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	164	9	39	26	0	1	2	1	1	2	0	7	4	2	3	0	5	0	2	0	1	6	3	2	3	2	2	2	9	2	2	0	5	2	0	1	0	6	4	8	0	0					
		1.27%	0.89%	2.86%	2.35%	0.0%	1.02%	1.14%	0.70%	0.50%	1.09%	0.0%	0.95%	2.11%	1.36%	2.52%	0.0%	0.99%	0.0%	1.06%	0.0%	0.96%	0.84%	1.85%	0.88%	2.5%	1.37%	0.26%	0.83%	1.18%	1.44%	1.16%	0.0%	0.96%	1.19%	0.0%	0.90%	0.0%	0.91%	1.65%	6.29%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	289	24	41	39	16	0	1	3	1	3	1	13	4	1	2	0	5	2	0	0	1	18	1	9	1	1	13	7	23	3	6	1	15	3	5	2	3	12	3	1	0	5					
		2.24%	2.39%	3.01%	3.52%	5.12%	0.0%	0.57%	2.11%	0.50%	1.63%	1.58%	1.77%	2.11%	0.68%	1.68%	0.0%	0.99%	1.73%	0.0%	0.0%	0.96%	2.53%	0.61%	4.0%	0.83%	0.68%	1.69%	2.91%	3.03%	2.17%	3.48%	0.82%	2.90%	1.79%	2.76%	1.81%	4.22%	1.82%	1.23%	0.78%	0.0%	3.35%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	205	21	39	42	3	2	0	3	2	0	0	5	3	3	0	3	3	1	1	1	0	10	1	2	0	0	3	0	22	4	6	4	6	3	1	0	0	5	2	3	0	1					
		1.59%	2.09%	2.86%	3.79%	0.96%	2.04%	0.0%	2.11%	1.00%	0.0%	0.0%	0.68%	1.58%	2.04%	0.0%	3.70%	0.59%	0.86%	0.53%	0.51%	0.0%	1.40%	0.61%	0.88%	0.0%	0.0%	0.39%	0.0%	2.89%	2.89%	3.48%	3.30%	1.16%	1.79%	0.55%	0.0%	0.0%	0.75%	0.82%	2.36%	0.0%	0.67%					
22	"5. ""За Русь Святую"""	46	3	0	5	2	0	1	0	0	0	0	2	2	1	0	0	1	0	1	1	3	2	0	2	0	0	3	1	4	7	0	0	1	0	2	0	0	2	0	0	0	0					
		0.35%	0.29%	0.0%	0.45%	0.64%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.27%	1.05%	0.68%	0.0%	0.0%	0.19%	0.0%	0.53%	0.51%	2.88%	0.28%	0.0%	0.88%	0.0%	0.0%	0.39%	0.41%	0.52%	5.07%	0.0%	0.0%	0.19%	0.0%	1.10%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	1	1	0	2	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	1	0	2	0	0	0	1	0	1	0	0	0	2	0	3	0	0	0					
		0.17%	0.09%	0.07%	0.0%	0.64%	0.0%	1.14%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.51%	0.96%	0.0%	0.0%	0.88%	0.83%	0.0%	0.26%	0.0%	0.0%	0.0%	0.58%	0.0%	0.19%	0.0%	0.0%	0.0%	2.81%	0.0%	1.23%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	65	13	7	10	2	0	0	0	0	0	0	2	2	1	0	1	0	0	1	0	1	1	0	1	1	0	6	2	1	0	1	0	2	1	0	2	0	5	0	0	0	2					
		0.50%	1.29%	0.51%	0.90%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	1.05%	0.68%	0.0%	1.23%	0.0%	0.0%	0.53%	0.0%	0.96%	0.14%	0.0%	0.44%	0.83%	0.0%	0.78%	0.83%	0.13%	0.0%	0.58%	0.0%	0.38%	0.59%	0.0%	1.81%	0.0%	0.75%	0.0%	0.0%	0.0%	1.34%					
25	"8. ""Народно-республиканская партия России"""	26	2	0	1	1	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	1	0	4	0	0	2	1	2	0	1	0	0	1	1	0	1	2	0	0	0	0					
		0.20%	0.19%	0.0%	0.09%	0.32%	0.0%	0.0%	0.0%	1.00%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.14%	0.0%	1.77%	0.0%	0.0%	0.26%	0.41%	0.26%	0.0%	0.58%	0.0%	0.0%	0.59%	0.55%	0.0%	1.40%	0.30%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.09%	0.14%	0.18%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.14%	0.61%	0.44%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1542	78	84	62	40	10	12	10	17	44	11	105	13	32	13	11	95	11	17	10	20	123	29	32	19	37	105	31	93	14	23	5	57	21	20	21	16	117	20	12	8	44					
		11.98%	7.78%	6.16%	5.60%	12.82%	10.20%	6.85%	7.04%	8.54%	24.04%	17.46%	14.36%	6.87%	21.76%	10.92%	13.58%	18.84%	9.56%	9.04%	5.18%	19.23%	17.29%	17.90%	14.22%	15.83%	25.51%	13.65%	12.91%	12.25%	10.14%	13.37%	4.13%	11.04%	12.57%	11.04%	19.09%	22.53%	17.78%	8.26%	9.44%	10.95%	29.53%					
28	"11. ""Истинные патриоты России"""	36	2	2	4	0	0	2	0	0	0	0	1	1	2	0	0	2	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	8	0	0	0	0	4	3	0	0	0					
		0.27%	0.19%	0.14%	0.36%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.13%	0.52%	1.36%	0.0%	0.0%	0.39%	0.0%	0.53%	0.0%	0.0%	0.14%	0.61%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	1.55%	0.0%	0.0%	0.0%	0.0%	0.60%	1.23%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	92	5	10	15	2	0	0	1	0	3	1	1	0	0	3	1	2	1	2	0	2	5	4	0	0	0	5	1	7	4	1	1	1	0	0	4	0	6	0	4	0	0					
		0.71%	0.49%	0.73%	1.35%	0.64%	0.0%	0.0%	0.70%	0.0%	1.63%	1.58%	0.13%	0.0%	0.0%	2.52%	1.23%	0.39%	0.86%	1.06%	0.0%	1.92%	0.70%	2.46%	0.0%	0.0%	0.0%	0.65%	0.41%	0.92%	2.89%	0.58%	0.82%	0.19%	0.0%	0.0%	3.63%	0.0%	0.91%	0.0%	3.14%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	35	3	5	0	1	0	0	0	1	0	0	3	2	0	1	0	2	1	0	0	0	4	1	1	0	0	0	1	1	0	3	0	1	0	0	0	0	0	1	3	0	0					
		0.27%	0.29%	0.36%	0.0%	0.32%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.41%	1.05%	0.0%	0.84%	0.0%	0.39%	0.86%	0.0%	0.0%	0.0%	0.56%	0.61%	0.44%	0.0%	0.0%	0.0%	0.41%	0.13%	0.0%	1.74%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	2.36%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	32	4	5	1	4	0	0	0	3	0	0	4	0	0	0	0	1	1	1	0	1	0	0	0	0	0	4	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0					
		0.24%	0.39%	0.36%	0.09%	1.28%	0.0%	0.0%	0.0%	1.50%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.19%	0.86%	0.53%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	1.65%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	12	1	0	3	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0					
		0.09%	0.09%	0.0%	0.27%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.41%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	468	34	67	67	19	1	6	2	4	1	2	32	8	12	0	0	30	0	10	2	8	16	3	12	0	1	16	3	35	0	6	0	15	3	13	1	0	25	5	4	4	1					
		3.63%	3.39%	4.91%	6.05%	6.08%	1.02%	3.42%	1.40%	2.01%	0.54%	3.17%	4.37%	4.23%	8.16%	0.0%	0.0%	5.95%	0.0%	5.31%	1.03%	7.69%	2.25%	1.85%	5.33%	0.0%	0.68%	2.08%	1.25%	4.61%	0.0%	3.48%	0.0%	2.90%	1.79%	7.18%	0.90%	0.0%	3.79%	2.06%	3.14%	5.47%	0.67%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	52	3	1	5	2	1	0	3	0	2	0	4	2	1	0	0	2	0	0	2	2	2	0	2	1	1	5	0	0	1	2	0	3	0	0	0	0	2	2	0	0	1					
		0.40%	0.29%	0.07%	0.45%	0.64%	1.02%	0.0%	2.11%	0.0%	1.09%	0.0%	0.54%	1.05%	0.68%	0.0%	0.0%	0.39%	0.0%	0.0%	1.03%	1.92%	0.28%	0.0%	0.88%	0.83%	0.68%	0.65%	0.0%	0.0%	0.72%	1.16%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.30%	0.82%	0.0%	0.0%	0.67%					
35	"18. ""ЛДПР"""	2122	169	176	164	75	10	29	8	20	24	11	145	28	31	20	23	67	40	45	12	29	122	44	53	14	25	47	17	129	34	29	27	90	30	29	28	21	122	62	23	19	31					
		16.48%	16.86%	12.92%	14.82%	24.03%	10.20%	16.57%	5.63%	10.05%	13.11%	17.46%	19.83%	14.81%	21.08%	16.80%	28.39%	13.29%	34.78%	23.93%	6.21%	27.88%	17.15%	27.16%	23.55%	11.66%	17.24%	6.11%	7.08%	16.99%	24.63%	16.86%	22.31%	17.44%	17.96%	16.02%	25.45%	29.57%	18.54%	25.61%	18.11%	26.02%	20.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	207	20	30	19	1	0	10	2	2	5	0	15	4	0	0	1	9	1	5	1	0	19	1	6	2	0	2	4	13	0	4	2	8	5	2	1	1	4	3	0	2	3					
		1.60%	1.99%	2.20%	1.71%	0.32%	0.0%	5.71%	1.40%	1.00%	2.73%	0.0%	2.05%	2.11%	0.0%	0.0%	1.23%	1.78%	0.86%	2.65%	0.51%	0.0%	2.67%	0.61%	2.66%	1.66%	0.0%	0.26%	1.66%	1.71%	0.0%	2.32%	1.65%	1.55%	2.99%	1.10%	0.90%	1.40%	0.60%	1.23%	0.0%	2.73%	2.01%					
37	"20. ""Политическая партия ""Единая Россия"""	5036	364	571	423	77	67	73	90	116	66	22	262	62	37	53	31	187	45	78	150	21	218	38	60	64	64	375	145	250	39	58	66	201	73	86	32	13	232	108	57	30	32					
		39.13%	36.32%	41.92%	38.24%	24.67%	68.36%	41.71%	63.38%	58.29%	36.06%	34.92%	35.84%	32.80%	25.17%	44.53%	38.27%	37.10%	39.13%	41.48%	77.72%	20.19%	30.66%	23.45%	26.66%	53.33%	44.13%	48.76%	60.41%	32.93%	28.26%	33.72%	54.54%	38.95%	43.71%	47.51%	29.09%	18.30%	35.25%	44.62%	44.88%	41.09%	21.47%					
38	"21. ""Российская Конституционно-демократическая партия"""	29	1	3	2	3	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	2	0	2	1	0	2	0	1	0	2	0	0	0	1	1	0	0	0	0	1	2					
		0.22%	0.09%	0.22%	0.18%	0.96%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.19%	1.73%	0.0%	0.0%	0.0%	0.28%	0.0%	0.88%	0.83%	0.0%	0.26%	0.0%	0.13%	0.0%	1.16%	0.0%	0.0%	0.0%	0.55%	0.90%	0.0%	0.0%	0.0%	0.0%	1.36%	1.34%					
39	"22. ""Развитие предпринимательства"""	27	2	2	5	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1	0	3	2	0	0	1	1	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0					
		0.20%	0.19%	0.14%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.68%	0.0%	0.0%	0.39%	0.0%	0.0%	0.51%	0.0%	0.42%	1.23%	0.0%	0.0%	0.68%	0.13%	0.0%	0.0%	0.0%	0.0%	0.82%	0.38%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1507	163	192	136	37	2	30	9	15	12	14	82	29	8	11	5	55	5	10	3	7	112	25	26	1	7	118	8	120	28	12	8	61	12	11	6	8	76	15	9	4	15					
		11.71%	16.26%	14.09%	12.29%	11.85%	2.04%	17.14%	6.33%	7.53%	6.55%	22.22%	11.21%	15.34%	5.44%	9.24%	6.17%	10.91%	4.34%	5.31%	1.55%	6.73%	15.75%	15.43%	11.55%	0.83%	4.82%	15.34%	3.33%	15.81%	20.28%	6.97%	6.61%	11.82%	7.18%	6.07%	5.45%	11.26%	11.55%	6.19%	7.08%	5.47%	10.06%					
																																																
41	Против всех	402	48	42	41	9	1	4	7	6	11	1	20	13	9	2	0	19	0	3	1	3	17	5	4	9	2	26	4	20	2	8	1	13	6	7	6	3	11	3	1	3	11					
		3.12%	4.79%	3.08%	3.70%	2.88%	1.02%	2.28%	4.92%	3.01%	6.01%	1.58%	2.73%	6.87%	6.12%	1.68%	0.0%	3.76%	0.0%	1.59%	0.51%	2.88%	2.39%	3.08%	1.77%	7.5%	1.37%	3.38%	1.66%	2.63%	1.44%	4.65%	0.82%	2.51%	3.59%	3.86%	5.45%	4.22%	1.67%	1.23%	0.78%	4.10%	7.38%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
