Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Егорьевская городская																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4325	80	63	55	35	102	68	80	149	58	63	55	64	142	153	130	144	118	112	58	76	83	135	91	89	102	126	103	114	124	121	61	43	37	5	130	15	124	16	29	28	58	25	114	32	30	49	83	15	36	97	121	20	64	37	45	18	11	27	62									
		14.40%	15.09%	16.62%	12.94%	10.32%	16.14%	18.94%	15.69%	17.11%	15.93%	19.27%	18.71%	17.44%	15.62%	16.58%	15.76%	16.51%	14.84%	17.34%	13.30%	15.26%	14.07%	17.98%	17.95%	13.67%	16.69%	17.19%	16.14%	19.49%	16.94%	15.71%	18.54%	13.44%	15.48%	2.19%	13.28%	12.20%	15.46%	13.11%	14.01%	15.91%	10.60%	13.02%	18.27%	14.29%	8.93%	17.69%	13.05%	10.79%	10.59%	14.39%	11.29%	4.24%	11.13%	6.17%	9.59%	9.00%	4.06%	19.01%	7.32%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	117	4	1	0	0	3	0	1	8	1	2	0	1	4	6	6	7	3	4	2	3	3	0	1	3	2	5	4	2	2	0	1	0	1	1	4	1	2	0	2	1	2	0	5	0	1	0	1	0	0	4	3	3	1	1	2	0	0	1	2									
		0.39%	0.75%	0.26%	0.00%	0.00%	0.47%	0.00%	0.20%	0.92%	0.27%	0.61%	0.00%	0.27%	0.44%	0.65%	0.73%	0.80%	0.38%	0.62%	0.46%	0.60%	0.51%	0.00%	0.20%	0.46%	0.33%	0.68%	0.63%	0.34%	0.27%	0.00%	0.30%	0.00%	0.42%	0.44%	0.41%	0.81%	0.25%	0.00%	0.97%	0.57%	0.37%	0.00%	0.80%	0.00%	0.30%	0.00%	0.16%	0.00%	0.00%	0.59%	0.28%	0.64%	0.17%	0.17%	0.43%	0.00%	0.00%	0.70%	0.24%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1049	30	14	12	10	23	13	18	33	17	20	10	18	61	40	34	49	36	28	20	18	27	39	33	36	26	26	26	15	28	38	9	13	5	3	32	2	22	1	8	6	13	8	17	6	6	8	5	1	0	11	27	3	7	6	3	4	6	4	15									
		3.49%	5.66%	3.69%	2.82%	2.95%	3.64%	3.62%	3.53%	3.79%	4.67%	6.12%	3.40%	4.90%	6.71%	4.33%	4.12%	5.62%	4.53%	4.33%	4.59%	3.61%	4.58%	5.19%	6.51%	5.53%	4.26%	3.55%	4.08%	2.56%	3.83%	4.94%	2.74%	4.06%	2.09%	1.32%	3.27%	1.63%	2.74%	0.82%	3.86%	3.41%	2.38%	4.17%	2.72%	2.68%	1.79%	2.89%	0.79%	0.72%	0.00%	1.63%	2.52%	0.64%	1.22%	1.00%	0.64%	2.00%	2.21%	2.82%	1.77%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
