Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Ржаксинская																																								
																																								
Сводная таблица предварительных итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441					
		0.21%	0.0%	0.14%	0.32%	0.42%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.75%	0.0%	0.80%	0.0%	0.0%	0.27%	0.29%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	1.83%	0.0%	0.49%	0.0%	0.45%	0.18%	0.56%	0.16%	0.34%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	39	5	3	1	2	1	3	1	1	0	0	0	0	4	0	0	1	1	0	3	1	5	4	0	0	1	0	0	0	0	0	1	1	0					
		0.37%	0.58%	0.44%	0.16%	0.84%	0.64%	0.83%	0.24%	0.43%	0.0%	0.0%	0.0%	0.0%	1.61%	0.0%	0.0%	0.27%	0.29%	0.0%	0.67%	0.53%	1.27%	0.78%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.34%	0.0%					
25	"8. ""Народно-республиканская партия России"""	14	1	2	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0					
		0.13%	0.11%	0.29%	0.16%	0.42%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	3	1	0	0	0	1	1	0	1					
		0.13%	0.0%	0.0%	0.16%	0.42%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.19%	0.0%	1.83%	1.42%	0.24%	0.0%	0.0%	0.0%	0.56%	0.16%	0.0%	0.81%					
27	"10. ""Аграрная партия России"""	1163	45	40	39	27	20	38	23	31	20	21	36	65	15	8	19	62	49	9	52	15	63	23	106	22	36	30	25	27	64	11	80	25	17					
		11.30%	5.29%	5.98%	6.29%	11.44%	12.90%	10.58%	5.69%	13.59%	10.0%	13.81%	27.27%	38.69%	6.04%	4.76%	7.63%	17.17%	14.28%	6.87%	11.63%	8.02%	16.11%	4.51%	41.56%	20.18%	17.14%	7.40%	17.73%	12.21%	12.03%	6.21%	13.02%	8.53%	13.82%					
28	"11. ""Истинные патриоты России"""	19	2	0	0	3	0	0	1	0	0	0	0	0	0	2	0	4	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0					
		0.18%	0.23%	0.0%	0.0%	1.27%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	1.10%	0.0%	0.76%	0.22%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	72	11	2	3	1	1	7	0	7	3	0	0	1	3	2	0	3	2	0	2	0	2	1	0	1	0	1	4	1	5	2	6	1	0					
		0.69%	1.29%	0.29%	0.48%	0.42%	0.64%	1.94%	0.0%	3.07%	1.5%	0.0%	0.0%	0.59%	1.20%	1.19%	0.0%	0.83%	0.58%	0.0%	0.44%	0.0%	0.51%	0.19%	0.0%	0.91%	0.0%	0.24%	2.83%	0.45%	0.93%	1.12%	0.97%	0.34%	0.0%					
30	"13. ""Демократическая партия России"""	14	0	4	1	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2					
		0.13%	0.0%	0.59%	0.16%	0.42%	0.64%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.91%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	1.62%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	1	0	1	1	0	1	1	0	0	0	0	2	2	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	2	0	0	0	1					
		0.16%	0.11%	0.0%	0.16%	0.42%	0.0%	0.27%	0.24%	0.0%	0.0%	0.0%	0.0%	1.19%	0.80%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.19%	0.0%	0.91%	0.0%	0.24%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.81%					
32	"15. ""Партия СЛОН"""	10	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0					
		0.09%	0.35%	0.0%	0.0%	0.42%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	582	61	49	63	11	3	18	10	11	4	9	7	3	17	5	13	19	51	6	27	9	11	14	8	2	8	25	19	17	41	5	23	10	3					
		5.65%	7.17%	7.33%	10.16%	4.66%	1.93%	5.01%	2.47%	4.82%	2.0%	5.92%	5.30%	1.78%	6.85%	2.97%	5.22%	5.26%	14.86%	4.58%	6.04%	4.81%	2.81%	2.75%	3.13%	1.83%	3.80%	6.17%	13.47%	7.69%	7.70%	2.82%	3.74%	3.41%	2.43%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	1	0	4	0	2	0	0	1	0	0	0	1	0	0	1	1	2	1	3	1	0	0	2	0	0	0	0	1	1	1	0	1	3					
		0.26%	0.11%	0.0%	0.64%	0.0%	1.29%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.40%	0.27%	0.58%	0.76%	0.67%	0.53%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.45%	0.18%	0.56%	0.0%	0.34%	2.43%					
35	"18. ""ЛДПР"""	1076	94	51	78	36	8	25	35	40	21	27	16	15	22	9	26	26	46	20	49	19	62	34	23	31	25	41	10	18	51	8	63	23	24					
		10.46%	11.05%	7.63%	12.58%	15.25%	5.16%	6.96%	8.66%	17.54%	10.5%	17.76%	12.12%	8.92%	8.87%	5.35%	10.44%	7.20%	13.41%	15.26%	10.96%	10.16%	15.85%	6.67%	9.01%	28.44%	11.90%	10.12%	7.09%	8.14%	9.58%	4.51%	10.26%	7.84%	19.51%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	246	18	14	14	3	3	12	71	5	16	2	0	3	3	1	1	5	2	2	6	0	7	7	4	1	4	2	5	5	11	0	15	2	2					
		2.39%	2.11%	2.09%	2.25%	1.27%	1.93%	3.34%	17.57%	2.19%	8.0%	1.31%	0.0%	1.78%	1.20%	0.59%	0.40%	1.38%	0.58%	1.52%	1.34%	0.0%	1.79%	1.37%	1.56%	0.91%	1.90%	0.49%	3.54%	2.26%	2.06%	0.0%	2.44%	0.68%	1.62%					
37	"20. ""Политическая партия ""Единая Россия"""	3261	250	216	193	87	67	138	146	52	68	48	39	32	74	84	45	101	76	27	161	81	100	316	58	25	81	202	28	66	129	59	117	63	32					
		31.70%	29.41%	32.33%	31.12%	36.86%	43.22%	38.44%	36.13%	22.80%	34.0%	31.57%	29.54%	19.04%	29.83%	50.0%	18.07%	27.97%	22.15%	20.61%	36.01%	43.31%	25.57%	62.08%	22.74%	22.93%	38.57%	49.87%	19.85%	29.86%	24.24%	33.33%	19.05%	21.50%	26.01%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	0	3	2	0	0	3	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	2	0	0	1	0					
		0.18%	0.0%	0.44%	0.32%	0.0%	0.0%	0.83%	0.49%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.39%	0.0%	0.0%	0.0%	0.0%	0.45%	0.37%	0.0%	0.0%	0.34%	0.0%					
39	"22. ""Развитие предпринимательства"""	19	1	1	3	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	4	0	0	0	0	0	1	0	3	0	0					
		0.18%	0.11%	0.14%	0.48%	0.0%	0.0%	0.0%	0.49%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.76%	0.22%	0.0%	0.0%	0.0%	1.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.48%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2014	220	158	119	19	17	63	50	43	37	22	26	8	43	32	76	81	83	42	83	37	66	62	25	10	20	48	23	64	110	37	187	84	19					
		19.58%	25.88%	23.65%	19.19%	8.05%	10.96%	17.54%	12.37%	18.85%	18.5%	14.47%	19.69%	4.76%	17.33%	19.04%	30.52%	22.43%	24.19%	32.06%	18.56%	19.78%	16.87%	12.18%	9.80%	9.17%	9.52%	11.85%	16.31%	28.95%	20.67%	20.90%	30.45%	28.66%	15.44%					
																																								
41	Против всех	313	25	21	19	3	3	4	7	6	5	6	2	3	9	7	10	13	8	7	6	3	12	9	2	4	11	7	3	2	21	6	38	26	5					
		3.04%	2.94%	3.14%	3.06%	1.27%	1.93%	1.11%	1.73%	2.63%	2.5%	3.94%	1.51%	1.78%	3.62%	4.16%	4.01%	3.60%	2.33%	5.34%	1.34%	1.60%	3.06%	1.76%	0.78%	3.66%	5.23%	1.72%	2.12%	0.90%	3.94%	3.38%	6.18%	8.87%	4.06%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
