Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Знаменская городская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814									
14	Число погашенных неиспользованных открепительных удостоверений	62	13	2	9	3	8	0	16	5	2	4	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	75	8	13	8	2	6	7	8	10	7	6	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	210	10	18	21	12	12	8	13	28	14	7	7	20	16	24									
		1.00%	0.98%	1.39%	1.88%	1.14%	1.12%	0.58%	1.01%	2.03%	1.26%	0.79%	0.34%	0.93%	0.65%	0.92%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	497	30	33	44	41	39	49	47	40	32	35	22	19	30	36									
		2.38%	2.95%	2.55%	3.93%	3.91%	3.64%	3.57%	3.65%	2.91%	2.88%	3.97%	1.05%	0.89%	1.21%	1.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	320	28	23	20	19	26	28	28	38	26	19	20	11	11	23									
		1.53%	2.75%	1.78%	1.79%	1.81%	2.43%	2.04%	2.17%	2.76%	2.34%	2.16%	0.96%	0.51%	0.45%	0.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11713	371	595	466	426	435	619	574	606	453	385	1211	1721	1959	1892									
		56.03%	36.48%	45.95%	41.64%	40.61%	40.65%	45.08%	44.57%	44.04%	40.70%	43.70%	57.97%	80.27%	79.31%	72.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	161	12	5	15	9	8	7	18	4	8	6	24	9	13	23									
		0.77%	1.18%	0.39%	1.34%	0.86%	0.75%	0.51%	1.40%	0.29%	0.72%	0.68%	1.15%	0.42%	0.53%	0.88%									
24	"6. Политическая партия ""Гражданская Платформа"""	35	3	4	2	1	2	2	3	4	3	0	2	3	1	5									
		0.17%	0.29%	0.31%	0.18%	0.10%	0.19%	0.15%	0.23%	0.29%	0.27%	0.00%	0.10%	0.14%	0.04%	0.19%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4413	283	315	277	263	281	358	335	305	301	211	567	223	318	376									
		21.11%	27.83%	24.32%	24.75%	25.07%	26.26%	26.07%	26.01%	22.17%	27.04%	23.95%	27.14%	10.40%	12.87%	14.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	119	5	5	6	8	3	12	9	16	4	7	13	7	9	15									
		0.57%	0.49%	0.39%	0.54%	0.76%	0.28%	0.87%	0.70%	1.16%	0.36%	0.79%	0.62%	0.33%	0.36%	0.57%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	89	8	7	9	3	5	8	5	12	7	12	6	1	4	2									
		0.43%	0.79%	0.54%	0.80%	0.29%	0.47%	0.58%	0.39%	0.87%	0.63%	1.36%	0.29%	0.05%	0.16%	0.08%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	0	3	3	7	0	3	5	2	1	2	7	3	2	7									
		0.22%	0.00%	0.23%	0.27%	0.67%	0.00%	0.22%	0.39%	0.15%	0.09%	0.23%	0.34%	0.14%	0.08%	0.27%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	143	12	6	12	10	3	8	5	15	5	9	13	14	16	15									
		0.68%	1.18%	0.46%	1.07%	0.95%	0.28%	0.58%	0.39%	1.09%	0.45%	1.02%	0.62%	0.65%	0.65%	0.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1660	119	143	137	132	134	142	127	153	123	120	103	58	52	117									
		7.94%	11.70%	11.04%	12.24%	12.58%	12.52%	10.34%	9.86%	11.12%	11.05%	13.62%	4.93%	2.71%	2.11%	4.47%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	103	8	8	7	4	3	3	9	6	5	4	11	10	7	18									
		0.49%	0.79%	0.62%	0.63%	0.38%	0.28%	0.22%	0.70%	0.44%	0.45%	0.45%	0.53%	0.47%	0.28%	0.69%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1090	111	105	85	95	101	111	88	125	112	52	24	24	18	39									
		5.21%	10.91%	8.11%	7.60%	9.06%	9.44%	8.08%	6.83%	9.08%	10.06%	5.90%	1.15%	1.12%	0.73%	1.49%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
