Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																
Дата голосования: 18.09.2016																																																																																																
																																																																																																
Наименование Избирательной комиссии:    Нижнекамская городская																																																																																																
																																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																
																																																																																																
		Сумма	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2823	УИК №8114	УИК №8115	УИК №8116	УИК №8117									
		0.52%	0.28%	0.59%	0.11%	0.06%	0.00%	0.07%	0.16%	1.32%	0.13%	0.19%	0.07%	0.00%	0.31%	0.06%	0.17%	0.34%	0.96%	0.21%	0.39%	0.28%	0.31%	1.16%	0.59%	0.15%	0.26%	0.19%	0.15%	0.10%	0.19%	0.10%	1.29%	0.26%	0.12%	0.21%	0.34%	0.51%	0.92%	0.10%	0.06%	0.13%	0.05%	0.54%	0.05%	0.32%	0.99%	0.05%	0.05%	0.20%	3.34%	0.00%	0.33%	0.00%	0.11%	0.27%	0.08%	0.04%	0.09%	0.00%	0.16%	0.00%	0.05%	0.05%	0.20%	0.20%	0.24%	0.12%	0.04%	1.87%	0.73%	0.06%	0.05%	0.17%	0.33%	0.00%	0.22%	0.00%	0.10%	0.10%	0.50%	0.32%	0.81%	19.71%	28.24%	10.38%	37.79%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6348	189	204	40	31	31	57	29	144	31	23	22	6	11	97	29	72	156	192	228	107	65	119	157	40	47	10	48	40	16	26	173	183	43	114	105	45	132	96	20	77	24	163	27	22	52	40	35	27	157	4	43	103	36	41	24	163	105	150	38	26	142	27	157	18	124	39	60	46	20	104	26	252	74	40	89	32	21	31	175	190	50	35	7	18	36									
		4.28%	13.03%	9.95%	2.27%	1.72%	1.96%	3.99%	2.37%	8.27%	1.97%	1.09%	1.49%	1.43%	1.72%	5.96%	1.64%	6.21%	7.90%	8.14%	11.14%	5.95%	3.39%	9.24%	7.77%	2.04%	4.13%	0.65%	2.46%	2.01%	0.76%	1.33%	14.85%	7.92%	2.48%	8.03%	5.99%	2.53%	6.73%	4.94%	1.21%	4.88%	1.30%	7.99%	1.41%	1.17%	2.88%	1.93%	1.86%	1.38%	7.93%	2.09%	3.56%	6.96%	1.99%	2.23%	1.00%	6.99%	4.90%	6.96%	1.97%	1.50%	7.62%	1.44%	7.65%	1.77%	4.98%	1.58%	2.40%	2.46%	0.86%	5.99%	1.29%	10.73%	3.53%	2.35%	4.97%	1.40%	1.10%	1.51%	7.98%	7.66%	2.02%	10.00%	8.24%	8.49%	7.64%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	365	2	12	1	1	0	1	1	17	1	4	1	0	1	1	2	2	15	6	3	7	1	4	6	3	1	5	4	1	15	3	4	10	2	1	3	6	1	10	1	1	2	10	1	5	9	1	1	2	38	0	2	0	1	1	12	1	3	0	1	7	2	0	3	1	4	0	0	29	22	1	1	0	25	0	5	0	0	3	3	3	1	1	1	1	2									
		0.25%	0.14%	0.59%	0.06%	0.06%	0.00%	0.07%	0.08%	0.98%	0.06%	0.19%	0.07%	0.00%	0.16%	0.06%	0.11%	0.17%	0.76%	0.25%	0.15%	0.39%	0.05%	0.31%	0.30%	0.15%	0.09%	0.32%	0.20%	0.05%	0.71%	0.15%	0.34%	0.43%	0.12%	0.07%	0.17%	0.34%	0.05%	0.51%	0.06%	0.06%	0.11%	0.49%	0.05%	0.27%	0.50%	0.05%	0.05%	0.10%	1.92%	0.00%	0.17%	0.00%	0.06%	0.05%	0.50%	0.04%	0.14%	0.00%	0.05%	0.40%	0.11%	0.00%	0.15%	0.10%	0.16%	0.00%	0.00%	1.55%	0.95%	0.06%	0.05%	0.00%	1.19%	0.00%	0.28%	0.00%	0.00%	0.15%	0.14%	0.12%	0.04%	0.29%	1.18%	0.47%	0.42%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7436	66	154	36	27	25	142	40	139	5	21	21	3	11	203	45	26	156	197	154	160	67	63	157	11	43	18	196	20	35	25	77	184	70	114	174	39	78	192	20	154	19	163	33	177	65	19	37	25	158	6	95	147	37	47	15	232	211	215	28	10	179	23	196	22	249	81	59	44	185	173	25	82	173	42	178	32	13	143	176	190	35	3	1	16	9									
		5.01%	4.55%	7.51%	2.04%	1.50%	1.58%	9.94%	3.27%	7.98%	0.32%	0.99%	1.42%	0.71%	1.72%	12.48%	2.55%	2.24%	7.90%	8.35%	7.52%	8.90%	3.49%	4.89%	7.77%	0.56%	3.78%	1.17%	10.03%	1.01%	1.66%	1.28%	6.61%	7.96%	4.04%	8.03%	9.94%	2.19%	3.98%	9.88%	1.21%	9.75%	1.03%	7.99%	1.72%	9.40%	3.60%	0.92%	1.96%	1.28%	7.98%	3.14%	7.87%	9.94%	2.04%	2.55%	0.63%	9.95%	9.84%	9.98%	1.45%	0.58%	9.61%	1.23%	9.56%	2.16%	10.00%	3.29%	2.36%	2.36%	7.97%	9.97%	1.24%	3.49%	8.25%	2.47%	9.94%	1.40%	0.68%	6.95%	8.03%	7.66%	1.42%	0.86%	1.18%	7.55%	1.91%									
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
																																																																																																
