Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Батецкая																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1170	246	229	93	102	71	137	62	45	114	71									
		47.64%	43.62%	45.35%	47.45%	54.26%	46.41%	60.89%	49.60%	41.28%	46.15%	49.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	67	9	5	5	1	41	0	1	0	3	2									
		2.73%	1.60%	0.99%	2.55%	0.53%	26.80%	0.00%	0.80%	0.00%	1.21%	1.39%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	2	1	3	0	1	0	0	5	1									
		0.53%	0.00%	0.40%	0.51%	1.60%	0.00%	0.44%	0.00%	0.00%	2.02%	0.69%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	469	133	111	36	31	0	29	27	19	51	32									
		19.10%	23.58%	21.98%	18.37%	16.49%	0.00%	12.89%	21.60%	17.43%	20.65%	22.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	3	3	2	2	0	1	1	2	3	1									
		0.73%	0.53%	0.59%	1.02%	1.06%	0.00%	0.44%	0.80%	1.83%	1.21%	0.69%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	3	4	1	1	0	0	5	0	5	1									
		0.81%	0.53%	0.79%	0.51%	0.53%	0.00%	0.00%	4.00%	0.00%	2.02%	0.69%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	1	0	1	0	0	0	1	0	0									
		0.16%	0.18%	0.20%	0.00%	0.53%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	15	9	0	10	1	0	0	2	0	2									
		1.59%	2.66%	1.78%	0.00%	5.32%	0.65%	0.00%	0.00%	1.83%	0.00%	1.39%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	266	51	55	32	18	15	25	9	16	32	13									
		10.83%	9.04%	10.89%	16.33%	9.57%	9.80%	11.11%	7.20%	14.68%	12.96%	9.03%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	1	1	0	1	0	0	0	1	1	0									
		0.20%	0.18%	0.20%	0.00%	0.53%	0.00%	0.00%	0.00%	0.92%	0.40%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	192	61	47	7	8	13	17	8	9	14	8									
		7.82%	10.82%	9.31%	3.57%	4.26%	8.50%	7.56%	6.40%	8.26%	5.67%	5.56%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
