Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Йошкар-Олинская городская № 1																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №525	УИК №526									
		13.23%	11.11%	11.68%	8.95%	11.02%	12.42%	13.81%	12.50%	12.63%	9.98%	11.55%	15.13%	14.38%	15.56%	9.49%	9.11%	12.05%	11.38%	15.48%	17.71%	16.15%	13.64%	10.21%	12.30%	10.75%	13.04%	11.72%	11.53%	14.98%	15.61%	10.20%	12.23%	9.91%	12.02%	11.73%	11.69%	14.60%	13.65%	14.16%	13.97%	15.38%	16.47%	13.27%	14.59%	15.99%	16.26%	14.96%	11.97%	14.63%	12.87%	13.14%	12.18%	12.19%	4.17%	12.79%	15.48%	14.36%	19.16%	17.99%	16.95%	16.30%	18.70%	31.43%	13.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	364	11	7	7	8	8	5	12	10	9	3	8	1	10	6	15	10	9	3	5	7	9	10	4	6	4	2	9	6	10	9	7	9	6	7	7	5	6	9	4	2	4	9	4	4	8	2	3	8	0	7	8	3	1	5	1	2	6	0	0	2	0	2	0									
		0.73%	1.40%	1.78%	1.06%	1.24%	0.86%	1.11%	1.02%	0.93%	0.84%	0.36%	0.98%	0.22%	1.21%	0.98%	1.93%	0.96%	0.98%	0.33%	0.87%	0.90%	0.94%	1.04%	0.44%	0.72%	0.51%	0.18%	0.77%	0.50%	0.87%	0.81%	0.71%	1.33%	0.61%	0.72%	0.93%	0.48%	0.56%	1.16%	0.56%	0.31%	0.79%	0.88%	0.41%	0.54%	0.75%	0.25%	0.63%	1.08%	0.00%	0.62%	0.81%	0.37%	0.60%	0.59%	0.16%	0.20%	0.70%	0.00%	0.00%	0.63%	0.00%	1.43%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	501	19	9	11	11	19	5	21	15	17	15	6	10	14	11	17	9	11	3	5	4	6	10	5	12	9	10	10	9	12	10	10	10	8	8	8	9	11	7	3	2	0	10	10	4	6	8	4	4	4	13	6	6	0	8	8	1	4	1	2	1	0	0	0									
		1.01%	2.43%	2.28%	1.67%	1.71%	2.05%	1.11%	1.79%	1.39%	1.59%	1.79%	0.74%	2.21%	1.69%	1.80%	2.18%	0.86%	1.19%	0.33%	0.87%	0.51%	0.63%	1.04%	0.54%	1.43%	1.14%	0.92%	0.86%	0.75%	1.05%	0.90%	1.01%	1.48%	0.81%	0.82%	1.06%	0.86%	1.02%	0.90%	0.42%	0.31%	0.00%	0.98%	1.03%	0.54%	0.56%	0.99%	0.84%	0.54%	0.54%	1.15%	0.61%	0.75%	0.00%	0.94%	1.26%	0.10%	0.47%	0.35%	0.48%	0.31%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	59	2	1	0	2	2	2	0	1	1	0	1	1	0	0	0	0	0	3	0	1	0	4	2	0	3	0	1	0	0	3	2	2	2	0	0	0	1	0	2	0	0	0	3	0	1	3	3	0	0	0	0	2	1	1	0	2	1	0	2	0	1	0	0									
		0.12%	0.26%	0.25%	0.00%	0.31%	0.22%	0.45%	0.00%	0.09%	0.09%	0.00%	0.12%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.13%	0.00%	0.42%	0.22%	0.00%	0.38%	0.00%	0.09%	0.00%	0.00%	0.27%	0.20%	0.30%	0.20%	0.00%	0.00%	0.00%	0.09%	0.00%	0.28%	0.00%	0.00%	0.00%	0.31%	0.00%	0.09%	0.37%	0.63%	0.00%	0.00%	0.00%	0.00%	0.25%	0.60%	0.12%	0.00%	0.20%	0.12%	0.00%	0.48%	0.00%	0.41%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	796	22	10	20	21	35	12	16	30	26	18	17	4	6	7	27	18	24	10	7	6	13	16	16	10	15	7	25	19	15	20	14	16	12	11	15	17	25	7	6	9	5	21	8	12	10	10	6	11	7	16	18	12	0	17	5	5	3	2	1	3	0	0	0									
		1.60%	2.81%	2.54%	3.03%	3.26%	3.78%	2.67%	1.36%	2.79%	2.43%	2.14%	2.09%	0.88%	0.72%	1.15%	3.47%	1.72%	2.60%	1.11%	1.22%	0.77%	1.36%	1.67%	1.74%	1.19%	1.90%	0.65%	2.15%	1.59%	1.31%	1.81%	1.42%	2.37%	1.22%	1.13%	1.99%	1.63%	2.32%	0.90%	0.84%	1.41%	0.99%	2.06%	0.82%	1.61%	0.94%	1.25%	1.26%	1.49%	0.94%	1.42%	1.83%	1.49%	0.00%	1.99%	0.79%	0.49%	0.35%	0.69%	0.24%	0.94%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	13032	176	115	178	136	283	88	372	354	317	243	256	125	242	135	193	315	319	276	155	213	162	222	178	144	140	234	317	357	330	208	202	179	246	276	221	279	299	220	194	169	140	320	268	188	286	203	148	218	208	318	197	152	14	269	190	292	206	71	107	55	56	13	45									
		26.27%	22.48%	29.19%	27.01%	21.12%	30.56%	19.60%	31.63%	32.87%	29.57%	28.93%	31.49%	27.65%	29.19%	22.09%	24.78%	30.11%	34.56%	30.73%	26.91%	27.31%	16.99%	23.13%	19.37%	17.20%	17.72%	21.59%	27.28%	29.87%	28.77%	18.77%	20.42%	26.48%	25.05%	28.40%	29.35%	26.80%	27.76%	28.31%	27.09%	26.53%	27.78%	31.47%	27.54%	25.27%	26.88%	25.31%	31.09%	29.54%	27.88%	28.24%	20.00%	18.91%	8.33%	31.57%	30.02%	28.71%	24.07%	24.57%	25.91%	17.24%	22.76%	9.29%	22.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	128	7	1	2	0	1	0	1	3	5	3	3	0	3	1	1	2	6	2	0	5	0	1	0	0	2	0	4	4	2	2	3	0	2	5	2	4	2	1	0	2	0	4	3	2	2	1	1	1	5	3	5	2	0	2	4	4	3	2	0	0	1	0	1									
		0.26%	0.89%	0.25%	0.30%	0.00%	0.11%	0.00%	0.09%	0.28%	0.47%	0.36%	0.37%	0.00%	0.36%	0.16%	0.13%	0.19%	0.65%	0.22%	0.00%	0.64%	0.00%	0.10%	0.00%	0.00%	0.25%	0.00%	0.34%	0.33%	0.17%	0.18%	0.30%	0.00%	0.20%	0.51%	0.27%	0.38%	0.19%	0.13%	0.00%	0.31%	0.00%	0.39%	0.31%	0.27%	0.19%	0.12%	0.21%	0.14%	0.67%	0.27%	0.51%	0.25%	0.00%	0.23%	0.63%	0.39%	0.35%	0.69%	0.00%	0.00%	0.41%	0.00%	0.50%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4348	45	14	54	44	93	24	116	105	119	74	73	40	38	65	59	131	88	41	64	64	90	106	86	87	68	90	80	112	100	99	121	61	90	113	75	121	117	64	38	81	35	58	114	70	111	62	52	70	86	110	99	93	5	63	33	33	34	12	16	16	11	4	11									
		8.76%	5.75%	3.55%	8.19%	6.83%	10.04%	5.35%	9.86%	9.75%	11.10%	8.81%	8.98%	8.85%	4.58%	10.64%	7.57%	12.52%	9.53%	4.57%	11.11%	8.21%	9.44%	11.04%	9.36%	10.39%	8.61%	8.30%	6.88%	9.37%	8.72%	8.94%	12.23%	9.02%	9.16%	11.63%	9.96%	11.62%	10.86%	8.24%	5.31%	12.72%	6.94%	5.70%	11.72%	9.41%	10.43%	7.73%	10.92%	9.49%	11.53%	9.77%	10.05%	11.57%	2.98%	7.39%	5.21%	3.24%	3.97%	4.15%	3.87%	5.02%	4.47%	2.86%	5.50%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
