Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																							
Дата голосования: 18.09.2016																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Владикавказ, Левобережная"																																																																																							
																																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																							
																																																																																							
		Сумма	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №379									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2999	40	40	40	40	80	40	40	40	40	40	40	40	40	40	50	40	50	50	40	40	70	40	50	40	40	40	40	60	50	40	80	60	40	40	40	40	50	40	53	60	40	40	80	50	50	50	40	50	40	40	40	40	40	40	41	40	60	40	55	80	40	40	40	40	40	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2381	0	5	9	17	67	20	40	21	40	40	40	18	21	18	50	35	42	50	40	22	70	38	41	17	23	19	40	47	50	34	58	45	24	40	32	40	50	31	52	47	31	40	54	45	40	50	23	50	40	25	40	27	40	29	41	34	58	25	43	80	21	40	40	32	40	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1801	4	1	3	0	33	25	15	8	5	40	31	9	70	13	25	19	3	25	30	21	3	18	78	55	0	11	20	20	25	9	102	75	12	10	13	50	35	15	17	40	38	15	19	82	21	26	50	49	15	80	65	2	0	9	0	22	18	16	33	16	5	35	5	9	3	0	3	0	10	167	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	618	40	35	31	23	13	20	0	19	0	0	0	22	19	22	0	5	8	0	0	18	0	2	9	23	17	21	0	13	0	6	22	15	16	0	8	0	0	9	1	13	9	0	26	5	10	0	17	0	0	15	0	13	0	11	0	6	2	15	12	0	19	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2642	4	3	13	38	27	33	30	57	50	25	31	25	35	16	50	63	32	50	39	31	59	61	31	25	21	36	45	34	48	43	51	35	36	39	58	43	57	38	58	58	31	33	67	49	31	42	36	67	57	46	48	34	52	47	50	45	44	37	38	44	53	66	38	33	26	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	468	0	0	15	0	1	2	0	0	15	75	0	5	12	0	6	0	3	6	0	2	1	0	4	9	9	2	23	15	2	1	1	12	0	0	0	0	2	30	9	0	0	0	0	5	0	3	0	0	6	0	1	19	0	0	11	3	100	0	27	7	12	0	5	0	0	0	2	0	5	0	0	0	0	0	0	0									
		0.40%	0.00%	0.00%	1.67%	0.00%	0.10%	0.20%	0.00%	0.00%	0.76%	7.23%	0.00%	0.31%	0.66%	0.00%	0.29%	0.00%	0.18%	0.30%	0.00%	0.10%	0.04%	0.00%	0.16%	0.63%	0.56%	0.11%	1.45%	0.67%	0.09%	0.05%	0.06%	0.82%	0.00%	0.00%	0.00%	0.00%	0.10%	1.88%	0.50%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.14%	0.00%	0.00%	0.29%	0.00%	0.04%	1.26%	0.00%	0.00%	0.48%	0.15%	5.06%	0.00%	1.33%	0.33%	0.50%	0.00%	0.30%	0.00%	0.00%	0.00%	0.25%	0.00%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	371	0	4	10	0	16	0	0	0	13	20	11	0	0	4	0	0	18	3	0	8	1	5	10	6	9	1	7	15	6	4	3	0	0	0	0	0	6	3	24	0	0	0	0	20	0	0	0	0	19	0	0	18	0	0	0	2	33	0	25	2	10	0	0	0	0	0	7	16	6	0	0	0	0	4	0	2									
		0.32%	0.00%	0.50%	1.11%	0.00%	1.58%	0.00%	0.00%	0.00%	0.66%	1.93%	0.62%	0.00%	0.00%	0.34%	0.00%	0.00%	1.09%	0.15%	0.00%	0.39%	0.04%	0.25%	0.40%	0.42%	0.56%	0.05%	0.44%	0.67%	0.28%	0.22%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.19%	1.34%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	1.20%	0.00%	0.00%	0.00%	0.10%	1.67%	0.00%	1.23%	0.09%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	4.57%	2.61%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	237	0	2	1	0	3	0	0	0	8	23	0	0	17	0	4	0	6	0	0	0	0	0	14	2	10	1	4	0	6	4	2	0	0	0	0	0	7	2	22	0	9	0	0	14	0	0	0	0	12	0	0	12	0	0	0	4	6	0	12	2	17	0	0	0	0	0	1	1	3	5	0	0	0	1	0	0									
		0.20%	0.00%	0.25%	0.11%	0.00%	0.30%	0.00%	0.00%	0.00%	0.41%	2.22%	0.00%	0.00%	0.94%	0.00%	0.20%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.14%	0.62%	0.05%	0.25%	0.00%	0.28%	0.22%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.13%	1.22%	0.00%	0.75%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.20%	0.30%	0.00%	0.59%	0.09%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.29%	1.30%	2.99%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	80272	452	518	579	604	829	638	725	1579	1339	669	1120	1136	1219	792	1526	1267	1081	1462	1380	1870	1292	1247	1680	942	988	1181	1004	1430	1344	1316	1162	951	1091	1350	1506	1006	1293	1020	1193	1180	721	938	670	1336	819	1461	1096	1142	1687	1140	1655	1199	1454	1249	1832	1388	1233	1533	1272	1476	1643	1603	1365	1140	695	119	673	320	125	139	54	350	202	269	252	1061									
		68.32%	70.40%	64.51%	64.48%	62.79%	81.84%	62.80%	69.38%	70.97%	67.87%	64.45%	62.78%	71.00%	67.53%	67.06%	74.99%	53.98%	65.24%	73.21%	74.80%	90.16%	52.73%	63.24%	67.20%	66.01%	61.60%	63.16%	63.14%	63.61%	62.80%	70.83%	69.17%	64.69%	68.83%	70.13%	75.04%	63.23%	64.23%	63.79%	66.43%	61.30%	59.78%	61.99%	63.63%	62.78%	64.24%	70.04%	74.97%	57.19%	81.07%	55.23%	73.10%	79.61%	70.65%	70.97%	80.03%	67.77%	62.34%	73.00%	62.78%	69.00%	68.40%	67.30%	81.98%	72.20%	61.72%	100.00%	84.13%	91.43%	54.35%	83.23%	100.00%	100.00%	100.00%	67.25%	100.00%	88.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	155	0	0	3	0	4	1	0	0	5	8	0	0	0	4	0	0	2	0	0	0	1	2	7	7	9	2	12	0	4	0	5	0	9	0	0	0	2	3	0	0	0	0	0	8	0	0	0	0	9	0	0	7	0	0	0	3	2	0	9	1	14	0	0	0	0	0	4	0	4	0	0	0	0	4	0	0									
		0.13%	0.00%	0.00%	0.33%	0.00%	0.39%	0.10%	0.00%	0.00%	0.25%	0.77%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.04%	0.10%	0.28%	0.49%	0.56%	0.11%	0.75%	0.00%	0.19%	0.00%	0.30%	0.00%	0.57%	0.00%	0.00%	0.00%	0.10%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.15%	0.10%	0.00%	0.44%	0.05%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	1.74%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	76	0	1	0	0	0	0	0	0	5	1	0	0	0	0	6	0	1	6	0	0	0	0	2	0	4	0	8	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	2	0	7	1	5	0	0	0	0	0	2	1	2	0	0	0	0	0	0	2									
		0.06%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.10%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.06%	0.30%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.25%	0.00%	0.50%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.10%	0.00%	0.35%	0.05%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.29%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1112	0	26	29	9	23	10	13	0	13	33	113	27	8	5	2	0	18	9	10	6	1	48	50	23	68	0	20	10	20	4	6	30	17	0	0	12	11	13	50	0	36	5	0	26	21	6	0	0	24	0	7	24	10	0	0	10	33	0	32	0	31	34	2	0	0	0	8	5	32	4	0	0	0	9	0	16									
		0.95%	0.00%	3.24%	3.23%	0.94%	2.27%	0.98%	1.24%	0.00%	0.66%	3.18%	6.33%	1.69%	0.44%	0.42%	0.10%	0.00%	1.09%	0.45%	0.54%	0.29%	0.04%	2.43%	2.00%	1.61%	4.24%	0.00%	1.26%	0.44%	0.93%	0.22%	0.36%	2.04%	1.07%	0.00%	0.00%	0.75%	0.55%	0.81%	2.78%	0.00%	2.99%	0.33%	0.00%	1.22%	1.65%	0.29%	0.00%	0.00%	1.15%	0.00%	0.31%	1.59%	0.49%	0.00%	0.00%	0.49%	1.67%	0.00%	1.58%	0.00%	1.29%	1.43%	0.12%	0.00%	0.00%	0.00%	1.00%	1.43%	13.91%	2.40%	0.00%	0.00%	0.00%	2.25%	0.00%	1.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	84	0	0	0	0	2	0	0	0	8	4	0	0	0	0	0	0	5	0	0	0	0	0	13	2	2	0	6	0	0	4	2	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	4	0	0	1	0	0	0	4	0	0	4	0	7	0	0	0	0	0	1	0	7	1	0	0	0	0	0	0									
		0.07%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.41%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.14%	0.12%	0.00%	0.38%	0.00%	0.00%	0.22%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.20%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	3.04%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	310	0	0	0	0	2	0	0	0	9	4	0	0	0	0	0	0	9	0	0	0	0	0	5	1	6	1	4	201	8	0	1	0	0	0	0	0	0	11	6	0	3	0	0	3	0	0	0	0	4	0	0	2	0	0	0	3	5	0	2	0	8	0	0	0	0	0	1	0	8	0	0	0	0	1	0	2									
		0.26%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.46%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.07%	0.37%	0.05%	0.25%	8.94%	0.37%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.33%	0.00%	0.25%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.15%	0.25%	0.00%	0.10%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	3.48%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.17%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18	1	0	0	8	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0									
		0.04%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.07%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.05%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	185	0	3	0	0	3	2	0	0	18	6	0	0	0	0	0	0	2	0	0	3	0	3	16	3	4	0	11	13	0	0	3	0	0	0	0	5	1	3	0	0	3	0	0	6	0	0	0	0	13	0	0	6	0	0	0	4	11	0	14	0	20	0	0	0	0	0	4	0	4	0	0	0	0	1	0	0									
		0.16%	0.00%	0.37%	0.00%	0.00%	0.30%	0.20%	0.00%	0.00%	0.91%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.14%	0.00%	0.15%	0.64%	0.21%	0.25%	0.00%	0.69%	0.58%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.31%	0.05%	0.19%	0.00%	0.00%	0.25%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.20%	0.56%	0.00%	0.69%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	1.74%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	25465	135	194	208	232	70	245	252	536	477	102	430	358	436	281	472	565	451	475	400	168	588	493	603	365	392	454	384	495	516	440	425	329	366	464	478	383	485	387	408	458	250	365	248	496	274	456	292	438	270	502	489	154	496	423	285	494	480	504	488	463	527	514	251	360	356	0	75	0	8	8	0	0	0	93	0	6									
		21.67%	21.03%	24.16%	23.16%	24.12%	6.91%	24.11%	24.11%	24.09%	24.18%	9.83%	24.10%	22.38%	24.16%	23.79%	23.19%	24.07%	27.22%	23.79%	21.68%	8.10%	24.00%	25.00%	24.12%	25.58%	24.44%	24.28%	24.15%	22.02%	24.11%	23.68%	25.30%	22.38%	23.09%	24.10%	23.82%	24.07%	24.09%	24.20%	22.72%	23.79%	20.73%	24.12%	23.55%	23.31%	21.49%	21.86%	19.97%	21.93%	12.97%	24.32%	21.60%	10.23%	24.10%	24.03%	12.45%	24.12%	24.27%	24.00%	24.09%	21.65%	21.94%	21.58%	15.08%	22.80%	31.62%	0.00%	9.38%	0.00%	3.48%	4.79%	0.00%	0.00%	0.00%	23.25%	0.00%	0.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5733	55	30	8	93	47	87	43	73	36	67	47	55	87	68	19	70	50	27	50	15	99	128	41	33	72	92	52	7	204	72	48	135	84	72	23	170	195	69	34	287	150	120	34	178	155	150	4	264	4	416	111	33	57	80	161	121	56	63	94	95	64	151	35	79	72	0	10	6	15	7	0	0	0	2	0	2									
		4.88%	8.57%	3.74%	0.89%	9.67%	4.64%	8.56%	4.11%	3.28%	1.82%	6.45%	2.63%	3.44%	4.82%	5.76%	0.93%	2.98%	3.02%	1.35%	2.71%	0.72%	4.04%	6.49%	1.64%	2.31%	4.49%	4.92%	3.27%	0.31%	9.53%	3.88%	2.86%	9.18%	5.30%	3.74%	1.15%	10.69%	9.69%	4.32%	1.89%	14.91%	12.44%	7.93%	3.23%	8.36%	12.16%	7.19%	0.27%	13.22%	0.19%	20.16%	4.90%	2.19%	2.77%	4.55%	7.03%	5.91%	2.83%	3.00%	4.64%	4.44%	2.66%	6.34%	2.10%	5.00%	6.39%	0.00%	1.25%	1.71%	6.52%	4.19%	0.00%	0.00%	0.00%	0.50%	0.00%	0.17%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2565	0	23	41	24	13	19	12	37	14	10	63	19	26	13	0	445	4	9	0	2	465	22	37	20	11	131	47	61	30	3	10	13	12	39	0	15	5	45	26	0	30	85	80	22	0	10	70	153	13	0	1	12	41	0	0	2	10	0	32	90	41	80	7	0	0	0	3	1	3	3	0	0	0	7	0	3									
		2.18%	0.00%	2.86%	4.57%	2.49%	1.28%	1.87%	1.15%	1.66%	0.71%	0.96%	3.53%	1.19%	1.44%	1.10%	0.00%	18.96%	0.24%	0.45%	0.00%	0.10%	18.98%	1.12%	1.48%	1.40%	0.69%	7.01%	2.96%	2.71%	1.40%	0.16%	0.60%	0.88%	0.76%	2.03%	0.00%	0.94%	0.25%	2.81%	1.45%	0.00%	2.49%	5.62%	7.60%	1.03%	0.00%	0.48%	4.79%	7.66%	0.62%	0.00%	0.04%	0.80%	1.99%	0.00%	0.00%	0.10%	0.51%	0.00%	1.58%	4.21%	1.71%	3.36%	0.42%	0.00%	0.00%	0.00%	0.38%	0.29%	1.30%	1.80%	0.00%	0.00%	0.00%	1.75%	0.00%	0.25%									
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
