Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Фировская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	82	22	16	5	7	0	11	11	4	2	2	1	0	1									
		2.50%	2.77%	2.16%	1.99%	2.62%	0.00%	9.73%	2.91%	2.35%	1.89%	2.20%	1.67%	0.00%	1.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	14	10	6	2	2	1	8	7	3	1	3	0	0									
		1.74%	1.77%	1.35%	2.39%	0.75%	1.57%	0.88%	2.12%	4.12%	2.83%	1.10%	5.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1715	370	338	133	171	55	67	203	103	59	48	30	97	41									
		52.21%	46.66%	45.55%	52.99%	64.04%	43.31%	59.29%	53.70%	60.59%	55.66%	52.75%	50.00%	76.38%	68.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	1	1	2	0	0	0	2	0	0	1	0	0	0									
		0.21%	0.13%	0.13%	0.80%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	1.10%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	1	0	0	0	0	0	1	1	0	0	0	0	0									
		0.09%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	627	181	149	53	36	33	31	66	19	11	18	7	13	10									
		19.09%	22.82%	20.08%	21.12%	13.48%	25.98%	27.43%	17.46%	11.18%	10.38%	19.78%	11.67%	10.24%	16.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	3	9	1	0	1	0	0	1	0	1	0	1	1									
		0.55%	0.38%	1.21%	0.40%	0.00%	0.79%	0.00%	0.00%	0.59%	0.00%	1.10%	0.00%	0.79%	1.67%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	7	9	2	0	1	0	1	0	0	0	0	0	1									
		0.64%	0.88%	1.21%	0.80%	0.00%	0.79%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	2	3	0	0	1	0	0	0	0	0	0	0	1									
		0.21%	0.25%	0.40%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	8	2	1	2	1	0	3	2	1	2	0	1	0									
		0.70%	1.01%	0.27%	0.40%	0.75%	0.79%	0.00%	0.79%	1.18%	0.94%	2.20%	0.00%	0.79%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	369	93	98	26	26	24	0	37	19	16	13	13	2	2									
		11.23%	11.73%	13.21%	10.36%	9.74%	18.90%	0.00%	9.79%	11.18%	15.09%	14.29%	21.67%	1.57%	3.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	1	2	0	0	0	1	3	0	0	0	0	0	0									
		0.21%	0.13%	0.27%	0.00%	0.00%	0.00%	0.88%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	272	74	85	13	17	2	2	37	11	13	2	4	10	2									
		8.28%	9.33%	11.46%	5.18%	6.37%	1.57%	1.77%	9.79%	6.47%	12.26%	2.20%	6.67%	7.87%	3.33%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
