Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																				
Дата голосования: 04.12.2011																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Нижнеудинская																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	952	15	10	15	10	10	15	10	10	20	10	6	15	25	25	6	10	10	15	30	20	15	12	10	10	6	11	11	6	20	3	6	3	3	11	4	8	10	11	3	6	30	20	20	9	19	8	3	3	8	3	6	3	3	2	12	3	5	3	5	3	5	18	8	11	3	4	4	10	10	10	3	3	4	3	15	14	13	8	15	5	12	24	11	14	11	50	10	7	3	14	2	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	827	12	10	10	6	9	11	5	6	14	4	3	11	11	13	6	3	7	8	28	10	9	12	5	10	6	11	11	3	20	3	6	3	3	11	4	8	10	11	3	6	30	20	20	9	19	8	3	3	8	3	6	3	3	2	12	3	5	3	3	3	5	18	8	11	3	4	4	10	9	10	3	3	4	3	15	14	13	8	14	5	9	24	11	14	11	50	10	7	3	14	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	339	9	3	2	10	4	10	4	7	12	2	6	10	9	24	4	12	8	4	6	4	0	14	4	4	3	4	4	1	6	4	2	0	2	1	3	4	7	0	0	0	5	5	3	5	3	3	0	2	2	1	1	2	3	0	5	0	0	1	2	2	2	3	4	6	3	2	1	4	2	0	0	3	0	4	1	6	2	1	7	0	0	4	1	1	0	5	8	2	8	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	125	3	0	5	4	1	4	5	4	6	6	3	4	14	12	0	7	3	7	2	10	6	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	6	1	1	0	1	0	0	2	2	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2875	114	52	60	46	57	113	56	40	119	39	24	57	139	119	41	78	98	70	93	97	64	25	39	29	16	10	33	21	64	15	13	7	3	8	3	8	65	41	12	12	104	81	26	32	57	7	10	4	7	10	15	10	3	10	35	17	20	5	31	3	3	17	7	19	8	9	7	20	44	31	2	2	11	3	17	6	5	5	36	9	4	13	13	4	4	31	6	4	5	12	8	12	11					
		12.08%	10.97%	14.94%	13.61%	12.11%	18.39%	15.42%	14.58%	11.43%	14.58%	14.77%	13.56%	10.96%	16.09%	11.34%	17.08%	16.60%	16.90%	14.68%	15.30%	14.67%	15.92%	7.67%	13.78%	10.25%	7.27%	5.78%	11.42%	9.17%	10.54%	12.50%	13.83%	9.33%	4.76%	14.81%	3.80%	14.04%	14.98%	10.65%	6.63%	5.22%	12.62%	14.65%	14.13%	16.24%	18.75%	9.59%	9.35%	6.78%	11.29%	20.00%	7.14%	11.90%	5.00%	26.32%	11.86%	15.32%	11.56%	11.36%	14.83%	2.46%	5.66%	9.88%	6.31%	7.45%	12.50%	5.29%	6.67%	9.80%	10.02%	7.38%	3.13%	3.17%	15.07%	8.33%	8.37%	4.08%	6.67%	5.95%	12.77%	6.98%	13.79%	11.93%	13.54%	6.25%	10.53%	8.45%	4.51%	5.88%	4.90%	7.89%	5.10%	9.30%	6.96%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4116	202	60	85	73	84	101	54	73	157	56	45	93	125	193	40	65	82	108	115	122	62	53	44	31	32	32	49	34	61	24	9	13	16	5	5	7	77	38	19	42	138	104	34	30	58	15	14	4	5	6	47	4	22	12	45	24	39	3	22	25	16	40	37	49	18	30	28	31	111	76	16	9	9	7	41	30	14	9	58	24	6	20	14	4	4	71	15	16	17	20	15	7	17					
		17.29%	19.44%	17.24%	19.27%	19.21%	27.10%	13.78%	14.06%	20.86%	19.24%	21.21%	25.42%	17.88%	14.47%	18.40%	16.67%	13.83%	14.14%	22.64%	18.91%	18.46%	15.42%	16.26%	15.55%	10.95%	14.55%	18.50%	16.96%	14.85%	10.05%	20.00%	9.57%	17.33%	25.40%	9.26%	6.33%	12.28%	17.74%	9.87%	10.50%	18.26%	16.75%	18.81%	18.48%	15.23%	19.08%	20.55%	13.08%	6.78%	8.06%	12.00%	22.38%	4.76%	36.67%	31.58%	15.25%	21.62%	22.54%	6.82%	10.53%	20.49%	30.19%	23.26%	33.33%	19.22%	28.13%	17.65%	26.67%	15.20%	25.28%	18.10%	25.00%	14.29%	12.33%	19.44%	20.20%	20.41%	18.67%	10.71%	20.57%	18.60%	20.69%	18.35%	14.58%	6.25%	10.53%	19.35%	11.28%	23.53%	16.67%	13.16%	9.55%	5.43%	10.76%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	270	20	5	3	7	7	12	3	2	11	4	3	10	16	16	4	9	6	3	9	11	4	0	4	2	3	1	4	6	2	0	0	0	0	0	0	0	8	6	3	0	6	3	0	1	6	0	1	1	0	1	2	2	0	0	3	0	0	1	1	1	0	0	3	2	3	2	0	2	3	2	1	0	1	0	2	0	3	0	6	2	0	0	1	0	0	4	0	0	0	0	0	0	0					
		1.13%	1.92%	1.44%	0.68%	1.84%	2.26%	1.64%	0.78%	0.57%	1.35%	1.52%	1.69%	1.92%	1.85%	1.53%	1.67%	1.91%	1.03%	0.63%	1.48%	1.66%	0.99%	0.00%	1.41%	0.71%	1.36%	0.58%	1.38%	2.62%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.84%	1.56%	1.66%	0.00%	0.73%	0.54%	0.00%	0.51%	1.97%	0.00%	0.93%	1.69%	0.00%	2.00%	0.95%	2.38%	0.00%	0.00%	1.02%	0.00%	0.00%	2.27%	0.48%	0.82%	0.00%	0.00%	2.70%	0.78%	4.69%	1.18%	0.00%	0.98%	0.68%	0.48%	1.56%	0.00%	1.37%	0.00%	0.99%	0.00%	4.00%	0.00%	2.13%	1.55%	0.00%	0.00%	1.04%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4432	162	71	58	81	46	183	92	70	175	32	32	89	225	221	51	104	121	81	116	119	76	105	74	94	80	38	106	81	65	18	8	4	1	7	10	10	65	89	5	21	125	81	15	32	54	10	22	1	8	5	18	20	3	5	30	24	36	5	25	14	2	51	13	63	13	19	33	57	90	90	6	19	5	2	21	18	0	12	43	36	5	16	13	23	5	81	14	5	2	21	23	1	11					
		18.62%	15.59%	20.40%	13.15%	21.32%	14.84%	24.97%	23.96%	20.00%	21.45%	12.12%	18.08%	17.12%	26.04%	21.07%	21.25%	22.13%	20.86%	16.98%	19.08%	18.00%	18.91%	32.21%	26.15%	33.22%	36.36%	21.97%	36.68%	35.37%	10.71%	15.00%	8.51%	5.33%	1.59%	12.96%	12.66%	17.54%	14.98%	23.12%	2.76%	9.13%	15.17%	14.65%	8.15%	16.24%	17.76%	13.70%	20.56%	1.69%	12.90%	10.00%	8.57%	23.81%	5.00%	13.16%	10.17%	21.62%	20.81%	11.36%	11.96%	11.48%	3.77%	29.65%	11.71%	24.71%	20.31%	11.18%	31.43%	27.94%	20.50%	21.43%	9.38%	30.16%	6.85%	5.56%	10.34%	12.24%	0.00%	14.29%	15.25%	27.91%	17.24%	14.68%	13.54%	35.94%	13.16%	22.07%	10.53%	7.35%	1.96%	13.82%	14.65%	0.78%	6.96%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	312	19	6	3	5	4	18	8	6	19	3	0	11	21	20	2	3	11	3	6	0	3	5	7	5	3	2	5	2	4	0	1	0	0	0	0	1	3	2	5	0	12	5	1	2	2	0	1	1	0	0	4	1	0	1	1	0	3	1	1	0	1	2	0	5	0	1	0	1	7	6	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	7	2	6	4	1	0	1	14					
		1.31%	1.83%	1.72%	0.68%	1.32%	1.29%	2.46%	2.08%	1.71%	2.33%	1.14%	0.00%	2.12%	2.43%	1.91%	0.83%	0.64%	1.90%	0.63%	0.99%	0.00%	0.75%	1.53%	2.47%	1.77%	1.36%	1.16%	1.73%	0.87%	0.66%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	1.75%	0.69%	0.52%	2.76%	0.00%	1.46%	0.90%	0.54%	1.02%	0.66%	0.00%	0.93%	1.69%	0.00%	0.00%	1.90%	1.19%	0.00%	2.63%	0.34%	0.00%	1.73%	2.27%	0.48%	0.00%	1.89%	1.16%	0.00%	1.96%	0.00%	0.59%	0.00%	0.49%	1.59%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	1.91%	1.50%	8.82%	3.92%	0.66%	0.00%	0.78%	8.86%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11359	507	149	226	158	105	292	164	151	315	126	71	250	312	459	98	200	252	201	258	301	190	132	113	122	81	87	90	81	399	62	63	49	42	33	60	30	211	206	129	153	425	268	97	99	122	41	58	47	41	27	122	44	32	9	175	45	72	29	119	77	31	58	51	109	21	107	35	84	182	203	38	33	45	24	118	92	52	58	135	56	14	56	54	31	23	160	96	37	72	93	109	106	99					
		47.72%	48.80%	42.82%	51.25%	41.58%	33.87%	39.84%	42.71%	43.14%	38.60%	47.73%	40.11%	48.08%	36.11%	43.76%	40.83%	42.55%	43.45%	42.14%	42.43%	45.54%	47.26%	40.49%	39.93%	43.11%	36.82%	50.29%	31.14%	35.37%	65.73%	51.67%	67.02%	65.33%	66.67%	61.11%	75.95%	52.63%	48.62%	53.51%	71.27%	66.52%	51.58%	48.46%	52.72%	50.25%	40.13%	56.16%	54.21%	79.66%	66.13%	54.00%	58.10%	52.38%	53.33%	23.68%	59.32%	40.54%	41.62%	65.91%	56.94%	63.11%	58.49%	33.72%	45.95%	42.75%	32.81%	62.94%	33.33%	41.18%	41.46%	48.33%	59.38%	52.38%	61.64%	66.67%	58.13%	62.59%	69.33%	69.05%	47.87%	43.41%	48.28%	51.38%	56.25%	48.44%	60.53%	43.60%	72.18%	54.41%	70.59%	61.18%	69.43%	82.17%	62.66%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	84	3	2	1	3	3	3	2	2	3	1	0	2	3	8	0	1	1	1	1	1	0	2	1	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	5	0	2	2	4	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	2	1	1	1	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	0	1	1	1	0	0					
		0.35%	0.29%	0.57%	0.23%	0.79%	0.97%	0.41%	0.52%	0.57%	0.37%	0.38%	0.00%	0.38%	0.35%	0.76%	0.00%	0.21%	0.17%	0.21%	0.16%	0.15%	0.00%	0.61%	0.35%	0.00%	0.00%	0.00%	0.00%	0.87%	0.66%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.00%	0.00%	2.76%	0.00%	0.24%	0.36%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	1.56%	1.18%	0.95%	0.49%	0.23%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.35%	1.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.98%	0.66%	0.64%	0.00%	0.00%					
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
