Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Тосненская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №967									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1600	36	41	33	10	43	44	29	15	30	24	36	30	42	12	13	41	12	33	24	16	14	12	12	20	21	31	25	10	14	13	10	19	19	15	10	10	38	18	36	42	34	32	23	43	29	34	23	15	15	18	28	18	24	22	31	32	27	42	40	32	40	10	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	483	6	11	4	9	15	21	19	6	20	11	12	16	18	3	2	15	4	10	8	3	7	11	5	7	10	12	3	2	2	2	3	7	2	2	2	2	7	4	12	19	8	4	7	8	5	7	3	0	2	0	3	2	9	6	5	10	6	15	9	4	10	4	22									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	573	1	34	26	3	11	6	5	2	8	0	1	0	2	1	8	14	5	13	2	10	3	28	8	27	3	8	8	0	3	45	8	4	15	11	7	7	7	17	14	11	13	6	6	12	10	11	11	17	7	7	5	10	5	9	3	3	9	9	7	3	10	4	10									
14	Число погашенных неиспользованных открепительных удостоверений	1117	30	30	29	1	28	23	10	9	10	13	24	14	24	9	11	26	8	23	16	13	7	1	7	13	11	19	22	8	12	11	7	12	17	13	8	8	31	14	24	23	26	28	16	35	24	27	20	15	13	18	25	16	15	16	26	22	21	27	31	28	30	6	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	0	3	2	1	0	1	0	2	7	3	0	3	1	1	1	4	0	1	1	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	666	7	17	18	2	20	19	18	7	11	10	18	17	23	7	5	21	3	19	16	7	9	6	4	5	11	12	7	6	3	7	3	2	6	1	0	6	15	3	21	23	29	19	8	14	8	10	7	3	3	5	12	3	14	13	14	5	8	13	11	15	21	0	16									
		1.95%	1.15%	1.94%	2.51%	0.56%	2.33%	2.11%	2.73%	2.11%	1.57%	2.16%	2.34%	2.16%	2.54%	3.32%	2.05%	2.43%	1.36%	2.90%	2.94%	2.15%	2.47%	1.56%	1.51%	1.25%	2.30%	1.64%	1.20%	2.12%	1.03%	2.30%	1.22%	0.56%	2.16%	0.66%	0.00%	7.79%	1.68%	1.44%	2.31%	1.78%	3.31%	2.24%	1.46%	1.86%	0.95%	1.28%	1.50%	0.93%	1.19%	1.56%	2.76%	0.77%	3.06%	3.23%	2.20%	0.87%	1.49%	1.42%	1.33%	2.31%	2.18%	0.00%	2.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	789	20	33	18	6	18	25	11	7	18	18	13	28	20	7	9	14	12	13	22	12	4	0	7	5	8	9	10	6	2	7	1	8	11	5	1	0	15	6	15	44	11	16	8	21	15	10	6	14	6	5	15	10	11	9	15	12	15	33	18	17	17	7	10									
		2.31%	3.29%	3.77%	2.51%	1.69%	2.09%	2.78%	1.67%	2.11%	2.57%	3.88%	1.69%	3.55%	2.21%	3.32%	3.69%	1.62%	5.45%	1.98%	4.04%	3.68%	1.10%	0.00%	2.64%	1.25%	1.67%	1.23%	1.72%	2.12%	0.69%	2.30%	0.41%	2.22%	3.96%	3.31%	1.39%	0.00%	1.68%	2.88%	1.65%	3.41%	1.26%	1.88%	1.46%	2.79%	1.79%	1.28%	1.29%	4.33%	2.38%	1.56%	3.46%	2.56%	2.40%	2.24%	2.36%	2.08%	2.80%	3.60%	2.17%	2.62%	1.77%	3.10%	1.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	769	18	24	18	6	25	23	18	6	11	17	19	24	14	7	5	27	3	17	8	5	5	0	4	9	12	25	13	1	5	6	4	20	6	2	0	2	24	8	23	21	15	17	10	14	11	22	8	7	8	13	5	10	11	7	15	16	9	21	18	10	31	2	4									
		2.25%	2.96%	2.74%	2.51%	1.69%	2.91%	2.56%	2.73%	1.81%	1.57%	3.66%	2.47%	3.05%	1.55%	3.32%	2.05%	3.13%	1.36%	2.59%	1.47%	1.53%	1.37%	0.00%	1.51%	2.25%	2.51%	3.41%	2.23%	0.35%	1.72%	1.97%	1.63%	5.56%	2.16%	1.32%	0.00%	2.60%	2.69%	3.85%	2.52%	1.63%	1.71%	2.00%	1.82%	1.86%	1.31%	2.81%	1.72%	2.17%	3.17%	4.06%	1.15%	2.56%	2.40%	1.74%	2.36%	2.77%	1.68%	2.29%	2.17%	1.54%	3.22%	0.88%	0.63%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16588	238	355	267	183	366	364	268	157	303	181	324	312	424	68	128	355	99	275	289	158	217	242	176	207	278	394	379	196	151	158	104	170	164	89	35	39	476	94	472	711	476	493	304	298	531	390	237	162	134	163	216	204	242	202	281	236	252	380	340	275	427	126	353									
		48.47%	39.14%	40.57%	37.29%	51.55%	42.56%	40.49%	40.67%	47.29%	43.29%	39.01%	42.08%	39.59%	46.80%	32.23%	52.46%	41.09%	45.00%	41.92%	53.03%	48.47%	59.62%	63.02%	66.42%	51.75%	58.04%	53.75%	65.12%	69.26%	52.07%	51.80%	42.45%	47.22%	58.99%	58.94%	48.61%	50.65%	53.42%	45.19%	51.81%	55.03%	54.34%	58.00%	55.47%	39.58%	63.37%	49.74%	50.86%	50.15%	53.17%	50.94%	49.77%	52.31%	52.84%	50.25%	44.18%	40.90%	47.01%	41.44%	41.01%	42.37%	44.39%	55.75%	55.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	369	5	10	11	1	9	16	7	6	13	7	10	11	14	5	2	13	1	5	5	0	2	0	1	6	7	5	3	1	1	1	2	4	2	0	2	1	12	0	3	9	12	3	6	11	10	9	7	5	0	3	5	7	7	7	7	10	5	11	10	5	9	0	7									
		1.08%	0.82%	1.14%	1.54%	0.28%	1.05%	1.78%	1.06%	1.81%	1.86%	1.51%	1.30%	1.40%	1.55%	2.37%	0.82%	1.50%	0.45%	0.76%	0.92%	0.00%	0.55%	0.00%	0.38%	1.50%	1.46%	0.68%	0.52%	0.35%	0.34%	0.33%	0.82%	1.11%	0.72%	0.00%	2.78%	1.30%	1.35%	0.00%	0.33%	0.70%	1.37%	0.35%	1.09%	1.46%	1.19%	1.15%	1.50%	1.55%	0.00%	0.94%	1.15%	1.79%	1.53%	1.74%	1.10%	1.73%	0.93%	1.20%	1.21%	0.77%	0.94%	0.00%	1.11%									
24	"6. Политическая партия ""Гражданская Платформа"""	84	1	2	3	1	3	2	4	0	1	0	2	1	8	1	2	3	1	5	2	2	1	0	0	0	0	1	1	0	3	1	1	0	1	0	1	1	1	0	4	2	2	1	2	0	1	1	1	0	0	0	1	0	0	2	0	2	0	0	2	0	1	1	5									
		0.25%	0.16%	0.23%	0.42%	0.28%	0.35%	0.22%	0.61%	0.00%	0.14%	0.00%	0.26%	0.13%	0.88%	0.47%	0.82%	0.35%	0.45%	0.76%	0.37%	0.61%	0.27%	0.00%	0.00%	0.00%	0.00%	0.14%	0.17%	0.00%	1.03%	0.33%	0.41%	0.00%	0.36%	0.00%	1.39%	1.30%	0.11%	0.00%	0.44%	0.15%	0.23%	0.12%	0.36%	0.00%	0.12%	0.13%	0.21%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.50%	0.00%	0.35%	0.00%	0.00%	0.24%	0.00%	0.10%	0.44%	0.79%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4460	101	124	79	55	109	111	73	27	92	79	118	88	131	44	31	136	32	70	59	63	60	48	32	76	71	107	71	28	49	42	56	53	30	9	12	8	111	38	114	169	104	69	73	126	73	103	60	44	36	38	61	51	46	32	81	87	55	88	107	68	105	36	111									
		13.03%	16.61%	14.17%	11.03%	15.49%	12.67%	12.35%	11.08%	8.13%	13.14%	17.03%	15.32%	11.17%	14.46%	20.85%	12.70%	15.74%	14.55%	10.67%	10.83%	19.33%	16.48%	12.50%	12.08%	19.00%	14.82%	14.60%	12.20%	9.89%	16.90%	13.77%	22.86%	14.72%	10.79%	5.96%	16.67%	10.39%	12.46%	18.27%	12.51%	13.08%	11.87%	8.12%	13.32%	16.73%	8.71%	13.14%	12.88%	13.62%	14.29%	11.88%	14.06%	13.08%	10.04%	7.96%	12.74%	15.08%	10.26%	9.60%	12.91%	10.48%	10.91%	15.93%	17.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	305	2	15	8	8	9	6	7	3	10	2	9	8	9	4	3	6	2	5	4	1	3	0	0	2	0	3	7	0	2	4	4	2	4	1	0	0	9	2	8	10	14	9	1	9	7	1	5	1	2	7	3	4	1	5	4	5	5	6	4	7	12	3	8									
		0.89%	0.33%	1.71%	1.12%	2.25%	1.05%	0.67%	1.06%	0.90%	1.43%	0.43%	1.17%	1.02%	0.99%	1.90%	1.23%	0.69%	0.91%	0.76%	0.73%	0.31%	0.82%	0.00%	0.00%	0.50%	0.00%	0.41%	1.20%	0.00%	0.69%	1.31%	1.63%	0.56%	1.44%	0.66%	0.00%	0.00%	1.01%	0.96%	0.88%	0.77%	1.60%	1.06%	0.18%	1.20%	0.84%	0.13%	1.07%	0.31%	0.79%	2.19%	0.69%	1.03%	0.22%	1.24%	0.63%	0.87%	0.93%	0.65%	0.48%	1.08%	1.25%	1.33%	1.27%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	920	17	22	25	6	35	29	22	11	18	11	28	32	24	5	5	24	5	25	11	13	2	0	0	4	4	20	4	6	6	8	8	5	5	1	0	0	19	11	16	28	26	30	15	38	15	23	21	7	3	9	22	7	22	15	14	26	15	23	23	15	24	2	10									
		2.69%	2.80%	2.51%	3.49%	1.69%	4.07%	3.23%	3.34%	3.31%	2.57%	2.37%	3.64%	4.06%	2.65%	2.37%	2.05%	2.78%	2.27%	3.81%	2.02%	3.99%	0.55%	0.00%	0.00%	1.00%	0.84%	2.73%	0.69%	2.12%	2.07%	2.62%	3.27%	1.39%	1.80%	0.66%	0.00%	0.00%	2.13%	5.29%	1.76%	2.17%	2.97%	3.53%	2.74%	5.05%	1.79%	2.93%	4.51%	2.17%	1.19%	2.81%	5.07%	1.79%	4.80%	3.73%	2.20%	4.51%	2.80%	2.51%	2.77%	2.31%	2.49%	0.88%	1.58%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	41	0	0	1	0	1	0	1	0	2	1	1	1	1	0	0	1	0	0	0	3	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	0	3	0	0	1	1	1	3	0	0	0	0	0	1	1	0	0	1	3	2	0	0	3	1	1									
		0.12%	0.00%	0.00%	0.14%	0.00%	0.12%	0.00%	0.15%	0.00%	0.29%	0.22%	0.13%	0.13%	0.11%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.35%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.48%	0.00%	0.23%	0.00%	0.00%	0.18%	0.13%	0.12%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.22%	0.00%	0.00%	0.17%	0.56%	0.22%	0.00%	0.00%	0.31%	0.44%	0.16%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	777	18	19	21	6	26	23	13	12	21	15	26	20	25	7	8	34	5	21	2	3	3	17	0	2	2	12	10	0	5	3	9	5	3	3	0	2	12	6	22	33	18	13	3	34	10	18	9	6	3	8	14	12	7	16	3	14	19	14	22	13	33	5	9									
		2.27%	2.96%	2.17%	2.93%	1.69%	3.02%	2.56%	1.97%	3.61%	3.00%	3.23%	3.38%	2.54%	2.76%	3.32%	3.28%	3.94%	2.27%	3.20%	0.37%	0.92%	0.82%	4.43%	0.00%	0.50%	0.42%	1.64%	1.72%	0.00%	1.72%	0.98%	3.67%	1.39%	1.08%	1.99%	0.00%	2.60%	1.35%	2.88%	2.41%	2.55%	2.05%	1.53%	0.55%	4.52%	1.19%	2.30%	1.93%	1.86%	1.19%	2.50%	3.23%	3.08%	1.53%	3.98%	0.47%	2.43%	3.54%	1.53%	2.65%	2.00%	3.43%	2.21%	1.43%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3768	79	93	104	36	121	129	98	44	92	61	85	104	78	26	18	117	39	103	60	38	38	37	26	41	56	73	45	24	28	39	32	53	27	26	14	6	102	15	93	119	75	67	40	105	59	86	54	36	30	42	45	35	49	48	58	56	49	94	93	60	100	27	41									
		11.01%	12.99%	10.63%	14.53%	10.14%	14.07%	14.35%	14.87%	13.25%	13.14%	13.15%	11.04%	13.20%	8.61%	12.32%	7.38%	13.54%	17.73%	15.70%	11.01%	11.66%	10.44%	9.64%	9.81%	10.25%	11.69%	9.96%	7.73%	8.48%	9.66%	12.79%	13.06%	14.72%	9.71%	17.22%	19.44%	7.79%	11.45%	7.21%	10.21%	9.21%	8.56%	7.88%	7.30%	13.94%	7.04%	10.97%	11.59%	11.15%	11.90%	13.13%	10.37%	8.97%	10.70%	11.94%	9.12%	9.71%	9.14%	10.25%	11.22%	9.24%	10.40%	11.95%	6.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	137	2	2	5	0	2	3	0	3	2	0	2	5	0	0	0	6	0	5	1	1	1	0	1	2	3	5	0	0	0	0	0	1	2	0	0	1	1	2	4	11	4	4	1	5	5	1	0	2	1	1	4	3	3	2	2	2	2	8	3	2	5	0	4									
		0.40%	0.33%	0.23%	0.70%	0.00%	0.23%	0.33%	0.00%	0.90%	0.29%	0.00%	0.26%	0.63%	0.00%	0.00%	0.00%	0.69%	0.00%	0.76%	0.18%	0.31%	0.27%	0.00%	0.38%	0.50%	0.63%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.72%	0.00%	0.00%	1.30%	0.11%	0.96%	0.44%	0.85%	0.46%	0.47%	0.18%	0.66%	0.60%	0.13%	0.00%	0.62%	0.40%	0.31%	0.92%	0.77%	0.66%	0.50%	0.31%	0.35%	0.37%	0.87%	0.36%	0.31%	0.52%	0.00%	0.63%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3422	86	130	103	30	103	129	87	45	87	53	93	121	97	24	18	87	13	73	42	11	14	28	7	24	14	50	29	12	22	22	17	28	15	13	5	6	81	11	71	58	66	71	57	62	40	92	32	14	22	15	20	24	28	31	122	81	74	155	137	128	151	9	32									
		9.99%	14.14%	14.86%	14.39%	8.45%	11.98%	14.35%	13.20%	13.55%	12.43%	11.42%	12.08%	15.36%	10.71%	11.37%	7.38%	10.07%	5.91%	11.13%	7.71%	3.37%	3.85%	7.29%	2.64%	6.00%	2.92%	6.82%	4.98%	4.24%	7.59%	7.21%	6.94%	7.78%	5.40%	8.61%	6.94%	7.79%	9.09%	5.29%	7.79%	4.49%	7.53%	8.35%	10.40%	8.23%	4.77%	11.73%	6.87%	4.33%	8.73%	4.69%	4.61%	6.15%	6.11%	7.71%	19.18%	14.04%	13.81%	16.90%	16.53%	19.72%	15.70%	3.98%	5.07%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
