Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Лухская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	94	30	2	10	3	3	2	12	1	4	4	22	1									
		3.09%	3.36%	1.39%	5.00%	2.40%	1.79%	1.06%	3.16%	0.61%	5.88%	3.01%	4.90%	0.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	93	36	3	5	2	7	9	12	2	0	2	14	1									
		3.05%	4.03%	2.08%	2.50%	1.60%	4.17%	4.79%	3.16%	1.21%	0.00%	1.50%	3.12%	0.76%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1527	369	79	110	76	77	105	185	109	38	78	207	94									
		50.15%	41.28%	54.86%	55.00%	60.80%	45.83%	55.85%	48.68%	66.06%	55.88%	58.65%	46.10%	71.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	6	2	0	0	0	1	4	1	0	0	1	1									
		0.53%	0.67%	1.39%	0.00%	0.00%	0.00%	0.53%	1.05%	0.61%	0.00%	0.00%	0.22%	0.76%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	2	2	0	0	0	1	0	2	0									
		0.23%	0.00%	0.00%	0.00%	1.60%	1.19%	0.00%	0.00%	0.00%	1.47%	0.00%	0.45%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	547	169	26	44	14	26	31	67	26	10	27	89	18									
		17.96%	18.90%	18.06%	22.00%	11.20%	15.48%	16.49%	17.63%	15.76%	14.71%	20.30%	19.82%	13.74%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	2	0	3	1	0	2	1	0	0	0	1	1									
		0.36%	0.22%	0.00%	1.50%	0.80%	0.00%	1.06%	0.26%	0.00%	0.00%	0.00%	0.22%	0.76%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	6	2	0	1	1	1	3	1	0	0	1	1									
		0.56%	0.67%	1.39%	0.00%	0.80%	0.60%	0.53%	0.79%	0.61%	0.00%	0.00%	0.22%	0.76%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	1	0	0	0	0	0	0	0	0	0	0	0									
		0.03%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	4	1	1	1	1	1	2	0	0	0	0	1									
		0.39%	0.45%	0.69%	0.50%	0.80%	0.60%	0.53%	0.53%	0.00%	0.00%	0.00%	0.00%	0.76%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	530	190	21	18	11	45	26	81	19	13	20	75	11									
		17.41%	21.25%	14.58%	9.00%	8.80%	26.79%	13.83%	21.32%	11.52%	19.12%	15.04%	16.70%	8.40%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	4	0	0	0	3	0	2	0	0	0	1	1									
		0.36%	0.45%	0.00%	0.00%	0.00%	1.79%	0.00%	0.53%	0.00%	0.00%	0.00%	0.22%	0.76%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	84	25	6	5	12	0	6	5	3	1	2	18	1									
		2.76%	2.80%	4.17%	2.50%	9.60%	0.00%	3.19%	1.32%	1.82%	1.47%	1.50%	4.01%	0.76%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
