Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Мясниковская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  1493	УИК  1758	УИК  1761	УИК  1762	УИК  1763	УИК  1764	УИК  1765	УИК  1766	УИК  1767	УИК  1768	УИК  1769	УИК  1770	УИК  1771	УИК  1772	УИК  1773	УИК  1774	УИК  1775	УИК  1776	УИК  1777	УИК  1778	УИК  1779	УИК  2566					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	167	4	11	7	6	6	9	5	14	21	4	3	7	6	1	12	16	1	11	1	10	7	5					
		0.99%	0.44%	1.32%	0.50%	0.43%	0.45%	0.92%	0.62%	1.16%	1.46%	0.65%	1.40%	1.56%	1.87%	0.65%	1.00%	1.65%	0.23%	1.24%	0.61%	1.68%	1.41%	3.22%					
30	"13. ""Демократическая партия России"""	38	1	1	0	4	2	0	4	4	2	2	0	0	0	0	5	6	0	2	1	2	2	0					
		0.22%	0.11%	0.12%	0.0%	0.28%	0.15%	0.0%	0.5%	0.33%	0.13%	0.32%	0.0%	0.0%	0.0%	0.0%	0.41%	0.62%	0.0%	0.22%	0.61%	0.33%	0.40%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	43	1	1	5	1	0	5	6	5	0	3	1	2	2	3	3	2	0	2	0	1	0	0					
		0.25%	0.11%	0.12%	0.35%	0.07%	0.0%	0.51%	0.75%	0.41%	0.0%	0.49%	0.46%	0.44%	0.62%	1.97%	0.25%	0.20%	0.0%	0.22%	0.0%	0.16%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	42	0	4	0	4	19	2	1	3	3	1	1	0	0	0	1	1	0	1	0	0	1	0					
		0.24%	0.0%	0.48%	0.0%	0.28%	1.45%	0.20%	0.12%	0.25%	0.20%	0.16%	0.46%	0.0%	0.0%	0.0%	0.08%	0.10%	0.0%	0.11%	0.0%	0.0%	0.20%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	992	45	56	66	82	87	55	40	50	101	40	9	32	12	4	57	80	39	65	7	35	23	7					
		5.88%	5.03%	6.73%	4.74%	5.87%	6.66%	5.65%	5.0%	4.17%	7.03%	6.53%	4.20%	7.15%	3.75%	2.63%	4.76%	8.28%	9.00%	7.36%	4.29%	5.90%	4.63%	4.51%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	83	1	5	4	0	17	6	7	6	11	3	3	3	2	1	5	1	3	3	1	1	0	0					
		0.49%	0.11%	0.60%	0.28%	0.0%	1.30%	0.61%	0.87%	0.50%	0.76%	0.49%	1.40%	0.67%	0.62%	0.65%	0.41%	0.10%	0.69%	0.33%	0.61%	0.16%	0.0%	0.0%					
35	"18. ""ЛДПР"""	971	36	26	57	64	49	56	69	24	127	13	3	22	11	11	58	108	30	64	24	52	43	24					
		5.76%	4.02%	3.12%	4.09%	4.58%	3.75%	5.76%	8.62%	2.00%	8.85%	2.12%	1.40%	4.92%	3.43%	7.23%	4.84%	11.18%	6.92%	7.24%	14.72%	8.76%	8.66%	15.48%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	209	5	11	27	24	11	13	6	10	19	5	2	3	2	4	10	19	6	17	0	10	4	1					
		1.24%	0.55%	1.32%	1.94%	1.72%	0.84%	1.33%	0.75%	0.83%	1.32%	0.81%	0.93%	0.67%	0.62%	2.63%	0.83%	1.96%	1.38%	1.92%	0.0%	1.68%	0.80%	0.64%					
37	"20. ""Политическая партия ""Единая Россия"""	6971	543	336	564	573	434	344	365	436	656	198	82	144	179	68	502	448	179	347	62	222	227	62					
		41.36%	60.73%	40.38%	40.54%	41.07%	33.25%	35.39%	45.62%	36.36%	45.71%	32.35%	38.31%	32.21%	55.93%	44.73%	41.97%	46.37%	41.33%	39.29%	38.03%	37.43%	45.76%	40.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	46	0	3	3	0	6	1	4	0	5	2	0	1	0	0	6	2	1	2	0	2	8	0					
		0.27%	0.0%	0.36%	0.21%	0.0%	0.45%	0.10%	0.5%	0.0%	0.34%	0.32%	0.0%	0.22%	0.0%	0.0%	0.50%	0.20%	0.23%	0.22%	0.0%	0.33%	1.61%	0.0%					
39	"22. ""Развитие предпринимательства"""	43	1	2	5	4	6	2	1	5	3	0	2	0	3	1	3	3	1	0	0	0	1	0					
		0.25%	0.11%	0.24%	0.35%	0.28%	0.45%	0.20%	0.12%	0.41%	0.20%	0.0%	0.93%	0.0%	0.93%	0.65%	0.25%	0.31%	0.23%	0.0%	0.0%	0.0%	0.20%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3193	120	168	317	271	245	238	94	346	177	164	52	114	58	27	246	93	70	165	23	128	63	14					
		18.94%	13.42%	20.19%	22.78%	19.42%	18.77%	24.48%	11.75%	28.85%	12.33%	26.79%	24.29%	25.50%	18.12%	17.76%	20.56%	9.62%	16.16%	18.68%	14.11%	21.58%	12.70%	9.03%					
																													
41	Против всех	976	50	39	74	90	128	69	51	66	89	39	6	28	10	4	71	32	22	38	16	23	25	6					
		5.79%	5.59%	4.68%	5.31%	6.45%	9.80%	7.09%	6.37%	5.50%	6.20%	6.37%	2.80%	6.26%	3.12%	2.63%	5.93%	3.31%	5.08%	4.30%	9.81%	3.87%	5.04%	3.87%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
