Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Шебекинская																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150					
18	"1. ""ЕДИНЕНИЕ"""	605	5	18	13	6	8	3	7	16	14	14	12	11	15	9	7	10	9	3	4	7	16	3	5	1	3	1	14	3	6	6	1	3	6	2	3	16	6	11	12	6	4	17	8	7	2	8	8	8	7	4	10	6	12	27	1	3	6	10	5	8	6	1	3	13	17	8	7	5	7	8	29	13	3	9					
		1.22%	0.94%	1.03%	0.84%	0.52%	0.55%	0.45%	0.51%	1.24%	0.93%	0.73%	1.15%	0.86%	1.28%	1.25%	0.61%	0.97%	1.12%	0.62%	0.80%	0.97%	1.30%	1.14%	1.66%	0.39%	0.92%	0.71%	1.55%	1.29%	3.55%	1.40%	0.34%	0.78%	2.95%	0.49%	1.07%	1.18%	1.23%	2.15%	1.69%	1.56%	0.71%	2.44%	1.80%	1.84%	1.69%	1.70%	2.44%	2.06%	0.95%	1.45%	1.69%	1.78%	1.03%	1.65%	0.67%	1.09%	1.24%	1.47%	2.85%	3.96%	2.39%	0.96%	0.68%	1.08%	1.65%	1.90%	1.05%	0.67%	1.62%	1.12%	5.62%	2.17%	0.72%	1.96%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	531	4	27	21	14	19	11	10	21	28	27	6	23	17	18	16	14	12	7	11	9	13	0	3	0	2	1	7	2	0	2	0	2	2	4	2	2	2	3	2	2	12	4	7	0	2	1	0	3	6	1	4	5	20	17	1	2	3	10	2	1	3	1	5	11	8	8	2	1	5	11	3	4	1	1					
		1.07%	0.75%	1.55%	1.36%	1.23%	1.32%	1.66%	0.74%	1.63%	1.87%	1.41%	0.57%	1.80%	1.45%	2.5%	1.40%	1.37%	1.50%	1.45%	2.21%	1.25%	1.06%	0.0%	1.0%	0.0%	0.61%	0.71%	0.77%	0.86%	0.0%	0.46%	0.0%	0.52%	0.98%	0.98%	0.71%	0.14%	0.41%	0.58%	0.28%	0.52%	2.14%	0.57%	1.58%	0.0%	1.69%	0.21%	0.0%	0.77%	0.81%	0.36%	0.67%	1.48%	1.73%	1.03%	0.67%	0.73%	0.62%	1.47%	1.14%	0.49%	1.19%	0.96%	1.14%	0.91%	0.77%	1.90%	0.30%	0.13%	1.15%	1.55%	0.58%	0.67%	0.24%	0.21%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2357	39	94	65	80	90	32	83	98	79	87	78	65	64	24	59	61	43	23	41	50	49	9	3	4	6	8	21	12	17	23	19	9	3	16	6	46	12	16	24	15	32	38	15	17	0	21	25	13	30	12	17	17	57	103	14	20	15	12	6	2	11	2	10	58	50	22	40	30	14	14	12	17	8	30					
		4.79%	7.38%	5.40%	4.23%	7.02%	6.27%	4.85%	6.15%	7.65%	5.28%	4.56%	7.49%	5.10%	5.46%	3.33%	5.17%	5.97%	5.38%	4.79%	8.24%	6.98%	4.00%	3.43%	1.0%	1.57%	1.85%	5.75%	2.33%	5.17%	10.05%	5.38%	6.57%	2.36%	1.47%	3.93%	2.15%	3.39%	2.47%	3.13%	3.39%	3.90%	5.71%	5.46%	3.39%	4.47%	0.0%	4.48%	7.64%	3.35%	4.07%	4.36%	2.88%	5.04%	4.93%	6.29%	9.45%	7.32%	3.10%	1.76%	3.42%	0.99%	4.38%	1.92%	2.29%	4.82%	4.85%	5.25%	6.01%	4.03%	3.24%	1.97%	2.32%	2.84%	1.93%	6.53%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1114	18	30	66	32	56	18	60	32	40	60	31	58	63	23	31	26	27	12	15	16	29	1	1	0	4	0	8	6	6	8	9	0	1	3	2	15	1	11	3	4	6	4	11	3	0	2	4	7	23	4	13	1	23	40	4	2	6	8	4	0	7	2	5	33	24	3	10	7	6	4	3	10	6	3					
		2.26%	3.40%	1.72%	4.29%	2.81%	3.90%	2.73%	4.44%	2.49%	2.67%	3.14%	2.97%	4.55%	5.38%	3.19%	2.71%	2.54%	3.38%	2.5%	3.01%	2.23%	2.36%	0.38%	0.33%	0.0%	1.23%	0.0%	0.89%	2.58%	3.55%	1.87%	3.11%	0.0%	0.49%	0.73%	0.71%	1.10%	0.20%	2.15%	0.42%	1.04%	1.07%	0.57%	2.48%	0.78%	0.0%	0.42%	1.22%	1.80%	3.12%	1.45%	2.20%	0.29%	1.99%	2.44%	2.70%	0.73%	1.24%	1.17%	2.28%	0.0%	2.78%	1.92%	1.14%	2.74%	2.33%	0.71%	1.50%	0.94%	1.38%	0.56%	0.58%	1.67%	1.45%	0.65%					
22	"5. ""За Русь Святую"""	281	2	8	6	5	3	2	6	3	2	14	8	9	9	6	2	3	3	2	5	1	8	0	2	2	2	1	5	0	8	2	1	2	0	4	2	4	5	5	2	0	1	7	3	2	2	1	6	1	8	5	6	1	3	5	2	0	7	5	1	1	2	0	1	2	11	6	5	6	0	12	6	1	4	4					
		0.57%	0.37%	0.46%	0.39%	0.43%	0.20%	0.30%	0.44%	0.23%	0.13%	0.73%	0.76%	0.70%	0.76%	0.83%	0.17%	0.29%	0.37%	0.41%	1.00%	0.13%	0.65%	0.0%	0.66%	0.78%	0.61%	0.71%	0.55%	0.0%	4.73%	0.46%	0.34%	0.52%	0.0%	0.98%	0.71%	0.29%	1.03%	0.98%	0.28%	0.0%	0.17%	1.00%	0.67%	0.52%	1.69%	0.21%	1.83%	0.25%	1.08%	1.81%	1.01%	0.29%	0.25%	0.30%	1.35%	0.0%	1.44%	0.73%	0.57%	0.49%	0.79%	0.0%	0.22%	0.16%	1.06%	1.43%	0.75%	0.80%	0.0%	1.69%	1.16%	0.16%	0.96%	0.87%					
23	"6. ""Объединенная Российская партия ""Русь"""	99	0	7	2	3	3	2	1	3	1	1	3	3	3	0	0	2	1	0	0	4	0	1	0	0	0	0	0	0	0	1	1	1	2	1	0	1	3	0	1	1	1	0	2	2	1	3	1	0	0	0	2	1	6	5	0	1	1	1	0	1	0	0	0	3	4	1	0	2	1	3	0	2	2	1					
		0.20%	0.0%	0.40%	0.13%	0.26%	0.20%	0.30%	0.07%	0.23%	0.06%	0.05%	0.28%	0.23%	0.25%	0.0%	0.0%	0.19%	0.12%	0.0%	0.0%	0.55%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.34%	0.26%	0.98%	0.24%	0.0%	0.07%	0.61%	0.0%	0.14%	0.26%	0.17%	0.0%	0.45%	0.52%	0.84%	0.64%	0.30%	0.0%	0.0%	0.0%	0.33%	0.29%	0.51%	0.30%	0.0%	0.36%	0.20%	0.14%	0.0%	0.49%	0.0%	0.0%	0.0%	0.24%	0.38%	0.23%	0.0%	0.26%	0.23%	0.42%	0.0%	0.33%	0.48%	0.21%					
24	"7. ""Новый курс - Автомобильная Россия"""	420	2	11	12	8	16	6	12	12	15	17	16	12	13	8	18	11	6	9	6	12	9	0	1	2	3	0	13	0	0	2	0	4	1	3	1	9	4	0	8	1	3	3	6	3	0	1	1	2	7	2	5	4	7	12	1	2	6	0	3	2	0	1	2	14	3	9	2	7	2	8	7	5	4	3					
		0.85%	0.37%	0.63%	0.78%	0.70%	1.11%	0.91%	0.88%	0.93%	1.00%	0.89%	1.53%	0.94%	1.11%	1.11%	1.57%	1.07%	0.75%	1.87%	1.20%	1.67%	0.73%	0.0%	0.33%	0.78%	0.92%	0.0%	1.44%	0.0%	0.0%	0.46%	0.0%	1.04%	0.49%	0.73%	0.35%	0.66%	0.82%	0.0%	1.13%	0.26%	0.53%	0.43%	1.35%	0.78%	0.0%	0.21%	0.30%	0.51%	0.95%	0.72%	0.84%	1.18%	0.60%	0.73%	0.67%	0.73%	1.24%	0.0%	1.71%	0.99%	0.0%	0.96%	0.45%	1.16%	0.29%	2.14%	0.30%	0.94%	0.46%	1.12%	1.35%	0.83%	0.96%	0.65%					
25	"8. ""Народно-республиканская партия России"""	54	2	4	2	0	0	2	1	0	3	0	0	1	4	1	1	3	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	1	2	1	0	0	2	1	1	2	0	2	0	1					
		0.10%	0.37%	0.23%	0.13%	0.0%	0.0%	0.30%	0.07%	0.0%	0.20%	0.0%	0.0%	0.07%	0.34%	0.13%	0.08%	0.29%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.30%	0.0%	0.11%	0.43%	0.59%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.17%	0.28%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.17%	0.12%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	0.45%	0.08%	0.0%	0.0%	0.30%	0.13%	0.23%	0.28%	0.0%	0.33%	0.0%	0.21%					
26	"9. ""Российская экологическая партия ""Зеленые"""	182	0	13	6	5	2	0	5	10	7	8	5	16	12	2	10	1	5	2	1	4	4	0	1	0	0	0	4	1	0	1	0	1	0	0	1	0	0	0	0	1	3	4	1	0	0	2	2	2	3	3	0	0	6	4	0	2	0	1	1	1	0	0	1	4	1	3	1	3	0	1	2	1	1	1					
		0.37%	0.0%	0.74%	0.39%	0.43%	0.13%	0.0%	0.37%	0.78%	0.46%	0.41%	0.48%	1.25%	1.02%	0.27%	0.87%	0.09%	0.62%	0.41%	0.20%	0.55%	0.32%	0.0%	0.33%	0.0%	0.0%	0.0%	0.44%	0.43%	0.0%	0.23%	0.0%	0.26%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.26%	0.53%	0.57%	0.22%	0.0%	0.0%	0.42%	0.61%	0.51%	0.40%	1.09%	0.0%	0.0%	0.51%	0.24%	0.0%	0.73%	0.0%	0.14%	0.57%	0.49%	0.0%	0.0%	0.22%	0.33%	0.09%	0.71%	0.15%	0.40%	0.0%	0.14%	0.38%	0.16%	0.24%	0.21%					
27	"10. ""Аграрная партия России"""	2513	18	35	20	22	41	23	29	13	36	53	22	26	23	41	41	22	17	13	17	16	45	4	21	54	111	7	68	29	17	30	18	50	30	30	42	75	97	60	57	18	33	49	30	15	4	33	16	32	38	15	64	15	52	20	13	8	186	52	25	4	25	5	16	41	61	28	24	29	24	50	36	23	28	28					
		5.10%	3.40%	2.01%	1.30%	1.93%	2.85%	3.49%	2.14%	1.01%	2.40%	2.77%	2.11%	2.04%	1.96%	5.69%	3.59%	2.15%	2.13%	2.70%	3.42%	2.23%	3.67%	1.52%	7.0%	21.25%	34.25%	5.03%	7.57%	12.5%	10.05%	7.02%	6.22%	13.12%	14.77%	7.37%	15.10%	5.54%	19.99%	11.76%	8.07%	4.68%	5.89%	7.05%	6.78%	3.94%	3.38%	7.05%	4.89%	8.26%	5.16%	5.45%	10.86%	4.45%	4.50%	1.22%	8.78%	2.93%	38.50%	7.66%	14.28%	1.98%	9.96%	4.80%	3.67%	3.41%	5.92%	6.68%	3.60%	3.89%	5.55%	7.06%	6.97%	3.85%	6.77%	6.10%					
28	"11. ""Истинные патриоты России"""	84	0	1	1	3	0	0	0	0	1	1	1	0	0	1	0	3	0	0	0	0	1	0	1	1	3	0	1	0	0	1	0	0	1	6	0	1	2	1	0	1	2	0	0	1	4	2	2	2	2	2	0	0	0	1	2	2	1	0	0	10	2	0	1	2	1	2	1	0	3	1	0	0	3	3					
		0.17%	0.0%	0.05%	0.06%	0.26%	0.0%	0.0%	0.0%	0.0%	0.06%	0.05%	0.09%	0.0%	0.0%	0.13%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.33%	0.39%	0.92%	0.0%	0.11%	0.0%	0.0%	0.23%	0.0%	0.0%	0.49%	1.47%	0.0%	0.07%	0.41%	0.19%	0.0%	0.26%	0.35%	0.0%	0.0%	0.26%	3.38%	0.42%	0.61%	0.51%	0.27%	0.72%	0.0%	0.0%	0.0%	0.06%	1.35%	0.73%	0.20%	0.0%	0.0%	4.95%	0.79%	0.0%	0.22%	0.16%	0.09%	0.47%	0.15%	0.0%	0.69%	0.14%	0.0%	0.0%	0.72%	0.65%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	548	7	21	16	9	11	7	11	10	17	15	11	23	19	9	13	9	12	3	7	7	14	0	2	1	2	0	13	3	7	7	0	2	3	2	6	6	10	8	5	12	5	3	12	2	1	6	4	7	10	1	8	0	12	25	2	1	1	10	3	4	3	1	10	20	19	7	4	9	1	6	0	6	2	3					
		1.11%	1.32%	1.20%	1.04%	0.79%	0.76%	1.06%	0.81%	0.78%	1.13%	0.78%	1.05%	1.80%	1.62%	1.25%	1.13%	0.88%	1.50%	0.62%	1.40%	0.97%	1.14%	0.0%	0.66%	0.39%	0.61%	0.0%	1.44%	1.29%	4.14%	1.63%	0.0%	0.52%	1.47%	0.49%	2.15%	0.44%	2.06%	1.56%	0.70%	3.12%	0.89%	0.43%	2.71%	0.52%	0.84%	1.28%	1.22%	1.80%	1.35%	0.36%	1.35%	0.0%	1.03%	1.52%	1.35%	0.36%	0.20%	1.47%	1.71%	1.98%	1.19%	0.96%	2.29%	1.66%	1.84%	1.67%	0.60%	1.20%	0.23%	0.84%	0.0%	1.00%	0.48%	0.65%					
30	"13. ""Демократическая партия России"""	136	0	6	5	4	8	4	1	3	2	0	1	2	7	1	0	4	2	1	0	4	1	1	2	0	0	0	6	1	2	0	3	1	0	1	0	3	1	2	0	0	1	2	1	2	0	2	0	2	2	0	1	0	5	1	3	0	2	3	0	0	0	0	0	6	7	0	2	1	3	3	0	3	5	0					
		0.27%	0.0%	0.34%	0.32%	0.35%	0.55%	0.60%	0.07%	0.23%	0.13%	0.0%	0.09%	0.15%	0.59%	0.13%	0.0%	0.39%	0.25%	0.20%	0.0%	0.55%	0.08%	0.38%	0.66%	0.0%	0.0%	0.0%	0.66%	0.43%	1.18%	0.0%	1.03%	0.26%	0.0%	0.24%	0.0%	0.22%	0.20%	0.39%	0.0%	0.0%	0.17%	0.28%	0.22%	0.52%	0.0%	0.42%	0.0%	0.51%	0.27%	0.0%	0.16%	0.0%	0.43%	0.06%	2.02%	0.0%	0.41%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.68%	0.0%	0.30%	0.13%	0.69%	0.42%	0.0%	0.50%	1.21%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	167	0	3	2	4	4	4	4	2	2	4	3	3	1	1	3	1	5	1	0	0	5	8	0	1	0	0	2	0	2	1	2	0	1	4	0	0	1	0	1	0	7	0	1	1	0	3	2	1	3	1	2	0	6	20	0	1	0	1	2	2	0	1	1	4	10	4	3	3	2	2	2	2	4	1					
		0.33%	0.0%	0.17%	0.13%	0.35%	0.27%	0.60%	0.29%	0.15%	0.13%	0.20%	0.28%	0.23%	0.08%	0.13%	0.26%	0.09%	0.62%	0.20%	0.0%	0.0%	0.40%	3.05%	0.0%	0.39%	0.0%	0.0%	0.22%	0.0%	1.18%	0.23%	0.69%	0.0%	0.49%	0.98%	0.0%	0.0%	0.20%	0.0%	0.14%	0.0%	1.24%	0.0%	0.22%	0.26%	0.0%	0.64%	0.61%	0.25%	0.40%	0.36%	0.33%	0.0%	0.51%	1.22%	0.0%	0.36%	0.0%	0.14%	1.14%	0.99%	0.0%	0.96%	0.22%	0.33%	0.97%	0.95%	0.45%	0.40%	0.46%	0.28%	0.38%	0.33%	0.96%	0.21%					
32	"15. ""Партия СЛОН"""	58	0	0	3	0	2	0	3	3	0	0	4	1	4	0	2	2	2	0	1	1	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0	1	0	0	0	1	1	1	1	2	0	0	0	1	0	0	0	0	2	0	2	1	1	2	1	0	1	0	0	1					
		0.11%	0.0%	0.0%	0.19%	0.0%	0.13%	0.0%	0.22%	0.23%	0.0%	0.0%	0.38%	0.07%	0.34%	0.0%	0.17%	0.19%	0.25%	0.0%	0.20%	0.13%	0.16%	0.38%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.35%	0.14%	0.22%	0.26%	0.0%	0.21%	0.0%	0.0%	0.0%	0.36%	0.16%	0.29%	0.08%	0.12%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.19%	0.23%	0.15%	0.26%	0.23%	0.0%	0.19%	0.0%	0.0%	0.21%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4307	44	158	134	104	106	62	136	145	185	190	87	139	179	86	109	131	79	66	44	61	127	5	6	12	9	4	48	9	5	11	18	13	4	27	17	100	30	39	63	24	53	55	46	29	0	31	12	15	27	10	19	27	173	257	20	22	24	27	5	9	18	11	51	89	88	22	60	89	28	45	32	49	26	22					
		8.75%	8.33%	9.08%	8.72%	9.13%	7.38%	9.40%	10.08%	11.31%	12.36%	9.96%	8.35%	10.91%	15.28%	11.94%	9.55%	12.83%	9.89%	13.75%	8.85%	8.51%	10.37%	1.90%	2.0%	4.72%	2.77%	2.87%	5.34%	3.87%	2.95%	2.57%	6.22%	3.41%	1.97%	6.63%	6.11%	7.39%	6.18%	7.64%	8.92%	6.25%	9.46%	7.91%	10.40%	7.63%	0.0%	6.62%	3.66%	3.87%	3.66%	3.63%	3.22%	8.01%	14.97%	15.71%	13.51%	8.05%	4.96%	3.98%	2.85%	4.45%	7.17%	10.57%	11.72%	7.40%	8.55%	5.25%	9.02%	11.96%	6.48%	6.35%	6.20%	8.20%	6.29%	4.79%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	156	2	0	3	2	5	0	1	1	1	6	4	3	1	0	4	2	3	1	3	4	2	3	1	1	0	1	5	1	1	3	0	3	0	3	1	6	6	2	1	1	3	2	5	1	0	2	3	1	3	0	1	0	3	2	1	1	1	3	3	3	0	0	3	4	2	0	1	2	7	3	1	4	0	4					
		0.31%	0.37%	0.0%	0.19%	0.17%	0.34%	0.0%	0.07%	0.07%	0.06%	0.31%	0.38%	0.23%	0.08%	0.0%	0.35%	0.19%	0.37%	0.20%	0.60%	0.55%	0.16%	1.14%	0.33%	0.39%	0.0%	0.71%	0.55%	0.43%	0.59%	0.70%	0.0%	0.78%	0.0%	0.73%	0.35%	0.44%	1.23%	0.39%	0.14%	0.26%	0.53%	0.28%	1.13%	0.26%	0.0%	0.42%	0.91%	0.25%	0.40%	0.0%	0.16%	0.0%	0.25%	0.12%	0.67%	0.36%	0.20%	0.44%	1.71%	1.48%	0.0%	0.0%	0.68%	0.33%	0.19%	0.0%	0.15%	0.26%	1.62%	0.42%	0.19%	0.67%	0.0%	0.87%					
