Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																																										
Дата голосования: 02.12.2007																																																																																																																																																										
																																																																																																																																																										
Наименование Избирательной комиссии:    Кировская N 3																																																																																																																																																										
																																																																																																																																																										
Сводная таблица результатов выборов																																																																																																																																																										
																																																																																																																																																										
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №497	УИК №498	УИК №499	УИК №500	УИК №502	УИК №503	УИК №504	УИК №505	УИК №507	УИК №508	УИК №509	УИК №510	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №518	УИК №520	УИК №521	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1840	УИК №1841	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1866	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1897	УИК №1899	УИК №1900	УИК №1901	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3850	200	40	40	40	40	40	40	20	220	40	40	40	100	40	40	55	40	40	40	40	40	40	40	40	40	40	40	40	40	50	40	60	200	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	60	40	40	40	40	40	40	40	100	40	40	100	38	40	40	57	40	40	40	40	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2158	51	11	18	23	25	21	27	16	187	24	21	22	61	14	18	33	28	29	26	31	27	39	29	28	32	20	19	37	19	37	15	31	31	25	22	25	16	9	30	16	19	27	29	15	35	26	18	12	13	18	26	30	33	34	48	26	31	20	20	28	28	30	30	19	25	23	28	35	35	52	24	23	26	13	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1141	38	18	9	19	27	27	21	8	19	17	22	8	27	15	12	28	15	4	17	16	6	34	21	11	18	8	13	23	15	14	5	11	15	9	9	5	7	9	5	12	11	6	31	9	7	29	13	12	10	10	12	14	22	29	12	11	16	13	4	19	13	13	3	23	25	20	25	12	6	11	11	23	9	18	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	1692	149	29	22	17	15	19	13	4	33	16	19	18	39	26	22	22	12	11	14	9	13	1	11	12	8	20	21	3	21	13	25	29	169	15	18	15	24	31	10	24	21	13	11	25	5	14	22	28	27	22	14	10	7	6	12	14	9	20	20	12	12	10	70	21	15	77	10	5	5	5	16	17	14	27	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	198	3	6	5	19	1	2	2	3	1	3	2	2	7	2	0	3	4	1	0	5	0	3	3	3	4	2	1	2	4	5	3	4	0	2	0	6	2	2	4	0	2	3	0	1	0	2	0	2	2	1	0	0	0	5	2	2	1	2	0	3	5	3	1	4	5	0	5	5	1	4	2	1	5	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																																										
18	1.Политическая партия «Аграрная партия России»	1696	14	13	22	21	18	17	7	14	38	14	20	21	33	9	22	23	26	18	24	26	23	28	27	21	27	25	23	19	20	23	19	24	22	19	13	14	8	16	21	13	20	17	13	12	25	29	23	8	28	29	37	24	24	27	27	25	15	23	23	25	33	21	34	27	21	34	35	46	32	40	17	20	23	30	6	1	1	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1					
		2.19%	1.37%	2.25%	3.29%	2.33%	1.58%	1.65%	1.22%	2.14%	3.96%	1.28%	2.86%	2.83%	2.91%	1.30%	2.47%	2.43%	2.50%	1.96%	2.88%	2.84%	2.22%	1.82%	2.20%	2.01%	2.13%	2.82%	1.77%	2.06%	2.76%	1.87%	2.25%	2.55%	2.42%	2.07%	1.47%	1.66%	1.12%	1.74%	2.42%	1.40%	1.96%	1.91%	1.60%	1.36%	1.99%	1.78%	2.33%	1.14%	2.62%	2.55%	3.29%	1.80%	2.07%	1.51%	2.64%	2.28%	1.42%	2.00%	2.83%	2.08%	2.50%	1.62%	3.71%	2.40%	1.67%	2.85%	2.55%	3.20%	2.69%	2.86%	1.69%	1.75%	2.24%	2.60%	2.43%	0.49%	9.09%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	9.09%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%	0.00%	0.00%	10.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1648	14	15	15	22	16	21	12	21	12	17	15	18	24	23	17	12	23	21	8	17	27	18	32	15	28	21	27	22	17	28	37	15	32	26	22	27	13	22	28	29	20	20	20	20	24	22	24	10	14	20	27	22	22	35	34	19	21	31	20	27	36	24	17	21	31	30	27	30	15	21	21	31	20	21	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	1					
		2.12%	1.37%	2.60%	2.24%	2.44%	1.40%	2.04%	2.09%	3.22%	1.25%	1.56%	2.14%	2.42%	2.12%	3.31%	1.91%	1.27%	2.21%	2.29%	0.96%	1.86%	2.60%	1.17%	2.61%	1.44%	2.20%	2.36%	2.08%	2.38%	2.35%	2.28%	4.38%	1.59%	3.52%	2.83%	2.49%	3.21%	1.83%	2.39%	3.23%	3.13%	1.96%	2.24%	2.45%	2.26%	1.91%	1.35%	2.43%	1.42%	1.31%	1.76%	2.40%	1.65%	1.90%	1.95%	3.32%	1.73%	1.98%	2.70%	2.46%	2.25%	2.73%	1.85%	1.86%	1.87%	2.47%	2.51%	1.97%	2.09%	1.26%	1.50%	2.08%	2.72%	1.95%	1.82%	1.62%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	9.09%	10.00%	0.00%	8.33%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	30.77%	5.26%	0.00%	0.00%	0.00%	0.00%	10.00%					
20	3.Политическая партия «Демократическая партия России»	113	2	0	0	0	2	2	4	1	4	2	3	0	1	0	2	1	1	3	1	1	0	0	2	3	1	2	0	0	0	4	2	2	3	4	0	2	0	1	0	0	3	0	2	2	2	1	1	0	4	0	0	0	1	2	1	0	0	1	1	1	1	0	1	1	0	2	4	6	4	1	2	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.15%	0.20%	0.00%	0.00%	0.00%	0.18%	0.19%	0.70%	0.15%	0.42%	0.18%	0.43%	0.00%	0.09%	0.00%	0.22%	0.11%	0.10%	0.33%	0.12%	0.11%	0.00%	0.00%	0.16%	0.29%	0.08%	0.23%	0.00%	0.00%	0.00%	0.33%	0.24%	0.21%	0.33%	0.43%	0.00%	0.24%	0.00%	0.11%	0.00%	0.00%	0.29%	0.00%	0.25%	0.23%	0.16%	0.06%	0.10%	0.00%	0.37%	0.00%	0.00%	0.00%	0.09%	0.11%	0.10%	0.00%	0.00%	0.09%	0.12%	0.08%	0.08%	0.00%	0.11%	0.09%	0.00%	0.17%	0.29%	0.42%	0.34%	0.07%	0.20%	0.26%	0.10%	0.09%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	9061	56	76	89	109	79	105	36	55	92	110	64	78	132	87	131	110	152	99	75	116	131	156	154	137	184	108	181	108	80	177	106	136	105	134	117	108	98	105	114	92	149	125	113	111	118	132	126	71	134	134	143	176	96	137	120	147	111	160	80	148	176	116	103	139	141	115	195	196	139	171	163	140	112	138	15	11	3	2	0	1	0	0	1	0	0	0	0	1	3	0	1	0	4	3	2	1	0	0	1	3	0	3	1	0	2	1	0	1	0	1	11	1	0	2	1	0	0	2	0	3	0	0	0	2	2	1	0	0	0	1	1	0	1	0	3	2	1	0	1	0	0	7	0	0	0	1	0					
		11.68%	5.49%	13.15%	13.30%	12.11%	6.94%	10.21%	6.28%	8.42%	9.58%	10.09%	9.14%	10.50%	11.64%	12.54%	14.74%	11.64%	14.59%	10.77%	9.01%	12.69%	12.62%	10.14%	12.55%	13.14%	14.49%	12.16%	13.96%	11.70%	11.05%	14.43%	12.56%	14.42%	11.54%	14.57%	13.27%	12.84%	13.76%	11.41%	13.16%	9.94%	14.59%	14.03%	13.87%	12.54%	9.39%	8.11%	12.77%	10.11%	12.56%	11.79%	12.70%	13.18%	8.28%	7.64%	11.73%	13.41%	10.47%	13.94%	9.85%	12.33%	13.32%	8.93%	11.24%	12.34%	11.23%	9.64%	14.23%	13.63%	11.67%	12.22%	16.17%	12.27%	10.93%	11.95%	6.07%	5.37%	27.27%	18.18%	0.00%	10.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	10.00%	30.00%	0.00%	10.00%	0.00%	57.14%	30.00%	18.18%	9.09%	0.00%	0.00%	9.09%	30.00%	0.00%	25.00%	9.09%	0.00%	18.18%	9.09%	0.00%	9.09%	0.00%	9.09%	10.00%	9.09%	0.00%	22.22%	9.09%	0.00%	0.00%	18.18%	0.00%	33.33%	0.00%	0.00%	0.00%	18.18%	18.18%	9.09%	0.00%	0.00%	0.00%	10.00%	9.09%	0.00%	12.50%	0.00%	30.00%	18.18%	8.33%	0.00%	7.69%	0.00%	0.00%	18.42%	0.00%	0.00%	0.00%	9.09%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1906	23	13	15	20	6	15	17	19	24	23	17	12	24	10	25	16	22	9	15	18	22	26	56	19	52	27	38	36	25	51	49	33	23	32	17	21	19	29	27	12	19	17	31	16	33	31	23	11	20	18	21	39	18	49	28	37	20	27	16	46	43	25	19	24	26	36	29	46	30	30	40	30	17	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
