Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																		
Дата голосования: 18.09.2016																																																																																																																		
																																																																																																																		
Наименование Избирательной комиссии:    Нижневартовская городская																																																																																																																		
																																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																		
																																																																																																																		
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №698									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2087	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	35	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	22	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1011	13	5	7	14	8	13	12	10	11	9	8	8	7	7	10	12	7	10	12	13	9	3	5	8	17	7	5	4	9	11	4	8	6	15	18	9	10	10	10	6	15	14	11	8	4	8	15	8	16	19	11	8	11	13	13	9	11	15	8	28	19	6	5	6	6	3	6	2	7	4	13	11	11	18	5	13	14	21	11	9	16	9	13	11	12	9	6	5	17	9	12	1	3	17	12	0	10	12	13	3	0	14	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	293	2	7	3	5	3	2	4	1	4	2	1	0	3	4	5	2	0	0	4	0	7	3	2	1	3	2	0	1	7	3	4	0	5	5	1	4	1	4	7	1	4	0	4	2	4	1	7	3	3	2	5	1	2	2	1	3	4	1	5	4	2	0	7	0	1	0	7	9	4	1	1	0	9	2	4	3	0	9	2	1	2	0	3	5	1	3	1	5	2	2	1	0	1	2	2	1	10	2	5	1	9	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	1076	7	15	13	6	12	7	8	10	9	11	12	12	13	13	10	8	13	10	8	7	11	17	15	12	3	13	15	16	11	9	16	12	14	5	2	11	10	10	10	14	5	6	9	12	16	12	5	12	4	1	9	12	9	7	7	11	9	5	12	7	1	14	15	14	14	17	14	18	13	16	7	9	9	12	15	7	6	1	9	11	4	11	7	9	8	11	14	15	3	11	8	19	17	3	8	20	10	8	7	17	20	6	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	601	8	3	4	3	7	8	3	5	4	2	8	3	9	5	8	9	5	10	4	2	8	7	3	4	9	5	5	4	12	8	10	6	10	15	11	10	10	8	8	4	6	2	3	6	5	1	5	6	7	9	11	3	9	6	3	10	13	4	6	11	0	3	3	5	8	6	3	4	7	1	3	4	1	6	7	5	11	6	1	5	8	3	8	9	2	3	6	6	2	4	2	5	2	1	9	3	15	8	10	2	1	8	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	4599	63	55	38	27	41	48	39	61	40	49	41	38	40	37	58	54	28	37	53	51	38	30	36	56	56	41	48	43	53	45	33	30	41	78	61	58	57	62	52	41	43	33	54	43	23	72	55	43	56	56	47	54	62	37	36	24	65	59	49	63	36	49	61	42	43	32	32	32	26	39	43	39	57	41	43	51	57	51	34	45	56	47	51	49	45	25	40	33	51	46	43	21	20	41	27	11	49	71	56	27	7	76	23									
		7.01%	11.73%	9.39%	7.29%	5.25%	6.72%	8.66%	6.95%	8.31%	6.75%	7.56%	5.94%	6.82%	6.31%	6.06%	7.36%	6.74%	3.81%	5.54%	8.85%	7.68%	5.49%	5.85%	6.13%	7.27%	7.33%	6.52%	7.80%	5.97%	6.38%	5.73%	6.08%	5.68%	7.64%	8.94%	8.60%	11.07%	8.66%	9.55%	6.88%	6.66%	8.37%	5.66%	7.88%	6.22%	4.40%	8.02%	7.48%	7.53%	6.55%	7.45%	6.05%	7.67%	7.63%	7.77%	6.65%	5.84%	8.32%	7.13%	6.49%	7.90%	4.08%	6.69%	8.44%	5.74%	7.00%	5.00%	6.39%	6.03%	5.27%	6.70%	6.32%	5.99%	8.12%	7.87%	7.40%	6.82%	6.59%	6.91%	5.79%	7.96%	8.30%	7.97%	8.13%	7.48%	7.11%	4.39%	10.15%	5.44%	6.61%	7.32%	8.81%	8.50%	5.45%	7.66%	5.12%	5.45%	5.74%	8.35%	7.16%	7.38%	4.38%	6.83%	8.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1470	12	18	11	13	15	16	7	21	23	10	13	18	16	17	19	21	12	10	12	11	11	16	11	13	21	20	8	21	22	19	20	9	14	12	18	9	7	19	22	9	7	12	11	16	17	25	22	18	23	10	24	13	15	6	15	5	23	18	16	26	11	21	4	10	13	13	13	13	15	15	7	11	5	11	17	17	16	11	9	7	15	14	14	14	12	9	7	17	9	23	16	7	14	15	14	3	22	22	21	12	2	19	12									
		2.24%	2.23%	3.07%	2.11%	2.53%	2.46%	2.89%	1.25%	2.86%	3.88%	1.54%	1.88%	3.23%	2.52%	2.78%	2.41%	2.62%	1.63%	1.50%	2.00%	1.66%	1.59%	3.12%	1.87%	1.69%	2.75%	3.18%	1.30%	2.92%	2.65%	2.42%	3.68%	1.70%	2.61%	1.38%	2.54%	1.72%	1.06%	2.93%	2.91%	1.46%	1.36%	2.06%	1.61%	2.32%	3.25%	2.78%	2.99%	3.15%	2.69%	1.33%	3.09%	1.85%	1.85%	1.26%	2.77%	1.22%	2.94%	2.17%	2.12%	3.26%	1.25%	2.87%	0.55%	1.37%	2.12%	2.03%	2.59%	2.45%	3.04%	2.58%	1.03%	1.69%	0.71%	2.11%	2.93%	2.27%	1.85%	1.49%	1.53%	1.24%	2.22%	2.37%	2.23%	2.14%	1.90%	1.58%	1.78%	2.80%	1.17%	3.66%	3.28%	2.83%	3.81%	2.80%	2.66%	1.49%	2.58%	2.59%	2.69%	3.28%	1.25%	1.71%	4.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1582	22	15	13	10	9	13	16	25	9	15	15	13	9	15	22	14	25	14	16	18	23	15	6	19	13	4	8	22	17	25	14	12	6	13	14	8	15	13	9	19	16	17	26	19	19	22	33	28	24	24	18	20	17	5	8	4	20	25	15	30	16	17	21	23	18	15	13	20	13	9	9	11	4	8	22	17	23	17	21	13	22	12	16	20	16	22	8	17	18	16	15	7	9	9	13	5	15	16	13	6	4	16	4									
		2.41%	4.10%	2.56%	2.50%	1.95%	1.48%	2.35%	2.85%	3.41%	1.52%	2.31%	2.17%	2.33%	1.42%	2.45%	2.79%	1.75%	3.41%	2.10%	2.67%	2.71%	3.32%	2.92%	1.02%	2.47%	1.70%	0.64%	1.30%	3.06%	2.05%	3.18%	2.58%	2.27%	1.12%	1.49%	1.97%	1.53%	2.28%	2.00%	1.19%	3.08%	3.11%	2.92%	3.80%	2.75%	3.63%	2.45%	4.49%	4.90%	2.81%	3.19%	2.32%	2.84%	2.09%	1.05%	1.48%	0.97%	2.56%	3.02%	1.99%	3.76%	1.81%	2.32%	2.90%	3.14%	2.93%	2.34%	2.59%	3.77%	2.64%	1.55%	1.32%	1.69%	0.57%	1.54%	3.79%	2.27%	2.66%	2.30%	3.58%	2.30%	3.26%	2.03%	2.55%	3.05%	2.53%	3.86%	2.03%	2.80%	2.33%	2.55%	3.07%	2.83%	2.45%	1.68%	2.47%	2.48%	1.76%	1.88%	1.66%	1.64%	2.50%	1.44%	1.51%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25879	211	234	215	234	269	201	220	259	206	249	271	214	259	272	318	310	310	251	225	256	278	195	242	336	293	262	237	303	312	318	223	212	221	315	275	195	274	254	276	248	214	212	265	274	227	363	282	214	348	303	305	283	334	180	209	174	286	334	316	336	365	297	259	279	237	244	208	199	197	224	258	261	299	197	224	287	321	324	241	224	275	229	258	272	246	228	134	226	315	223	176	93	155	206	217	88	347	312	323	143	62	388	106									
		39.47%	39.29%	39.93%	41.27%	45.53%	44.10%	36.28%	39.22%	35.29%	34.74%	38.43%	39.28%	38.42%	40.85%	44.52%	40.36%	38.70%	42.23%	37.57%	37.56%	38.55%	40.17%	38.01%	41.23%	43.64%	38.35%	41.65%	38.54%	42.08%	37.55%	40.46%	41.07%	40.15%	41.15%	36.12%	38.79%	37.21%	41.64%	39.14%	36.51%	40.26%	41.63%	36.36%	38.69%	39.65%	43.40%	40.42%	38.37%	37.48%	40.70%	40.29%	39.25%	40.20%	41.08%	37.82%	38.63%	42.34%	36.62%	40.34%	41.85%	42.16%	41.34%	40.57%	35.82%	38.11%	38.60%	38.13%	41.52%	37.48%	39.96%	38.49%	37.94%	40.09%	42.59%	37.81%	38.55%	38.37%	37.11%	43.90%	41.06%	39.65%	40.74%	38.81%	41.15%	41.53%	38.86%	40.00%	34.01%	37.23%	40.86%	35.51%	36.07%	37.65%	42.23%	38.50%	41.18%	43.56%	40.68%	36.71%	41.30%	39.07%	38.75%	34.89%	40.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	540	3	3	9	2	8	5	6	6	3	4	7	2	6	5	11	6	11	9	3	4	5	3	9	5	4	4	7	3	3	4	3	5	4	8	10	9	11	6	6	4	3	6	3	3	2	6	7	1	8	5	7	6	8	5	7	2	5	5	4	2	11	6	8	4	4	5	5	5	3	5	11	7	8	8	0	8	4	9	6	4	3	5	6	5	5	5	5	3	4	6	4	2	1	2	4	1	11	7	11	2	0	6	0									
		0.82%	0.56%	0.51%	1.73%	0.39%	1.31%	0.90%	1.07%	0.82%	0.51%	0.62%	1.01%	0.36%	0.95%	0.82%	1.40%	0.75%	1.50%	1.35%	0.50%	0.60%	0.72%	0.58%	1.53%	0.65%	0.52%	0.64%	1.14%	0.42%	0.36%	0.51%	0.55%	0.95%	0.74%	0.92%	1.41%	1.72%	1.67%	0.92%	0.79%	0.65%	0.58%	1.03%	0.44%	0.43%	0.38%	0.67%	0.95%	0.18%	0.94%	0.66%	0.90%	0.85%	0.98%	1.05%	1.29%	0.49%	0.64%	0.60%	0.53%	0.25%	1.25%	0.82%	1.11%	0.55%	0.65%	0.78%	0.99%	0.94%	0.61%	0.86%	1.62%	1.08%	1.14%	1.54%	0.00%	1.07%	0.46%	1.22%	1.02%	0.71%	0.44%	0.85%	0.96%	0.76%	0.79%	0.88%	1.27%	0.49%	0.52%	0.96%	0.82%	0.81%	0.27%	0.37%	0.76%	0.50%	1.29%	0.82%	1.41%	0.55%	0.00%	0.54%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	251	0	2	1	1	127	0	2	0	0	1	0	0	2	0	0	3	1	2	1	2	2	1	1	1	0	1	4	1	1	2	1	0	1	2	3	5	1	0	2	0	0	1	1	0	0	1	1	3	3	6	2	0	4	0	0	2	0	3	0	2	0	0	5	0	0	4	1	2	0	1	1	0	1	2	2	3	3	0	3	0	3	2	1	1	0	1	0	0	1	1	2	1	1	0	0	0	2	0	1	1	1	1	0									
		0.38%	0.00%	0.34%	0.19%	0.19%	20.82%	0.00%	0.36%	0.00%	0.00%	0.15%	0.00%	0.00%	0.32%	0.00%	0.00%	0.37%	0.14%	0.30%	0.17%	0.30%	0.29%	0.19%	0.17%	0.13%	0.00%	0.16%	0.65%	0.14%	0.12%	0.25%	0.18%	0.00%	0.19%	0.23%	0.42%	0.95%	0.15%	0.00%	0.26%	0.00%	0.00%	0.17%	0.15%	0.00%	0.00%	0.11%	0.14%	0.53%	0.35%	0.80%	0.26%	0.00%	0.49%	0.00%	0.00%	0.49%	0.00%	0.36%	0.00%	0.25%	0.00%	0.00%	0.69%	0.00%	0.00%	0.63%	0.20%	0.38%	0.00%	0.17%	0.15%	0.00%	0.14%	0.38%	0.34%	0.40%	0.35%	0.00%	0.51%	0.00%	0.44%	0.34%	0.16%	0.15%	0.00%	0.18%	0.00%	0.00%	0.13%	0.16%	0.41%	0.40%	0.27%	0.00%	0.00%	0.00%	0.23%	0.00%	0.13%	0.27%	0.63%	0.09%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	14405	94	122	94	105	8	129	143	160	159	185	177	129	162	120	151	179	147	167	145	151	155	130	141	154	202	135	136	133	177	146	112	121	98	203	136	92	127	121	177	143	97	153	144	161	103	200	166	118	167	168	181	130	156	113	124	93	176	167	168	158	203	167	173	172	135	139	94	140	98	120	168	143	160	128	133	164	185	136	137	113	137	112	117	121	137	115	91	130	168	141	90	54	98	117	129	49	229	224	177	94	43	345	70									
		21.97%	17.50%	20.82%	18.04%	20.43%	1.31%	23.29%	25.49%	21.80%	26.81%	28.55%	25.65%	23.16%	25.55%	19.64%	19.16%	22.35%	20.03%	25.00%	24.21%	22.74%	22.40%	25.34%	24.02%	20.00%	26.44%	21.46%	22.11%	18.47%	21.30%	18.58%	20.63%	22.92%	18.25%	23.28%	19.18%	17.56%	19.30%	18.64%	23.41%	23.21%	18.87%	26.24%	21.02%	23.30%	19.69%	22.27%	22.59%	20.67%	19.53%	22.34%	23.29%	18.47%	19.19%	23.74%	22.92%	22.63%	22.54%	20.17%	22.25%	19.82%	22.99%	22.81%	23.93%	23.50%	21.99%	21.72%	18.76%	26.37%	19.88%	20.62%	24.71%	21.97%	22.79%	24.57%	22.89%	21.93%	21.39%	18.43%	23.34%	20.00%	20.30%	18.98%	18.66%	18.47%	21.64%	20.18%	23.10%	21.42%	21.79%	22.45%	18.44%	21.86%	26.70%	21.87%	24.48%	24.26%	26.85%	26.35%	22.63%	25.68%	26.88%	31.03%	26.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	524	6	2	5	0	5	3	0	5	5	4	12	5	6	6	2	12	6	11	3	6	5	3	1	6	8	3	2	6	9	11	2	6	8	8	10	3	6	6	7	6	1	6	7	2	4	10	7	5	9	8	7	6	9	5	8	1	10	3	5	5	8	4	9	5	9	2	1	0	3	3	10	2	0	6	3	7	6	5	3	0	6	8	12	3	2	1	9	6	5	6	1	2	2	2	4	0	9	3	5	1	1	10	2									
		0.80%	1.12%	0.34%	0.96%	0.00%	0.82%	0.54%	0.00%	0.68%	0.84%	0.62%	1.74%	0.90%	0.95%	0.98%	0.25%	1.50%	0.82%	1.65%	0.50%	0.90%	0.72%	0.58%	0.17%	0.78%	1.05%	0.48%	0.33%	0.83%	1.08%	1.40%	0.37%	1.14%	1.49%	0.92%	1.41%	0.57%	0.91%	0.92%	0.93%	0.97%	0.19%	1.03%	1.02%	0.29%	0.76%	1.11%	0.95%	0.88%	1.05%	1.06%	0.90%	0.85%	1.11%	1.05%	1.48%	0.24%	1.28%	0.36%	0.66%	0.63%	0.91%	0.55%	1.24%	0.68%	1.47%	0.31%	0.20%	0.00%	0.61%	0.52%	1.47%	0.31%	0.00%	1.15%	0.52%	0.94%	0.69%	0.68%	0.51%	0.00%	0.89%	1.36%	1.91%	0.46%	0.32%	0.18%	2.28%	0.99%	0.65%	0.96%	0.20%	0.81%	0.54%	0.37%	0.76%	0.00%	1.06%	0.35%	0.64%	0.27%	0.63%	0.90%	0.75%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	689	10	5	11	3	0	3	4	9	6	10	3	6	6	10	7	7	10	8	6	7	10	2	1	11	8	8	5	7	6	15	6	10	13	15	10	14	9	12	8	7	3	10	7	8	4	7	6	5	5	12	13	4	13	8	9	2	10	7	4	9	7	10	3	14	8	8	2	6	4	6	3	2	10	8	5	7	10	2	5	7	9	4	10	7	9	5	5	1	3	5	8	3	0	2	1	1	2	9	3	3	3	10	5									
		1.05%	1.86%	0.85%	2.11%	0.58%	0.00%	0.54%	0.71%	1.23%	1.01%	1.54%	0.43%	1.08%	0.95%	1.64%	0.89%	0.87%	1.36%	1.20%	1.00%	1.05%	1.45%	0.39%	0.17%	1.43%	1.05%	1.27%	0.81%	0.97%	0.72%	1.91%	1.10%	1.89%	2.42%	1.72%	1.41%	2.67%	1.37%	1.85%	1.06%	1.14%	0.58%	1.72%	1.02%	1.16%	0.76%	0.78%	0.82%	0.88%	0.58%	1.60%	1.67%	0.57%	1.60%	1.68%	1.66%	0.49%	1.28%	0.85%	0.53%	1.13%	0.79%	1.37%	0.41%	1.91%	1.30%	1.25%	0.40%	1.13%	0.81%	1.03%	0.44%	0.31%	1.42%	1.54%	0.86%	0.94%	1.16%	0.27%	0.85%	1.24%	1.33%	0.68%	1.59%	1.07%	1.42%	0.88%	1.27%	0.16%	0.39%	0.80%	1.64%	1.21%	0.00%	0.37%	0.19%	0.50%	0.23%	1.06%	0.38%	0.82%	1.88%	0.90%	1.89%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	103	1	0	1	1	11	5	1	1	0	0	2	0	0	0	1	0	2	1	3	1	2	1	2	1	3	1	2	1	0	0	0	0	0	1	2	3	3	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	2	0	0	0	1	0	0	2	1	0	3	0	0	2	0	1	0	0	1	1	1	1	0	1	3	1	0	2	2	1	0	1	2	0	2	1	1	1	0	1	0	0	1	1	1	0	3	0	0	2	1									
		0.16%	0.19%	0.00%	0.19%	0.19%	1.80%	0.90%	0.18%	0.14%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.13%	0.00%	0.27%	0.15%	0.50%	0.15%	0.29%	0.19%	0.34%	0.13%	0.39%	0.16%	0.33%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.28%	0.57%	0.46%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.14%	0.18%	0.00%	0.00%	0.00%	0.14%	0.25%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.25%	0.11%	0.00%	0.41%	0.00%	0.00%	0.31%	0.00%	0.19%	0.00%	0.00%	0.15%	0.15%	0.14%	0.19%	0.00%	0.13%	0.35%	0.14%	0.00%	0.35%	0.30%	0.17%	0.00%	0.15%	0.32%	0.00%	0.51%	0.16%	0.13%	0.16%	0.00%	0.40%	0.00%	0.00%	0.19%	0.50%	0.12%	0.00%	0.38%	0.00%	0.00%	0.18%	0.38%									
