Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Печорская городская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1031	30	30	30	30	30	30	30	30	21	15	10	20	10	20	5	10	30	30	30	30	30	30	30	30	30	30	30	20	30	30	20	5	5	15	30	20	20	5	20	10	10	20	30	5	15	10	10	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	423	3	11	14	14	11	8	3	16	21	6	1	20	6	5	1	1	10	27	16	20	24	13	12	19	20	15	9	10	9	4	2	0	2	0	14	10	2	0	5	2	0	2	15	1	8	6	3	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	475	0	18	4	4	5	6	3	6	1	1	6	17	5	2	3	0	7	10	34	4	7	4	15	10	10	10	8	1	6	1	2	1	1	60	50	9	4	1	3	0	3	76	7	0	3	2	0	43	2									
14	Число погашенных неиспользованных открепительных удостоверений	608	27	19	16	16	19	22	27	14	0	9	9	0	4	15	4	9	20	3	14	10	6	17	18	11	10	15	21	10	21	26	18	5	3	15	16	10	18	5	15	8	10	18	15	4	7	4	7	18	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	257	9	11	6	12	6	7	6	9	1	0	0	0	1	3	0	1	4	30	26	14	12	21	10	11	5	10	7	1	11	0	2	2	0	0	7	4	0	1	1	0	0	0	1	0	2	1	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	299	9	9	9	16	9	5	8	8	1	1	2	2	1	1	1	1	4	26	16	23	13	11	9	12	16	15	5	5	19	7	3	0	0	1	7	6	0	2	0	0	0	6	5	0	4	0	0	1	0									
		1.71%	1.86%	1.38%	1.44%	2.46%	1.46%	0.92%	2.00%	1.41%	0.93%	1.18%	3.51%	1.56%	0.93%	0.56%	3.85%	1.43%	0.88%	3.39%	1.86%	2.82%	1.78%	1.95%	1.37%	1.79%	2.44%	2.10%	0.90%	1.99%	2.74%	1.93%	1.85%	0.00%	0.00%	0.75%	0.82%	1.59%	0.00%	2.86%	0.00%	0.00%	0.00%	2.73%	0.96%	0.00%	3.92%	0.00%	0.00%	0.68%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	607	14	28	19	29	22	14	12	12	2	2	1	4	3	4	1	3	16	19	25	36	21	22	31	26	19	32	17	12	26	14	2	3	2	3	30	10	6	2	8	1	2	7	28	4	1	2	3	5	2									
		3.48%	2.89%	4.28%	3.04%	4.46%	3.56%	2.57%	3.00%	2.12%	1.85%	2.35%	1.75%	3.13%	2.80%	2.25%	3.85%	4.29%	3.52%	2.47%	2.91%	4.41%	2.87%	3.91%	4.70%	3.89%	2.90%	4.48%	3.05%	4.78%	3.75%	3.86%	1.23%	7.32%	4.65%	2.26%	3.50%	2.65%	4.08%	2.86%	4.60%	1.69%	3.13%	3.18%	5.37%	7.69%	0.98%	3.70%	5.17%	3.40%	1.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	714	16	26	20	29	24	21	18	29	7	2	1	5	3	5	0	1	19	27	22	45	31	26	28	32	26	24	23	19	27	7	14	2	1	2	39	13	6	1	7	6	3	5	25	2	4	6	1	7	7									
		4.09%	3.30%	3.98%	3.20%	4.46%	3.88%	3.85%	4.50%	5.12%	6.48%	2.35%	1.75%	3.91%	2.80%	2.81%	0.00%	1.43%	4.18%	3.52%	2.56%	5.51%	4.24%	4.62%	4.25%	4.78%	3.97%	3.36%	4.13%	7.57%	3.90%	1.93%	8.64%	4.88%	2.33%	1.50%	4.55%	3.45%	4.08%	1.43%	4.02%	10.17%	4.69%	2.27%	4.80%	3.85%	3.92%	11.11%	1.72%	4.76%	5.93%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5908	147	208	186	179	168	169	157	191	42	44	30	62	46	64	12	23	149	262	326	257	245	162	173	222	196	232	192	99	211	124	58	17	13	35	347	136	72	32	89	18	22	86	183	34	44	18	30	47	49									
		33.85%	30.31%	31.80%	29.76%	27.54%	27.18%	31.01%	39.25%	33.75%	38.89%	51.76%	52.63%	48.44%	42.99%	35.96%	46.15%	32.86%	32.75%	34.11%	37.95%	31.46%	33.52%	28.77%	26.25%	33.18%	29.92%	32.49%	34.47%	39.44%	30.45%	34.16%	35.80%	41.46%	30.23%	26.32%	40.44%	36.07%	48.98%	45.71%	51.15%	30.51%	34.38%	39.09%	35.12%	65.38%	43.14%	33.33%	51.72%	31.97%	41.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	158	6	10	3	7	9	9	0	8	1	1	0	1	1	0	0	0	3	5	8	5	10	3	6	7	8	9	4	0	5	2	2	0	0	2	7	4	0	1	1	1	0	2	4	0	1	1	1	0	0									
		0.91%	1.24%	1.53%	0.48%	1.08%	1.46%	1.65%	0.00%	1.41%	0.93%	1.18%	0.00%	0.78%	0.93%	0.00%	0.00%	0.00%	0.66%	0.65%	0.93%	0.61%	1.37%	0.53%	0.91%	1.05%	1.22%	1.26%	0.72%	0.00%	0.72%	0.55%	1.23%	0.00%	0.00%	1.50%	0.82%	1.06%	0.00%	1.43%	0.57%	1.69%	0.00%	0.91%	0.77%	0.00%	0.98%	1.85%	1.72%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	32	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	2	0	2	4	1	1	2	0	0	2	1	0	1	1	1	0	1	0	1	0	1	0	0	1	2	1	1	0	0	0	0	1	0									
		0.18%	0.00%	0.15%	0.00%	0.15%	0.32%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.23%	0.49%	0.14%	0.18%	0.30%	0.00%	0.00%	0.28%	0.18%	0.00%	0.14%	0.28%	0.62%	0.00%	2.33%	0.00%	0.12%	0.00%	0.68%	0.00%	0.00%	1.69%	3.13%	0.45%	0.19%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4831	144	186	185	193	181	158	108	186	31	17	15	28	45	73	11	34	140	210	224	190	173	127	172	149	176	199	146	59	172	121	44	9	22	57	229	124	38	25	38	22	18	75	124	8	37	21	13	39	35									
		27.68%	29.69%	28.44%	29.60%	29.69%	29.29%	28.99%	27.00%	32.86%	28.70%	20.00%	26.32%	21.88%	42.06%	41.01%	42.31%	48.57%	30.77%	27.34%	26.08%	23.26%	23.67%	22.56%	26.10%	22.27%	26.87%	27.87%	26.21%	23.51%	24.82%	33.33%	27.16%	21.95%	51.16%	42.86%	26.69%	32.89%	25.85%	35.71%	21.84%	37.29%	28.13%	34.09%	23.80%	15.38%	36.27%	38.89%	22.41%	26.53%	29.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	158	6	8	11	6	8	6	3	10	0	1	0	0	0	0	0	1	9	5	3	5	6	6	6	10	8	6	3	1	3	3	0	1	0	2	5	1	0	0	0	1	0	0	6	0	1	0	0	6	1									
		0.91%	1.24%	1.22%	1.76%	0.92%	1.29%	1.10%	0.75%	1.77%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	1.98%	0.65%	0.35%	0.61%	0.82%	1.07%	0.91%	1.49%	1.22%	0.84%	0.54%	0.40%	0.43%	0.83%	0.00%	2.44%	0.00%	1.50%	0.58%	0.27%	0.00%	0.00%	0.00%	1.69%	0.00%	0.00%	1.15%	0.00%	0.98%	0.00%	0.00%	4.08%	0.85%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	173	6	5	10	10	4	3	4	8	0	0	0	0	0	2	0	0	4	5	10	14	8	8	9	8	9	7	4	2	8	2	0	0	0	3	3	3	0	0	1	1	0	4	6	0	0	0	1	1	0									
		0.99%	1.24%	0.76%	1.60%	1.54%	0.65%	0.55%	1.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.88%	0.65%	1.16%	1.71%	1.09%	1.42%	1.37%	1.20%	1.37%	0.98%	0.72%	0.80%	1.15%	0.55%	0.00%	0.00%	0.00%	2.26%	0.35%	0.80%	0.00%	0.00%	0.57%	1.69%	0.00%	1.82%	1.15%	0.00%	0.00%	0.00%	1.72%	0.68%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	34	0	3	1	4	0	0	1	0	1	0	0	0	0	0	0	1	0	3	2	1	2	1	1	0	0	0	1	0	1	1	0	0	0	0	3	3	0	1	0	0	1	0	1	0	0	0	0	0	1									
		0.19%	0.00%	0.46%	0.16%	0.62%	0.00%	0.00%	0.25%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.39%	0.23%	0.12%	0.27%	0.18%	0.15%	0.00%	0.00%	0.00%	0.18%	0.00%	0.14%	0.28%	0.00%	0.00%	0.00%	0.00%	0.35%	0.80%	0.00%	1.43%	0.00%	0.00%	1.56%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	228	9	14	7	12	11	10	7	4	0	1	0	1	0	0	1	0	4	9	19	8	10	10	12	15	14	7	8	1	4	1	2	0	0	2	12	0	0	0	2	0	0	1	6	0	0	0	0	2	2									
		1.31%	1.86%	2.14%	1.12%	1.85%	1.78%	1.83%	1.75%	0.71%	0.00%	1.18%	0.00%	0.78%	0.00%	0.00%	3.85%	0.00%	0.88%	1.17%	2.21%	0.98%	1.37%	1.78%	1.82%	2.24%	2.14%	0.98%	1.44%	0.40%	0.58%	0.28%	1.23%	0.00%	0.00%	1.50%	1.40%	0.00%	0.00%	0.00%	1.15%	0.00%	0.00%	0.45%	1.15%	0.00%	0.00%	0.00%	0.00%	1.36%	1.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2298	66	65	83	86	96	71	42	58	14	8	3	18	6	16	0	3	53	105	95	125	117	109	114	99	107	98	78	27	123	34	19	7	3	8	88	52	12	1	17	3	15	19	76	2	5	5	8	29	10									
		13.16%	13.61%	9.94%	13.28%	13.23%	15.53%	13.03%	10.50%	10.25%	12.96%	9.41%	5.26%	14.06%	5.61%	8.99%	0.00%	4.29%	11.65%	13.67%	11.06%	15.30%	16.01%	19.36%	17.30%	14.80%	16.34%	13.73%	14.00%	10.76%	17.75%	9.37%	11.73%	17.07%	6.98%	6.02%	10.26%	13.79%	8.16%	1.43%	9.77%	5.08%	23.44%	8.64%	14.59%	3.85%	4.90%	9.26%	13.79%	19.73%	8.47%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	88	5	7	1	5	4	4	1	2	0	1	0	0	0	2	0	0	1	5	6	3	6	2	4	2	0	5	2	0	4	3	2	0	0	1	3	0	1	0	1	0	0	1	1	0	0	0	0	1	2									
		0.50%	1.03%	1.07%	0.16%	0.77%	0.65%	0.73%	0.25%	0.35%	0.00%	1.18%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.22%	0.65%	0.70%	0.37%	0.82%	0.36%	0.61%	0.30%	0.00%	0.70%	0.36%	0.00%	0.58%	0.83%	1.23%	0.00%	0.00%	0.75%	0.35%	0.00%	0.68%	0.00%	0.57%	0.00%	0.00%	0.45%	0.19%	0.00%	0.00%	0.00%	0.00%	0.68%	1.69%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1225	41	40	53	48	61	32	19	30	5	3	1	6	1	7	0	2	38	58	59	63	54	50	63	63	62	52	49	16	70	29	9	1	1	11	35	16	10	4	7	2	0	11	28	2	1	1	1	2	8									
		7.02%	8.45%	6.12%	8.48%	7.38%	9.87%	5.87%	4.75%	5.30%	4.63%	3.53%	1.75%	4.69%	0.93%	3.93%	0.00%	2.86%	8.35%	7.55%	6.87%	7.71%	7.39%	8.88%	9.56%	9.42%	9.47%	7.28%	8.80%	6.37%	10.10%	7.99%	5.56%	2.44%	2.33%	8.27%	4.08%	4.24%	6.80%	5.71%	4.02%	3.39%	0.00%	5.00%	5.37%	3.85%	0.98%	1.85%	1.72%	1.36%	6.78%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
