Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Абатская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54					
		1.51%	2.82%	2.17%	2.35%	1.67%	5.63%	0.8%	0.34%	0.0%	0.0%	1.51%	0.77%	0.0%	0.0%	0.0%	1.12%	2.70%	0.0%	0.81%	0.0%	0.77%	3.57%	0.0%	3.14%	2.38%	1.14%	0.0%	2.12%	0.0%	1.93%	0.0%	0.0%	1.54%	1.57%	0.0%	0.0%	0.47%	1.86%	1.33%	0.0%	1.03%	0.34%	1.42%	2.04%	0.72%	0.91%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	2.05%					
22	"5. ""За Русь Святую"""	60	14	14	3	0	0	1	1	2	0	0	2	0	0	0	0	0	0	0	3	1	0	2	1	0	2	0	0	1	0	1	0	4	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	3	0	0	0	0					
		0.54%	0.99%	1.08%	0.29%	0.0%	0.0%	0.8%	0.34%	3.12%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.95%	0.77%	0.0%	2.22%	0.22%	0.0%	2.29%	0.0%	0.0%	2.63%	0.0%	1.66%	0.0%	2.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	2.06%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0					
		0.11%	0.07%	0.0%	0.0%	0.27%	0.0%	0.8%	0.68%	1.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.85%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	38	5	4	3	2	0	1	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	1	2	0	1	0	1	0	0					
		0.34%	0.35%	0.31%	0.29%	0.55%	0.0%	0.8%	0.68%	1.56%	0.0%	0.0%	0.25%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.36%	0.91%	0.0%	1.36%	1.47%	0.0%	0.31%	0.0%	1.16%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	1.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	21	3	3	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.19%	0.21%	0.23%	0.09%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.77%	0.89%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.51%	0.52%	1.47%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.0%					
27	"10. ""Аграрная партия России"""	662	51	70	39	20	5	3	17	4	2	4	42	9	5	3	6	0	2	17	17	12	9	3	38	2	9	0	0	4	20	3	3	12	21	0	4	46	11	5	10	8	25	2	6	19	9	7	2	3	3	23	8	3	2	14					
		6.00%	3.60%	5.42%	3.83%	5.58%	7.04%	2.4%	5.80%	6.25%	2.22%	6.06%	10.85%	10.58%	4.03%	4.83%	6.74%	0.0%	2.63%	13.93%	5.43%	9.30%	8.03%	3.33%	8.53%	2.38%	10.34%	0.0%	0.0%	10.52%	4.30%	5.0%	3.03%	6.18%	10.99%	0.0%	5.55%	11.03%	10.28%	6.66%	9.25%	8.24%	8.50%	2.85%	12.24%	6.93%	8.25%	6.19%	2.73%	2.20%	3.70%	7.14%	10.66%	3.48%	3.70%	9.58%					
28	"11. ""Истинные патриоты России"""	21	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	2	0	0	0	0					
		0.19%	0.0%	0.07%	0.09%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.27%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.67%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	195	36	17	11	7	1	4	1	3	9	2	11	0	0	1	2	1	0	2	2	0	2	1	8	0	3	0	5	0	10	1	6	3	2	1	6	1	0	0	1	0	7	0	0	5	1	1	2	7	1	4	3	0	1	3					
		1.76%	2.54%	1.31%	1.08%	1.95%	1.40%	3.2%	0.34%	4.68%	10.0%	3.03%	2.84%	0.0%	0.0%	1.61%	2.24%	1.35%	0.0%	1.63%	0.63%	0.0%	1.78%	1.11%	1.79%	0.0%	3.44%	0.0%	10.63%	0.0%	2.15%	1.66%	6.06%	1.54%	1.04%	1.47%	8.33%	0.23%	0.0%	0.0%	0.92%	0.0%	2.38%	0.0%	0.0%	1.82%	0.91%	0.88%	2.73%	5.14%	1.23%	1.24%	4.0%	0.0%	1.85%	2.05%					
30	"13. ""Демократическая партия России"""	23	2	4	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	1	2	0	0	1					
		0.20%	0.14%	0.31%	0.09%	0.27%	0.0%	1.6%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.0%	0.0%	0.0%	0.0%	1.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	2.66%	0.0%	0.0%	0.68%					
31	"14. ""Великая Россия - Евразийский Союз"""	15	1	0	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.13%	0.07%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.31%	0.77%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	9	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.08%	0.0%	0.0%	0.09%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.38%	0.47%	0.0%	0.0%	0.0%	1.03%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%					
33	"16. ""Родина"" (народно-патриотический союз)"""	348	54	81	64	7	0	2	4	0	1	3	14	1	9	1	4	0	5	7	5	2	3	3	7	0	1	0	1	1	13	0	4	1	2	0	0	8	8	0	0	2	4	0	0	6	1	2	0	4	2	3	2	4	1	1					
		3.15%	3.81%	6.27%	6.29%	1.95%	0.0%	1.6%	1.36%	0.0%	1.11%	4.54%	3.61%	1.17%	7.25%	1.61%	4.49%	0.0%	6.57%	5.73%	1.59%	1.55%	2.67%	3.33%	1.57%	0.0%	1.14%	0.0%	2.12%	2.63%	2.79%	0.0%	4.04%	0.51%	1.04%	0.0%	0.0%	1.91%	7.47%	0.0%	0.0%	2.06%	1.36%	0.0%	0.0%	2.18%	0.91%	1.76%	0.0%	2.94%	2.46%	0.93%	2.66%	4.65%	1.85%	0.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	29	0	2	0	2	1	0	2	1	0	0	3	1	0	1	0	0	0	0	2	1	0	0	2	2	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1					
		0.26%	0.0%	0.15%	0.0%	0.55%	1.40%	0.0%	0.68%	1.56%	0.0%	0.0%	0.77%	1.17%	0.0%	1.61%	0.0%	0.0%	0.0%	0.0%	0.63%	0.77%	0.0%	0.0%	0.44%	2.38%	0.0%	2.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	1.47%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.91%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%					
35	"18. ""ЛДПР"""	1655	202	192	208	45	11	19	24	10	19	9	32	14	21	19	18	7	10	16	53	14	13	7	62	11	8	7	6	4	67	15	21	31	28	22	18	56	38	10	14	18	24	15	11	30	11	10	7	24	12	43	13	26	6	24					
		15.00%	14.28%	14.88%	20.45%	12.56%	15.49%	15.2%	8.19%	15.62%	21.11%	13.63%	8.26%	16.47%	16.93%	30.64%	20.22%	9.45%	13.15%	13.11%	16.93%	10.85%	11.60%	7.77%	13.93%	13.09%	9.19%	15.55%	12.76%	10.52%	14.40%	25.0%	21.21%	15.97%	14.65%	32.35%	25.0%	13.42%	35.51%	13.33%	12.96%	18.55%	8.16%	21.42%	22.44%	10.94%	10.09%	8.84%	9.58%	17.64%	14.81%	13.35%	17.33%	30.23%	11.11%	16.43%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	169	27	22	9	4	0	0	3	1	3	1	6	1	1	0	2	0	2	1	5	2	2	0	8	1	1	1	2	0	2	0	0	1	5	0	2	8	4	3	0	1	3	0	0	6	0	5	0	1	2	13	3	1	1	3					
		1.53%	1.90%	1.70%	0.88%	1.11%	0.0%	0.0%	1.02%	1.56%	3.33%	1.51%	1.55%	1.17%	0.80%	0.0%	2.24%	0.0%	2.63%	0.81%	1.59%	1.55%	1.78%	0.0%	1.79%	1.19%	1.14%	2.22%	4.25%	0.0%	0.43%	0.0%	0.0%	0.51%	2.61%	0.0%	2.77%	1.91%	3.73%	4.0%	0.0%	1.03%	1.02%	0.0%	0.0%	2.18%	0.0%	4.42%	0.0%	0.73%	2.46%	4.03%	4.0%	1.16%	1.85%	2.05%					
37	"20. ""Политическая партия ""Единая Россия"""	5230	635	485	404	201	32	79	135	29	38	37	207	46	65	31	43	54	47	57	154	75	53	54	216	30	44	27	19	24	209	31	35	86	92	22	26	212	27	45	59	57	181	39	27	151	52	60	39	73	51	159	34	37	32	73					
		47.40%	44.90%	37.59%	39.72%	56.14%	45.07%	63.2%	46.07%	45.31%	42.22%	56.06%	53.48%	54.11%	52.41%	50.0%	48.31%	72.97%	61.84%	46.72%	49.20%	58.13%	47.32%	60.0%	48.53%	35.71%	50.57%	60.0%	40.42%	63.15%	44.94%	51.66%	35.35%	44.32%	48.16%	32.35%	36.11%	50.83%	25.23%	60.0%	54.62%	58.76%	61.56%	55.71%	55.10%	55.10%	47.70%	53.09%	53.42%	53.67%	62.96%	49.37%	45.33%	43.02%	59.25%	50.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	29	1	2	1	3	0	0	1	0	0	0	1	0	0	0	0	1	2	3	1	0	1	0	0	0	1	1	0	0	4	0	0	0	1	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0					
		0.26%	0.07%	0.15%	0.09%	0.83%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	1.35%	2.63%	2.45%	0.31%	0.0%	0.89%	0.0%	0.0%	0.0%	1.14%	2.22%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.23%	0.0%	1.33%	0.0%	0.0%	0.34%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	31	5	8	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0					
		0.28%	0.35%	0.62%	0.19%	0.27%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	2.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	1.42%	0.0%	0.36%	0.91%	0.88%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1318	203	231	155	25	15	5	69	4	9	3	22	1	12	2	4	1	4	5	36	6	6	7	29	31	10	4	10	2	72	3	19	27	18	14	12	45	5	4	8	4	24	7	4	18	28	7	15	7	7	33	6	6	1	13					
		11.94%	14.35%	17.90%	15.24%	6.98%	21.12%	4.0%	23.54%	6.25%	10.0%	4.54%	5.68%	1.17%	9.67%	3.22%	4.49%	1.35%	5.26%	4.09%	11.50%	4.65%	5.35%	7.77%	6.51%	36.90%	11.49%	8.88%	21.27%	5.26%	15.48%	5.0%	19.19%	13.91%	9.42%	20.58%	16.66%	10.79%	4.67%	5.33%	7.40%	4.12%	8.16%	9.99%	8.16%	6.56%	25.68%	6.19%	20.54%	5.14%	8.64%	10.24%	8.0%	6.97%	1.85%	8.90%					
																																																													
41	Против всех	394	55	48	33	7	2	2	11	2	3	3	12	4	6	0	5	2	2	3	8	4	8	3	28	2	5	1	2	2	19	1	4	6	12	1	1	18	7	1	4	1	4	1	0	8	1	8	0	2	2	15	3	4	2	6					
		3.57%	3.88%	3.72%	3.24%	1.95%	2.81%	1.6%	3.75%	3.12%	3.33%	4.54%	3.10%	4.70%	4.83%	0.0%	5.61%	2.70%	2.63%	2.45%	2.55%	3.10%	7.14%	3.33%	6.29%	2.38%	5.74%	2.22%	4.25%	5.26%	4.08%	1.66%	4.04%	3.09%	6.28%	1.47%	1.38%	4.31%	6.54%	1.33%	3.70%	1.03%	1.36%	1.42%	0.0%	2.91%	0.91%	7.07%	0.0%	1.47%	2.46%	4.65%	4.0%	4.65%	3.70%	4.10%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
