Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
"Наименование Избирательной комиссии:    Екатеринбург, Орджоникидзевская"																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №150	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3538	0	0	0	25	40	20	50	25	40	35	20	20	20	15	25	20	35	20	25	20	35	30	10	30	20	55	55	33	35	30	40	10	29	21	10	35	30	35	35	50	30	30	20	45	45	30	60	30	30	45	30	45	45	45	35	50	50	45	55	45	85	35	30	30	45	50	60	35	30	45	40	60	35	30	45	50	30	60	55	35	55	35	35	45	40	45	50	30	35	35	40	30	25	20	50	0	40	45	20	25	0	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2883	0	0	0	12	34	18	41	25	25	26	13	17	18	12	20	20	28	20	25	16	35	25	10	20	20	48	40	33	35	27	28	10	27	21	10	29	29	27	26	42	30	28	18	32	33	27	43	29	30	36	22	42	38	39	25	44	39	35	46	31	77	34	14	29	39	46	44	28	22	32	32	43	27	26	31	45	30	43	40	31	41	27	32	35	27	33	35	27	27	26	33	22	21	20	39	0	33	26	12	25	0	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2402	33	54	28	10	7	67	25	23	4	9	14	6	7	25	9	29	19	11	5	16	10	27	52	11	14	14	10	13	12	26	24	5	10	14	8	22	13	33	19	19	9	17	35	12	6	18	15	24	29	16	10	23	19	23	48	22	12	26	15	5	51	27	20	15	33	11	30	45	18	10	16	18	9	12	25	10	19	19	29	32	30	12	6	40	24	13	10	32	35	18	13	95	130	83	186	4	22	9	12	21	0	17					
14	Число погашенных неиспользованных открепительных удостоверений	655	0	0	0	13	6	2	9	0	15	9	7	3	2	3	5	0	7	0	0	4	0	5	0	10	0	7	15	0	0	3	12	0	2	0	0	6	1	8	9	8	0	2	2	13	12	3	17	1	0	9	8	3	7	6	10	6	11	10	9	14	8	1	16	1	6	4	16	7	8	13	8	17	8	4	14	5	0	17	15	4	14	8	3	10	13	12	15	3	8	9	7	8	4	0	11	0	7	19	8	0	0	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	230	0	0	0	2	0	0	2	3	3	4	3	3	1	0	2	0	4	3	0	4	1	6	1	3	4	1	0	1	5	0	0	0	3	1	2	5	1	1	3	1	2	2	0	2	0	1	5	1	4	1	7	3	9	4	1	1	6	3	2	3	0	0	3	3	2	2	2	0	5	5	3	1	3	5	6	9	4	4	3	6	6	2	2	0	0	0	0	4	2	3	2	1	2	3	2	0	2	2	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
18	1.Политическая партия «Аграрная партия России»	2585	0	3	5	9	13	14	23	29	16	21	14	21	11	7	21	11	23	22	18	26	20	25	18	32	19	36	32	26	48	63	24	15	18	13	15	24	25	31	28	20	32	37	28	22	18	22	39	32	34	25	25	29	36	30	28	23	27	16	42	20	21	29	25	44	70	41	26	14	33	32	27	15	19	16	23	30	26	28	33	46	27	26	43	39	37	28	29	33	26	19	21	18	26	33	35	2	39	18	11	36	0	37					
		2.16%	0.00%	0.71%	1.63%	1.18%	1.32%	1.36%	2.17%	2.09%	2.18%	2.35%	2.35%	1.61%	1.57%	1.47%	2.34%	1.48%	2.31%	2.46%	1.74%	3.08%	1.70%	1.98%	1.79%	3.48%	1.66%	2.13%	2.16%	2.14%	3.08%	4.23%	2.10%	1.86%	1.93%	1.60%	1.51%	2.04%	2.20%	2.36%	2.52%	1.43%	2.06%	2.84%	2.60%	1.93%	1.40%	1.62%	2.78%	2.11%	2.57%	1.99%	2.08%	1.93%	2.68%	1.93%	1.80%	1.63%	1.84%	1.24%	3.17%	1.69%	1.22%	2.40%	3.28%	2.67%	4.09%	2.44%	2.01%	1.41%	1.90%	2.33%	1.87%	0.99%	1.88%	1.61%	2.29%	1.86%	2.23%	2.40%	2.37%	2.88%	1.81%	2.44%	3.03%	2.89%	2.87%	2.30%	1.93%	2.44%	1.94%	2.33%	1.65%	1.80%	2.54%	2.70%	1.75%	0.67%	2.88%	1.45%	1.77%	2.40%	0.00%	2.46%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6678	2	17	7	38	39	48	64	86	28	31	23	74	60	34	35	38	51	68	55	58	82	93	40	50	98	140	98	69	68	97	76	36	55	33	22	58	79	70	39	86	94	62	54	71	72	73	79	95	65	60	68	57	83	94	81	92	91	72	49	41	79	55	53	91	90	82	76	57	95	84	74	93	46	64	75	110	76	44	98	112	79	82	67	89	45	56	52	60	47	39	50	56	66	84	152	3	20	99	38	146	2	94					
		5.57%	6.06%	4.05%	2.28%	4.97%	3.97%	4.67%	6.03%	6.19%	3.82%	3.48%	3.86%	5.67%	8.56%	7.13%	3.91%	5.12%	5.13%	7.61%	5.30%	6.86%	6.97%	7.36%	3.98%	5.43%	8.57%	8.29%	6.62%	5.69%	4.37%	6.51%	6.65%	4.46%	5.88%	4.05%	2.21%	4.93%	6.95%	5.33%	3.51%	6.14%	6.06%	4.77%	5.02%	6.22%	5.62%	5.36%	5.63%	6.26%	4.91%	4.80%	5.67%	3.78%	6.19%	6.06%	5.20%	6.50%	6.20%	5.58%	3.70%	3.47%	4.58%	4.56%	6.96%	5.52%	5.26%	4.88%	5.87%	5.75%	5.46%	6.10%	5.11%	6.19%	4.55%	6.45%	7.46%	6.83%	6.53%	3.78%	7.05%	7.00%	5.30%	7.70%	4.73%	6.60%	3.49%	4.59%	3.45%	4.43%	3.52%	4.77%	3.94%	5.61%	6.46%	6.86%	7.62%	1.01%	1.48%	7.99%	6.11%	9.72%	4.00%	6.25%					
20	3.Политическая партия «Демократическая партия России»	219	0	1	0	2	0	3	1	5	1	2	1	4	0	0	1	0	1	1	1	5	2	2	3	1	4	1	2	2	2	0	2	1	2	2	1	2	3	4	3	1	2	5	2	2	2	0	3	3	2	0	0	0	3	5	4	2	3	1	1	2	4	2	1	1	3	2	1	2	6	3	1	3	2	2	0	2	3	7	4	5	3	4	4	0	4	3	3	4	4	1	3	1	2	2	5	3	2	1	2	1	0	2					
		0.18%	0.00%	0.24%	0.00%	0.26%	0.00%	0.29%	0.09%	0.36%	0.14%	0.22%	0.17%	0.31%	0.00%	0.00%	0.11%	0.00%	0.10%	0.11%	0.10%	0.59%	0.17%	0.16%	0.30%	0.11%	0.35%	0.06%	0.14%	0.16%	0.13%	0.00%	0.17%	0.12%	0.21%	0.25%	0.10%	0.17%	0.26%	0.30%	0.27%	0.07%	0.13%	0.38%	0.19%	0.18%	0.16%	0.00%	0.21%	0.20%	0.15%	0.00%	0.00%	0.00%	0.22%	0.32%	0.26%	0.14%	0.20%	0.08%	0.08%	0.17%	0.23%	0.17%	0.13%	0.06%	0.18%	0.12%	0.08%	0.20%	0.34%	0.22%	0.07%	0.20%	0.20%	0.20%	0.00%	0.12%	0.26%	0.60%	0.29%	0.31%	0.20%	0.38%	0.28%	0.00%	0.31%	0.25%	0.20%	0.30%	0.30%	0.12%	0.24%	0.10%	0.20%	0.16%	0.25%	1.01%	0.15%	0.08%	0.32%	0.07%	0.00%	0.13%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	9801	1	33	25	52	67	95	68	109	56	69	40	127	69	47	97	53	90	87	76	78	110	102	58	100	70	154	133	134	134	118	108	60	61	46	81	106	82	101	97	90	148	106	93	97	94	86	119	110	107	112	94	104	123	122	144	95	127	92	109	91	139	88	54	212	132	148	104	80	159	131	90	90	64	73	109	138	142	98	108	186	138	81	130	106	102	110	90	123	107	63	102	79	81	95	94	8	83	122	47	118	2	118					
		8.18%	3.03%	7.86%	8.14%	6.80%	6.82%	9.24%	6.40%	7.84%	7.64%	7.74%	6.71%	9.73%	9.84%	9.85%	10.83%	7.14%	9.05%	9.73%	7.33%	9.23%	9.35%	8.07%	5.77%	10.87%	6.12%	9.12%	8.99%	11.05%	8.61%	7.91%	9.45%	7.43%	6.52%	5.65%	8.13%	9.01%	7.21%	7.69%	8.74%	6.43%	9.54%	8.15%	8.64%	8.50%	7.33%	6.32%	8.49%	7.25%	8.08%	8.95%	7.83%	6.91%	9.17%	7.87%	9.24%	6.71%	8.66%	7.13%	8.22%	7.71%	8.06%	7.29%	7.09%	12.85%	7.72%	8.80%	8.04%	8.06%	9.14%	9.52%	6.22%	5.99%	6.34%	7.35%	10.83%	8.57%	12.20%	8.41%	7.77%	11.63%	9.26%	7.61%	9.17%	7.86%	7.92%	9.02%	5.98%	9.08%	8.00%	7.71%	8.04%	7.91%	7.93%	7.76%	4.71%	2.69%	6.13%	9.85%	7.56%	7.86%	4.00%	7.85%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3606	0	11	7	15	18	27	26	49	18	22	14	47	16	16	18	18	22	35	33	18	49	35	20	31	25	78	34	37	49	58	44	21	16	30	33	43	32	44	46	62	45	44	27	49	36	36	24	32	49	23	40	44	32	44	33	34	42	39	22	30	28	15	25	66	71	60	26	27	49	35	46	48	17	38	49	58	53	45	75	84	36	45	73	27	29	37	26	46	42	22	41	41	54	29	39	0	14	41	16	44	0	47					
		3.01%	0.00%	2.62%	2.28%	1.96%	1.83%	2.63%	2.45%	3.53%	2.46%	2.47%	2.35%	3.60%	2.28%	3.35%	2.01%	2.43%	2.21%	3.91%	3.18%	2.13%	4.16%	2.77%	1.99%	3.37%	2.19%	4.62%	2.30%	3.05%	3.15%	3.89%	3.85%	2.60%	1.71%	3.69%	3.31%	3.66%	2.81%	3.35%	4.14%	4.43%	2.90%	3.38%	2.51%	4.29%	2.81%	2.65%	1.71%	2.11%	3.70%	1.84%	3.33%	2.92%	2.39%	2.84%	2.12%	2.40%	2.86%	3.02%	1.66%	2.54%	1.62%	1.24%	3.28%	4.00%	4.15%	3.57%	2.01%	2.72%	2.82%	2.54%	3.18%	3.20%	1.68%	3.83%	4.87%	3.60%	4.55%	3.86%	5.40%	5.25%	2.41%	4.23%	5.15%	2.00%	2.25%	3.03%	1.73%	3.40%	3.14%	2.69%	3.23%	4.10%	5.28%	2.37%	1.95%	0.00%	1.03%	3.31%	2.57%	2.93%	0.00%	3.13%					
23	6.Политическая партия «Партия социальной справедливости»	523	0	1	1	1	2	4	4	9	2	8	1	8	0	3	2	2	4	8	3	9	6	6	3	6	3	8	5	3	8	12	3	7	6	4	5	4	4	5	8	3	8	4	2	6	0	6	4	3	6	6	7	10	4	6	5	6	5	10	6	4	2	8	0	3	9	3	6	2	5	8	7	5	4	4	6	12	9	7	5	4	5	5	4	11	3	5	1	9	4	3	11	6	6	7	17	1	7	5	3	4	0	8					
		0.44%	0.00%	0.24%	0.33%	0.13%	0.20%	0.39%	0.38%	0.65%	0.27%	0.90%	0.17%	0.61%	0.00%	0.63%	0.22%	0.27%	0.40%	0.89%	0.29%	1.07%	0.51%	0.47%	0.30%	0.65%	0.26%	0.47%	0.34%	0.25%	0.51%	0.80%	0.26%	0.87%	0.64%	0.49%	0.50%	0.34%	0.35%	0.38%	0.72%	0.21%	0.52%	0.31%	0.19%	0.53%	0.00%	0.44%	0.29%	0.20%	0.45%	0.48%	0.58%	0.66%	0.30%	0.39%	0.32%	0.42%	0.34%	0.77%	0.45%	0.34%	0.12%	0.66%	0.00%	0.18%	0.53%	0.18%	0.46%	0.20%	0.29%	0.58%	0.48%	0.33%	0.40%	0.40%	0.60%	0.74%	0.77%	0.60%	0.36%	0.25%	0.34%	0.47%	0.28%	0.82%	0.23%	0.41%	0.07%	0.66%	0.30%	0.37%	0.87%	0.60%	0.59%	0.57%	0.85%	0.34%	0.52%	0.40%	0.48%	0.27%	0.00%	0.53%					
24	7.Политическая партия «Либерально-демократическая партия России»	11510	0	44	37	73	110	95	116	140	76	77	52	113	74	36	105	70	97	76	94	72	94	118	122	79	138	156	137	111	142	128	94	92	100	96	96	126	117	122	96	146	133	112	101	111	123	146	142	148	139	101	106	140	125	178	136	135	149	122	140	110	220	115	60	134	166	150	126	100	152	141	119	144	121	109	88	153	97	104	109	103	134	108	137	137	151	137	145	152	131	75	117	68	109	106	242	2	116	114	65	132	6	151					
		9.60%	0.00%	10.48%	12.05%	9.54%	11.20%	9.24%	10.92%	10.07%	10.37%	8.63%	8.72%	8.66%	10.56%	7.55%	11.72%	9.43%	9.76%	8.50%	9.06%	8.52%	7.99%	9.34%	12.13%	8.59%	12.06%	9.24%	9.26%	9.15%	9.12%	8.58%	8.22%	11.39%	10.70%	11.79%	9.64%	10.71%	10.29%	9.28%	8.65%	10.43%	8.58%	8.61%	9.39%	9.73%	9.59%	10.73%	10.13%	9.76%	10.49%	8.07%	8.83%	9.30%	9.32%	11.48%	8.72%	9.54%	10.16%	9.45%	10.56%	9.31%	12.76%	9.53%	7.87%	8.12%	9.71%	8.92%	9.74%	10.08%	8.74%	10.25%	8.22%	9.59%	11.98%	10.98%	8.75%	9.50%	8.33%	8.93%	7.84%	6.44%	8.99%	10.14%	9.67%	10.16%	11.72%	11.23%	9.63%	11.23%	9.80%	9.18%	9.22%	6.81%	10.67%	8.66%	12.12%	0.67%	8.57%	9.21%	10.45%	8.79%	12.00%	10.05%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	10312	1	34	20	48	62	93	100	127	60	91	63	159	50	45	90	68	60	71	101	74	132	101	88	95	106	127	140	119	151	140	93	43	80	73	83	84	100	129	109	135	162	112	85	112	127	130	113	109	119	118	101	117	118	124	130	159	112	127	93	110	110	97	69	127	142	163	116	63	185	107	143	125	74	62	74	142	101	92	128	144	124	85	142	112	103	93	118	130	116	52	101	89	99	128	128	6	78	106	55	120	3	137					
		8.60%	3.03%	8.10%	6.51%	6.27%	6.31%	9.05%	9.42%	9.14%	8.19%	10.20%	10.57%	12.18%	7.13%	9.43%	10.04%	9.16%	6.04%	7.94%	9.74%	8.76%	11.21%	7.99%	8.75%	10.33%	9.27%	7.52%	9.46%	9.81%	9.70%	9.39%	8.14%	5.32%	8.56%	8.97%	8.33%	7.14%	8.80%	9.82%	9.82%	9.64%	10.44%	8.61%	7.90%	9.82%	9.91%	9.55%	8.06%	7.19%	8.98%	9.43%	8.42%	7.77%	8.80%	7.99%	8.34%	11.24%	7.63%	9.84%	7.01%	9.31%	6.38%	8.04%	9.06%	7.70%	8.30%	9.70%	8.96%	6.35%	10.63%	7.78%	9.88%	8.32%	7.33%	6.24%	7.36%	8.81%	8.68%	7.90%	9.21%	9.00%	8.32%	7.98%	10.02%	8.31%	7.99%	7.62%	7.84%	9.60%	8.68%	6.36%	7.96%	8.91%	9.69%	10.46%	6.41%	2.02%	5.76%	8.56%	8.84%	7.99%	6.00%	9.12%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1023	0	2	3	1	5	7	4	13	6	4	5	3	7	3	8	6	7	3	9	9	5	10	17	10	8	21	15	23	19	19	8	6	7	3	7	12	15	11	11	12	17	6	7	4	8	13	9	11	16	7	11	12	11	8	11	6	10	12	7	8	19	10	7	11	14	20	18	10	20	14	10	6	4	15	7	12	4	8	15	19	14	11	12	20	22	4	12	24	12	9	15	5	11	11	21	3	5	6	5	10	0	10					
		0.85%	0.00%	0.48%	0.98%	0.13%	0.51%	0.68%	0.38%	0.94%	0.82%	0.45%	0.84%	0.23%	0.99%	0.63%	0.89%	0.81%	0.70%	0.34%	0.87%	1.07%	0.42%	0.79%	1.69%	1.09%	0.70%	1.24%	1.01%	1.90%	1.22%	1.27%	0.70%	0.74%	0.75%	0.37%	0.70%	1.02%	1.32%	0.84%	0.99%	0.86%	1.10%	0.46%	0.65%	0.35%	0.62%	0.96%	0.64%	0.73%	1.21%	0.56%	0.92%	0.80%	0.82%	0.52%	0.71%	0.42%	0.68%	0.93%	0.53%	0.68%	1.10%	0.83%	0.92%	0.67%	0.82%	1.19%	1.39%	1.01%	1.15%	1.02%	0.69%	0.40%	0.40%	1.51%	0.70%	0.74%	0.34%	0.69%	1.08%	1.19%	0.94%	1.03%	0.85%	1.48%	1.71%	0.33%	0.80%	1.77%	0.90%	1.10%	1.18%	0.50%	1.08%	0.90%	1.05%	1.01%	0.37%	0.48%	0.80%	0.67%	0.00%	0.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	68236	28	264	186	501	637	604	601	753	446	522	363	694	370	250	478	445	593	461	597	456	612	722	599	474	610	905	818	637	864	799	639	488	542	466	617	659	621	733	626	785	826	747	625	611	744	785	804	907	709	734	690	935	752	861	925	811	839	765	814	724	1043	749	430	893	941	945	743	585	927	756	876	929	639	564	528	858	586	681	731	806	851	558	757	758	750	704	982	708	788	510	753	583	517	668	1131	265	955	672	359	812	37	835					
