Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Заволжская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	182	18	10	18	25	3	6	5	3	0	5	1	2	13	1	2	4	2	15	1	9	2	1	0	11	3	1	15	6					
		1.80%	1.72%	1.10%	1.53%	2.24%	0.61%	1.02%	1.08%	1.13%	0.0%	5.20%	0.70%	1.81%	3.03%	0.91%	1.58%	2.27%	1.49%	3.33%	1.35%	2.54%	1.80%	0.50%	0.0%	2.66%	6.66%	1.38%	2.52%	2.51%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	86	8	10	8	13	5	3	1	2	1	2	1	0	7	0	1	1	2	6	0	1	0	0	0	7	0	0	4	3					
		0.85%	0.76%	1.10%	0.68%	1.16%	1.03%	0.51%	0.21%	0.75%	1.19%	2.08%	0.70%	0.0%	1.63%	0.0%	0.79%	0.56%	1.49%	1.33%	0.0%	0.28%	0.0%	0.0%	0.0%	1.69%	0.0%	0.0%	0.67%	1.25%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	397	55	46	46	37	27	27	18	4	0	3	2	2	14	7	9	8	8	11	0	12	1	9	8	10	1	2	20	10					
		3.94%	5.27%	5.06%	3.92%	3.31%	5.56%	4.63%	3.90%	1.51%	0.0%	3.12%	1.40%	1.81%	3.27%	6.42%	7.14%	4.54%	5.97%	2.44%	0.0%	3.38%	0.90%	4.52%	10.0%	2.42%	2.22%	2.77%	3.37%	4.18%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	268	41	33	38	22	14	19	12	12	0	1	6	2	2	1	4	3	3	12	0	5	0	0	3	6	0	0	23	6					
		2.66%	3.93%	3.63%	3.24%	1.97%	2.88%	3.25%	2.60%	4.54%	0.0%	1.04%	4.22%	1.81%	0.46%	0.91%	3.17%	1.70%	2.23%	2.66%	0.0%	1.41%	0.0%	0.0%	3.75%	1.45%	0.0%	0.0%	3.87%	2.51%					
22	"5. ""За Русь Святую"""	69	3	2	9	9	1	0	4	3	0	1	1	0	1	0	0	0	2	5	0	13	0	0	0	6	0	5	2	2					
		0.68%	0.28%	0.22%	0.76%	0.80%	0.20%	0.0%	0.86%	1.13%	0.0%	1.04%	0.70%	0.0%	0.23%	0.0%	0.0%	0.0%	1.49%	1.11%	0.0%	3.67%	0.0%	0.0%	0.0%	1.45%	0.0%	6.94%	0.33%	0.83%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	5	0	6	2	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	5	1					
		0.25%	0.47%	0.0%	0.51%	0.17%	0.20%	0.17%	0.0%	0.0%	0.0%	0.0%	0.70%	0.90%	0.0%	0.0%	0.79%	0.0%	0.0%	0.22%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.41%					
24	"7. ""Новый курс - Автомобильная Россия"""	37	5	1	7	1	2	5	4	0	0	0	0	1	3	0	0	0	0	0	0	1	0	1	0	3	0	0	2	1					
		0.36%	0.47%	0.11%	0.59%	0.08%	0.41%	0.85%	0.86%	0.0%	0.0%	0.0%	0.0%	0.90%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.50%	0.0%	0.72%	0.0%	0.0%	0.33%	0.41%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	2	2	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.09%	0.0%	0.0%	0.17%	0.17%	0.41%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	1.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	28	0	3	0	9	3	0	0	0	0	2	0	1	1	1	0	1	0	1	0	1	0	0	0	3	0	0	1	1					
		0.27%	0.0%	0.33%	0.0%	0.80%	0.61%	0.0%	0.0%	0.0%	0.0%	2.08%	0.0%	0.90%	0.23%	0.91%	0.0%	0.56%	0.0%	0.22%	0.0%	0.28%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.16%	0.41%					
27	"10. ""Аграрная партия России"""	802	43	48	57	42	34	18	19	22	2	5	21	8	45	12	9	11	27	34	6	147	37	17	5	55	5	9	47	17					
		7.96%	4.12%	5.28%	4.86%	3.76%	7.01%	3.08%	4.12%	8.33%	2.38%	5.20%	14.78%	7.27%	10.51%	11.00%	7.14%	6.25%	20.14%	7.55%	8.10%	41.52%	33.33%	8.54%	6.25%	13.31%	11.11%	12.5%	7.92%	7.11%					
28	"11. ""Истинные патриоты России"""	32	2	12	0	3	1	2	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	2	0	0	0	1	3					
		0.31%	0.19%	1.32%	0.0%	0.26%	0.20%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.17%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	2.5%	0.0%	0.0%	0.0%	0.16%	1.25%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	126	13	15	19	20	8	3	3	0	0	0	2	1	4	0	1	2	3	7	1	5	1	1	0	4	0	2	5	6					
		1.25%	1.24%	1.65%	1.62%	1.79%	1.64%	0.51%	0.65%	0.0%	0.0%	0.0%	1.40%	0.90%	0.93%	0.0%	0.79%	1.13%	2.23%	1.55%	1.35%	1.41%	0.90%	0.50%	0.0%	0.96%	0.0%	2.77%	0.84%	2.51%					
30	"13. ""Демократическая партия России"""	32	0	5	4	1	0	0	2	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	2	4	1	0	2	6					
		0.31%	0.0%	0.55%	0.34%	0.08%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.28%	0.0%	0.0%	2.5%	0.96%	2.22%	0.0%	0.33%	2.51%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	0	2	4	2	1	1	1	0	0	1	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1					
		0.18%	0.0%	0.22%	0.34%	0.17%	0.20%	0.17%	0.21%	0.0%	0.0%	1.04%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%					
32	"15. ""Партия СЛОН"""	19	3	2	3	1	3	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0					
		0.18%	0.28%	0.22%	0.25%	0.08%	0.61%	0.17%	0.21%	0.0%	0.0%	0.0%	0.0%	0.90%	0.23%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	847	138	95	132	118	41	56	30	10	6	5	15	6	31	3	8	11	1	30	3	10	5	20	8	23	1	0	31	10					
		8.41%	13.23%	10.45%	11.27%	10.57%	8.45%	9.60%	6.50%	3.78%	7.14%	5.20%	10.56%	5.45%	7.24%	2.75%	6.34%	6.25%	0.74%	6.66%	4.05%	2.82%	4.50%	10.05%	10.0%	5.56%	2.22%	0.0%	5.22%	4.18%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	1	1	1	2	0	0	4	0	1	0	1	0	3	1	1	3	1	3	0	1	0	0	0	0	0	0	1	0					
		0.24%	0.09%	0.11%	0.08%	0.17%	0.0%	0.0%	0.86%	0.0%	1.19%	0.0%	0.70%	0.0%	0.70%	0.91%	0.79%	1.70%	0.74%	0.66%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%					
35	"18. ""ЛДПР"""	1204	134	99	121	181	56	70	65	30	17	12	17	6	36	16	10	13	16	71	13	21	14	46	9	39	4	5	55	28					
		11.95%	12.84%	10.89%	10.33%	16.21%	11.54%	12.00%	14.09%	11.36%	20.23%	12.5%	11.97%	5.45%	8.41%	14.67%	7.93%	7.38%	11.94%	15.77%	17.56%	5.93%	12.61%	23.11%	11.25%	9.44%	8.88%	6.94%	9.27%	11.71%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	298	20	26	30	27	12	24	10	4	1	1	5	1	17	2	4	7	3	23	2	5	0	7	5	17	0	2	40	3					
		2.96%	1.91%	2.86%	2.56%	2.41%	2.47%	4.11%	2.16%	1.51%	1.19%	1.04%	3.52%	0.90%	3.97%	1.83%	3.17%	3.97%	2.23%	5.11%	2.70%	1.41%	0.0%	3.51%	6.25%	4.11%	0.0%	2.77%	6.74%	1.25%					
37	"20. ""Политическая партия ""Единая Россия"""	3674	327	287	395	371	199	250	194	128	40	43	44	42	195	51	57	77	57	170	45	74	31	65	15	152	28	30	230	77					
		36.49%	31.35%	31.57%	33.73%	33.24%	41.03%	42.88%	42.08%	48.48%	47.61%	44.79%	30.98%	38.18%	45.56%	46.78%	45.23%	43.75%	42.53%	37.77%	60.81%	20.90%	27.92%	32.66%	18.75%	36.80%	62.22%	41.66%	38.78%	32.21%					
38	"21. ""Российская Конституционно-демократическая партия"""	17	0	0	5	1	1	1	1	0	2	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1					
		0.16%	0.0%	0.0%	0.42%	0.08%	0.20%	0.17%	0.21%	0.0%	2.38%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.90%	0.50%	0.0%	0.0%	0.0%	1.38%	0.0%	0.41%					
39	"22. ""Развитие предпринимательства"""	20	0	5	2	2	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	1	1	1	0	0	0	0	1	1					
		0.19%	0.0%	0.55%	0.17%	0.17%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	2.72%	0.0%	1.83%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.90%	0.50%	0.0%	0.0%	0.0%	0.0%	0.16%	0.41%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1252	172	157	180	152	46	67	60	24	10	4	21	20	25	9	10	20	6	36	2	28	9	14	14	48	0	12	64	42					
		12.43%	16.49%	17.27%	15.37%	13.62%	9.48%	11.49%	13.01%	9.09%	11.90%	4.16%	14.78%	18.18%	5.84%	8.25%	7.93%	11.36%	4.47%	8.0%	2.70%	7.90%	8.10%	7.03%	17.5%	11.62%	0.0%	16.66%	10.79%	17.57%					
																																			
41	Против всех	438	45	38	64	66	22	17	15	16	4	11	2	5	14	3	0	8	3	17	1	11	9	14	9	10	2	2	22	8					
		4.35%	4.31%	4.18%	5.46%	5.91%	4.53%	2.91%	3.25%	6.06%	4.76%	11.45%	1.40%	4.54%	3.27%	2.75%	0.0%	4.54%	2.23%	3.77%	1.35%	3.10%	8.10%	7.03%	11.25%	2.42%	4.44%	2.77%	3.70%	3.34%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
