Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
Наименование Избирательной комиссии:    Муром округ																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046									
		2.56%	2.29%	2.12%	1.84%	2.00%	1.20%	1.96%	2.39%	3.95%	2.46%	0.97%	2.17%	3.72%	2.49%	3.57%	2.64%	3.35%	2.29%	3.89%	2.58%	1.07%	2.87%	2.39%	3.18%	3.49%	2.61%	3.00%	1.79%	2.11%	2.76%	2.64%	3.38%	2.29%	2.56%	2.00%	2.22%	2.24%	2.38%	2.23%	2.84%	2.81%	2.60%	1.63%	3.32%	3.92%	3.77%	1.59%	2.40%	2.14%	2.39%	1.20%	3.08%	1.67%	1.27%	3.34%	2.99%	1.96%	2.87%	2.15%	3.96%	3.32%	2.11%	2.37%	2.71%	2.90%	3.30%	3.56%	2.44%	2.70%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17276	227	315	254	272	348	269	271	356	235	214	329	262	297	165	227	262	209	313	264	267	328	246	221	238	245	209	251	311	292	340	232	302	133	213	260	371	245	256	227	250	360	154	274	282	218	648	129	172	177	256	259	225	80	159	203	359	218	327	307	181	165	163	305	189	286	205	270	179									
		48.32%	52.06%	60.58%	58.39%	49.54%	52.02%	47.86%	46.32%	50.28%	48.16%	51.69%	47.68%	46.37%	49.34%	49.11%	50.00%	48.79%	47.94%	46.86%	52.49%	47.42%	44.81%	48.91%	46.82%	46.12%	45.71%	44.85%	49.80%	46.77%	47.40%	52.80%	46.12%	53.26%	48.72%	60.86%	44.37%	43.70%	48.61%	47.58%	46.04%	50.10%	49.32%	50.33%	50.55%	50.27%	48.34%	54.18%	44.18%	46.11%	47.07%	51.10%	49.90%	47.07%	50.96%	44.29%	38.01%	50.28%	39.14%	41.29%	46.73%	46.17%	43.42%	48.22%	45.93%	45.65%	55.53%	52.16%	43.83%	43.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	381	3	5	0	7	7	8	14	6	4	4	9	6	1	1	5	1	1	8	10	5	11	6	6	5	8	7	3	7	8	7	6	2	6	4	7	14	3	1	9	7	7	2	6	8	3	16	5	2	4	6	3	10	2	2	3	6	7	6	2	6	4	4	3	3	5	4	13	7									
		1.07%	0.69%	0.96%	0.00%	1.28%	1.05%	1.42%	2.39%	0.85%	0.82%	0.97%	1.30%	1.06%	0.17%	0.30%	1.10%	0.19%	0.23%	1.20%	1.99%	0.89%	1.50%	1.19%	1.27%	0.97%	1.49%	1.50%	0.60%	1.05%	1.30%	1.09%	1.19%	0.35%	2.20%	1.14%	1.19%	1.65%	0.60%	0.19%	1.83%	1.40%	0.96%	0.65%	1.11%	1.43%	0.67%	1.34%	1.71%	0.54%	1.06%	1.20%	0.58%	2.09%	1.27%	0.56%	0.56%	0.84%	1.26%	0.76%	0.30%	1.53%	1.05%	1.18%	0.45%	0.72%	0.97%	1.02%	2.11%	1.72%									
24	"6. Политическая партия ""Гражданская Платформа"""	143	2	2	1	0	1	0	1	2	0	3	2	1	2	1	2	0	5	4	0	0	2	3	6	1	5	7	1	2	2	2	0	0	1	3	3	26	0	3	1	1	1	3	2	0	4	8	1	1	1	0	2	3	0	1	1	3	2	1	0	1	1	1	4	0	1	1	2	0									
		0.40%	0.46%	0.38%	0.23%	0.00%	0.15%	0.00%	0.17%	0.28%	0.00%	0.72%	0.29%	0.18%	0.33%	0.30%	0.44%	0.00%	1.15%	0.60%	0.00%	0.00%	0.27%	0.60%	1.27%	0.19%	0.93%	1.50%	0.20%	0.30%	0.32%	0.31%	0.00%	0.00%	0.37%	0.86%	0.51%	3.06%	0.00%	0.56%	0.20%	0.20%	0.14%	0.98%	0.37%	0.00%	0.89%	0.67%	0.34%	0.27%	0.27%	0.00%	0.39%	0.63%	0.00%	0.28%	0.19%	0.42%	0.36%	0.13%	0.00%	0.26%	0.26%	0.30%	0.60%	0.00%	0.19%	0.25%	0.32%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6059	78	101	65	93	100	94	81	98	75	68	112	108	85	46	76	71	78	106	73	82	136	80	63	87	102	94	86	113	104	113	97	85	35	45	93	117	107	86	88	73	129	59	98	95	81	241	70	87	72	94	97	107	29	84	96	103	94	141	115	55	70	48	105	70	70	78	114	63									
		16.95%	17.89%	19.42%	14.94%	16.94%	14.95%	16.73%	13.85%	13.84%	15.37%	16.43%	16.23%	19.12%	14.12%	13.69%	16.74%	13.22%	17.89%	15.87%	14.51%	14.56%	18.58%	15.90%	13.35%	16.86%	19.03%	20.17%	17.06%	16.99%	16.88%	17.55%	19.28%	14.99%	12.82%	12.86%	15.87%	13.78%	21.23%	15.99%	17.85%	14.63%	17.67%	19.28%	18.08%	16.93%	17.96%	20.15%	23.97%	23.32%	19.15%	18.76%	18.69%	22.38%	18.47%	23.40%	17.98%	14.43%	16.88%	17.80%	17.50%	14.03%	18.42%	14.20%	15.81%	16.91%	13.59%	19.85%	18.51%	15.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	331	3	5	5	5	6	6	3	5	2	4	10	6	6	3	6	11	5	5	7	4	2	4	4	4	6	2	4	6	4	5	8	4	0	3	7	9	3	1	3	10	8	0	7	4	5	10	1	1	9	3	4	6	1	3	7	5	3	5	9	4	5	5	7	5	1	3	12	2									
		0.93%	0.69%	0.96%	1.15%	0.91%	0.90%	1.07%	0.51%	0.71%	0.41%	0.97%	1.45%	1.06%	0.99%	0.89%	1.32%	2.05%	1.15%	0.75%	1.39%	0.71%	0.27%	0.80%	0.85%	0.78%	1.12%	0.43%	0.79%	0.90%	0.65%	0.78%	1.59%	0.71%	0.00%	0.86%	1.19%	1.06%	0.60%	0.19%	0.61%	2.00%	1.10%	0.00%	1.29%	0.71%	1.11%	0.84%	0.34%	0.27%	2.39%	0.60%	0.77%	1.26%	0.64%	0.84%	1.31%	0.70%	0.54%	0.63%	1.37%	1.02%	1.32%	1.48%	1.05%	1.21%	0.19%	0.76%	1.95%	0.49%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	459	3	3	9	7	8	7	5	8	4	5	10	10	10	3	12	7	3	11	3	18	7	7	8	8	11	10	5	9	17	4	8	4	3	3	12	10	3	5	7	4	5	5	8	5	3	10	4	2	6	9	11	4	2	3	3	9	6	9	8	3	2	1	10	6	13	4	14	3									
		1.28%	0.69%	0.58%	2.07%	1.28%	1.20%	1.25%	0.85%	1.13%	0.82%	1.21%	1.45%	1.77%	1.66%	0.89%	2.64%	1.30%	0.69%	1.65%	0.60%	3.20%	0.96%	1.39%	1.69%	1.55%	2.05%	2.15%	0.99%	1.35%	2.76%	0.62%	1.59%	0.71%	1.10%	0.86%	2.05%	1.18%	0.60%	0.93%	1.42%	0.80%	0.68%	1.63%	1.48%	0.89%	0.67%	0.84%	1.37%	0.54%	1.60%	1.80%	2.12%	0.84%	1.27%	0.84%	0.56%	1.26%	1.08%	1.14%	1.22%	0.77%	0.53%	0.30%	1.51%	1.45%	2.52%	1.02%	2.27%	0.74%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	78	0	1	0	1	0	2	5	2	0	0	1	2	1	0	0	2	1	1	2	1	2	1	0	2	0	0	0	1	3	2	1	2	0	1	1	9	2	0	3	1	2	0	1	2	1	5	2	0	0	0	0	0	1	0	0	1	3	0	0	1	2	0	0	1	0	1	0	2									
		0.22%	0.00%	0.19%	0.00%	0.18%	0.00%	0.36%	0.85%	0.28%	0.00%	0.00%	0.14%	0.35%	0.17%	0.00%	0.00%	0.37%	0.23%	0.15%	0.40%	0.18%	0.27%	0.20%	0.00%	0.39%	0.00%	0.00%	0.00%	0.15%	0.49%	0.31%	0.20%	0.35%	0.00%	0.29%	0.17%	1.06%	0.40%	0.00%	0.61%	0.20%	0.27%	0.00%	0.18%	0.36%	0.22%	0.42%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.14%	0.54%	0.00%	0.00%	0.26%	0.53%	0.00%	0.00%	0.24%	0.00%	0.25%	0.00%	0.49%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	440	5	5	4	3	9	12	4	12	4	7	14	10	7	4	4	7	6	16	11	12	11	10	7	12	9	5	10	14	4	5	3	3	0	0	7	9	6	7	11	5	9	4	8	8	4	6	3	1	2	5	5	2	2	1	9	5	5	8	7	3	5	8	6	7	6	6	7	4									
		1.23%	1.15%	0.96%	0.92%	0.55%	1.35%	2.14%	0.68%	1.69%	0.82%	1.69%	2.03%	1.77%	1.16%	1.19%	0.88%	1.30%	1.38%	2.40%	2.19%	2.13%	1.50%	1.99%	1.48%	2.33%	1.68%	1.07%	1.98%	2.11%	0.65%	0.78%	0.60%	0.53%	0.00%	0.00%	1.19%	1.06%	1.19%	1.30%	2.23%	1.00%	1.23%	1.31%	1.48%	1.43%	0.89%	0.50%	1.03%	0.27%	0.53%	0.99%	0.96%	0.42%	1.27%	0.28%	1.69%	0.70%	0.90%	1.01%	1.07%	0.77%	1.32%	2.37%	0.90%	1.69%	1.17%	1.53%	1.14%	0.98%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3801	50	22	33	75	68	60	67	81	76	41	60	54	64	36	42	60	38	55	40	52	87	54	47	56	50	63	75	91	77	61	56	83	49	34	92	75	65	72	46	45	68	28	60	47	43	64	26	37	35	50	61	41	12	35	91	66	86	106	62	51	38	33	76	42	44	23	70	54									
		10.63%	11.47%	4.23%	7.59%	13.66%	10.16%	10.68%	11.45%	11.44%	15.57%	9.90%	8.70%	9.56%	10.63%	10.71%	9.25%	11.17%	8.72%	8.23%	7.95%	9.24%	11.89%	10.74%	9.96%	10.85%	9.33%	13.52%	14.88%	13.68%	12.50%	9.47%	11.13%	14.64%	17.95%	9.71%	15.70%	8.83%	12.90%	13.38%	9.33%	9.02%	9.32%	9.15%	11.07%	8.38%	9.53%	5.35%	8.90%	9.92%	9.31%	9.98%	11.75%	8.58%	7.64%	9.75%	17.04%	9.24%	15.44%	13.38%	9.44%	13.01%	10.00%	9.76%	11.45%	10.14%	8.54%	5.85%	11.36%	13.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	123	0	1	2	4	6	1	1	1	1	3	3	2	2	3	0	2	1	2	0	5	1	0	0	2	0	1	3	2	0	0	2	2	0	0	5	4	2	3	1	2	6	1	2	1	2	6	0	2	1	1	2	1	1	0	2	0	0	4	2	4	0	1	2	2	3	2	1	4									
		0.34%	0.00%	0.19%	0.46%	0.73%	0.90%	0.18%	0.17%	0.14%	0.20%	0.72%	0.43%	0.35%	0.33%	0.89%	0.00%	0.37%	0.23%	0.30%	0.00%	0.89%	0.14%	0.00%	0.00%	0.39%	0.00%	0.21%	0.60%	0.30%	0.00%	0.00%	0.40%	0.35%	0.00%	0.00%	0.85%	0.47%	0.40%	0.56%	0.20%	0.40%	0.82%	0.33%	0.37%	0.18%	0.44%	0.50%	0.00%	0.54%	0.27%	0.20%	0.39%	0.21%	0.64%	0.00%	0.37%	0.00%	0.00%	0.51%	0.30%	1.02%	0.00%	0.30%	0.30%	0.48%	0.58%	0.51%	0.16%	0.98%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2753	17	22	24	38	33	39	71	47	38	27	62	36	65	33	44	53	43	71	46	54	60	41	49	42	43	23	21	60	46	32	24	33	15	22	49	60	32	52	43	51	42	22	28	46	35	70	13	24	22	36	27	29	7	19	75	58	73	92	53	39	32	38	58	35	25	14	50	30									
		7.70%	3.90%	4.23%	5.52%	6.92%	4.93%	6.94%	12.14%	6.64%	7.79%	6.52%	8.99%	6.37%	10.80%	9.82%	9.69%	9.87%	9.86%	10.63%	9.15%	9.59%	8.20%	8.15%	10.38%	8.14%	8.02%	4.94%	4.17%	9.02%	7.47%	4.97%	4.77%	5.82%	5.49%	6.29%	8.36%	7.07%	6.35%	9.67%	8.72%	10.22%	5.75%	7.19%	5.17%	8.20%	7.76%	5.85%	4.45%	6.43%	5.85%	7.19%	5.20%	6.07%	4.46%	5.29%	14.04%	8.12%	13.11%	11.62%	8.07%	9.95%	8.42%	11.24%	8.73%	8.45%	4.85%	3.56%	8.12%	7.35%									
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
