Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Ижевск, Первомайская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1525	30	40	30	30	20	20	20	30	20	30	10	20	30	40	20	40	20	50	40	50	30	30	30	20	40	30	20	20	30	20	20	30	20	20	20	20	20	20	30	30	20	40	40	30	20	60	30	20	20	30	20	10	45	30	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	859	21	23	21	15	14	16	15	16	14	11	3	16	17	20	7	18	9	43	17	30	18	14	16	3	22	18	5	9	13	11	9	23	6	10	14	7	2	4	25	28	15	35	25	15	7	42	21	12	10	17	10	0	29	12	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	807	28	9	10	9	11	8	11	15	5	10	9	8	5	22	7	8	16	11	23	9	7	10	10	10	16	4	11	2	18	14	20	8	12	12	10	12	10	4	11	8	13	32	19	39	89	8	63	13	8	8	20	6	17	4	19	6									
14	Число погашенных неиспользованных открепительных удостоверений	666	9	17	9	15	6	4	5	14	6	19	7	4	13	20	13	22	11	7	23	20	12	16	14	17	18	12	15	11	17	9	11	7	14	10	6	13	18	16	5	2	5	5	15	15	13	18	9	8	10	13	10	10	16	18	14	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	0	0	1	0	0	3	1	5	0	1	0	0	0	3	1	1	0	1	2	1	0	0	2	1	1	0	0	1	1	0	0	2	1	0	0	1	0	0	2	1	1	0	1	0	0	1	0	1	0	1	0	0	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	558	9	20	14	9	6	5	4	9	7	12	12	7	8	19	4	8	4	25	19	19	12	20	12	6	10	12	8	1	12	12	1	14	3	6	3	4	11	2	20	18	14	13	19	12	9	9	11	0	7	7	14	5	16	7	7	1									
		1.58%	1.71%	2.16%	1.67%	1.44%	1.19%	0.96%	0.58%	1.37%	1.15%	1.86%	2.86%	1.20%	1.38%	2.04%	0.86%	0.92%	1.15%	2.46%	1.88%	2.03%	1.36%	2.51%	1.24%	1.42%	1.32%	1.39%	2.13%	0.39%	1.86%	1.89%	0.40%	1.98%	0.76%	2.36%	0.89%	0.73%	1.85%	0.50%	2.63%	2.13%	1.69%	1.47%	1.70%	1.65%	1.86%	0.85%	1.38%	0.00%	1.57%	1.04%	2.84%	2.75%	1.55%	1.42%	2.08%	1.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	647	11	5	13	15	12	8	7	14	15	13	7	8	7	17	10	15	13	15	18	15	19	16	25	6	9	22	4	4	12	11	3	12	7	5	7	10	15	20	17	18	17	16	16	15	3	21	15	4	8	4	11	3	21	7	3	3									
		1.83%	2.09%	0.54%	1.55%	2.41%	2.38%	1.53%	1.02%	2.12%	2.47%	2.02%	1.67%	1.37%	1.21%	1.83%	2.16%	1.73%	3.72%	1.47%	1.78%	1.60%	2.15%	2.01%	2.58%	1.42%	1.19%	2.56%	1.06%	1.56%	1.86%	1.73%	1.20%	1.70%	1.78%	1.97%	2.08%	1.81%	2.52%	5.04%	2.24%	2.13%	2.06%	1.81%	1.43%	2.06%	0.62%	1.98%	1.88%	1.37%	1.79%	0.59%	2.23%	1.65%	2.03%	1.42%	0.89%	4.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	802	15	22	20	18	11	13	18	17	16	16	4	15	15	30	11	25	7	23	17	31	22	20	18	5	11	19	6	5	20	17	5	17	5	7	7	10	3	7	17	27	20	13	31	14	11	19	25	10	7	14	7	6	14	8	9	2									
		2.27%	2.85%	2.38%	2.38%	2.89%	2.18%	2.49%	2.62%	2.58%	2.63%	2.48%	0.95%	2.56%	2.59%	3.23%	2.38%	2.88%	2.01%	2.26%	1.68%	3.32%	2.49%	2.51%	1.86%	1.18%	1.45%	2.21%	1.60%	1.95%	3.10%	2.68%	1.99%	2.41%	1.27%	2.76%	2.08%	1.81%	0.50%	1.76%	2.24%	3.20%	2.42%	1.47%	2.78%	1.92%	2.27%	1.79%	3.13%	3.41%	1.57%	2.07%	1.42%	3.30%	1.36%	1.62%	2.68%	2.78%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14360	219	354	330	226	184	197	233	251	220	213	171	228	216	353	189	340	151	362	373	393	343	310	396	215	301	373	200	119	249	245	125	302	195	104	141	207	321	178	293	313	368	375	440	317	229	386	341	136	173	294	239	111	407	237	150	24									
		40.66%	41.56%	38.27%	39.33%	36.28%	36.44%	37.67%	33.97%	38.09%	36.18%	33.07%	40.81%	38.97%	37.24%	37.96%	40.82%	39.17%	43.27%	35.59%	36.93%	42.03%	38.84%	38.90%	40.91%	50.95%	39.66%	43.32%	53.19%	46.30%	38.54%	38.58%	49.80%	42.78%	49.49%	40.94%	41.84%	37.57%	53.86%	44.84%	38.55%	37.04%	44.55%	42.42%	39.43%	43.54%	47.22%	36.31%	42.73%	46.42%	38.70%	43.56%	48.48%	60.99%	39.40%	47.98%	44.64%	33.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	334	5	11	5	8	5	6	11	7	8	6	4	1	8	13	4	6	3	11	8	7	13	4	10	3	9	3	3	1	8	8	1	6	4	1	6	4	5	0	7	8	4	10	11	5	2	3	12	3	7	7	9	1	12	2	4	1									
		0.95%	0.95%	1.19%	0.60%	1.28%	0.99%	1.15%	1.60%	1.06%	1.32%	0.93%	0.95%	0.17%	1.38%	1.40%	0.86%	0.69%	0.86%	1.08%	0.79%	0.75%	1.47%	0.50%	1.03%	0.71%	1.19%	0.35%	0.80%	0.39%	1.24%	1.26%	0.40%	0.85%	1.02%	0.39%	1.78%	0.73%	0.84%	0.00%	0.92%	0.95%	0.48%	1.13%	0.99%	0.69%	0.41%	0.28%	1.50%	1.02%	1.57%	1.04%	1.83%	0.55%	1.16%	0.40%	1.19%	1.39%									
24	"6. Политическая партия ""Гражданская Платформа"""	145	4	8	7	2	3	4	2	5	2	6	1	3	2	0	4	1	0	4	5	4	2	1	5	0	7	3	4	0	2	1	2	2	1	2	1	2	2	0	2	3	1	6	1	1	3	0	5	0	4	2	1	0	8	2	2	0									
		0.41%	0.76%	0.86%	0.83%	0.32%	0.59%	0.76%	0.29%	0.76%	0.33%	0.93%	0.24%	0.51%	0.34%	0.00%	0.86%	0.12%	0.00%	0.39%	0.50%	0.43%	0.23%	0.13%	0.52%	0.00%	0.92%	0.35%	1.06%	0.00%	0.31%	0.16%	0.80%	0.28%	0.25%	0.79%	0.30%	0.36%	0.34%	0.00%	0.26%	0.36%	0.12%	0.68%	0.09%	0.14%	0.62%	0.00%	0.63%	0.00%	0.89%	0.30%	0.20%	0.00%	0.77%	0.40%	0.60%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4507	59	121	106	83	75	67	82	68	66	97	47	55	61	109	60	103	55	133	116	100	98	100	118	89	107	118	54	54	64	98	36	85	69	33	31	57	86	67	98	115	77	111	146	96	56	133	99	48	64	91	37	23	143	66	58	19									
		12.76%	11.20%	13.08%	12.63%	13.32%	14.85%	12.81%	11.95%	10.32%	10.86%	15.06%	11.22%	9.40%	10.52%	11.72%	12.96%	11.87%	15.76%	13.08%	11.49%	10.70%	11.10%	12.55%	12.19%	21.09%	14.10%	13.70%	14.36%	21.01%	9.91%	15.43%	14.34%	12.04%	17.51%	12.99%	9.20%	10.34%	14.43%	16.88%	12.89%	13.61%	9.32%	12.56%	13.08%	13.19%	11.55%	12.51%	12.41%	16.38%	14.32%	13.48%	7.51%	12.64%	13.84%	13.36%	17.26%	26.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	407	7	19	9	7	6	10	6	9	6	5	6	7	8	11	7	15	7	22	10	11	12	5	17	4	7	5	3	1	8	9	1	7	6	6	3	11	5	1	6	13	9	10	7	7	4	15	3	1	4	6	3	0	15	4	1	0									
		1.15%	1.33%	2.05%	1.07%	1.12%	1.19%	1.91%	0.87%	1.37%	0.99%	0.78%	1.43%	1.20%	1.38%	1.18%	1.51%	1.73%	2.01%	2.16%	0.99%	1.18%	1.36%	0.63%	1.76%	0.95%	0.92%	0.58%	0.80%	0.39%	1.24%	1.42%	0.40%	0.99%	1.52%	2.36%	0.89%	1.99%	0.84%	0.25%	0.79%	1.54%	1.09%	1.13%	0.63%	0.96%	0.82%	1.41%	0.38%	0.34%	0.89%	0.89%	0.61%	0.00%	1.45%	0.81%	0.30%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	945	16	29	25	22	14	10	22	16	11	11	20	29	21	23	15	15	3	45	42	25	21	40	23	5	22	10	4	3	8	14	4	19	0	12	13	5	9	7	14	19	20	25	36	20	8	32	27	4	7	8	13	4	44	20	10	1									
		2.68%	3.04%	3.14%	2.98%	3.53%	2.77%	1.91%	3.21%	2.43%	1.81%	1.71%	4.77%	4.96%	3.62%	2.47%	3.24%	1.73%	0.86%	4.42%	4.16%	2.67%	2.38%	5.02%	2.38%	1.18%	2.90%	1.16%	1.06%	1.17%	1.24%	2.20%	1.59%	2.69%	0.00%	4.72%	3.86%	0.91%	1.51%	1.76%	1.84%	2.25%	2.42%	2.83%	3.23%	2.75%	1.65%	3.01%	3.38%	1.37%	1.57%	1.19%	2.64%	2.20%	4.26%	4.05%	2.98%	1.39%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	48	1	0	0	0	0	1	1	0	2	1	0	1	0	1	0	1	0	1	3	1	1	0	3	1	0	1	1	0	0	1	0	1	0	0	2	0	1	1	2	2	4	1	0	1	1	1	1	1	1	2	1	0	1	2	0	0									
		0.14%	0.19%	0.00%	0.00%	0.00%	0.00%	0.19%	0.15%	0.00%	0.33%	0.16%	0.00%	0.17%	0.00%	0.11%	0.00%	0.12%	0.00%	0.10%	0.30%	0.11%	0.11%	0.00%	0.31%	0.24%	0.00%	0.12%	0.27%	0.00%	0.00%	0.16%	0.00%	0.14%	0.00%	0.00%	0.59%	0.00%	0.17%	0.25%	0.26%	0.24%	0.48%	0.11%	0.00%	0.14%	0.21%	0.09%	0.13%	0.34%	0.22%	0.30%	0.20%	0.00%	0.10%	0.40%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	968	13	21	20	17	14	27	23	30	23	17	27	36	14	17	6	23	8	34	44	27	27	30	19	6	26	18	6	6	26	18	3	14	4	11	17	22	8	5	26	11	23	14	17	20	9	27	26	6	10	21	7	1	22	13	8	0									
		2.74%	2.47%	2.27%	2.38%	2.73%	2.77%	5.16%	3.35%	4.55%	3.78%	2.64%	6.44%	6.15%	2.41%	1.83%	1.30%	2.65%	2.29%	3.34%	4.36%	2.89%	3.06%	3.76%	1.96%	1.42%	3.43%	2.09%	1.60%	2.33%	4.02%	2.83%	1.20%	1.98%	1.02%	4.33%	5.04%	3.99%	1.34%	1.26%	3.42%	1.30%	2.78%	1.58%	1.52%	2.75%	1.86%	2.54%	3.26%	2.05%	2.24%	3.11%	1.42%	0.55%	2.13%	2.63%	2.38%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5301	95	133	116	107	88	79	140	103	112	105	65	123	96	150	81	133	49	147	143	132	125	109	153	41	93	120	45	33	101	94	36	107	51	34	49	103	63	64	120	119	125	109	187	102	62	203	130	38	81	82	67	12	140	59	38	9									
		15.01%	18.03%	14.38%	13.83%	17.17%	17.43%	15.11%	20.41%	15.63%	18.42%	16.30%	15.51%	21.03%	16.55%	16.13%	17.49%	15.32%	14.04%	14.45%	14.16%	14.12%	14.16%	13.68%	15.81%	9.72%	12.25%	13.94%	11.97%	12.84%	15.63%	14.80%	14.34%	15.16%	12.94%	13.39%	14.54%	18.69%	10.57%	16.12%	15.79%	14.08%	15.13%	12.33%	16.76%	14.01%	12.78%	19.10%	16.29%	12.97%	18.12%	12.15%	13.59%	6.59%	13.55%	11.94%	11.31%	12.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	472	8	10	15	17	18	8	10	10	10	8	6	8	11	14	8	6	5	21	13	14	15	13	11	2	7	8	1	2	14	4	2	11	4	5	9	12	2	6	9	15	7	13	3	7	4	7	11	3	7	8	8	0	13	3	5	1									
		1.34%	1.52%	1.08%	1.79%	2.73%	3.56%	1.53%	1.46%	1.52%	1.64%	1.24%	1.43%	1.37%	1.90%	1.51%	1.73%	0.69%	1.43%	2.06%	1.29%	1.50%	1.70%	1.63%	1.14%	0.47%	0.92%	0.93%	0.27%	0.78%	2.17%	0.63%	0.80%	1.56%	1.02%	1.97%	2.67%	2.18%	0.34%	1.51%	1.18%	1.78%	0.85%	1.47%	0.27%	0.96%	0.82%	0.66%	1.38%	1.02%	1.57%	1.19%	1.62%	0.00%	1.26%	0.61%	1.49%	1.39%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5231	54	163	148	82	63	82	109	113	98	116	44	57	102	149	55	167	38	159	182	145	151	115	144	29	134	134	25	23	109	92	31	103	38	27	44	93	47	30	113	153	130	157	180	99	74	183	83	30	61	119	72	12	166	57	37	10									
		14.81%	10.25%	17.62%	17.64%	13.16%	12.48%	15.68%	15.89%	17.15%	16.12%	18.01%	10.50%	9.74%	17.59%	16.02%	11.88%	19.24%	10.89%	15.63%	18.02%	15.51%	17.10%	14.43%	14.88%	6.87%	17.65%	15.56%	6.65%	8.95%	16.87%	14.49%	12.35%	14.59%	9.64%	10.63%	13.06%	16.88%	7.89%	7.56%	14.87%	18.11%	15.74%	17.76%	16.13%	13.60%	15.26%	17.22%	10.40%	10.24%	13.65%	17.63%	14.60%	6.59%	16.07%	11.54%	11.01%	13.89%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
