Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Тутаевская 																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК  793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804					
		1.18%	2.56%	1.18%	1.80%	1.39%	1.65%	0.92%	1.31%	1.24%	1.24%	0.99%	1.48%	0.99%	1.10%	1.45%	0.86%	1.14%	0.52%	0.91%	2.22%	1.29%	0.0%	1.25%	2.91%	1.13%	1.09%	0.93%	0.0%	0.43%	1.23%	0.65%	0.0%	0.98%	0.94%	0.59%	1.23%	1.03%	0.56%	1.65%	1.12%					
30	"13. ""Демократическая партия России"""	47	1	3	0	8	2	0	2	2	0	7	1	4	4	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0					
		0.17%	0.11%	0.44%	0.0%	0.74%	0.12%	0.0%	0.18%	0.16%	0.0%	0.49%	0.07%	0.24%	0.23%	0.13%	0.0%	0.26%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.20%	0.16%	0.82%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	44	4	1	1	6	3	1	0	0	0	3	1	2	2	0	1	5	2	0	0	5	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	2	0	0	1					
		0.16%	0.46%	0.14%	0.13%	0.55%	0.19%	0.11%	0.0%	0.0%	0.0%	0.21%	0.07%	0.12%	0.11%	0.0%	0.07%	0.33%	0.14%	0.0%	0.0%	1.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.59%	0.0%	0.41%	0.0%	0.0%	0.28%					
32	"15. ""Партия СЛОН"""	38	1	1	0	2	0	3	0	0	6	2	1	3	4	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1					
		0.14%	0.11%	0.14%	0.0%	0.18%	0.0%	0.34%	0.0%	0.0%	0.41%	0.14%	0.07%	0.18%	0.23%	0.19%	0.23%	0.20%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.41%	0.28%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4296	172	103	107	175	265	183	175	170	226	227	191	250	252	242	195	252	292	43	12	48	29	38	24	13	10	26	13	19	3	13	18	25	12	4	15	68	319	39	28					
		16.16%	20.07%	15.28%	14.88%	16.32%	16.84%	21.13%	16.47%	14.07%	15.68%	16.19%	14.88%	15.60%	14.69%	15.96%	15.35%	16.98%	21.77%	19.63%	13.33%	15.53%	15.18%	11.91%	11.65%	7.38%	10.98%	12.20%	5.70%	8.26%	3.70%	8.55%	19.35%	24.50%	5.68%	2.39%	18.51%	14.07%	25.66%	16.11%	7.86%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	48	1	1	3	0	0	1	0	1	0	3	3	6	2	0	7	2	0	0	2	3	4	0	0	0	2	1	0	1	0	0	1	1	0	0	1	1	0	0	1					
		0.18%	0.11%	0.14%	0.41%	0.0%	0.0%	0.11%	0.0%	0.08%	0.0%	0.21%	0.23%	0.37%	0.11%	0.0%	0.55%	0.13%	0.0%	0.0%	2.22%	0.97%	2.09%	0.0%	0.0%	0.0%	2.19%	0.46%	0.0%	0.43%	0.0%	0.0%	1.07%	0.98%	0.0%	0.0%	1.23%	0.20%	0.0%	0.0%	0.28%					
35	"18. ""ЛДПР"""	3242	109	62	88	122	173	90	134	163	156	182	179	215	241	196	178	189	165	18	11	25	19	36	20	13	9	26	23	31	8	29	10	11	23	19	10	49	135	20	55					
		12.20%	12.71%	9.19%	12.23%	11.38%	10.99%	10.39%	12.61%	13.49%	10.82%	12.98%	13.95%	13.42%	14.05%	12.92%	14.01%	12.73%	12.30%	8.21%	12.22%	8.09%	9.94%	11.28%	9.70%	7.38%	9.89%	12.20%	10.08%	13.47%	9.87%	19.07%	10.75%	10.78%	10.90%	11.37%	12.34%	10.14%	10.86%	8.26%	15.44%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	757	11	16	25	47	31	14	27	35	36	25	38	42	62	40	49	39	30	15	1	10	4	9	6	15	3	5	4	5	3	5	1	0	9	6	2	18	30	11	28					
		2.84%	1.28%	2.37%	3.47%	4.38%	1.97%	1.61%	2.54%	2.89%	2.49%	1.78%	2.96%	2.62%	3.61%	2.63%	3.85%	2.62%	2.23%	6.84%	1.11%	3.23%	2.09%	2.82%	2.91%	8.52%	3.29%	2.34%	1.75%	2.17%	3.70%	3.28%	1.07%	0.0%	4.26%	3.59%	2.46%	3.72%	2.41%	4.54%	7.86%					
37	"20. ""Политическая партия ""Единая Россия"""	9199	319	269	229	351	566	311	373	431	545	502	469	594	590	552	443	449	353	84	33	100	76	109	76	34	24	64	94	91	39	43	34	31	64	74	36	205	362	81	99					
		34.62%	37.22%	39.91%	31.84%	32.74%	35.98%	35.91%	35.12%	35.67%	37.82%	35.80%	36.55%	37.07%	34.40%	36.41%	34.88%	30.25%	26.32%	38.35%	36.66%	32.36%	39.79%	34.16%	36.89%	19.31%	26.37%	30.04%	41.22%	39.56%	48.14%	28.28%	36.55%	30.39%	30.33%	44.31%	44.44%	42.44%	29.12%	33.47%	27.80%					
38	"21. ""Российская Конституционно-демократическая партия"""	42	1	1	2	2	5	0	3	2	2	1	3	2	2	0	0	5	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	1					
		0.15%	0.11%	0.14%	0.27%	0.18%	0.31%	0.0%	0.28%	0.16%	0.13%	0.07%	0.23%	0.12%	0.11%	0.0%	0.0%	0.33%	0.07%	0.0%	1.11%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	0.24%	0.41%	0.28%					
39	"22. ""Развитие предпринимательства"""	87	1	5	2	5	6	6	2	6	3	6	4	5	2	6	7	6	4	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	3	3	0	1					
		0.32%	0.11%	0.74%	0.27%	0.46%	0.38%	0.69%	0.18%	0.49%	0.20%	0.42%	0.31%	0.31%	0.11%	0.39%	0.55%	0.40%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	2.46%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.62%	0.24%	0.0%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2918	95	73	71	119	183	102	118	124	161	156	122	142	186	148	114	256	240	5	7	25	15	30	13	31	11	21	17	27	9	6	10	10	28	11	0	53	110	32	37					
		10.98%	11.08%	10.83%	9.87%	11.10%	11.63%	11.77%	11.11%	10.26%	11.17%	11.12%	9.50%	8.86%	10.84%	9.76%	8.97%	17.25%	17.89%	2.28%	7.77%	8.09%	7.85%	9.40%	6.31%	17.61%	12.08%	9.85%	7.45%	11.73%	11.11%	3.94%	10.75%	9.80%	13.27%	6.58%	0.0%	10.97%	8.84%	13.22%	10.39%					
																																														
41	Против всех	1152	21	23	34	33	72	32	52	54	81	52	73	66	87	89	65	67	67	6	4	9	9	5	2	5	0	5	9	10	1	4	2	5	1	5	5	11	53	15	18					
		4.33%	2.45%	3.41%	4.72%	3.07%	4.57%	3.69%	4.89%	4.47%	5.62%	3.70%	5.68%	4.11%	5.07%	5.87%	5.11%	4.51%	4.99%	2.73%	4.44%	2.91%	4.71%	1.56%	0.97%	2.84%	0.0%	2.34%	3.94%	4.34%	1.23%	2.63%	2.15%	4.90%	0.47%	2.99%	6.17%	2.27%	4.26%	6.19%	5.05%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
