Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Россошанская																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	915	15	15	15	15	15	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	10	10	10	20	20	10	20	15	15	5	5	20	20	10	20	5	5	5	20	5	5	20	5	10	5	20	20	5	5	5	5	5	20	20	5	20	10	20	20	5	5	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	567	10	15	9	4	15	20	8	4	6	9	15	15	5	3	12	15	7	6	9	3	1	5	6	15	10	15	5	4	0	10	10	20	20	10	20	8	15	0	0	8	20	10	10	5	2	5	8	0	0	20	5	10	0	1	10	5	0	0	2	1	6	20	5	7	6	20	15	1	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	325	1	5	6	7	12	10	6	9	3	7	8	4	5	2	1	2	0	4	2	3	1	3	13	3	3	1	5	2	0	4	0	6	0	1	3	3	1	0	0	3	2	0	3	3	1	0	0	0	2	5	2	0	0	0	5	0	2	0	2	3	6	5	0	1	1	2	0	2	0	0	129									
14	Число погашенных неиспользованных открепительных удостоверений	348	5	0	6	11	0	0	7	11	9	6	0	0	10	12	3	0	8	9	6	12	14	10	9	0	5	0	10	11	10	0	0	0	0	0	0	7	0	5	5	12	0	0	10	0	3	0	12	5	5	0	0	0	5	19	10	0	5	5	3	4	14	0	0	13	4	0	5	4	5	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	0	0	2	2	0	2	1	1	2	4	1	3	2	0	4	8	2	4	2	3	1	1	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	2	0	0	1	2	0	0	0	0	0	1	0	4	2	0	0	0	0	3	2	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	451	8	9	7	11	18	13	11	14	18	15	13	14	8	15	10	7	8	16	18	15	11	4	7	7	6	7	10	9	0	3	0	4	12	1	7	9	2	2	2	7	3	1	10	2	2	1	2	4	1	8	0	0	1	2	17	5	2	0	0	0	7	8	1	6	2	0	1	1	0	0	6									
		1.34%	1.04%	0.96%	0.99%	1.58%	2.75%	1.51%	1.43%	1.71%	2.17%	2.18%	1.50%	1.99%	1.16%	1.93%	1.39%	0.97%	1.77%	2.50%	2.73%	2.21%	1.72%	0.64%	1.12%	1.13%	0.91%	1.01%	1.62%	1.57%	0.00%	1.07%	0.00%	0.70%	1.45%	0.30%	0.94%	2.74%	0.88%	0.54%	1.05%	1.69%	1.00%	0.41%	2.13%	1.32%	1.92%	0.52%	0.39%	1.27%	1.43%	0.82%	0.00%	0.00%	1.08%	3.08%	2.65%	2.49%	1.43%	0.00%	0.00%	0.00%	0.73%	0.58%	2.78%	1.75%	0.66%	0.00%	0.52%	0.31%	0.00%	0.00%	3.73%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1154	30	23	26	17	18	20	16	29	26	27	30	23	22	24	24	16	13	20	12	23	30	21	22	29	31	28	18	25	2	16	13	13	9	6	30	12	11	11	1	15	18	5	24	3	4	3	25	9	2	48	1	6	4	1	28	9	19	7	6	3	33	33	2	10	12	6	15	11	10	5	10									
		3.42%	3.89%	2.45%	3.70%	2.45%	2.75%	2.32%	2.09%	3.53%	3.13%	3.92%	3.46%	3.27%	3.19%	3.08%	3.33%	2.23%	2.88%	3.13%	1.82%	3.39%	4.69%	3.37%	3.51%	4.66%	4.72%	4.04%	2.91%	4.36%	1.06%	5.69%	5.91%	2.28%	1.09%	1.78%	4.04%	3.66%	4.87%	2.99%	0.53%	3.62%	6.02%	2.03%	5.12%	1.99%	3.85%	1.55%	4.85%	2.87%	2.86%	4.92%	0.74%	5.00%	4.30%	1.54%	4.36%	4.48%	13.57%	5.22%	3.21%	2.00%	3.44%	2.41%	5.56%	2.92%	3.99%	3.17%	7.77%	3.44%	5.59%	3.76%	6.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	740	15	11	14	9	16	23	29	19	23	25	14	7	20	31	32	18	10	11	15	21	13	20	14	14	14	16	10	17	2	0	3	11	4	9	9	3	9	1	1	7	9	6	14	2	0	2	14	9	0	20	2	5	7	0	15	3	6	6	4	3	13	29	0	5	2	3	4	8	3	1	5									
		2.19%	1.95%	1.17%	1.99%	1.29%	2.44%	2.67%	3.78%	2.31%	2.77%	3.63%	1.61%	0.99%	2.90%	3.98%	4.44%	2.50%	2.21%	1.72%	2.27%	3.09%	2.03%	3.21%	2.24%	2.25%	2.13%	2.31%	1.62%	2.97%	1.06%	0.00%	1.36%	1.93%	0.48%	2.66%	1.21%	0.91%	3.98%	0.27%	0.53%	1.69%	3.01%	2.44%	2.99%	1.32%	0.00%	1.03%	2.72%	2.87%	0.00%	2.05%	1.48%	4.17%	7.53%	0.00%	2.34%	1.49%	4.29%	4.48%	2.14%	2.00%	1.36%	2.12%	0.00%	1.46%	0.66%	1.59%	2.07%	2.50%	1.68%	0.75%	3.11%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13578	313	385	238	248	253	307	247	269	276	234	348	243	200	225	214	249	138	221	219	225	234	203	213	219	199	210	182	183	107	143	101	336	531	194	397	149	98	233	105	228	126	145	179	83	44	74	244	191	28	442	99	37	34	28	261	101	47	49	93	78	433	680	17	127	104	86	78	129	98	51	75									
		40.21%	40.60%	41.09%	33.90%	35.68%	38.63%	35.66%	32.20%	32.76%	33.21%	33.96%	40.09%	34.57%	29.03%	28.88%	29.72%	34.63%	30.53%	34.59%	33.18%	33.14%	36.62%	32.58%	34.03%	35.21%	30.29%	30.30%	29.40%	31.94%	56.61%	50.89%	45.91%	58.84%	64.36%	57.40%	53.50%	45.43%	43.36%	63.49%	55.26%	55.07%	42.14%	58.94%	38.17%	54.97%	42.31%	38.14%	47.38%	60.83%	40.00%	45.33%	73.33%	30.83%	36.56%	43.08%	40.65%	50.25%	33.57%	36.57%	49.73%	52.00%	45.20%	49.67%	47.22%	37.03%	34.55%	45.50%	40.41%	40.31%	54.75%	38.35%	46.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	192	3	6	3	5	3	7	11	6	2	2	3	10	3	5	13	3	6	8	6	3	4	3	4	3	5	4	4	6	0	1	1	3	2	2	0	1	0	0	0	1	2	2	3	0	0	2	1	0	0	5	1	2	0	0	2	1	1	1	0	0	10	3	0	1	1	0	0	2	0	0	0									
		0.57%	0.39%	0.64%	0.43%	0.72%	0.46%	0.81%	1.43%	0.73%	0.24%	0.29%	0.35%	1.42%	0.44%	0.64%	1.81%	0.42%	1.33%	1.25%	0.91%	0.44%	0.63%	0.48%	0.64%	0.48%	0.76%	0.58%	0.65%	1.05%	0.00%	0.36%	0.45%	0.53%	0.24%	0.59%	0.00%	0.30%	0.00%	0.00%	0.00%	0.24%	0.67%	0.81%	0.64%	0.00%	0.00%	1.03%	0.19%	0.00%	0.00%	0.51%	0.74%	1.67%	0.00%	0.00%	0.31%	0.50%	0.71%	0.75%	0.00%	0.00%	1.04%	0.22%	0.00%	0.29%	0.33%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	51	2	1	1	1	1	2	2	2	1	0	1	1	3	0	1	0	0	0	1	2	2	1	0	2	1	2	2	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	1	0	0	5	0	0	0	0	1	0	0	1	0	1									
		0.15%	0.26%	0.11%	0.14%	0.14%	0.15%	0.23%	0.26%	0.24%	0.12%	0.00%	0.12%	0.14%	0.44%	0.00%	0.14%	0.00%	0.00%	0.00%	0.15%	0.29%	0.31%	0.16%	0.00%	0.32%	0.15%	0.29%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.53%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.71%	0.75%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.56%	0.00%	0.62%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6383	150	155	139	132	118	178	152	170	144	123	144	122	154	186	126	122	106	137	125	154	104	131	154	135	141	181	122	113	28	37	30	94	123	54	117	77	38	45	48	62	61	19	79	30	29	23	111	29	11	207	14	20	22	16	141	36	21	23	36	30	169	222	7	67	67	32	42	54	32	40	22									
		18.90%	19.46%	16.54%	19.80%	18.99%	18.02%	20.67%	19.82%	20.71%	17.33%	17.85%	16.59%	17.35%	22.35%	23.88%	17.50%	16.97%	23.45%	21.44%	18.94%	22.68%	16.28%	21.03%	24.60%	21.70%	21.46%	26.12%	19.71%	19.72%	14.81%	13.17%	13.64%	16.46%	14.91%	15.98%	15.77%	23.48%	16.81%	12.26%	25.26%	14.98%	20.40%	7.72%	16.84%	19.87%	27.88%	11.86%	21.55%	9.24%	15.71%	21.23%	10.37%	16.67%	23.66%	24.62%	21.96%	17.91%	15.00%	17.16%	19.25%	20.00%	17.64%	16.22%	19.44%	19.53%	22.26%	16.93%	21.76%	16.88%	17.88%	30.08%	13.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	131	4	0	5	5	3	1	2	3	3	3	6	5	3	2	6	7	0	5	4	4	2	3	3	5	2	4	5	3	0	1	0	0	2	2	2	0	0	0	2	0	0	1	0	3	0	0	2	1	0	2	0	0	0	0	2	0	0	1	0	0	6	2	0	1	0	0	0	2	1	0	0									
		0.39%	0.52%	0.00%	0.71%	0.72%	0.46%	0.12%	0.26%	0.37%	0.36%	0.44%	0.69%	0.71%	0.44%	0.26%	0.83%	0.97%	0.00%	0.78%	0.61%	0.59%	0.31%	0.48%	0.48%	0.80%	0.30%	0.58%	0.81%	0.52%	0.00%	0.36%	0.00%	0.00%	0.24%	0.59%	0.27%	0.00%	0.00%	0.00%	1.05%	0.00%	0.00%	0.41%	0.00%	1.99%	0.00%	0.00%	0.39%	0.32%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.75%	0.00%	0.00%	0.63%	0.15%	0.00%	0.29%	0.00%	0.00%	0.00%	0.63%	0.56%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	297	9	12	9	5	5	9	14	11	15	7	9	10	6	11	8	7	10	6	8	9	5	2	6	5	5	2	11	3	0	1	3	5	4	1	1	2	0	1	0	0	5	1	2	2	0	1	1	0	0	8	0	1	0	1	9	0	0	2	1	1	5	3	1	2	7	0	3	3	0	0	1									
		0.88%	1.17%	1.28%	1.28%	0.72%	0.76%	1.05%	1.83%	1.34%	1.81%	1.02%	1.04%	1.42%	0.87%	1.41%	1.11%	0.97%	2.21%	0.94%	1.21%	1.33%	0.78%	0.32%	0.96%	0.80%	0.76%	0.29%	1.78%	0.52%	0.00%	0.36%	1.36%	0.88%	0.48%	0.30%	0.13%	0.61%	0.00%	0.27%	0.00%	0.00%	1.67%	0.41%	0.43%	1.32%	0.00%	0.52%	0.19%	0.00%	0.00%	0.82%	0.00%	0.83%	0.00%	1.54%	1.40%	0.00%	0.00%	1.49%	0.53%	0.67%	0.52%	0.22%	2.78%	0.58%	2.33%	0.00%	1.55%	0.94%	0.00%	0.00%	0.62%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	46	0	1	0	0	0	2	1	1	1	3	0	1	1	0	2	0	0	0	2	1	0	0	1	2	2	4	1	1	0	1	0	1	0	0	0	0	2	0	1	2	0	0	2	0	0	1	1	0	0	3	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0									
		0.14%	0.00%	0.11%	0.00%	0.00%	0.00%	0.23%	0.13%	0.12%	0.12%	0.44%	0.00%	0.14%	0.15%	0.00%	0.28%	0.00%	0.00%	0.00%	0.30%	0.15%	0.00%	0.00%	0.16%	0.32%	0.30%	0.58%	0.16%	0.17%	0.00%	0.36%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.53%	0.48%	0.00%	0.00%	0.43%	0.00%	0.00%	0.52%	0.19%	0.00%	0.00%	0.31%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.10%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	229	9	6	4	5	3	7	8	6	6	5	7	8	6	7	9	14	2	10	2	8	5	10	4	4	3	3	1	7	1	0	0	5	5	1	1	0	1	1	0	1	1	1	2	0	0	2	1	2	0	5	0	0	0	0	3	1	0	0	1	4	9	1	0	1	0	2	0	1	0	0	7									
		0.68%	1.17%	0.64%	0.57%	0.72%	0.46%	0.81%	1.04%	0.73%	0.72%	0.73%	0.81%	1.14%	0.87%	0.90%	1.25%	1.95%	0.44%	1.56%	0.30%	1.18%	0.78%	1.61%	0.64%	0.64%	0.46%	0.43%	0.16%	1.22%	0.53%	0.00%	0.00%	0.88%	0.61%	0.30%	0.13%	0.00%	0.44%	0.27%	0.00%	0.24%	0.33%	0.41%	0.43%	0.00%	0.00%	1.03%	0.19%	0.64%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.47%	0.50%	0.00%	0.00%	0.53%	2.67%	0.94%	0.07%	0.00%	0.29%	0.00%	1.06%	0.00%	0.31%	0.00%	0.00%	4.35%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6963	160	242	160	165	136	188	166	191	177	136	177	161	147	158	164	171	92	133	155	130	162	130	132	132	183	176	151	135	46	61	55	72	92	54	124	46	44	42	12	70	51	49	110	18	25	69	83	52	17	174	13	31	17	15	114	25	35	22	27	21	199	235	4	101	88	44	44	78	27	27	20									
		20.62%	20.75%	25.83%	22.79%	23.74%	20.76%	21.84%	21.64%	23.26%	21.30%	19.74%	20.39%	22.90%	21.34%	20.28%	22.78%	23.78%	20.35%	20.81%	23.48%	19.15%	25.35%	20.87%	21.09%	21.22%	27.85%	25.40%	24.39%	23.56%	24.34%	21.71%	25.00%	12.61%	11.15%	15.98%	16.71%	14.02%	19.47%	11.44%	6.32%	16.91%	17.06%	19.92%	23.45%	11.92%	24.04%	35.57%	16.12%	16.56%	24.29%	17.85%	9.63%	25.83%	18.28%	23.08%	17.76%	12.44%	25.00%	16.42%	14.44%	14.00%	20.77%	17.17%	11.11%	29.45%	29.24%	23.28%	22.80%	24.38%	15.08%	20.30%	12.42%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	287	6	10	4	7	10	14	7	9	12	4	8	9	7	6	10	6	7	4	6	9	6	5	5	2	3	4	4	5	0	2	6	1	7	2	3	3	1	6	0	2	4	0	2	0	0	1	2	0	1	7	0	0	1	1	4	3	3	5	0	1	7	13	0	2	3	2	2	0	1	0	0									
		0.85%	0.78%	1.07%	0.57%	1.01%	1.53%	1.63%	0.91%	1.10%	1.44%	0.58%	0.92%	1.28%	1.02%	0.77%	1.39%	0.83%	1.55%	0.63%	0.91%	1.33%	0.94%	0.80%	0.80%	0.32%	0.46%	0.58%	0.65%	0.87%	0.00%	0.71%	2.73%	0.18%	0.85%	0.59%	0.40%	0.91%	0.44%	1.63%	0.00%	0.48%	1.34%	0.00%	0.43%	0.00%	0.00%	0.52%	0.39%	0.00%	1.43%	0.72%	0.00%	0.00%	1.08%	1.54%	0.62%	1.49%	2.14%	3.73%	0.00%	0.67%	0.73%	0.95%	0.00%	0.58%	0.99%	1.06%	1.04%	0.00%	0.56%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2706	52	60	86	69	54	77	94	77	117	99	99	77	96	99	89	92	48	57	78	62	47	77	50	54	43	40	82	47	2	6	6	21	29	9	32	21	17	20	13	9	10	8	30	6	0	11	17	16	7	26	3	13	7	0	40	8	4	15	15	5	47	121	4	17	9	11	4	19	5	7	14									
		8.01%	6.74%	6.40%	12.25%	9.93%	8.24%	8.94%	12.26%	9.38%	14.08%	14.37%	11.41%	10.95%	13.93%	12.71%	12.36%	12.80%	10.62%	8.92%	11.82%	9.13%	7.36%	12.36%	7.99%	8.68%	6.54%	5.77%	13.25%	8.20%	1.06%	2.14%	2.73%	3.68%	3.52%	2.66%	4.31%	6.40%	7.52%	5.45%	6.84%	2.17%	3.34%	3.25%	6.40%	3.97%	0.00%	5.67%	3.30%	5.10%	10.00%	2.67%	2.22%	10.83%	7.53%	0.00%	6.23%	3.98%	2.86%	11.19%	8.02%	3.33%	4.91%	8.84%	11.11%	4.96%	2.99%	5.82%	2.07%	5.94%	2.79%	5.26%	8.70%									
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
