Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Новокузнецкая																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	95	3	1	1	3	1	0	0	0	0	0	1	3	5	8	0	6	0	0	0	0	6	4	2	0	0	0	0	0	0	1	2	0	3	0	1	0	3	0	3	2	4	2	2	1	0	1	7	4	11	0	0	0	0	4	0									
		0.45%	0.55%	0.50%	0.18%	4.55%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.81%	0.89%	1.42%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	1.53%	2.04%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.41%	0.00%	3.80%	0.00%	0.88%	0.00%	2.11%	0.00%	0.60%	0.71%	0.71%	0.36%	0.53%	0.76%	0.00%	0.40%	1.39%	1.33%	1.96%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17523	419	181	438	35	260	272	274	315	457	231	472	302	412	301	356	181	244	101	215	269	335	154	192	1439	1688	714	225	89	154	73	433	68	72	187	76	41	104	244	423	170	514	480	306	103	461	224	424	226	464	569	575	86	93	201	181									
		83.20%	77.45%	90.50%	77.52%	53.03%	88.14%	73.71%	84.05%	81.61%	92.51%	77.78%	88.22%	81.84%	73.70%	53.27%	74.48%	58.01%	69.71%	61.21%	65.75%	83.02%	85.24%	78.57%	63.79%	98.90%	98.89%	86.76%	78.95%	72.36%	67.84%	79.35%	89.65%	85.00%	91.14%	85.00%	67.26%	85.42%	73.24%	89.71%	84.43%	60.50%	90.97%	86.02%	80.74%	78.03%	89.17%	89.96%	84.13%	75.08%	82.86%	92.22%	92.15%	80.37%	85.32%	77.31%	77.02%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	83	0	0	5	0	1	0	0	0	0	0	2	2	3	3	0	0	0	0	5	0	1	1	5	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	3	7	2	5	2	1	0	2	2	24	2	0	0	0	1	0	0									
		0.39%	0.00%	0.00%	0.88%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.54%	0.54%	0.53%	0.00%	0.00%	0.00%	0.00%	1.53%	0.00%	0.25%	0.51%	1.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	1.09%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.70%	0.00%	0.60%	2.49%	0.35%	0.90%	0.53%	0.76%	0.00%	0.80%	0.40%	7.97%	0.36%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	3	4	0	0	0	0	0	0	0									
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.90%	0.26%	0.00%	0.00%	0.00%	0.60%	1.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	930	33	2	4	15	4	73	9	24	4	16	16	4	18	12	76	84	14	44	67	17	4	19	54	14	17	28	18	19	15	13	14	2	2	6	13	1	25	5	12	5	12	8	8	8	7	4	4	5	13	7	6	7	2	15	2									
		4.42%	6.10%	1.00%	0.71%	22.73%	1.36%	19.78%	2.76%	6.22%	0.81%	5.39%	2.99%	1.08%	3.22%	2.12%	15.90%	26.92%	4.00%	26.67%	20.49%	5.25%	1.02%	9.69%	17.94%	0.96%	0.99%	3.40%	6.32%	15.45%	6.61%	14.13%	2.90%	2.50%	2.53%	2.73%	11.50%	2.08%	17.61%	1.84%	2.40%	1.78%	2.12%	1.43%	2.11%	6.06%	1.35%	1.61%	0.79%	1.66%	2.32%	1.13%	0.96%	6.54%	1.83%	5.77%	0.85%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	1	1	2	2	0	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.61%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	1.07%	0.00%	0.18%	0.00%	0.00%	0.00%	0.40%	0.20%	0.66%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	18	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	2	1	0	0	0	1	1	1	0	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.27%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	1.27%	0.91%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.36%	0.26%	0.00%	0.00%	0.00%	0.20%	0.33%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.18%	0.35%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	3	2	0	0	0	0	0	0	0	0	1	2	1	3	0	1	0	0	1	2	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	4	0	0	0	0	0	1	1	0	0	0	3	0	0									
		0.17%	0.55%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.54%	0.18%	0.53%	0.00%	0.32%	0.00%	0.00%	0.31%	0.62%	0.51%	0.51%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	1.42%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.18%	0.00%	0.00%	0.00%	2.75%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1293	63	6	93	11	14	17	34	32	12	38	14	18	76	131	18	9	66	3	15	26	22	12	11	0	0	35	33	7	19	1	31	6	1	16	4	4	2	14	39	36	22	26	45	15	21	9	24	15	33	20	19	9	2	30	14									
		6.14%	11.65%	3.00%	16.46%	16.67%	4.75%	4.61%	10.43%	8.29%	2.43%	12.79%	2.62%	4.88%	13.60%	23.19%	3.77%	2.88%	18.86%	1.82%	4.59%	8.02%	5.60%	6.12%	3.65%	0.00%	0.00%	4.25%	11.58%	5.69%	8.37%	1.09%	6.42%	7.50%	1.27%	7.27%	3.54%	8.33%	1.41%	5.15%	7.78%	12.81%	3.89%	4.66%	11.87%	11.36%	4.06%	3.61%	4.76%	4.98%	5.89%	3.24%	3.04%	8.41%	1.83%	11.54%	5.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	91	0	0	0	0	0	0	2	1	3	0	1	0	6	54	0	1	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	7	0	0	0	0	2	0	1	0	0	0	0	1	0	2	0	0	0	2	0	3									
		0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.26%	0.61%	0.00%	0.19%	0.00%	1.07%	9.56%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.24%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	6.19%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.36%	0.00%	0.00%	0.00%	1.83%	0.00%	1.28%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	541	18	3	18	0	10	6	5	8	16	10	14	15	17	26	28	4	26	1	6	5	5	3	3	0	0	44	9	2	2	1	3	3	0	2	0	2	0	7	17	41	7	8	11	4	27	5	16	12	8	20	19	4	3	9	8									
		2.57%	3.33%	1.50%	3.19%	0.00%	3.39%	1.63%	1.53%	2.07%	3.24%	3.37%	2.62%	4.07%	3.04%	4.60%	5.86%	1.28%	7.43%	0.61%	1.83%	1.54%	1.27%	1.53%	0.99%	0.00%	0.00%	5.35%	3.16%	1.63%	0.88%	1.09%	0.62%	3.75%	0.00%	0.91%	0.00%	4.17%	0.00%	2.57%	3.39%	14.59%	1.24%	1.43%	2.90%	3.03%	5.22%	2.01%	3.17%	3.99%	1.43%	3.24%	3.04%	3.74%	2.75%	3.46%	3.40%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
