Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Малмыжская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК  753					
18	"1. ""ЕДИНЕНИЕ"""	201	3	1	3	3	1	6	18	7	2	0	11	4	2	0	4	1	9	8	7	5	2	7	3	12	6	6	5	4	5	1	2	5	9	5	7	4	12	10	1					
		1.32%	0.46%	0.26%	1.53%	0.63%	0.48%	1.5%	2.84%	1.24%	1.92%	0.0%	2.77%	3.50%	0.71%	0.0%	2.05%	0.20%	1.44%	1.59%	2.20%	1.89%	0.81%	1.02%	1.71%	1.69%	2.26%	1.35%	1.20%	0.95%	2.31%	0.67%	1.04%	0.94%	1.42%	0.96%	1.19%	0.66%	1.91%	1.59%	0.90%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	98	6	1	1	4	1	5	4	4	1	0	0	2	0	1	0	1	1	3	0	0	1	5	0	3	5	2	1	0	0	2	1	8	6	5	3	9	11	0	1					
		0.64%	0.92%	0.26%	0.51%	0.84%	0.48%	1.25%	0.63%	0.71%	0.96%	0.0%	0.0%	1.75%	0.0%	0.60%	0.0%	0.20%	0.16%	0.59%	0.0%	0.0%	0.40%	0.73%	0.0%	0.42%	1.88%	0.45%	0.24%	0.0%	0.0%	1.35%	0.52%	1.50%	0.94%	0.96%	0.51%	1.48%	1.75%	0.0%	0.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	453	19	7	5	25	4	13	13	11	3	2	5	2	17	4	9	11	9	24	7	4	2	11	14	31	3	21	6	10	4	6	7	27	14	12	23	21	21	19	7					
		2.97%	2.93%	1.83%	2.56%	5.29%	1.92%	3.25%	2.05%	1.95%	2.88%	1.55%	1.26%	1.75%	6.11%	2.43%	4.61%	2.25%	1.44%	4.79%	2.20%	1.51%	0.81%	1.61%	8.0%	4.37%	1.13%	4.74%	1.44%	2.39%	1.85%	4.05%	3.66%	5.09%	2.21%	2.32%	3.91%	3.46%	3.34%	3.03%	6.30%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	201	5	13	2	1	2	6	15	7	0	0	3	1	2	1	2	5	5	10	3	6	4	8	1	7	3	4	2	3	1	0	2	5	6	13	20	10	8	15	0					
		1.32%	0.77%	3.40%	1.02%	0.21%	0.96%	1.5%	2.37%	1.24%	0.0%	0.0%	0.75%	0.87%	0.71%	0.60%	1.02%	1.02%	0.80%	1.99%	0.94%	2.27%	1.62%	1.17%	0.57%	0.98%	1.13%	0.90%	0.48%	0.71%	0.46%	0.0%	1.04%	0.94%	0.94%	2.51%	3.40%	1.65%	1.27%	2.39%	0.0%					
22	"5. ""За Русь Святую"""	103	5	7	1	3	3	0	4	4	2	0	2	1	0	3	1	8	2	9	2	8	3	0	0	3	2	1	1	1	1	0	2	2	3	0	4	5	7	3	0					
		0.67%	0.77%	1.83%	0.51%	0.63%	1.44%	0.0%	0.63%	0.71%	1.92%	0.0%	0.50%	0.87%	0.0%	1.82%	0.51%	1.63%	0.32%	1.79%	0.63%	3.03%	1.21%	0.0%	0.0%	0.42%	0.75%	0.22%	0.24%	0.23%	0.46%	0.0%	1.04%	0.37%	0.47%	0.0%	0.68%	0.82%	1.11%	0.47%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	55	0	2	0	1	0	0	1	0	0	0	1	1	0	3	1	1	2	0	2	3	0	6	2	3	1	0	0	1	0	1	0	4	0	3	2	8	3	2	1					
		0.36%	0.0%	0.52%	0.0%	0.21%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.25%	0.87%	0.0%	1.82%	0.51%	0.20%	0.32%	0.0%	0.63%	1.13%	0.0%	0.88%	1.14%	0.42%	0.37%	0.0%	0.0%	0.23%	0.0%	0.67%	0.0%	0.75%	0.0%	0.58%	0.34%	1.32%	0.47%	0.31%	0.90%					
24	"7. ""Новый курс - Автомобильная Россия"""	65	0	0	0	1	0	0	4	5	0	0	2	0	3	0	2	0	1	3	0	0	0	7	0	4	0	5	0	0	0	1	1	2	3	1	5	2	5	8	0					
		0.42%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.63%	0.88%	0.0%	0.0%	0.50%	0.0%	1.07%	0.0%	1.02%	0.0%	0.16%	0.59%	0.0%	0.0%	0.0%	1.02%	0.0%	0.56%	0.0%	1.12%	0.0%	0.0%	0.0%	0.67%	0.52%	0.37%	0.47%	0.19%	0.85%	0.33%	0.79%	1.27%	0.0%					
25	"8. ""Народно-республиканская партия России"""	26	1	1	0	0	0	2	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	0	2	0	0	0	2	1	1	3	0	1	0					
		0.17%	0.15%	0.26%	0.0%	0.0%	0.0%	0.5%	0.0%	0.0%	0.96%	0.0%	0.25%	0.87%	0.35%	0.60%	0.0%	0.20%	0.0%	0.19%	0.0%	0.37%	0.40%	0.0%	0.57%	0.14%	0.0%	0.0%	0.24%	0.0%	0.92%	0.0%	0.0%	0.0%	0.31%	0.19%	0.17%	0.49%	0.0%	0.15%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	35	2	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	2	1	0	0	0	0	8	0	0	1	1	0	0	0	1	1	2	3	3	1	1	0					
		0.23%	0.30%	0.26%	0.0%	0.0%	0.0%	0.25%	0.15%	0.17%	0.0%	0.0%	0.0%	0.0%	0.35%	0.60%	0.51%	0.0%	0.16%	0.39%	0.31%	0.0%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.24%	0.23%	0.0%	0.0%	0.0%	0.18%	0.15%	0.38%	0.51%	0.49%	0.15%	0.15%	0.0%					
27	"10. ""Аграрная партия России"""	2389	218	57	25	116	48	78	93	76	12	2	44	21	19	11	49	116	140	34	100	75	70	95	21	112	39	114	117	76	50	19	38	40	28	36	49	53	47	34	17					
		15.70%	33.69%	14.92%	12.82%	24.57%	23.07%	19.5%	14.71%	13.49%	11.53%	1.55%	11.11%	18.42%	6.83%	6.70%	25.12%	23.77%	22.47%	6.78%	31.54%	28.40%	28.45%	13.97%	12.0%	15.81%	14.71%	25.73%	28.12%	18.18%	23.14%	12.83%	19.89%	7.54%	4.42%	6.97%	8.34%	8.74%	7.48%	5.43%	15.31%					
28	"11. ""Истинные патриоты России"""	296	0	2	0	0	1	1	10	11	0	0	5	0	4	0	0	0	16	4	2	0	0	3	0	15	18	31	29	0	0	0	0	23	31	27	12	32	11	8	0					
		1.94%	0.0%	0.52%	0.0%	0.0%	0.48%	0.25%	1.58%	1.95%	0.0%	0.0%	1.26%	0.0%	1.43%	0.0%	0.0%	0.0%	2.56%	0.79%	0.63%	0.0%	0.0%	0.44%	0.0%	2.11%	6.79%	6.99%	6.97%	0.0%	0.0%	0.0%	0.0%	4.33%	4.89%	5.23%	2.04%	5.28%	1.75%	1.27%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	131	2	5	2	1	1	3	9	4	2	1	1	4	12	3	6	8	4	4	4	2	3	8	3	7	2	2	2	3	0	2	0	0	4	1	2	1	11	1	1					
		0.86%	0.30%	1.30%	1.02%	0.21%	0.48%	0.75%	1.42%	0.71%	1.92%	0.77%	0.25%	3.50%	4.31%	1.82%	3.07%	1.63%	0.64%	0.79%	1.26%	0.75%	1.21%	1.17%	1.71%	0.98%	0.75%	0.45%	0.48%	0.71%	0.0%	1.35%	0.0%	0.0%	0.63%	0.19%	0.34%	0.16%	1.75%	0.15%	0.90%					
30	"13. ""Демократическая партия России"""	39	0	1	0	0	0	0	1	5	0	0	2	0	0	1	1	0	1	2	0	0	0	5	0	0	2	4	1	4	1	0	0	0	1	1	0	1	2	3	0					
		0.25%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.15%	0.88%	0.0%	0.0%	0.50%	0.0%	0.0%	0.60%	0.51%	0.0%	0.16%	0.39%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.75%	0.90%	0.24%	0.95%	0.46%	0.0%	0.0%	0.0%	0.15%	0.19%	0.0%	0.16%	0.31%	0.47%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	23	1	2	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	2	1	0	2	0	0	1	2	1	0	0	1	0	2	0	0	1	0	0					
		0.15%	0.15%	0.52%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.05%	0.0%	0.0%	0.19%	0.0%	0.37%	0.81%	0.14%	0.0%	0.28%	0.0%	0.0%	0.24%	0.47%	0.46%	0.0%	0.0%	0.18%	0.0%	0.38%	0.0%	0.0%	0.15%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	29	1	4	0	1	0	1	0	3	1	0	0	0	3	0	1	0	0	0	0	0	1	1	0	0	1	1	2	1	2	3	0	0	1	0	0	1	0	0	0					
		0.19%	0.15%	1.04%	0.0%	0.21%	0.0%	0.25%	0.0%	0.53%	0.96%	0.0%	0.0%	0.0%	1.07%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.14%	0.0%	0.0%	0.37%	0.22%	0.48%	0.23%	0.92%	2.02%	0.0%	0.0%	0.15%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	963	24	18	17	22	20	47	49	39	3	5	18	4	26	8	2	26	34	29	14	14	25	42	6	37	8	32	6	20	7	3	4	34	38	37	58	65	58	64	0					
		6.32%	3.70%	4.71%	8.71%	4.66%	9.61%	11.75%	7.75%	6.92%	2.88%	3.87%	4.54%	3.50%	9.35%	4.87%	1.02%	5.32%	5.45%	5.78%	4.41%	5.30%	10.16%	6.17%	3.42%	5.22%	3.01%	7.22%	1.44%	4.78%	3.24%	2.02%	2.09%	6.41%	6.00%	7.17%	9.88%	10.72%	9.23%	10.22%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	71	1	5	0	5	1	1	1	0	0	1	1	1	4	3	2	2	2	5	1	5	1	6	0	0	4	3	6	3	2	0	0	0	1	2	0	2	0	0	0					
		0.46%	0.15%	1.30%	0.0%	1.05%	0.48%	0.25%	0.15%	0.0%	0.0%	0.77%	0.25%	0.87%	1.43%	1.82%	1.02%	0.40%	0.32%	0.99%	0.31%	1.89%	0.40%	0.88%	0.0%	0.0%	1.50%	0.67%	1.44%	0.71%	0.92%	0.0%	0.0%	0.0%	0.15%	0.38%	0.0%	0.33%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1592	53	33	28	29	37	38	88	66	13	19	54	11	17	18	22	52	37	64	27	33	18	63	33	84	9	18	14	38	26	27	36	63	69	66	77	44	72	86	10					
		10.46%	8.19%	8.63%	14.35%	6.14%	17.78%	9.5%	13.92%	11.72%	12.5%	14.72%	13.63%	9.64%	6.11%	10.97%	11.28%	10.65%	5.93%	12.77%	8.51%	12.5%	7.31%	9.26%	18.85%	11.86%	3.39%	4.06%	3.36%	9.09%	12.03%	18.24%	18.84%	11.88%	10.90%	12.79%	13.11%	7.26%	11.46%	13.73%	9.00%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	439	17	14	6	11	0	6	18	14	5	0	11	12	16	4	9	7	6	7	16	8	11	10	4	20	14	20	12	10	5	3	9	12	22	17	13	20	22	22	6					
		2.88%	2.62%	3.66%	3.07%	2.33%	0.0%	1.5%	2.84%	2.48%	4.80%	0.0%	2.77%	10.52%	5.75%	2.43%	4.61%	1.43%	0.96%	1.39%	5.04%	3.03%	4.47%	1.47%	2.28%	2.82%	5.28%	4.51%	2.88%	2.39%	2.31%	2.02%	4.71%	2.26%	3.47%	3.29%	2.21%	3.30%	3.50%	3.51%	5.40%					
37	"20. ""Политическая партия ""Единая Россия"""	4113	125	90	59	113	50	106	163	169	40	38	149	26	73	65	40	109	155	190	42	40	45	302	49	189	48	90	59	122	44	29	59	156	228	127	153	164	172	195	40					
		27.03%	19.31%	23.56%	30.25%	23.94%	24.03%	26.5%	25.79%	30.01%	38.46%	29.45%	37.62%	22.80%	26.25%	39.63%	20.51%	22.33%	24.87%	37.92%	13.24%	15.15%	18.29%	44.41%	28.0%	26.69%	18.11%	20.31%	14.18%	29.18%	20.37%	19.59%	30.89%	29.43%	36.01%	24.61%	26.06%	27.06%	27.38%	31.15%	36.03%					
38	"21. ""Российская Конституционно-демократическая партия"""	32	1	1	0	0	1	0	1	3	1	0	1	0	4	0	1	0	0	0	0	1	0	2	0	3	1	1	4	0	1	0	0	0	0	1	1	1	1	1	0					
		0.21%	0.15%	0.26%	0.0%	0.0%	0.48%	0.0%	0.15%	0.53%	0.96%	0.0%	0.25%	0.0%	1.43%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.29%	0.0%	0.42%	0.37%	0.22%	0.96%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.19%	0.17%	0.16%	0.15%	0.15%	0.0%					
39	"22. ""Развитие предпринимательства"""	45	3	1	0	4	0	1	0	0	0	0	1	0	1	0	0	0	4	2	2	0	0	2	0	4	0	1	0	0	0	0	0	3	3	0	6	3	2	2	0					
		0.29%	0.46%	0.26%	0.0%	0.84%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.35%	0.0%	0.0%	0.0%	0.64%	0.39%	0.63%	0.0%	0.0%	0.29%	0.0%	0.56%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.47%	0.0%	1.02%	0.49%	0.31%	0.31%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3239	138	99	42	111	29	70	113	122	10	59	77	19	59	31	28	113	181	73	80	46	46	73	31	141	94	74	126	101	53	48	25	113	145	134	130	128	143	121	13					
		21.28%	21.32%	25.91%	21.53%	23.51%	13.94%	17.5%	17.87%	21.66%	9.61%	45.73%	19.44%	16.66%	21.22%	18.90%	14.35%	23.15%	29.05%	14.57%	25.23%	17.42%	18.69%	10.73%	17.71%	19.91%	35.47%	16.70%	30.28%	24.16%	24.53%	32.43%	13.08%	21.32%	22.90%	25.96%	22.14%	21.12%	22.77%	19.32%	11.71%					
																																														
41	Против всех	327	15	9	4	10	8	9	16	9	1	2	1	3	11	4	7	15	8	13	4	12	8	17	6	13	1	5	8	9	3	1	4	14	13	10	8	18	9	12	7					
		2.14%	2.31%	2.35%	2.05%	2.11%	3.84%	2.25%	2.53%	1.59%	0.96%	1.55%	0.25%	2.63%	3.95%	2.43%	3.58%	3.07%	1.28%	2.59%	1.26%	4.54%	3.25%	2.5%	3.42%	1.83%	0.37%	1.12%	1.92%	2.15%	1.38%	0.67%	2.09%	2.64%	2.05%	1.93%	1.36%	2.97%	1.43%	1.91%	6.30%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
