Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Междуреченская городская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	59	1	2	0	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	0	0	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	2	2	2	0	1									
		0.09%	0.13%	0.20%	0.00%	0.05%	0.13%	0.10%	0.06%	0.15%	0.06%	0.14%	0.05%	0.06%	0.08%	0.16%	0.07%	0.58%	0.17%	0.30%	0.00%	0.00%	0.74%	0.09%	0.36%	0.11%	0.06%	0.06%	0.11%	0.05%	0.06%	0.05%	0.06%	0.07%	0.05%	0.05%	0.13%	0.16%	0.12%	0.10%	0.05%	0.04%	0.07%	0.09%	0.12%	0.18%	0.10%	0.17%	0.00%	0.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	49393	552	755	817	1488	1150	729	1209	1054	1279	1097	1420	1336	947	899	935	110	416	243	215	319	81	899	387	722	1170	1275	1377	1406	1193	1636	1235	1012	1538	1492	1204	958	1326	1485	1711	1973	985	862	1149	776	1505	892	831	1343									
		75.30%	74.29%	75.88%	74.75%	76.90%	74.82%	73.86%	74.26%	77.56%	78.99%	74.78%	77.81%	76.34%	73.18%	71.18%	69.47%	63.95%	70.27%	74.09%	67.61%	71.05%	59.56%	76.77%	70.24%	79.43%	73.82%	72.07%	73.21%	74.35%	73.78%	81.68%	72.60%	70.67%	77.87%	77.95%	77.03%	75.26%	78.28%	76.90%	79.58%	79.65%	71.12%	76.42%	71.68%	69.10%	78.10%	74.90%	74.06%	74.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	63	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	2	2	1	2	0	2	2									
		0.10%	0.13%	0.20%	0.09%	0.05%	0.07%	0.10%	0.06%	0.07%	0.06%	0.07%	0.11%	0.06%	0.08%	0.08%	0.07%	0.58%	0.34%	0.30%	0.31%	0.22%	1.47%	0.17%	0.18%	0.22%	0.06%	0.11%	0.05%	0.11%	0.06%	0.05%	0.06%	0.14%	0.05%	0.05%	0.06%	0.08%	0.12%	0.10%	0.05%	0.04%	0.07%	0.18%	0.12%	0.09%	0.10%	0.00%	0.18%	0.11%									
24	"6. Политическая партия ""Гражданская Платформа"""	61	1	1	2	2	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	2	2	2	1	0	2	0	2	1	1	2	2	0	2	1	1	1	0	2	2	2	1	1	1	1	2	1	1	0									
		0.09%	0.13%	0.10%	0.18%	0.10%	0.13%	0.10%	0.06%	0.07%	0.12%	0.07%	0.05%	0.11%	0.08%	0.08%	0.15%	0.58%	0.17%	0.30%	0.31%	0.45%	1.47%	0.17%	0.18%	0.00%	0.13%	0.00%	0.11%	0.05%	0.06%	0.10%	0.12%	0.00%	0.10%	0.05%	0.06%	0.08%	0.00%	0.10%	0.09%	0.08%	0.07%	0.09%	0.06%	0.09%	0.10%	0.08%	0.09%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5707	61	83	94	169	132	90	142	102	119	124	138	143	125	145	162	16	61	27	28	35	16	83	55	51	131	193	189	195	164	109	182	168	165	133	131	115	122	153	152	179	167	84	157	122	147	109	97	142									
		8.70%	8.21%	8.34%	8.60%	8.73%	8.59%	9.12%	8.72%	7.51%	7.35%	8.45%	7.56%	8.17%	9.66%	11.48%	12.04%	9.30%	10.30%	8.23%	8.81%	7.80%	11.76%	7.09%	9.98%	5.61%	8.26%	10.91%	10.05%	10.31%	10.14%	5.44%	10.70%	11.73%	8.35%	6.95%	8.38%	9.03%	7.20%	7.92%	7.07%	7.23%	12.06%	7.45%	9.79%	10.86%	7.63%	9.15%	8.65%	7.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	50	0	1	1	1	2	1	1	1	1	1	2	1	1	1	1	0	1	0	0	1	0	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1									
		0.08%	0.00%	0.10%	0.09%	0.05%	0.13%	0.10%	0.06%	0.07%	0.06%	0.07%	0.11%	0.06%	0.08%	0.08%	0.07%	0.00%	0.17%	0.00%	0.00%	0.22%	0.00%	0.09%	0.18%	0.11%	0.13%	0.06%	0.05%	0.05%	0.06%	0.05%	0.12%	0.07%	0.10%	0.05%	0.13%	0.08%	0.06%	0.05%	0.05%	0.04%	0.07%	0.09%	0.06%	0.09%	0.10%	0.08%	0.09%	0.06%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	72	1	1	1	3	1	1	2	1	1	1	2	2	1	1	2	1	0	0	2	2	1	1	1	1	1	1	2	2	1	2	1	1	1	3	2	2	1	3	1	3	2	2	2	2	2	1	2	2									
		0.11%	0.13%	0.10%	0.09%	0.16%	0.07%	0.10%	0.12%	0.07%	0.06%	0.07%	0.11%	0.11%	0.08%	0.08%	0.15%	0.58%	0.00%	0.00%	0.63%	0.45%	0.74%	0.09%	0.18%	0.11%	0.06%	0.06%	0.11%	0.11%	0.06%	0.10%	0.06%	0.07%	0.05%	0.16%	0.13%	0.16%	0.06%	0.16%	0.05%	0.12%	0.14%	0.18%	0.12%	0.18%	0.10%	0.08%	0.18%	0.11%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	71	1	2	1	1	1	1	2	2	2	1	1	1	2	2	1	1	1	0	2	2	2	1	1	2	2	1	2	2	1	1	1	2	2	2	3	0	1	3	1	2	1	1	2	2	1	2	1	2									
		0.11%	0.13%	0.20%	0.09%	0.05%	0.07%	0.10%	0.12%	0.15%	0.12%	0.07%	0.05%	0.06%	0.15%	0.16%	0.07%	0.58%	0.17%	0.00%	0.63%	0.45%	1.47%	0.09%	0.18%	0.22%	0.13%	0.06%	0.11%	0.11%	0.06%	0.05%	0.06%	0.14%	0.10%	0.10%	0.19%	0.00%	0.06%	0.16%	0.05%	0.08%	0.07%	0.09%	0.12%	0.18%	0.05%	0.17%	0.09%	0.11%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	131	2	5	3	2	3	1	3	4	3	4	2	2	2	3	3	2	1	1	1	1	1	1	3	1	4	3	4	3	5	3	3	2	4	3	3	2	3	4	3	4	3	3	2	4	3	2	3	4									
		0.20%	0.27%	0.50%	0.27%	0.10%	0.20%	0.10%	0.18%	0.29%	0.19%	0.27%	0.11%	0.11%	0.15%	0.24%	0.22%	1.16%	0.17%	0.30%	0.31%	0.22%	0.74%	0.09%	0.54%	0.11%	0.25%	0.17%	0.21%	0.16%	0.31%	0.15%	0.18%	0.14%	0.20%	0.16%	0.19%	0.16%	0.18%	0.21%	0.14%	0.16%	0.22%	0.27%	0.12%	0.36%	0.16%	0.17%	0.27%	0.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6494	82	94	118	174	161	102	176	124	118	154	156	167	146	148	164	29	78	34	48	56	21	109	74	81	182	192	196	184	168	138	182	162	165	173	132	119	143	159	168	198	152	112	198	158	163	117	127	192									
		9.90%	11.04%	9.45%	10.80%	8.99%	10.47%	10.33%	10.81%	9.12%	7.29%	10.50%	8.55%	9.54%	11.28%	11.72%	12.18%	16.86%	13.18%	10.37%	15.09%	12.47%	15.44%	9.31%	13.43%	8.91%	11.48%	10.85%	10.42%	9.73%	10.39%	6.89%	10.70%	11.31%	8.35%	9.04%	8.45%	9.35%	8.44%	8.23%	7.81%	7.99%	10.97%	9.93%	12.35%	14.07%	8.46%	9.82%	11.32%	10.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	66	1	1	1	2	1	1	1	2	2	1	1	2	1	1	1	0	1	1	1	3	1	2	1	0	1	1	2	1	2	1	1	2	2	1	1	2	3	2	2	2	3	0	2	1	2	1	1	1									
		0.10%	0.13%	0.10%	0.09%	0.10%	0.07%	0.10%	0.06%	0.15%	0.12%	0.07%	0.05%	0.11%	0.08%	0.08%	0.07%	0.00%	0.17%	0.30%	0.31%	0.67%	0.74%	0.17%	0.18%	0.00%	0.06%	0.06%	0.11%	0.05%	0.12%	0.05%	0.06%	0.14%	0.10%	0.05%	0.06%	0.16%	0.18%	0.10%	0.09%	0.08%	0.22%	0.00%	0.12%	0.09%	0.10%	0.08%	0.09%	0.06%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3083	36	44	49	80	75	52	81	58	82	72	87	85	62	52	64	8	27	18	15	23	7	65	22	44	79	89	93	82	71	98	80	71	80	92	72	67	79	101	96	102	59	55	75	49	83	59	52	91									
		4.70%	4.85%	4.42%	4.48%	4.13%	4.88%	5.27%	4.98%	4.27%	5.06%	4.91%	4.77%	4.86%	4.79%	4.12%	4.75%	4.65%	4.56%	5.49%	4.72%	5.12%	5.15%	5.55%	3.99%	4.84%	4.98%	5.03%	4.94%	4.34%	4.39%	4.89%	4.70%	4.96%	4.05%	4.81%	4.61%	5.26%	4.66%	5.23%	4.47%	4.12%	4.26%	4.88%	4.68%	4.36%	4.31%	4.95%	4.63%	5.08%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
