Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Щекинская																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	930	25	25	35	35	27	40	40	20	20	32	20	25	15	25	35	18	20	25	25	10	25	25	3	25	30	30	8	5	15	20	10	5	10	5	5	10	5	5	4	3	3	3	3	3	3	10	5	15	35	5	5	5	5	5	10	5	25	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	778	20	21	27	25	23	24	31	14	12	27	14	25	10	22	23	18	20	18	19	9	25	18	3	23	22	24	8	5	15	20	10	5	10	4	2	6	5	5	4	3	3	3	3	3	1	10	5	15	35	5	1	5	5	5	10	5	25	5	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	647	18	25	17	20	19	19	17	14	10	17	4	16	8	13	17	15	23	12	12	9	30	36	21	30	30	18	4	7	3	4	4	2	12	5	6	9	2	6	6	3	5	3	5	5	10	8	7	3	6	2	3	15	1	2	6	5	6	7	5									
14	Число погашенных неиспользованных открепительных удостоверений	152	5	4	8	10	4	16	9	6	8	5	6	0	5	3	12	0	0	7	6	1	0	7	0	2	8	6	0	0	0	0	0	0	0	1	3	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	254	7	8	3	8	13	11	5	5	6	12	4	7	3	10	7	8	8	8	11	6	11	20	3	5	3	2	1	0	6	4	2	1	0	0	0	0	4	1	2	1	1	0	1	1	1	1	2	10	2	6	3	0	0	0	0	0	3	0	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	539	22	36	30	20	14	21	10	1	10	17	8	12	11	12	10	16	12	12	22	4	18	24	0	22	19	24	5	1	8	16	6	2	9	3	0	6	3	4	5	3	1	5	1	5	1	5	5	4	8	1	4	2	0	1	1	6	5	0	6									
		1.50%	1.98%	3.21%	3.06%	1.88%	1.21%	1.87%	0.96%	0.14%	2.21%	1.61%	1.85%	1.44%	2.08%	1.28%	1.05%	1.70%	1.66%	1.64%	2.53%	0.87%	1.56%	2.42%	0.00%	2.01%	1.79%	2.07%	1.18%	0.40%	0.79%	1.83%	1.57%	0.68%	1.48%	1.10%	0.00%	2.32%	0.64%	0.86%	1.60%	1.20%	0.46%	1.69%	0.38%	1.27%	0.38%	1.13%	1.30%	0.49%	0.96%	0.38%	2.16%	0.82%	0.00%	0.75%	0.30%	2.04%	0.61%	0.00%	1.38%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	922	29	43	23	28	22	15	24	19	9	21	8	36	20	41	29	19	18	14	23	13	39	28	11	25	30	30	15	7	20	33	17	9	15	8	5	7	13	19	5	5	7	10	0	6	1	10	8	14	8	5	4	2	3	4	3	7	22	3	10									
		2.56%	2.61%	3.84%	2.35%	2.63%	1.90%	1.34%	2.30%	2.58%	1.99%	1.99%	1.85%	4.32%	3.79%	4.38%	3.06%	2.01%	2.50%	1.91%	2.65%	2.84%	3.38%	2.82%	3.24%	2.28%	2.83%	2.59%	3.55%	2.82%	1.96%	3.77%	4.45%	3.08%	2.46%	2.94%	3.11%	2.70%	2.79%	4.09%	1.60%	1.99%	3.20%	3.38%	0.00%	1.52%	0.38%	2.26%	2.07%	1.72%	0.96%	1.89%	2.16%	0.82%	2.42%	2.99%	0.90%	2.38%	2.69%	2.24%	2.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	920	30	44	25	24	36	35	36	22	6	20	13	29	17	24	18	20	17	11	0	11	30	19	10	34	28	33	8	7	21	29	8	6	19	6	2	7	10	19	9	10	5	4	5	4	7	9	14	19	13	9	5	0	1	5	6	10	33	2	16									
		2.56%	2.70%	3.93%	2.55%	2.25%	3.11%	3.12%	3.45%	2.99%	1.33%	1.90%	3.01%	3.48%	3.22%	2.56%	1.90%	2.12%	2.36%	1.50%	0.00%	2.40%	2.60%	1.91%	2.94%	3.11%	2.64%	2.85%	1.89%	2.82%	2.06%	3.31%	2.09%	2.05%	3.12%	2.21%	1.24%	2.70%	2.15%	4.09%	2.88%	3.98%	2.28%	1.35%	1.92%	1.02%	2.68%	2.04%	3.63%	2.33%	1.55%	3.41%	2.70%	0.00%	0.81%	3.73%	1.79%	3.40%	4.03%	1.49%	3.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18894	520	514	443	525	558	545	495	392	237	547	211	365	235	526	465	525	335	484	370	222	563	470	229	560	523	576	215	124	418	431	238	182	347	158	109	141	283	237	164	132	138	155	191	244	191	250	228	559	535	155	121	199	78	70	230	176	424	96	240									
		52.55%	46.80%	45.89%	45.25%	49.30%	48.23%	48.57%	47.46%	53.26%	52.43%	51.90%	48.84%	43.82%	44.51%	56.14%	49.05%	55.67%	46.46%	66.03%	42.63%	48.47%	48.79%	47.33%	67.35%	51.14%	49.29%	49.70%	50.83%	50.00%	41.02%	49.26%	62.30%	62.33%	56.98%	58.09%	67.70%	54.44%	60.73%	50.97%	52.40%	52.59%	63.01%	52.36%	73.46%	61.93%	73.18%	56.56%	59.07%	68.67%	63.92%	58.71%	65.41%	81.89%	62.90%	52.24%	68.66%	59.86%	51.77%	71.64%	55.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	349	17	9	8	8	21	16	11	11	4	14	5	5	10	8	8	6	6	1	10	5	10	10	2	16	10	7	5	2	15	15	4	2	8	4	1	1	1	4	4	1	0	7	2	3	0	2	6	6	4	1	1	1	0	2	0	0	8	1	0									
		0.97%	1.53%	0.80%	0.82%	0.75%	1.82%	1.43%	1.05%	1.49%	0.88%	1.33%	1.16%	0.60%	1.89%	0.85%	0.84%	0.64%	0.83%	0.14%	1.15%	1.09%	0.87%	1.01%	0.59%	1.46%	0.94%	0.60%	1.18%	0.81%	1.47%	1.71%	1.05%	0.68%	1.31%	1.47%	0.62%	0.39%	0.21%	0.86%	1.28%	0.40%	0.00%	2.36%	0.77%	0.76%	0.00%	0.45%	1.55%	0.74%	0.48%	0.38%	0.54%	0.41%	0.00%	1.49%	0.00%	0.00%	0.98%	0.75%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	64	1	4	3	2	5	3	3	2	1	3	3	0	1	1	0	3	1	2	1	0	0	4	0	0	2	0	2	0	0	1	0	0	2	2	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	3									
		0.18%	0.09%	0.36%	0.31%	0.19%	0.43%	0.27%	0.29%	0.27%	0.22%	0.28%	0.69%	0.00%	0.19%	0.11%	0.00%	0.32%	0.14%	0.27%	0.12%	0.00%	0.00%	0.40%	0.00%	0.00%	0.19%	0.00%	0.47%	0.00%	0.00%	0.11%	0.00%	0.00%	0.33%	0.74%	0.00%	0.00%	0.21%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.25%	0.00%	0.23%	0.00%	0.12%	0.12%	0.00%	0.00%	0.00%	0.81%	0.00%	0.30%	0.00%	0.12%	0.00%	0.69%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5753	179	178	157	181	202	193	159	134	78	190	91	157	111	79	170	140	135	65	112	70	190	180	28	173	180	179	69	35	257	145	54	35	69	25	20	45	76	68	57	36	34	54	27	68	32	66	70	103	114	40	23	16	27	29	42	43	170	13	80									
		16.00%	16.11%	15.89%	16.04%	16.99%	17.46%	17.20%	15.24%	18.21%	17.26%	18.03%	21.06%	18.85%	21.02%	8.43%	17.93%	14.85%	18.72%	8.87%	12.90%	15.28%	16.46%	18.13%	8.24%	15.80%	16.97%	15.44%	16.31%	14.11%	25.22%	16.57%	14.14%	11.99%	11.33%	9.19%	12.42%	17.37%	16.31%	14.62%	18.21%	14.34%	15.53%	18.24%	10.38%	17.26%	12.26%	14.93%	18.13%	12.65%	13.62%	15.15%	12.43%	6.58%	21.77%	21.64%	12.54%	14.63%	20.76%	9.70%	18.43%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	252	14	0	9	7	5	15	7	12	3	6	6	3	7	11	11	8	2	3	8	3	18	6	2	6	8	16	0	3	8	2	4	5	0	1	2	4	0	3	0	2	1	0	0	0	1	2	1	0	3	2	1	1	0	1	0	0	4	1	4									
		0.70%	1.26%	0.00%	0.92%	0.66%	0.43%	1.34%	0.67%	1.63%	0.66%	0.57%	1.39%	0.36%	1.33%	1.17%	1.16%	0.85%	0.28%	0.41%	0.92%	0.66%	1.56%	0.60%	0.59%	0.55%	0.75%	1.38%	0.00%	1.21%	0.79%	0.23%	1.05%	1.71%	0.00%	0.37%	1.24%	1.54%	0.00%	0.65%	0.00%	0.80%	0.46%	0.00%	0.00%	0.00%	0.38%	0.45%	0.26%	0.00%	0.36%	0.76%	0.54%	0.41%	0.00%	0.75%	0.00%	0.00%	0.49%	0.75%	0.92%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	288	12	0	5	6	17	16	7	6	4	7	2	14	6	8	8	7	11	10	6	4	5	5	2	9	8	16	2	1	8	4	3	0	9	2	1	1	0	2	3	1	3	2	1	3	0	5	3	4	9	2	1	0	1	1	2	3	5	0	5									
		0.80%	1.08%	0.00%	0.51%	0.56%	1.47%	1.43%	0.67%	0.82%	0.88%	0.66%	0.46%	1.68%	1.14%	0.85%	0.84%	0.74%	1.53%	1.36%	0.69%	0.87%	0.43%	0.50%	0.59%	0.82%	0.75%	1.38%	0.47%	0.40%	0.79%	0.46%	0.79%	0.00%	1.48%	0.74%	0.62%	0.39%	0.00%	0.43%	0.96%	0.40%	1.37%	0.68%	0.38%	0.76%	0.00%	1.13%	0.78%	0.49%	1.08%	0.76%	0.54%	0.00%	0.81%	0.75%	0.60%	1.02%	0.61%	0.00%	1.15%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	40	5	0	1	2	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	1	0	0	0	2	0	1	1	1	1	1	0	2	2	0	0	1	0	0	0	0	1	2	2	1	3	0	0	0	0	0	0	0	3	0	0									
		0.11%	0.45%	0.00%	0.10%	0.19%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.09%	0.00%	0.00%	0.00%	0.81%	0.00%	0.11%	0.26%	0.34%	0.16%	0.37%	0.00%	0.77%	0.43%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.38%	0.45%	0.52%	0.12%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	561	13	28	17	16	26	26	25	15	5	18	7	19	8	20	17	20	9	8	20	3	21	20	6	18	21	27	3	1	10	10	2	3	9	2	2	6	3	10	9	0	1	6	4	0	3	7	2	7	8	0	3	0	0	1	1	3	4	2	6									
		1.56%	1.17%	2.50%	1.74%	1.50%	2.25%	2.32%	2.40%	2.04%	1.11%	1.71%	1.62%	2.28%	1.52%	2.13%	1.79%	2.12%	1.25%	1.09%	2.30%	0.66%	1.82%	2.01%	1.76%	1.64%	1.98%	2.33%	0.71%	0.40%	0.98%	1.14%	0.52%	1.03%	1.48%	0.74%	1.24%	2.32%	0.64%	2.15%	2.88%	0.00%	0.46%	2.03%	1.54%	0.00%	1.15%	1.58%	0.52%	0.86%	0.96%	0.00%	1.62%	0.00%	0.00%	0.75%	0.30%	1.02%	0.49%	1.49%	1.38%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5190	155	168	169	166	162	176	182	96	64	148	52	112	78	136	134	138	130	74	260	91	184	147	38	167	133	167	62	44	207	140	35	35	77	36	14	27	58	77	45	53	19	42	22	38	22	67	36	71	92	44	19	17	8	17	40	30	107	12	50									
		14.44%	13.95%	15.00%	17.26%	15.59%	14.00%	15.69%	17.45%	13.04%	14.16%	14.04%	12.04%	13.45%	14.77%	14.51%	14.14%	14.63%	18.03%	10.10%	29.95%	19.87%	15.94%	14.80%	11.18%	15.25%	12.54%	14.41%	14.66%	17.74%	20.31%	16.00%	9.16%	11.99%	12.64%	13.24%	8.70%	10.42%	12.45%	16.56%	14.38%	21.12%	8.68%	14.19%	8.46%	9.64%	8.43%	15.16%	9.33%	8.72%	10.99%	16.67%	10.27%	6.99%	6.45%	12.69%	11.94%	10.20%	13.06%	8.96%	11.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	148	3	5	5	6	8	2	4	0	3	2	1	1	2	5	4	4	3	4	5	0	4	3	0	4	37	3	2	0	2	0	4	0	2	3	0	1	1	1	2	0	0	0	0	3	0	0	2	1	1	0	0	1	1	0	1	0	1	0	1									
		0.41%	0.27%	0.45%	0.51%	0.56%	0.69%	0.18%	0.38%	0.00%	0.66%	0.19%	0.23%	0.12%	0.38%	0.53%	0.42%	0.42%	0.42%	0.55%	0.58%	0.00%	0.35%	0.30%	0.00%	0.37%	3.49%	0.26%	0.47%	0.00%	0.20%	0.00%	1.05%	0.00%	0.33%	1.10%	0.00%	0.39%	0.21%	0.22%	0.64%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.52%	0.12%	0.12%	0.00%	0.00%	0.41%	0.81%	0.00%	0.30%	0.00%	0.12%	0.00%	0.23%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1383	81	80	60	57	55	55	50	19	23	40	11	40	16	40	53	30	26	31	31	18	58	50	11	38	46	52	20	11	31	25	6	3	25	13	5	6	14	11	7	3	5	6	7	7	1	8	6	15	22	5	3	3	4	2	3	10	12	4	9									
		3.85%	7.29%	7.14%	6.13%	5.35%	4.75%	4.90%	4.79%	2.58%	5.09%	3.80%	2.55%	4.80%	3.03%	4.27%	5.59%	3.18%	3.61%	4.23%	3.57%	3.93%	5.03%	5.04%	3.24%	3.47%	4.34%	4.49%	4.73%	4.44%	3.04%	2.86%	1.57%	1.03%	4.11%	4.78%	3.11%	2.32%	3.00%	2.37%	2.24%	1.20%	2.28%	2.03%	2.69%	1.78%	0.38%	1.81%	1.55%	1.84%	2.63%	1.89%	1.62%	1.23%	3.23%	1.49%	0.90%	3.40%	1.47%	2.99%	2.07%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
