Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Никифоровская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316					
		1.58%	1.82%	1.71%	0.55%	1.86%	4.91%	1.14%	0.85%	2.30%	1.87%	1.46%	1.12%	1.64%	0.0%	1.28%	0.0%	1.34%	0.49%	0.71%	1.65%	3.17%	2.17%	1.49%	0.99%	2.38%	0.85%	0.26%	0.0%	3.29%	4.08%	1.08%	3.31%					
22	"5. ""За Русь Святую"""	53	3	2	4	2	2	0	3	0	2	1	4	2	0	1	0	1	1	2	2	4	0	2	4	1	1	3	1	0	3	1	1					
		0.54%	0.27%	0.17%	0.55%	0.93%	1.09%	0.0%	1.27%	0.0%	0.74%	0.36%	1.12%	1.09%	0.0%	0.32%	0.0%	0.44%	0.49%	1.43%	0.47%	0.90%	0.0%	0.49%	1.98%	0.39%	0.85%	0.8%	0.78%	0.0%	1.53%	0.54%	0.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	1	0	3	1	0	0	3	2	2	0	0	0	0	2	0	0	2	0	0	2	0	1	3	4	0	1	0	0	2	1	0					
		0.30%	0.09%	0.0%	0.41%	0.46%	0.0%	0.0%	1.27%	0.76%	0.74%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.98%	0.0%	0.0%	0.45%	0.0%	0.24%	1.48%	1.58%	0.0%	0.26%	0.0%	0.0%	1.02%	0.54%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	50	9	8	3	1	2	6	1	1	2	3	2	0	0	0	1	0	0	0	2	2	0	1	1	1	0	1	1	0	1	1	0					
		0.51%	0.82%	0.68%	0.41%	0.46%	1.09%	0.97%	0.42%	0.38%	0.74%	1.09%	0.56%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.0%	0.47%	0.45%	0.0%	0.24%	0.49%	0.39%	0.0%	0.26%	0.78%	0.0%	0.51%	0.54%	0.0%					
25	"8. ""Народно-республиканская партия России"""	14	0	3	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	3	0	0	1	1	0	0	0	0	0	0	1					
		0.14%	0.0%	0.25%	0.0%	0.0%	0.0%	0.16%	0.0%	0.38%	0.0%	0.36%	0.0%	0.0%	0.0%	0.32%	0.0%	0.44%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.49%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	5	5	0	1	0	1	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	1					
		0.22%	0.45%	0.42%	0.0%	0.46%	0.0%	0.16%	0.85%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.32%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.79%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.66%					
27	"10. ""Аграрная партия России"""	1098	95	90	56	19	18	37	59	35	30	36	22	8	20	67	19	29	25	26	34	23	18	18	17	44	14	105	27	5	27	40	35					
		11.28%	8.67%	7.71%	7.75%	8.87%	9.83%	6.02%	25.10%	13.46%	11.23%	13.18%	6.17%	4.39%	15.38%	21.47%	18.44%	13.00%	12.31%	18.70%	8.03%	5.21%	19.56%	4.48%	8.41%	17.46%	11.96%	28.0%	21.25%	5.49%	13.77%	21.73%	23.17%					
28	"11. ""Истинные патриоты России"""	9	2	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0					
		0.09%	0.18%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.51%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	85	5	12	6	0	1	3	1	2	2	1	6	5	1	2	4	0	1	2	4	5	0	2	2	4	0	6	1	1	2	2	2					
		0.87%	0.45%	1.02%	0.83%	0.0%	0.54%	0.48%	0.42%	0.76%	0.74%	0.36%	1.68%	2.74%	0.76%	0.64%	3.88%	0.0%	0.49%	1.43%	0.94%	1.13%	0.0%	0.49%	0.99%	1.58%	0.0%	1.6%	0.78%	1.09%	1.02%	1.08%	1.32%					
30	"13. ""Демократическая партия России"""	20	2	2	0	0	0	2	1	0	2	3	1	0	0	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	1					
		0.20%	0.18%	0.17%	0.0%	0.0%	0.0%	0.32%	0.42%	0.0%	0.74%	1.09%	0.28%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.08%	0.74%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	1	3	1	0	1	1	1	0	0	0	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1					
		0.18%	0.09%	0.25%	0.13%	0.0%	0.54%	0.16%	0.42%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.32%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.63%	0.66%					
32	"15. ""Партия СЛОН"""	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.85%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	640	76	99	56	16	11	61	11	16	7	16	40	8	6	15	9	7	7	6	33	46	3	22	8	10	6	15	10	6	7	5	2					
		6.57%	6.94%	8.48%	7.75%	7.47%	6.01%	9.93%	4.68%	6.15%	2.62%	5.86%	11.23%	4.39%	4.61%	4.80%	8.73%	3.13%	3.44%	4.31%	7.80%	10.43%	3.26%	5.48%	3.96%	3.96%	5.12%	4.0%	7.87%	6.59%	3.57%	2.71%	1.32%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	36	4	4	0	0	0	2	0	4	0	2	2	4	0	1	0	2	0	1	1	1	0	4	0	1	0	1	0	0	0	2	0					
		0.36%	0.36%	0.34%	0.0%	0.0%	0.0%	0.32%	0.0%	1.53%	0.0%	0.73%	0.56%	2.19%	0.0%	0.32%	0.0%	0.89%	0.0%	0.71%	0.23%	0.22%	0.0%	0.99%	0.0%	0.39%	0.0%	0.26%	0.0%	0.0%	0.0%	1.08%	0.0%					
35	"18. ""ЛДПР"""	1114	134	144	103	30	15	88	15	18	34	31	19	11	17	16	6	41	29	15	41	46	16	64	30	42	9	41	17	4	18	11	9					
		11.44%	12.23%	12.33%	14.26%	14.01%	8.19%	14.33%	6.38%	6.92%	12.73%	11.35%	5.33%	6.04%	13.07%	5.12%	5.82%	18.38%	14.28%	10.79%	9.69%	10.43%	17.39%	15.96%	14.85%	16.66%	7.69%	10.93%	13.38%	4.39%	9.18%	5.97%	5.96%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	151	21	11	14	2	1	12	2	0	5	3	0	2	3	5	2	3	3	3	5	10	2	3	6	4	0	7	5	5	2	9	1					
		1.55%	1.91%	0.94%	1.93%	0.93%	0.54%	1.95%	0.85%	0.0%	1.87%	1.09%	0.0%	1.09%	2.30%	1.60%	1.94%	1.34%	1.47%	2.15%	1.18%	2.26%	2.17%	0.74%	2.97%	1.58%	0.0%	1.86%	3.93%	5.49%	1.02%	4.89%	0.66%					
37	"20. ""Политическая партия ""Единая Россия"""	2350	258	306	221	60	56	140	42	67	53	80	53	63	35	37	16	24	42	31	140	136	20	84	67	43	46	66	23	33	42	48	18					
		24.15%	23.56%	26.22%	30.60%	28.03%	30.60%	22.80%	17.87%	25.76%	19.85%	29.30%	14.88%	34.61%	26.92%	11.85%	15.53%	10.76%	20.68%	22.30%	33.09%	30.83%	21.73%	20.94%	33.16%	17.06%	39.31%	17.6%	18.11%	36.26%	21.42%	26.08%	11.92%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	0	4	0	0	0	1	0	1	1	2	0	1	0	1	0	0	0	0	2	1	0	1	0	1	1	0	0	1	0	0	0					
		0.18%	0.0%	0.34%	0.0%	0.0%	0.0%	0.16%	0.0%	0.38%	0.37%	0.73%	0.0%	0.54%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.47%	0.22%	0.0%	0.24%	0.0%	0.39%	0.85%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	14	2	5	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1					
		0.14%	0.18%	0.42%	0.13%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.66%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1810	236	240	102	25	23	101	23	60	40	36	139	42	27	84	26	48	36	32	68	70	8	95	24	29	11	62	23	15	35	17	33					
		18.60%	21.55%	20.56%	14.12%	11.68%	12.56%	16.44%	9.78%	23.07%	14.98%	13.18%	39.04%	23.07%	20.76%	26.92%	25.24%	21.52%	17.73%	23.02%	16.07%	15.87%	8.69%	23.69%	11.88%	11.50%	9.40%	16.53%	18.11%	16.48%	17.85%	9.23%	21.85%					
																																						
41	Против всех	412	67	66	28	6	2	31	9	4	15	12	16	7	1	8	1	10	11	4	8	28	4	12	6	10	6	10	4	0	7	15	4					
		4.23%	6.11%	5.65%	3.87%	2.80%	1.09%	5.04%	3.82%	1.53%	5.61%	4.39%	4.49%	3.84%	0.76%	2.56%	0.97%	4.48%	5.41%	2.87%	1.89%	6.34%	4.34%	2.99%	2.97%	3.96%	5.12%	2.66%	3.14%	0.0%	3.57%	8.15%	2.64%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
