Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Октябрьская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №2002	УИК №2003	УИК №2005	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2017	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2080	УИК №2081									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	763	28	10	10	40	15	10	15	5	15	5	3	7	6	6	20	10	15	30	10	30	10	10	20	15	10	35	30	5	15	30	30	30	20	30	15	25	10	5	28	5	15	5	20	5	25	10	15	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	694	28	10	0	40	15	10	9	3	15	1	2	7	6	2	20	0	15	30	10	30	10	5	20	15	10	35	30	5	11	30	30	30	15	20	15	25	3	5	27	5	15	5	20	5	25	10	15	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	446	3	2	4	4	6	2	4	1	2	2	1	1	5	2	3	3	0	1	0	4	3	3	2	2	1	23	11	7	0	5	8	9	4	6	5	6	2	4	0	1	1	4	8	3	3	2	2	1	270									
14	Число погашенных неиспользованных открепительных удостоверений	69	0	0	10	0	0	0	6	2	0	4	1	0	0	4	0	10	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	5	10	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	2	0	0	0	0	2	3	2	4	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	7	3	1	5	6	1	3	5	12	1	3	1	0	1	0	2	0	5	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	184	1	0	1	3	3	0	3	7	9	0	6	0	0	6	3	4	0	10	5	2	8	5	3	5	9	14	9	1	4	7	5	2	0	4	5	4	5	8	3	2	7	2	0	0	4	4	1	0	0									
		1.24%	0.33%	0.00%	0.29%	0.67%	1.91%	0.00%	0.76%	2.33%	1.21%	0.00%	2.88%	0.00%	0.00%	2.93%	0.40%	2.80%	0.00%	4.08%	1.57%	0.70%	3.02%	1.32%	0.97%	1.48%	3.61%	1.96%	1.61%	0.51%	1.53%	1.09%	1.31%	0.27%	0.00%	1.09%	2.49%	0.88%	2.40%	2.20%	0.99%	1.32%	2.72%	2.04%	0.00%	0.00%	0.74%	2.09%	0.76%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	452	8	1	11	17	3	3	6	5	12	5	5	3	2	9	14	9	3	8	16	10	19	10	24	13	13	16	25	9	11	26	7	22	5	6	6	12	10	7	7	8	9	2	4	11	14	2	4	0	0									
		3.03%	2.61%	0.76%	3.15%	3.78%	1.91%	1.12%	1.53%	1.67%	1.61%	3.38%	2.40%	4.23%	1.94%	4.39%	1.89%	6.29%	2.13%	3.27%	5.03%	3.52%	7.17%	2.64%	7.74%	3.85%	5.22%	2.24%	4.48%	4.55%	4.21%	4.06%	1.84%	2.98%	3.11%	1.64%	2.99%	2.64%	4.81%	1.92%	2.30%	5.26%	3.50%	2.04%	1.65%	8.09%	2.57%	1.05%	3.03%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	357	8	1	5	7	0	5	5	5	17	3	0	1	2	11	8	10	2	13	12	4	3	8	5	15	10	21	7	1	8	19	11	25	5	15	5	5	6	23	13	3	1	2	4	6	8	5	1	3	0									
		2.40%	2.61%	0.76%	1.43%	1.56%	0.00%	1.86%	1.27%	1.67%	2.28%	2.03%	0.00%	1.41%	1.94%	5.37%	1.08%	6.99%	1.42%	5.31%	3.77%	1.41%	1.13%	2.11%	1.61%	4.44%	4.02%	2.94%	1.25%	0.51%	3.07%	2.96%	2.89%	3.39%	3.11%	4.10%	2.49%	1.10%	2.88%	6.32%	4.28%	1.97%	0.39%	2.04%	1.65%	4.41%	1.47%	2.62%	0.76%	4.11%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8123	187	102	196	307	126	145	181	200	403	84	153	39	73	107	485	45	108	100	88	108	94	170	92	82	77	341	286	132	107	408	237	436	77	253	90	255	87	148	164	69	141	54	185	51	378	108	74	34	256									
		54.54%	61.11%	77.27%	56.16%	68.22%	80.25%	53.90%	46.06%	66.67%	54.09%	56.76%	73.56%	54.93%	70.87%	52.20%	65.45%	31.47%	76.60%	40.82%	27.67%	38.03%	35.47%	44.85%	29.68%	24.26%	30.92%	47.76%	51.25%	66.67%	40.99%	63.65%	62.20%	59.08%	47.83%	69.13%	44.78%	56.04%	41.83%	40.66%	53.95%	45.39%	54.86%	55.10%	76.13%	37.50%	69.49%	56.54%	56.06%	46.58%	94.81%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	77	0	1	2	0	1	3	5	5	5	4	0	0	0	2	1	0	2	1	1	2	1	1	2	2	0	1	7	1	0	5	0	5	0	2	0	5	0	1	0	0	3	1	4	0	0	0	0	0	1									
		0.52%	0.00%	0.76%	0.57%	0.00%	0.64%	1.12%	1.27%	1.67%	0.67%	2.70%	0.00%	0.00%	0.00%	0.98%	0.13%	0.00%	1.42%	0.41%	0.31%	0.70%	0.38%	0.26%	0.65%	0.59%	0.00%	0.14%	1.25%	0.51%	0.00%	0.78%	0.00%	0.68%	0.00%	0.55%	0.00%	1.10%	0.00%	0.27%	0.00%	0.00%	1.17%	1.02%	1.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	38	0	0	0	0	0	0	1	6	4	1	0	0	1	0	2	0	0	0	3	0	2	1	1	0	1	1	0	0	1	0	0	3	0	1	1	1	0	6	0	1	0	0	0	0	0	0	0	0	0									
		0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	2.00%	0.54%	0.68%	0.00%	0.00%	0.97%	0.00%	0.27%	0.00%	0.00%	0.00%	0.94%	0.00%	0.75%	0.26%	0.32%	0.00%	0.40%	0.14%	0.00%	0.00%	0.38%	0.00%	0.00%	0.41%	0.00%	0.27%	0.50%	0.22%	0.00%	1.65%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2406	45	10	41	46	11	59	103	40	79	29	25	9	11	31	149	37	14	39	74	93	54	85	87	47	62	120	91	15	53	63	63	108	26	40	44	52	56	48	59	39	36	18	33	19	57	29	33	18	6									
		16.15%	14.71%	7.58%	11.75%	10.22%	7.01%	21.93%	26.21%	13.33%	10.60%	19.59%	12.02%	12.68%	10.68%	15.12%	20.11%	25.87%	9.93%	15.92%	23.27%	32.75%	20.38%	22.43%	28.06%	13.91%	24.90%	16.81%	16.31%	7.58%	20.31%	9.83%	16.54%	14.63%	16.15%	10.93%	21.89%	11.43%	26.92%	13.19%	19.41%	25.66%	14.01%	18.37%	13.58%	13.97%	10.48%	15.18%	25.00%	24.66%	2.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	44	1	1	1	0	0	2	1	0	0	1	1	0	0	0	2	0	0	0	2	1	0	0	1	1	0	5	1	2	0	1	1	1	1	1	2	0	1	5	1	0	1	0	0	0	0	2	1	1	2									
		0.30%	0.33%	0.76%	0.29%	0.00%	0.00%	0.74%	0.25%	0.00%	0.00%	0.68%	0.48%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.63%	0.35%	0.00%	0.00%	0.32%	0.30%	0.00%	0.70%	0.18%	1.01%	0.00%	0.16%	0.26%	0.14%	0.62%	0.27%	0.99%	0.00%	0.48%	1.37%	0.33%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	1.05%	0.76%	1.37%	0.74%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	86	0	1	2	4	0	4	2	0	2	1	2	0	0	0	5	0	0	0	2	3	1	2	3	3	2	5	4	0	1	6	4	3	1	1	1	3	0	8	1	1	3	1	1	1	0	0	1	0	1									
		0.58%	0.00%	0.76%	0.57%	0.89%	0.00%	1.49%	0.51%	0.00%	0.27%	0.68%	0.96%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.63%	1.06%	0.38%	0.53%	0.97%	0.89%	0.80%	0.70%	0.72%	0.00%	0.38%	0.94%	1.05%	0.41%	0.62%	0.27%	0.50%	0.66%	0.00%	2.20%	0.33%	0.66%	1.17%	1.02%	0.41%	0.74%	0.00%	0.00%	0.76%	0.00%	0.37%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	0	0	2	0	0	0	2	0	6	0	0	0	0	0	2	1	0	0	0	1	0	2	0	1	2	2	3	1	0	1	0	0	0	1	0	3	0	9	1	0	1	0	0	1	0	0	1	1	1									
		0.30%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.51%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.70%	0.00%	0.00%	0.00%	0.35%	0.00%	0.53%	0.00%	0.30%	0.80%	0.28%	0.54%	0.51%	0.00%	0.16%	0.00%	0.00%	0.00%	0.27%	0.00%	0.66%	0.00%	2.47%	0.33%	0.00%	0.39%	0.00%	0.00%	0.74%	0.00%	0.00%	0.76%	1.37%	0.37%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	178	1	0	3	0	0	4	6	2	18	4	0	1	0	0	4	0	0	4	3	5	3	3	4	1	3	16	9	1	2	3	2	11	0	2	1	40	0	10	3	0	2	0	0	6	1	0	0	0	0									
		1.20%	0.33%	0.00%	0.86%	0.00%	0.00%	1.49%	1.53%	0.67%	2.42%	2.70%	0.00%	1.41%	0.00%	0.00%	0.54%	0.00%	0.00%	1.63%	0.94%	1.76%	1.13%	0.79%	1.29%	0.30%	1.20%	2.24%	1.61%	0.51%	0.77%	0.47%	0.52%	1.49%	0.00%	0.55%	0.50%	8.79%	0.00%	2.75%	0.99%	0.00%	0.78%	0.00%	0.00%	4.41%	0.18%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1970	37	13	70	39	7	31	51	19	65	12	14	12	11	18	38	26	7	45	76	42	65	73	57	145	46	130	100	31	57	87	27	92	32	23	29	48	24	33	36	21	31	8	11	21	63	30	5	10	2									
		13.23%	12.09%	9.85%	20.06%	8.67%	4.46%	11.52%	12.98%	6.33%	8.72%	8.11%	6.73%	16.90%	10.68%	8.78%	5.13%	18.18%	4.96%	18.37%	23.90%	14.79%	24.53%	19.26%	18.39%	42.90%	18.47%	18.21%	17.92%	15.66%	21.84%	13.57%	7.09%	12.47%	19.88%	6.28%	14.43%	10.55%	11.54%	9.07%	11.84%	13.82%	12.06%	8.16%	4.53%	15.44%	11.58%	15.71%	3.79%	13.70%	0.74%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	89	0	0	1	0	0	1	4	0	40	1	0	0	0	2	4	0	0	0	0	0	0	2	2	1	2	4	2	0	1	1	2	3	1	0	0	2	1	5	0	0	0	1	0	1	2	1	1	1	0									
		0.60%	0.00%	0.00%	0.29%	0.00%	0.00%	0.37%	1.02%	0.00%	5.37%	0.68%	0.00%	0.00%	0.00%	0.98%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.65%	0.30%	0.80%	0.56%	0.36%	0.00%	0.38%	0.16%	0.52%	0.41%	0.62%	0.00%	0.00%	0.44%	0.48%	1.37%	0.00%	0.00%	0.00%	1.02%	0.00%	0.74%	0.37%	0.52%	0.76%	1.37%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	316	6	0	9	2	2	8	7	3	18	1	2	0	3	3	4	7	1	11	11	7	3	9	16	9	10	17	14	2	6	7	11	27	4	4	7	7	8	21	5	1	5	2	1	0	8	3	1	3	0									
		2.12%	1.96%	0.00%	2.58%	0.44%	1.27%	2.97%	1.78%	1.00%	2.42%	0.68%	0.96%	0.00%	2.91%	1.46%	0.54%	4.90%	0.71%	4.49%	3.46%	2.46%	1.13%	2.37%	5.16%	2.66%	4.02%	2.38%	2.51%	1.01%	2.30%	1.09%	2.89%	3.66%	2.48%	1.09%	3.48%	1.54%	3.85%	5.77%	1.64%	0.66%	1.95%	2.04%	0.41%	0.00%	1.47%	1.57%	0.76%	4.11%	0.00%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
