Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Катангская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713					
		0.29%	0.0%	1.35%	0.24%	3.22%	0.0%	0.33%	0.50%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	5	0	0	2	0	0	0	1	1	1	0	0					
		0.24%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.50%	0.42%	2.08%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	0	0	1	0	0	1	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.12%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	3	0	1	1	0	0	1	0	0	0	0	0					
		0.14%	0.0%	1.35%	0.12%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	59	1	3	27	0	1	7	6	6	1	6	1					
		2.93%	1.44%	4.05%	3.25%	0.0%	1.78%	2.37%	3.01%	2.56%	2.08%	5.82%	1.38%					
28	"11. ""Истинные патриоты России"""	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	13	0	1	9	0	0	0	1	0	0	0	2					
		0.64%	0.0%	1.35%	1.08%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	2.77%					
30	"13. ""Демократическая партия России"""	9	0	1	7	0	0	0	0	0	0	0	1					
		0.44%	0.0%	1.35%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	0	1	2	0	0	1	0	1	0	0	0					
		0.24%	0.0%	1.35%	0.24%	0.0%	0.0%	0.33%	0.0%	0.42%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	105	2	0	43	1	0	15	28	6	5	3	2					
		5.22%	2.89%	0.0%	5.18%	3.22%	0.0%	5.08%	14.07%	2.56%	10.41%	2.91%	2.77%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	0	0	1	0	0	0	0	1	0	0	0					
		0.09%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	305	11	1	102	12	4	54	39	44	4	22	12					
		15.16%	15.94%	1.35%	12.28%	38.70%	7.14%	18.30%	19.59%	18.80%	8.33%	21.35%	16.66%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	36	1	0	13	1	0	12	1	6	0	0	2					
		1.79%	1.44%	0.0%	1.56%	3.22%	0.0%	4.06%	0.50%	2.56%	0.0%	0.0%	2.77%					
37	"20. ""Политическая партия ""Единая Россия"""	928	48	16	363	11	43	142	84	115	31	59	16					
		46.14%	69.56%	21.62%	43.73%	35.48%	76.78%	48.13%	42.21%	49.14%	64.58%	57.28%	22.22%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	0	0	1	0	0	0	0	2	0	0	0					
		0.14%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	8	0	1	6	0	0	1	0	0	0	0	0					
		0.39%	0.0%	1.35%	0.72%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	261	2	22	124	3	1	35	23	20	2	5	24					
		12.97%	2.89%	29.72%	14.93%	9.67%	1.78%	11.86%	11.55%	8.54%	4.16%	4.85%	33.33%					
																		
41	Против всех	94	2	12	57	2	1	6	1	3	0	3	7					
		4.67%	2.89%	16.21%	6.86%	6.45%	1.78%	2.03%	0.50%	1.28%	0.0%	2.91%	9.72%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
