Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Каневская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	480	10	15	15	10	10	30	20	15	10	15	15	3	3	10	4	5	10	10	3	3	3	10	10	15	10	15	15	3	10	3	5	7	10	10	3	3	3	5	5	5	15	15	3	3	3	10	10	15	5	5	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	375	10	7	15	7	8	25	20	7	7	14	15	3	3	10	4	5	10	10	0	3	3	0	1	12	10	6	3	3	10	0	5	6	10	7	3	3	3	5	1	5	7	15	3	0	1	10	5	15	5	5	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	177	4	6	6	6	6	7	4	4	3	4	8	5	5	2	1	6	2	4	2	1	4	0	0	5	0	6	4	1	4	2	0	8	4	6	0	0	2	0	0	2	0	7	2	2	2	2	5	12	7	0	4	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	105	0	8	0	3	2	5	0	8	3	1	0	0	0	0	0	0	0	0	3	0	0	10	9	3	0	9	12	0	0	3	0	1	0	3	0	0	0	0	4	0	8	0	0	3	2	0	5	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	1	1	3	4	1	3	0	3	2	3	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	3	0	2	0	1	0	1	0	1	0	0	0	1	1	5	1	2	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	613	13	42	18	21	9	13	26	25	26	8	31	2	11	5	1	2	3	12	7	0	1	17	16	20	7	6	5	2	9	0	10	10	28	2	8	2	1	16	8	14	12	7	2	1	2	18	11	36	7	17	11	19	13									
		1.17%	1.05%	2.53%	1.38%	1.97%	0.75%	0.79%	1.38%	1.64%	2.32%	0.52%	1.47%	0.52%	2.89%	0.55%	0.27%	0.22%	0.31%	1.22%	5.15%	0.00%	0.37%	1.11%	0.99%	1.34%	0.64%	0.33%	0.30%	0.91%	1.00%	0.00%	1.07%	1.10%	1.52%	0.13%	1.41%	0.77%	0.42%	1.53%	1.67%	1.59%	0.71%	0.48%	1.27%	0.41%	1.09%	1.55%	1.38%	2.47%	1.37%	3.65%	1.37%	1.38%	0.95%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	471	10	6	13	11	2	10	8	15	6	5	28	6	4	12	4	2	33	9	0	0	5	6	12	29	9	4	3	6	14	1	5	5	9	10	5	7	1	5	12	21	17	9	2	1	1	5	6	3	13	15	16	10	20									
		0.90%	0.80%	0.36%	0.99%	1.03%	0.17%	0.61%	0.43%	0.98%	0.53%	0.33%	1.33%	1.56%	1.05%	1.33%	1.08%	0.22%	3.39%	0.91%	0.00%	0.00%	1.84%	0.39%	0.74%	1.94%	0.83%	0.22%	0.18%	2.74%	1.56%	0.49%	0.53%	0.55%	0.49%	0.66%	0.88%	2.68%	0.42%	0.48%	2.51%	2.38%	1.00%	0.62%	1.27%	0.41%	0.55%	0.43%	0.75%	0.21%	2.54%	3.22%	1.99%	0.72%	1.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	562	28	3	2	21	3	12	15	23	25	5	33	3	9	7	3	4	13	13	1	0	1	14	14	37	16	16	6	1	30	0	6	6	9	3	5	4	1	16	7	21	17	4	3	2	1	11	9	18	2	18	9	11	21									
		1.07%	2.25%	0.18%	0.15%	1.97%	0.25%	0.73%	0.80%	1.50%	2.23%	0.33%	1.57%	0.78%	2.37%	0.78%	0.81%	0.44%	1.33%	1.32%	0.74%	0.00%	0.37%	0.91%	0.87%	2.47%	1.47%	0.89%	0.36%	0.46%	3.34%	0.00%	0.64%	0.66%	0.49%	0.20%	0.88%	1.53%	0.42%	1.53%	1.46%	2.38%	1.00%	0.27%	1.91%	0.81%	0.55%	0.95%	1.13%	1.23%	0.39%	3.86%	1.12%	0.80%	1.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	33982	764	1023	857	621	794	971	1188	904	701	985	1382	262	275	622	272	670	624	809	92	68	192	1046	1072	894	640	1285	1193	138	484	140	566	601	1223	1076	379	199	185	623	271	497	968	902	107	161	117	715	563	907	298	175	524	906	1051									
		64.63%	61.41%	61.55%	65.82%	58.20%	66.11%	58.99%	63.26%	59.12%	62.48%	64.30%	65.68%	68.05%	72.37%	68.96%	73.51%	73.63%	64.07%	82.05%	67.65%	74.73%	70.59%	68.23%	66.54%	59.68%	58.93%	71.67%	71.44%	63.01%	53.84%	68.97%	60.34%	65.83%	66.32%	70.88%	66.61%	76.25%	77.08%	59.62%	56.58%	56.29%	56.97%	61.82%	68.15%	65.45%	63.93%	61.48%	70.38%	62.21%	58.32%	37.55%	65.42%	65.65%	77.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	230	8	2	7	3	5	12	6	15	5	0	8	0	1	6	2	2	2	7	0	0	0	5	6	7	7	2	3	2	3	0	2	3	9	3	2	0	1	5	1	5	25	3	2	1	1	2	3	4	8	8	6	7	3									
		0.44%	0.64%	0.12%	0.54%	0.28%	0.42%	0.73%	0.32%	0.98%	0.45%	0.00%	0.38%	0.00%	0.26%	0.67%	0.54%	0.22%	0.21%	0.71%	0.00%	0.00%	0.00%	0.33%	0.37%	0.47%	0.64%	0.11%	0.18%	0.91%	0.33%	0.00%	0.21%	0.33%	0.49%	0.20%	0.35%	0.00%	0.42%	0.48%	0.21%	0.57%	1.47%	0.21%	1.27%	0.41%	0.55%	0.17%	0.38%	0.27%	1.57%	1.72%	0.75%	0.51%	0.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	234	17	3	0	1	6	10	0	8	9	3	1	0	0	0	0	2	1	3	0	0	0	6	2	1	2	4	2	1	0	0	7	9	20	5	2	0	1	8	3	6	25	22	2	1	2	11	1	2	3	6	1	14	1									
		0.45%	1.37%	0.18%	0.00%	0.09%	0.50%	0.61%	0.00%	0.52%	0.80%	0.20%	0.05%	0.00%	0.00%	0.00%	0.00%	0.22%	0.10%	0.30%	0.00%	0.00%	0.00%	0.39%	0.12%	0.07%	0.18%	0.22%	0.12%	0.46%	0.00%	0.00%	0.75%	0.99%	1.08%	0.33%	0.35%	0.00%	0.42%	0.77%	0.63%	0.68%	1.47%	1.51%	1.27%	0.41%	1.09%	0.95%	0.13%	0.14%	0.59%	1.29%	0.12%	1.01%	0.07%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	7023	165	245	151	168	171	247	281	202	145	226	248	40	47	110	36	100	145	43	19	13	41	192	211	246	162	264	237	36	164	25	99	100	206	176	70	25	20	113	88	201	236	246	14	37	21	110	112	190	106	86	107	156	124									
		13.36%	13.26%	14.74%	11.60%	15.75%	14.24%	15.01%	14.96%	13.21%	12.92%	14.75%	11.79%	10.39%	12.37%	12.20%	9.73%	10.99%	14.89%	4.36%	13.97%	14.29%	15.07%	12.52%	13.10%	16.42%	14.92%	14.72%	14.19%	16.44%	18.24%	12.32%	10.55%	10.95%	11.17%	11.59%	12.30%	9.58%	8.33%	10.81%	18.37%	22.76%	13.89%	16.86%	8.92%	15.04%	11.48%	9.46%	14.00%	13.03%	20.74%	18.45%	13.36%	11.30%	9.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	225	8	6	7	3	10	7	6	15	8	2	5	0	0	3	0	2	1	2	0	0	0	6	6	12	4	4	10	0	5	0	3	13	4	6	0	0	1	5	0	4	17	9	1	1	1	3	1	1	2	5	7	3	6									
		0.43%	0.64%	0.36%	0.54%	0.28%	0.83%	0.43%	0.32%	0.98%	0.71%	0.13%	0.24%	0.00%	0.00%	0.33%	0.00%	0.22%	0.10%	0.20%	0.00%	0.00%	0.00%	0.39%	0.37%	0.80%	0.37%	0.22%	0.60%	0.00%	0.56%	0.00%	0.32%	1.42%	0.22%	0.40%	0.00%	0.00%	0.42%	0.48%	0.00%	0.45%	1.00%	0.62%	0.64%	0.41%	0.55%	0.26%	0.13%	0.07%	0.39%	1.07%	0.87%	0.22%	0.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	436	9	2	18	8	9	14	12	23	19	20	12	2	0	2	1	2	5	2	1	0	1	12	12	9	12	6	6	1	0	1	8	11	22	2	2	0	1	12	5	3	42	18	2	2	2	11	5	27	4	12	3	16	5									
		0.83%	0.72%	0.12%	1.38%	0.75%	0.75%	0.85%	0.64%	1.50%	1.69%	1.31%	0.57%	0.52%	0.00%	0.22%	0.27%	0.22%	0.51%	0.20%	0.74%	0.00%	0.37%	0.78%	0.74%	0.60%	1.10%	0.33%	0.36%	0.46%	0.00%	0.49%	0.85%	1.20%	1.19%	0.13%	0.35%	0.00%	0.42%	1.15%	1.04%	0.34%	2.47%	1.23%	1.27%	0.81%	1.09%	0.95%	0.63%	1.85%	0.78%	2.58%	0.37%	1.16%	0.37%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	195	7	3	1	1	8	9	0	11	3	12	1	3	0	5	0	2	0	12	0	0	0	6	6	2	6	2	3	0	0	0	5	7	13	3	0	0	2	3	1	1	17	3	1	1	1	3	1	5	3	8	0	11	3									
		0.37%	0.56%	0.18%	0.08%	0.09%	0.67%	0.55%	0.00%	0.72%	0.27%	0.78%	0.05%	0.78%	0.00%	0.55%	0.00%	0.22%	0.00%	1.22%	0.00%	0.00%	0.00%	0.39%	0.37%	0.13%	0.55%	0.11%	0.18%	0.00%	0.00%	0.00%	0.53%	0.77%	0.70%	0.20%	0.00%	0.00%	0.83%	0.29%	0.21%	0.11%	1.00%	0.21%	0.64%	0.41%	0.55%	0.26%	0.13%	0.34%	0.59%	1.72%	0.00%	0.80%	0.22%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	344	9	7	8	11	7	17	8	12	5	10	14	3	0	4	0	3	9	6	0	0	0	6	8	22	8	8	8	0	0	1	8	15	18	5	0	0	1	7	1	2	17	7	3	1	2	7	2	3	8	16	5	16	6									
		0.65%	0.72%	0.42%	0.61%	1.03%	0.58%	1.03%	0.43%	0.78%	0.45%	0.65%	0.67%	0.78%	0.00%	0.44%	0.00%	0.33%	0.92%	0.61%	0.00%	0.00%	0.00%	0.39%	0.50%	1.47%	0.74%	0.45%	0.48%	0.00%	0.00%	0.49%	0.85%	1.64%	0.98%	0.33%	0.00%	0.00%	0.42%	0.67%	0.21%	0.23%	1.00%	0.48%	1.91%	0.41%	1.09%	0.60%	0.25%	0.21%	1.57%	3.43%	0.62%	1.16%	0.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5779	145	230	152	158	160	230	263	188	114	196	190	47	19	95	28	101	110	48	14	4	19	144	165	143	89	159	150	26	137	25	92	80	190	173	60	21	23	137	66	92	236	180	10	26	17	181	61	189	40	53	75	142	86									
		10.99%	11.66%	13.84%	11.67%	14.81%	13.32%	13.97%	14.00%	12.30%	10.16%	12.79%	9.03%	12.21%	5.00%	10.53%	7.57%	11.10%	11.29%	4.87%	10.29%	4.40%	6.99%	9.39%	10.24%	9.55%	8.20%	8.87%	8.98%	11.87%	15.24%	12.32%	9.81%	8.76%	10.30%	11.40%	10.54%	8.05%	9.58%	13.11%	13.78%	10.42%	13.89%	12.34%	6.37%	10.57%	9.29%	15.56%	7.63%	12.96%	7.83%	11.37%	9.36%	10.29%	6.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	445	22	28	16	1	3	15	9	35	10	7	1	6	0	3	2	2	1	4	1	0	0	17	8	20	9	3	9	0	1	1	9	14	28	2	7	0	1	20	3	2	15	10	2	3	2	18	3	25	4	18	2	15	8									
		0.85%	1.77%	1.68%	1.23%	0.09%	0.25%	0.91%	0.48%	2.29%	0.89%	0.46%	0.05%	1.56%	0.00%	0.33%	0.54%	0.22%	0.10%	0.41%	0.74%	0.00%	0.00%	1.11%	0.50%	1.34%	0.83%	0.17%	0.54%	0.00%	0.11%	0.49%	0.96%	1.53%	1.52%	0.13%	1.23%	0.00%	0.42%	1.91%	0.63%	0.23%	0.88%	0.69%	1.27%	1.22%	1.09%	1.55%	0.38%	1.71%	0.78%	3.86%	0.25%	1.09%	0.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1380	25	52	46	27	5	58	44	49	33	41	49	10	6	19	12	4	14	4	1	6	12	56	49	44	82	2	6	6	42	5	28	24	65	52	18	2	1	46	13	10	39	36	5	8	5	58	13	30	8	26	28	39	17									
		2.62%	2.01%	3.13%	3.53%	2.53%	0.42%	3.52%	2.34%	3.20%	2.94%	2.68%	2.33%	2.60%	1.58%	2.11%	3.24%	0.44%	1.44%	0.41%	0.74%	6.59%	4.41%	3.65%	3.04%	2.94%	7.55%	0.11%	0.36%	2.74%	4.67%	2.46%	2.99%	2.63%	3.52%	3.43%	3.16%	0.77%	0.42%	4.40%	2.71%	1.13%	2.30%	2.47%	3.18%	3.25%	2.73%	4.99%	1.63%	2.06%	1.57%	5.58%	3.50%	2.83%	1.25%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
