Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
"Наименование Избирательной комиссии:    Пермь, Кировская"																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3440	50	60	70	80	60	60	80	50	60	70	70	70	40	60	50	60	50	50	70	70	60	50	60	70	70	60	60	60	70	50	60	70	80	80	80	80	80	60	60	60	50	70	60	60	90	80	90	80	80	90	80	60	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	890	11	12	19	14	11	11	19	8	17	17	17	11	6	12	15	18	16	13	7	23	22	10	17	9	19	13	20	17	17	16	7	25	17	17	32	24	17	13	17	22	5	26	16	15	34	26	27	35	18	27	19	14	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	453	2	6	10	14	5	3	12	9	7	6	7	12	8	9	7	8	15	8	5	5	7	3	3	12	11	5	7	9	5	5	8	1	10	5	14	8	13	19	29	2	3	6	6	17	14	5	17	21	6	3	11	7	1	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	2550	39	48	51	66	49	49	61	42	43	53	53	59	34	48	35	42	34	37	63	47	38	40	43	61	51	47	40	43	53	34	53	45	63	63	48	56	63	47	43	38	45	44	44	45	56	54	63	45	62	63	61	46	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	87	0	3	0	3	0	0	2	0	1	1	0	0	0	4	10	5	3	1	3	2	0	1	2	2	0	0	0	0	0	1	0	2	5	2	2	2	0	2	1	2	0	3	1	2	2	3	2	2	0	1	8	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	637	9	5	3	23	7	6	15	6	11	5	4	4	1	10	9	12	12	8	26	22	13	10	6	10	16	23	17	13	12	13	13	20	13	18	20	13	19	16	9	4	3	12	10	12	20	13	16	27	10	16	8	11	2	0	1									
		1.81%	1.78%	0.84%	0.36%	2.40%	1.41%	1.16%	1.92%	1.03%	1.91%	0.84%	0.54%	0.64%	0.50%	1.68%	1.56%	1.61%	2.44%	1.43%	3.85%	2.56%	2.00%	1.92%	0.91%	1.25%	1.90%	3.17%	2.47%	1.68%	1.43%	2.56%	2.18%	2.55%	1.31%	2.42%	2.17%	1.41%	2.57%	2.51%	1.43%	0.69%	0.92%	1.86%	2.03%	1.92%	2.31%	1.82%	1.77%	3.35%	1.72%	2.19%	1.29%	2.10%	3.64%	0.00%	1.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1034	15	15	28	23	20	25	38	21	16	23	29	20	6	15	13	22	9	18	20	20	29	18	25	12	24	15	27	19	24	13	15	17	33	17	41	28	19	32	15	14	5	21	19	10	25	17	18	24	15	18	10	11	3	3	2									
		2.94%	2.97%	2.53%	3.40%	2.40%	4.02%	4.84%	4.86%	3.61%	2.78%	3.87%	3.94%	3.20%	3.02%	2.53%	2.26%	2.95%	1.83%	3.21%	2.96%	2.33%	4.47%	3.45%	3.78%	1.50%	2.85%	2.07%	3.93%	2.46%	2.86%	2.56%	2.51%	2.17%	3.31%	2.28%	4.44%	3.03%	2.57%	5.02%	2.38%	2.40%	1.53%	3.25%	3.85%	1.60%	2.88%	2.38%	1.99%	2.97%	2.57%	2.47%	1.61%	2.10%	5.45%	1.99%	3.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	779	13	10	12	20	7	8	12	8	11	17	19	14	2	19	8	13	14	14	13	18	18	13	17	13	17	14	21	8	17	7	15	16	21	16	21	20	15	13	9	24	5	15	10	11	34	18	26	19	18	21	15	9	2	9	0									
		2.22%	2.57%	1.69%	1.46%	2.09%	1.41%	1.55%	1.53%	1.37%	1.91%	2.86%	2.58%	2.24%	1.01%	3.20%	1.39%	1.74%	2.85%	2.50%	1.93%	2.10%	2.77%	2.50%	2.57%	1.63%	2.02%	1.93%	3.06%	1.04%	2.03%	1.38%	2.51%	2.04%	2.11%	2.15%	2.28%	2.16%	2.03%	2.04%	1.43%	4.12%	1.53%	2.32%	2.03%	1.76%	3.92%	2.52%	2.87%	2.35%	3.09%	2.88%	2.41%	1.72%	3.64%	5.96%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13817	193	246	340	404	206	214	295	251	218	214	311	264	93	225	283	262	169	204	269	325	226	197	253	310	303	297	231	281	301	199	207	284	394	279	383	360	296	245	282	223	132	269	214	247	327	282	376	307	222	298	264	227	25	64	26									
		39.30%	38.22%	41.48%	41.31%	42.22%	41.45%	41.39%	37.72%	43.13%	37.85%	36.03%	42.26%	42.24%	46.73%	37.88%	49.13%	35.07%	34.35%	36.36%	39.85%	37.83%	34.82%	37.81%	38.22%	38.80%	35.99%	40.91%	33.62%	36.40%	35.88%	39.25%	34.67%	36.22%	39.56%	37.50%	41.50%	38.96%	40.11%	38.40%	44.69%	38.25%	40.37%	41.64%	43.41%	39.46%	37.72%	39.55%	41.55%	38.04%	38.08%	40.88%	42.44%	43.32%	45.45%	42.38%	46.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	284	6	3	4	5	4	5	1	4	3	4	3	7	1	5	4	5	4	2	4	15	3	5	3	7	5	8	5	4	9	4	4	6	14	11	6	8	6	4	4	4	5	3	2	9	7	10	8	6	4	6	6	7	0	1	1									
		0.81%	1.19%	0.51%	0.49%	0.52%	0.80%	0.97%	0.13%	0.69%	0.52%	0.67%	0.41%	1.12%	0.50%	0.84%	0.69%	0.67%	0.81%	0.36%	0.59%	1.75%	0.46%	0.96%	0.45%	0.88%	0.59%	1.10%	0.73%	0.52%	1.07%	0.79%	0.67%	0.77%	1.41%	1.48%	0.65%	0.87%	0.81%	0.63%	0.63%	0.69%	1.53%	0.46%	0.41%	1.44%	0.81%	1.40%	0.88%	0.74%	0.69%	0.82%	0.96%	1.34%	0.00%	0.66%	1.79%									
24	"6. Политическая партия ""Гражданская Платформа"""	57	0	0	2	2	0	2	0	0	0	0	2	0	0	3	1	1	1	1	1	1	0	0	1	2	1	3	2	3	0	2	1	2	1	1	3	2	0	2	0	1	1	0	1	0	1	0	2	3	1	1	1	2	0	0	0									
		0.16%	0.00%	0.00%	0.24%	0.21%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.51%	0.17%	0.13%	0.20%	0.18%	0.15%	0.12%	0.00%	0.00%	0.15%	0.25%	0.12%	0.41%	0.29%	0.39%	0.00%	0.39%	0.17%	0.26%	0.10%	0.13%	0.33%	0.22%	0.00%	0.31%	0.00%	0.17%	0.31%	0.00%	0.20%	0.00%	0.12%	0.00%	0.22%	0.37%	0.17%	0.14%	0.16%	0.38%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4650	65	85	110	100	71	71	119	75	84	103	89	88	26	72	88	103	72	65	100	114	83	80	102	119	125	75	68	90	115	73	73	96	106	96	107	144	91	66	67	72	46	92	70	92	119	97	116	108	59	92	105	70	8	17	11									
		13.23%	12.87%	14.33%	13.37%	10.45%	14.29%	13.73%	15.22%	12.89%	14.58%	17.34%	12.09%	14.08%	13.07%	12.12%	15.28%	13.79%	14.63%	11.59%	14.81%	13.27%	12.79%	15.36%	15.41%	14.89%	14.85%	10.33%	9.90%	11.66%	13.71%	14.40%	12.23%	12.24%	10.64%	12.90%	11.59%	15.58%	12.33%	10.34%	10.62%	12.35%	14.07%	14.24%	14.20%	14.70%	13.73%	13.60%	12.82%	13.38%	10.12%	12.62%	16.88%	13.36%	14.55%	11.26%	19.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	360	3	1	1	7	5	6	3	2	1	6	5	10	0	5	3	13	9	7	10	4	8	4	10	5	9	15	5	9	4	5	3	6	9	10	8	17	20	3	4	6	8	10	5	8	6	9	13	7	8	6	9	7	2	1	0									
		1.02%	0.59%	0.17%	0.12%	0.73%	1.01%	1.16%	0.38%	0.34%	0.17%	1.01%	0.68%	1.60%	0.00%	0.84%	0.52%	1.74%	1.83%	1.25%	1.48%	0.47%	1.23%	0.77%	1.51%	0.63%	1.07%	2.07%	0.73%	1.17%	0.48%	0.99%	0.50%	0.77%	0.90%	1.34%	0.87%	1.84%	2.71%	0.47%	0.63%	1.03%	2.45%	1.55%	1.01%	1.28%	0.69%	1.26%	1.44%	0.87%	1.37%	0.82%	1.45%	1.34%	3.64%	0.66%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	842	12	17	5	17	11	5	8	5	7	7	15	6	4	9	7	27	16	13	23	20	15	12	15	23	20	26	15	24	17	8	12	27	32	13	17	16	30	19	29	11	14	15	4	21	21	28	33	18	23	14	14	18	0	2	2									
		2.40%	2.38%	2.87%	0.61%	1.78%	2.21%	0.97%	1.02%	0.86%	1.22%	1.18%	2.04%	0.96%	2.01%	1.52%	1.22%	3.61%	3.25%	2.32%	3.41%	2.33%	2.31%	2.30%	2.27%	2.88%	2.38%	3.58%	2.18%	3.11%	2.03%	1.58%	2.01%	3.44%	3.21%	1.75%	1.84%	1.73%	4.07%	2.98%	4.60%	1.89%	4.28%	2.32%	0.81%	3.35%	2.42%	3.93%	3.65%	2.23%	3.95%	1.92%	2.25%	3.44%	0.00%	1.32%	3.57%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	50	2	1	0	1	1	2	0	0	0	0	1	2	0	2	3	1	0	0	1	2	0	0	2	2	1	1	0	4	2	2	0	0	0	1	1	0	1	1	1	2	1	1	1	0	2	1	2	1	0	0	0	0	0	1	0									
		0.14%	0.40%	0.17%	0.00%	0.10%	0.20%	0.39%	0.00%	0.00%	0.00%	0.00%	0.14%	0.32%	0.00%	0.34%	0.52%	0.13%	0.00%	0.00%	0.15%	0.23%	0.00%	0.00%	0.30%	0.25%	0.12%	0.14%	0.00%	0.52%	0.24%	0.39%	0.00%	0.00%	0.00%	0.13%	0.11%	0.00%	0.14%	0.16%	0.16%	0.34%	0.31%	0.15%	0.20%	0.00%	0.23%	0.14%	0.22%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1406	7	18	29	21	8	11	21	15	23	13	23	17	5	12	19	31	31	18	20	50	38	22	17	27	38	32	21	46	33	14	22	38	42	27	24	50	44	37	40	23	23	25	19	22	46	41	41	46	28	34	23	28	2	0	1									
		3.99%	1.39%	3.04%	3.52%	2.19%	1.61%	2.13%	2.69%	2.58%	3.99%	2.19%	3.13%	2.72%	2.51%	2.02%	3.30%	4.15%	6.30%	3.21%	2.96%	5.82%	5.86%	4.22%	2.57%	3.38%	4.51%	4.41%	3.06%	5.96%	3.93%	2.76%	3.69%	4.85%	4.22%	3.63%	2.60%	5.41%	5.96%	5.80%	6.34%	3.95%	7.03%	3.87%	3.85%	3.51%	5.31%	5.75%	4.53%	5.70%	4.80%	4.66%	3.70%	5.34%	3.64%	0.00%	1.79%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5677	86	97	149	181	86	83	127	78	99	109	113	108	35	113	74	136	101	106	82	148	122	77	96	119	136	124	136	114	149	61	115	139	155	108	133	133	120	102	95	101	43	90	63	106	146	93	131	122	82	128	111	80	6	27	3									
		16.15%	17.03%	16.36%	18.10%	18.91%	17.30%	16.05%	16.24%	13.40%	17.19%	18.35%	15.35%	17.28%	17.59%	19.02%	12.85%	18.21%	20.53%	18.89%	12.15%	17.23%	18.80%	14.78%	14.50%	14.89%	16.15%	17.08%	19.80%	14.77%	17.76%	12.03%	19.26%	17.73%	15.56%	14.52%	14.41%	14.39%	16.26%	15.99%	15.06%	17.32%	13.15%	13.93%	12.78%	16.93%	16.84%	13.04%	14.48%	15.12%	14.07%	17.56%	17.85%	15.27%	10.91%	17.88%	5.36%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	118	1	1	3	11	0	0	2	2	3	2	2	1	2	1	2	3	0	2	1	3	3	1	1	5	3	3	3	2	3	1	5	3	4	1	2	4	0	2	1	0	2	1	0	3	3	6	2	6	1	1	0	3	0	0	1									
		0.34%	0.20%	0.17%	0.36%	1.15%	0.00%	0.00%	0.26%	0.34%	0.52%	0.34%	0.27%	0.16%	1.01%	0.17%	0.35%	0.40%	0.00%	0.36%	0.15%	0.35%	0.46%	0.19%	0.15%	0.63%	0.36%	0.41%	0.44%	0.26%	0.36%	0.20%	0.84%	0.38%	0.40%	0.13%	0.22%	0.43%	0.00%	0.31%	0.16%	0.00%	0.61%	0.15%	0.00%	0.48%	0.35%	0.84%	0.22%	0.74%	0.17%	0.14%	0.00%	0.57%	0.00%	0.00%	1.79%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4001	70	74	89	98	47	52	113	90	78	64	83	55	20	79	30	73	40	70	87	91	67	61	87	114	105	60	98	105	106	71	87	115	132	110	110	95	65	70	54	65	28	76	59	61	88	81	95	81	74	75	37	39	4	17	6									
		11.38%	13.86%	12.48%	10.81%	10.24%	9.46%	10.06%	14.45%	15.46%	13.54%	10.77%	11.28%	8.80%	10.05%	13.30%	5.21%	9.77%	8.13%	12.48%	12.89%	10.59%	10.32%	11.71%	13.14%	14.27%	12.47%	8.26%	14.26%	13.60%	12.63%	14.00%	14.57%	14.67%	13.25%	14.78%	11.92%	10.28%	8.81%	10.97%	8.56%	11.15%	8.56%	11.76%	11.97%	9.74%	10.15%	11.36%	10.50%	10.04%	12.69%	10.29%	5.95%	7.44%	7.27%	11.26%	10.71%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
