Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Пущинская городская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК  2285	УИК  2286	УИК  2287	УИК  2288	УИК  2289	УИК  2290	УИК  2291					
		0.98%	0.68%	1.04%	1.38%	0.97%	0.80%	1.16%	0.99%					
30	"13. ""Демократическая партия России"""	12	1	2	1	2	5	0	1					
		0.13%	0.06%	0.14%	0.07%	0.14%	0.36%	0.0%	0.07%					
31	"14. ""Великая Россия - Евразийский Союз"""	23	3	2	4	2	4	2	6					
		0.26%	0.20%	0.14%	0.30%	0.14%	0.29%	0.33%	0.42%					
32	"15. ""Партия СЛОН"""	18	3	1	4	2	2	2	4					
		0.20%	0.20%	0.07%	0.30%	0.14%	0.14%	0.33%	0.28%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1649	295	236	259	269	230	115	245					
		18.70%	20.26%	17.62%	19.86%	20.11%	16.83%	19.10%	17.36%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	24	3	2	15	1	2	0	1					
		0.27%	0.20%	0.14%	1.15%	0.07%	0.14%	0.0%	0.07%					
35	"18. ""ЛДПР"""	537	58	88	81	72	81	46	111					
		6.09%	3.98%	6.57%	6.21%	5.38%	5.92%	7.64%	7.86%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	140	18	17	29	26	24	7	19					
		1.58%	1.23%	1.26%	2.22%	1.94%	1.75%	1.16%	1.34%					
37	"20. ""Политическая партия ""Единая Россия"""	2694	423	387	391	442	447	171	433					
		30.56%	29.05%	28.90%	29.98%	33.05%	32.72%	28.40%	30.68%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	1	1	1	2	1	0	0					
		0.06%	0.06%	0.07%	0.07%	0.14%	0.07%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	20	5	4	3	0	3	1	4					
		0.22%	0.34%	0.29%	0.23%	0.0%	0.21%	0.16%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1035	183	157	155	164	169	62	145					
		11.74%	12.56%	11.72%	11.88%	12.26%	12.37%	10.29%	10.27%					
														
41	Против всех	474	61	72	51	54	86	35	115					
		5.37%	4.18%	5.37%	3.91%	4.03%	6.29%	5.81%	8.15%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
