Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Черемховская районная																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1605	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	117	0	5	1	0	2	0	3	0	4	1	1	4	1	1	3	1	4	1	2	1	7	7	9	1	10	2	0	5	3	1	1	0	3	9	1	2	1	1	3	1	3	0	2	2	1	1	1	0	3	0	2									
		1.02%	0.00%	1.11%	0.68%	0.00%	0.37%	0.00%	1.42%	0.00%	1.08%	0.66%	0.26%	1.27%	0.55%	1.39%	1.96%	1.39%	0.99%	1.06%	1.71%	1.03%	0.96%	1.04%	1.58%	0.60%	1.51%	0.52%	0.00%	1.37%	1.71%	2.56%	0.42%	0.00%	0.91%	2.12%	0.78%	1.83%	0.65%	0.40%	3.45%	1.00%	1.13%	0.00%	1.10%	0.97%	1.14%	0.31%	0.76%	0.00%	3.00%	0.00%	2.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	424	3	12	3	1	30	4	8	4	20	3	16	10	4	1	1	2	20	1	6	2	34	32	20	3	22	9	5	9	4	2	13	3	13	12	3	2	6	14	16	1	6	1	10	7	3	14	3	2	0	2	2									
		3.70%	4.11%	2.67%	2.04%	1.04%	5.61%	3.25%	3.79%	4.00%	5.38%	1.97%	4.16%	3.16%	2.21%	1.39%	0.65%	2.78%	4.95%	1.06%	5.13%	2.06%	4.68%	4.75%	3.51%	1.79%	3.31%	2.36%	4.76%	2.47%	2.29%	5.13%	5.42%	6.82%	3.95%	2.83%	2.33%	1.83%	3.92%	5.60%	18.39%	1.00%	2.26%	2.04%	5.52%	3.40%	3.41%	4.29%	2.29%	2.60%	0.00%	2.50%	2.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	239	0	10	3	0	11	4	6	3	9	3	7	9	2	1	3	0	13	0	0	3	18	15	16	3	16	2	0	2	4	0	4	0	8	20	4	1	5	4	1	0	4	1	7	3	0	7	3	2	0	0	2									
		2.09%	0.00%	2.23%	2.04%	0.00%	2.06%	3.25%	2.84%	3.00%	2.42%	1.97%	1.82%	2.85%	1.10%	1.39%	1.96%	0.00%	3.22%	0.00%	0.00%	3.09%	2.48%	2.23%	2.81%	1.79%	2.41%	0.52%	0.00%	0.55%	2.29%	0.00%	1.67%	0.00%	2.43%	4.72%	3.10%	0.92%	3.27%	1.60%	1.15%	0.00%	1.51%	2.04%	3.87%	1.46%	0.00%	2.15%	2.29%	2.60%	0.00%	0.00%	2.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5642	42	209	87	53	234	65	104	44	159	70	203	169	95	26	95	37	203	58	60	57	288	290	255	67	303	176	60	200	86	17	121	16	172	218	76	70	77	137	53	72	136	23	101	96	44	179	66	43	57	39	34									
		49.22%	57.53%	46.55%	59.18%	55.21%	43.74%	52.85%	49.29%	44.00%	42.74%	46.05%	52.73%	53.48%	52.49%	36.11%	62.09%	51.39%	50.25%	61.70%	51.28%	58.76%	39.61%	43.09%	44.74%	39.88%	45.63%	46.07%	57.14%	54.79%	49.14%	43.59%	50.42%	36.36%	52.28%	51.42%	58.91%	64.22%	50.33%	54.80%	60.92%	72.00%	51.32%	46.94%	55.80%	46.60%	50.00%	54.91%	50.38%	55.84%	57.00%	48.75%	44.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	0	3	0	0	4	0	1	0	3	1	4	1	0	0	1	1	5	0	0	1	3	6	1	0	4	0	0	3	0	0	1	0	3	3	0	1	1	2	1	1	0	0	0	2	0	2	1	0	0	0	0									
		0.52%	0.00%	0.67%	0.00%	0.00%	0.75%	0.00%	0.47%	0.00%	0.81%	0.66%	1.04%	0.32%	0.00%	0.00%	0.65%	1.39%	1.24%	0.00%	0.00%	1.03%	0.41%	0.89%	0.18%	0.00%	0.60%	0.00%	0.00%	0.82%	0.00%	0.00%	0.42%	0.00%	0.91%	0.71%	0.00%	0.92%	0.65%	0.80%	1.15%	1.00%	0.00%	0.00%	0.00%	0.97%	0.00%	0.61%	0.76%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	36	0	1	1	0	3	0	1	1	1	1	4	0	0	0	1	0	2	0	1	0	2	2	1	2	1	0	2	2	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0									
		0.31%	0.00%	0.22%	0.68%	0.00%	0.56%	0.00%	0.47%	1.00%	0.27%	0.66%	1.04%	0.00%	0.00%	0.00%	0.65%	0.00%	0.50%	0.00%	0.85%	0.00%	0.28%	0.30%	0.18%	1.19%	0.15%	0.00%	1.90%	0.55%	0.57%	0.00%	0.00%	0.00%	0.30%	0.00%	0.78%	0.92%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.55%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2214	15	104	36	26	91	31	44	29	70	37	60	67	38	23	25	11	69	24	20	9	150	138	105	45	117	78	23	78	36	4	37	10	74	60	31	19	26	38	0	11	40	5	28	45	26	53	36	14	13	22	23									
		19.32%	20.55%	23.16%	24.49%	27.08%	17.01%	25.20%	20.85%	29.00%	18.82%	24.34%	15.58%	21.20%	20.99%	31.94%	16.34%	15.28%	17.08%	25.53%	17.09%	9.28%	20.63%	20.51%	18.42%	26.79%	17.62%	20.42%	21.90%	21.37%	20.57%	10.26%	15.42%	22.73%	22.49%	14.15%	24.03%	17.43%	16.99%	15.20%	0.00%	11.00%	15.09%	10.20%	15.47%	21.84%	29.55%	16.26%	27.48%	18.18%	13.00%	27.50%	29.87%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	44	1	2	1	0	6	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	5	8	1	0	0	0	1	2	2	1	2	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0									
		0.38%	1.37%	0.45%	0.68%	0.00%	1.12%	0.00%	0.47%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	1.39%	0.25%	0.00%	0.00%	0.00%	0.69%	1.19%	0.18%	0.00%	0.00%	0.00%	0.95%	0.55%	1.14%	2.56%	0.83%	0.00%	0.00%	0.47%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	65	0	6	0	0	4	0	1	1	3	0	4	1	1	0	0	1	7	1	0	1	5	5	4	2	3	1	1	4	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0									
		0.57%	0.00%	1.34%	0.00%	0.00%	0.75%	0.00%	0.47%	1.00%	0.81%	0.00%	1.04%	0.32%	0.55%	0.00%	0.00%	1.39%	1.73%	1.06%	0.00%	1.03%	0.69%	0.74%	0.70%	1.19%	0.45%	0.26%	0.95%	1.10%	0.00%	2.56%	0.42%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	1.14%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	0	0	1	1	0	0	0	3	0	3	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0									
		0.15%	0.00%	0.00%	0.00%	1.04%	0.19%	0.00%	0.00%	0.00%	0.81%	0.00%	0.78%	0.32%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	55	0	1	0	0	1	0	0	0	0	0	4	3	1	0	0	0	4	0	0	0	5	4	2	0	2	0	0	2	0	0	3	0	2	5	0	3	2	1	0	1	2	0	1	1	0	1	3	0	0	1	0									
		0.48%	0.00%	0.22%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.95%	0.55%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.69%	0.59%	0.35%	0.00%	0.30%	0.00%	0.00%	0.55%	0.00%	0.00%	1.25%	0.00%	0.61%	1.18%	0.00%	2.75%	1.31%	0.40%	0.00%	1.00%	0.75%	0.00%	0.55%	0.49%	0.00%	0.31%	2.29%	0.00%	0.00%	1.25%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1883	10	60	6	10	113	14	28	15	72	23	49	32	25	15	19	16	58	7	21	15	158	121	123	35	127	94	9	35	31	8	47	14	35	73	10	3	25	43	9	11	54	18	28	36	12	53	12	14	17	11	9									
		16.43%	13.70%	13.36%	4.08%	10.42%	21.12%	11.38%	13.27%	15.00%	19.35%	15.13%	12.73%	10.13%	13.81%	20.83%	12.42%	22.22%	14.36%	7.45%	17.95%	15.46%	21.73%	17.98%	21.58%	20.83%	19.13%	24.61%	8.57%	9.59%	17.71%	20.51%	19.58%	31.82%	10.64%	17.22%	7.75%	2.75%	16.34%	17.20%	10.34%	11.00%	20.38%	36.73%	15.47%	17.48%	13.64%	16.26%	9.16%	18.18%	17.00%	13.75%	11.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	0	5	1	0	2	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	3	1	1	1	5	6	0	0	2	0	0	0	2	2	1	0	0	0	0	0	2	0	1	1	0	1	0	0	0	1	0									
		0.39%	0.00%	1.11%	0.68%	0.00%	0.37%	0.00%	0.47%	1.00%	0.00%	1.97%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.15%	0.18%	0.60%	0.75%	1.57%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.61%	0.47%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.55%	0.49%	0.00%	0.31%	0.00%	0.00%	0.00%	1.25%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	244	2	15	0	2	6	1	9	0	10	3	7	8	0	0	2	1	5	0	2	1	28	26	18	4	33	1	0	13	3	0	5	0	7	5	0	2	3	4	2	0	4	0	0	1	1	4	3	0	0	2	1									
		2.13%	2.74%	3.34%	0.00%	2.08%	1.12%	0.81%	4.27%	0.00%	2.69%	1.97%	1.82%	2.53%	0.00%	0.00%	1.31%	1.39%	1.24%	0.00%	1.71%	1.03%	3.85%	3.86%	3.16%	2.38%	4.97%	0.26%	0.00%	3.56%	1.71%	0.00%	2.08%	0.00%	2.13%	1.18%	0.00%	1.83%	1.96%	1.60%	2.30%	0.00%	1.51%	0.00%	0.00%	0.49%	1.14%	1.23%	2.29%	0.00%	0.00%	2.50%	1.30%									
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
