Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Арзамасская городская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86									
		0.61%	0.32%	0.23%	0.00%	0.30%	0.59%	0.44%	0.96%	0.21%	0.58%	0.24%	0.49%	0.24%	1.09%	0.50%	0.47%	0.61%	0.28%	0.67%	0.63%	0.00%	1.51%	1.07%	0.43%	0.36%	0.99%	0.85%	0.55%	1.48%	0.00%	0.95%	0.83%	0.16%	1.40%	0.22%	0.62%	0.24%	0.50%	0.37%	0.67%	0.29%	0.32%	1.16%	1.10%	0.48%	0.00%	1.78%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6939	94	50	51	247	308	262	108	167	326	102	156	175	243	113	135	182	153	260	165	0	254	114	52	342	312	99	176	95	46	288	329	44	111	40	18	69	107	79	136	5	314	36	51	275	120	130									
		14.39%	15.04%	11.63%	12.53%	12.38%	15.04%	19.32%	17.20%	17.82%	20.84%	12.48%	15.32%	14.18%	26.53%	14.20%	15.98%	15.98%	14.14%	19.23%	17.35%	0.00%	23.89%	13.57%	11.30%	17.59%	13.99%	8.40%	13.80%	12.77%	13.94%	20.99%	22.88%	7.25%	15.52%	8.75%	5.61%	16.71%	10.69%	9.81%	11.31%	0.36%	14.45%	10.43%	11.18%	18.81%	13.48%	7.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	189	2	0	1	6	7	8	3	2	6	2	0	3	1	2	1	7	3	2	3	0	4	3	2	10	10	6	4	6	2	21	6	0	8	1	0	2	6	2	3	11	6	3	0	5	0	9									
		0.39%	0.32%	0.00%	0.25%	0.30%	0.34%	0.59%	0.48%	0.21%	0.38%	0.24%	0.00%	0.24%	0.11%	0.25%	0.12%	0.61%	0.28%	0.15%	0.32%	0.00%	0.38%	0.36%	0.43%	0.51%	0.45%	0.51%	0.31%	0.81%	0.61%	1.53%	0.42%	0.00%	1.12%	0.22%	0.00%	0.48%	0.60%	0.25%	0.25%	0.79%	0.28%	0.87%	0.00%	0.34%	0.00%	0.53%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1449	28	3	26	36	21	51	29	21	39	11	24	33	24	18	21	47	6	45	38	33	84	21	16	83	70	30	59	36	16	54	48	12	20	9	6	12	32	20	35	40	61	12	16	58	4	41									
		3.01%	4.48%	0.70%	6.39%	1.80%	1.03%	3.76%	4.62%	2.24%	2.49%	1.35%	2.36%	2.67%	2.62%	2.26%	2.49%	4.13%	0.55%	3.33%	3.99%	2.60%	7.90%	2.50%	3.48%	4.27%	3.14%	2.54%	4.63%	4.84%	4.85%	3.94%	3.34%	1.98%	2.80%	1.97%	1.87%	2.91%	3.20%	2.48%	2.91%	2.87%	2.81%	3.48%	3.51%	3.97%	0.45%	2.43%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
