Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																								
Дата голосования: 02.12.2007																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Наро-Фоминская																																																																																																								
																																																																																																								
Сводная таблица результатов выборов																																																																																																								
																																																																																																								
		Сумма	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4145	30	30	35	45	70	70	40	50	70	70	30	30	30	15	15	30	30	70	30	15	90	90	70	40	80	70	70	70	30	30	0	15	30	30	30	30	15	35	70	30	30	30	15	70	70	15	15	15	30	30	70	30	70	140	30	118	70	30	70	70	30	70	30	30	70	70	70	70	30	70	15	30	15	20	70	30	30	0	30	50	15	15	30	70	30	5	35	30	30	70	30	30	20	65	0	22	70					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2969	30	30	34	44	44	44	40	46	39	44	22	29	30	11	1	30	30	30	16	15	86	50	58	36	80	38	70	43	23	12	0	9	23	25	13	24	9	35	26	14	14	15	3	18	18	7	2	1	29	30	70	30	70	118	30	112	46	30	59	63	22	26	20	24	28	38	37	31	27	36	5	15	8	16	31	15	16	0	30	50	15	11	30	63	27	3	32	27	12	38	16	17	20	63	0	22	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2396	92	14	17	24	17	13	9	9	9	11	51	8	13	9	6	8	15	12	39	28	21	36	9	10	11	5	17	11	9	19	13	11	20	6	7	4	12	36	22	9	34	9	16	37	22	16	4	8	6	17	15	18	13	9	20	12	24	36	22	15	3	14	11	34	31	25	25	39	40	16	84	25	8	2	164	275	13	7	9	13	8	6	10	88	34	7	17	30	37	51	124	23	9	18	22	6	23					
14	Число погашенных неиспользованных открепительных удостоверений	1176	0	0	1	1	26	26	0	4	31	26	8	1	0	4	14	0	0	40	14	0	4	40	12	4	0	32	0	27	7	18	0	6	7	5	17	6	6	0	44	16	16	15	12	52	52	8	13	14	1	0	0	0	0	22	0	6	24	0	11	7	8	44	10	6	42	32	33	39	3	34	10	15	7	4	39	15	14	0	0	0	0	4	0	7	3	2	3	3	18	32	14	13	0	2	0	0	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	114	4	0	2	1	2	1	4	1	2	4	0	4	1	0	0	0	0	1	3	0	4	10	3	0	4	1	2	2	1	1	0	0	1	0	0	0	2	3	0	2	0	0	0	0	1	0	0	1	0	1	0	1	1	2	1	3	2	3	2	1	0	0	3	0	1	1	3	2	0	1	0	1	0	1	1	0	0	0	1	0	0	2	0	0	3	0	1	3	0	3	0	0	0	0	1	0	1					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																								
18	1.Политическая партия «Аграрная партия России»	2193	34	15	28	24	27	34	31	30	33	32	10	18	17	7	4	17	29	23	13	12	11	21	23	24	41	24	36	14	14	11	2	10	19	20	12	12	16	19	32	18	13	29	7	31	27	5	2	9	21	12	16	37	33	25	14	29	34	40	49	32	20	31	30	27	33	50	47	30	17	46	16	19	10	4	26	31	11	1	31	8	14	2	21	48	23	18	23	24	27	33	38	19	23	32	21	33	24					
		2.48%	2.46%	1.78%	3.08%	2.11%	2.37%	3.14%	2.91%	2.47%	2.86%	2.56%	1.98%	2.90%	2.14%	2.17%	2.99%	2.21%	3.42%	2.31%	2.32%	1.95%	0.59%	1.13%	1.70%	1.89%	2.63%	1.94%	2.59%	0.95%	2.46%	2.91%	1.71%	3.79%	3.20%	2.67%	1.99%	1.70%	3.67%	1.96%	3.22%	3.91%	2.48%	3.97%	3.30%	2.65%	2.40%	2.79%	1.59%	4.57%	2.66%	1.57%	0.78%	3.36%	2.30%	1.17%	2.03%	1.49%	2.88%	2.88%	3.39%	2.22%	2.81%	2.88%	4.14%	3.68%	3.23%	3.42%	3.02%	2.31%	2.79%	3.63%	4.49%	2.58%	2.61%	1.23%	1.86%	2.22%	1.78%	0.35%	3.11%	1.89%	2.61%	0.53%	2.91%	2.93%	2.60%	7.66%	2.04%	2.68%	3.96%	2.41%	3.49%	2.84%	3.87%	2.85%	4.81%	4.47%	2.44%					
19	2.Всероссийская политическая партия «Гражданская Сила»	987	18	9	12	15	17	14	8	15	15	15	3	5	12	6	0	8	12	10	8	6	5	13	25	14	21	13	12	14	17	1	0	6	19	0	7	13	10	11	18	3	4	7	7	15	6	0	1	3	4	12	8	8	15	15	5	21	20	10	13	16	6	11	5	10	19	19	20	33	13	34	12	11	7	4	10	7	5	0	1	0	3	1	1	28	14	5	7	4	10	13	12	5	0	19	0	5	13					
		1.12%	1.30%	1.07%	1.32%	1.32%	1.50%	1.29%	0.75%	1.23%	1.30%	1.20%	0.59%	0.81%	1.51%	1.86%	0.00%	1.04%	1.42%	1.01%	1.43%	0.97%	0.27%	0.70%	1.85%	1.10%	1.35%	1.05%	0.86%	0.95%	2.99%	0.26%	0.00%	2.27%	3.20%	0.00%	1.16%	1.84%	2.29%	1.13%	1.81%	0.65%	0.76%	0.96%	3.30%	1.28%	0.53%	0.00%	0.79%	1.52%	0.51%	1.57%	0.39%	0.73%	1.05%	0.70%	0.72%	1.08%	1.69%	0.72%	0.90%	1.11%	0.84%	1.02%	0.69%	1.36%	1.86%	1.30%	1.28%	2.54%	2.13%	2.68%	3.37%	1.49%	1.83%	1.23%	0.71%	0.50%	0.81%	0.00%	0.10%	0.00%	0.56%	0.26%	0.14%	1.71%	1.58%	2.13%	0.62%	0.45%	1.47%	0.95%	1.10%	0.75%	0.00%	1.69%	0.00%	0.68%	1.32%					
20	3.Политическая партия «Демократическая партия России»	134	3	2	0	3	0	1	1	0	2	1	0	0	0	0	1	2	0	2	2	2	0	0	3	1	1	1	2	5	0	0	0	0	2	2	1	0	1	2	2	0	0	1	0	1	1	0	0	0	0	2	5	1	4	4	1	7	2	3	0	2	1	2	0	0	2	1	0	1	0	6	0	2	5	0	3	4	12	1	0	0	0	0	1	2	1	1	1	0	2	1	1	2	0	1	0	1	1					
		0.15%	0.22%	0.24%	0.00%	0.26%	0.00%	0.09%	0.09%	0.00%	0.17%	0.08%	0.00%	0.00%	0.00%	0.00%	0.75%	0.26%	0.00%	0.20%	0.36%	0.32%	0.00%	0.00%	0.22%	0.08%	0.06%	0.08%	0.14%	0.34%	0.00%	0.00%	0.00%	0.00%	0.34%	0.27%	0.17%	0.00%	0.23%	0.21%	0.20%	0.00%	0.00%	0.14%	0.00%	0.09%	0.09%	0.00%	0.00%	0.00%	0.00%	0.26%	0.24%	0.09%	0.28%	0.19%	0.14%	0.36%	0.17%	0.22%	0.00%	0.14%	0.14%	0.19%	0.00%	0.00%	0.20%	0.07%	0.00%	0.08%	0.00%	0.47%	0.00%	0.27%	1.31%	0.00%	0.21%	0.29%	1.94%	0.35%	0.00%	0.00%	0.00%	0.00%	0.14%	0.12%	0.11%	0.43%	0.09%	0.00%	0.29%	0.07%	0.09%	0.30%	0.00%	0.09%	0.00%	0.14%	0.10%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	11452	236	153	149	180	139	219	165	245	166	222	51	108	91	49	6	118	127	150	68	96	83	116	97	129	205	228	216	117	97	24	11	38	78	101	94	85	65	127	170	61	81	139	27	212	162	24	28	28	144	89	81	97	185	77	92	83	218	117	198	178	114	148	138	113	144	233	203	248	111	184	39	98	36	34	206	146	75	17	82	52	62	91	73	201	89	43	182	100	106	333	160	68	64	138	46	76	59					
		12.96%	17.05%	18.13%	16.41%	15.82%	12.23%	20.22%	15.48%	20.13%	14.37%	17.76%	10.08%	17.39%	11.45%	15.17%	4.48%	15.34%	14.99%	15.08%	12.12%	15.58%	4.43%	6.24%	7.19%	10.14%	13.14%	18.42%	15.56%	7.95%	17.08%	6.35%	9.40%	14.39%	13.13%	13.47%	15.56%	12.02%	14.91%	13.09%	17.10%	13.26%	15.46%	19.04%	12.74%	18.14%	14.37%	13.41%	22.22%	14.21%	18.23%	11.65%	3.94%	8.82%	12.92%	3.61%	13.33%	4.26%	18.44%	8.41%	13.68%	12.36%	16.01%	13.75%	19.03%	15.40%	14.08%	15.95%	13.03%	19.06%	18.20%	14.51%	10.96%	13.30%	9.40%	10.46%	14.72%	10.45%	12.16%	5.92%	8.22%	12.26%	11.57%	24.01%	10.12%	12.25%	10.06%	18.30%	16.16%	11.16%	15.54%	24.36%	14.69%	10.18%	10.76%	12.31%	10.53%	10.30%	5.99%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	839	13	23	15	18	11	7	9	10	13	13	7	2	5	3	1	17	12	13	2	9	6	5	8	6	8	20	10	6	10	3	0	3	4	5	11	3	7	21	15	5	12	12	5	11	15	6	0	0	7	3	5	7	5	11	5	10	13	2	19	21	8	5	9	10	21	19	22	17	14	18	1	13	5	5	10	4	4	1	5	2	2	1	0	22	5	4	11	7	12	10	9	9	1	10	5	6	4					
		0.95%	0.94%	2.73%	1.65%	1.58%	0.97%	0.65%	0.84%	0.82%	1.13%	1.04%	1.38%	0.32%	0.63%	0.93%	0.75%	2.21%	1.42%	1.31%	0.36%	1.46%	0.32%	0.27%	0.59%	0.47%	0.51%	1.62%	0.72%	0.41%	1.76%	0.79%	0.00%	1.14%	0.67%	0.67%	1.82%	0.42%	1.61%	2.16%	1.51%	1.09%	2.29%	1.64%	2.36%	0.94%	1.33%	3.35%	0.00%	0.00%	0.89%	0.39%	0.24%	0.64%	0.35%	0.52%	0.72%	0.51%	1.10%	0.14%	1.31%	1.46%	1.12%	0.46%	1.24%	1.36%	2.05%	1.30%	1.41%	1.31%	2.30%	1.42%	0.28%	1.76%	1.31%	1.54%	0.71%	0.29%	0.65%	0.35%	0.50%	0.47%	0.37%	0.26%	0.00%	1.34%	0.56%	1.70%	0.98%	0.78%	1.76%	0.73%	0.83%	1.35%	0.17%	0.89%	1.14%	0.81%	0.41%					
23	6.Политическая партия «Партия социальной справедливости»	247	1	1	1	3	3	4	6	1	4	1	1	0	2	0	0	1	4	3	2	1	2	2	2	2	8	2	7	4	3	2	1	0	2	1	0	2	1	2	1	1	0	3	4	3	5	0	0	0	2	3	4	6	3	7	3	4	3	7	4	5	0	3	5	3	1	6	9	1	3	3	0	2	2	0	8	11	1	0	2	0	0	0	2	5	5	1	1	2	0	4	6	2	0	4	2	1	2					
		0.28%	0.07%	0.12%	0.11%	0.26%	0.26%	0.37%	0.56%	0.08%	0.35%	0.08%	0.20%	0.00%	0.25%	0.00%	0.00%	0.13%	0.47%	0.30%	0.36%	0.16%	0.11%	0.11%	0.15%	0.16%	0.51%	0.16%	0.50%	0.27%	0.53%	0.53%	0.85%	0.00%	0.34%	0.13%	0.00%	0.28%	0.23%	0.21%	0.10%	0.22%	0.00%	0.41%	1.89%	0.26%	0.44%	0.00%	0.00%	0.00%	0.25%	0.39%	0.19%	0.55%	0.21%	0.33%	0.43%	0.21%	0.25%	0.50%	0.28%	0.35%	0.00%	0.28%	0.69%	0.41%	0.10%	0.41%	0.58%	0.08%	0.49%	0.24%	0.00%	0.27%	0.52%	0.00%	0.57%	0.79%	0.16%	0.00%	0.20%	0.00%	0.00%	0.00%	0.28%	0.30%	0.56%	0.43%	0.09%	0.22%	0.00%	0.29%	0.55%	0.30%	0.00%	0.36%	0.46%	0.14%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	8620	151	60	78	92	108	76	76	75	71	93	55	56	69	21	9	78	69	83	58	65	209	259	168	166	155	115	132	224	63	58	8	18	45	62	43	50	39	84	60	42	33	48	14	99	82	15	4	10	79	92	485	169	138	313	70	291	106	222	130	136	67	88	47	64	73	128	110	74	45	104	31	63	55	24	138	128	40	33	60	30	46	19	47	133	73	17	93	75	53	91	88	72	48	153	32	68	131					
		9.76%	10.91%	7.11%	8.59%	8.08%	9.50%	7.02%	7.13%	6.16%	6.15%	7.44%	10.87%	9.02%	8.68%	6.50%	6.72%	10.14%	8.15%	8.34%	10.34%	10.55%	11.15%	13.94%	12.44%	13.05%	9.94%	9.29%	9.51%	15.22%	11.09%	15.34%	6.84%	6.82%	7.58%	8.27%	7.12%	7.07%	8.94%	8.66%	6.04%	9.13%	6.30%	6.58%	6.60%	8.47%	7.28%	8.38%	3.17%	5.08%	10.00%	12.04%	23.58%	15.36%	9.64%	14.68%	10.14%	14.93%	8.97%	15.96%	8.98%	9.44%	9.41%	8.18%	6.48%	8.72%	7.14%	8.76%	7.06%	5.69%	7.38%	8.20%	8.71%	8.55%	14.36%	7.38%	9.86%	9.16%	6.48%	11.50%	6.02%	7.08%	8.58%	5.01%	6.52%	8.10%	8.25%	7.23%	8.26%	8.37%	7.77%	6.66%	8.08%	10.78%	8.07%	13.65%	7.32%	9.21%	13.31%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6036	63	69	75	92	106	89	102	112	99	108	46	38	40	31	3	68	79	83	35	32	40	52	47	63	107	92	80	70	51	21	7	17	59	73	66	94	42	86	92	41	47	59	27	69	98	11	3	15	68	60	40	49	125	50	69	52	111	56	122	106	61	103	66	62	93	115	99	99	33	97	25	60	22	21	102	87	31	5	31	16	29	7	47	136	36	18	133	132	33	75	63	33	35	82	32	42	68					
		6.83%	4.55%	8.18%	8.26%	8.08%	9.32%	8.22%	9.57%	9.20%	8.57%	8.64%	9.09%	6.12%	5.03%	9.60%	2.24%	8.84%	9.33%	8.34%	6.24%	5.19%	2.13%	2.80%	3.48%	4.95%	6.86%	7.43%	5.76%	4.76%	8.98%	5.56%	5.98%	6.44%	9.93%	9.73%	10.93%	13.30%	9.63%	8.87%	9.26%	8.91%	8.97%	8.08%	12.74%	5.90%	8.70%	6.15%	2.38%	7.61%	8.61%	7.85%	1.94%	4.45%	8.73%	2.35%	10.00%	2.67%	9.39%	4.03%	8.43%	7.36%	8.57%	9.57%	9.10%	8.45%	9.09%	7.87%	6.35%	7.61%	5.41%	7.65%	7.02%	8.14%	5.74%	6.46%	7.29%	6.23%	5.02%	1.74%	3.11%	3.77%	5.41%	1.85%	6.52%	8.29%	4.07%	7.66%	11.81%	14.73%	4.84%	5.49%	5.79%	4.94%	5.88%	7.31%	7.32%	5.69%	6.91%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1083	19	9	12	17	16	11	8	14	11	20	3	11	15	5	3	4	13	17	2	5	7	15	15	9	24	22	13	15	8	6	1	1	3	12	9	9	6	14	14	10	20	18	0	22	11	0	1	0	12	10	11	6	17	9	3	16	14	15	15	20	3	16	11	12	14	23	20	29	15	24	1	3	6	5	20	29	10	4	6	1	3	7	7	19	10	1	7	9	10	12	10	10	14	17	14	19	14					
		1.23%	1.37%	1.07%	1.32%	1.49%	1.41%	1.02%	0.75%	1.15%	0.95%	1.60%	0.59%	1.77%	1.89%	1.55%	2.24%	0.52%	1.53%	1.71%	0.36%	0.81%	0.37%	0.81%	1.11%	0.71%	1.54%	1.78%	0.94%	1.02%	1.41%	1.59%	0.85%	0.38%	0.51%	1.60%	1.49%	1.27%	1.38%	1.44%	1.41%	2.17%	3.82%	2.47%	0.00%	1.88%	0.98%	0.00%	0.79%	0.00%	1.52%	1.31%	0.53%	0.55%	1.19%	0.42%	0.43%	0.82%	1.18%	1.08%	1.04%	1.39%	0.42%	1.49%	1.52%	1.63%	1.37%	1.57%	1.28%	2.23%	2.46%	1.89%	0.28%	0.41%	1.57%	1.54%	1.43%	2.08%	1.62%	1.39%	0.60%	0.24%	0.56%	1.85%	0.97%	1.16%	1.13%	0.43%	0.62%	1.00%	1.47%	0.88%	0.92%	1.50%	2.35%	1.52%	3.20%	2.57%	1.42%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	54334	819	489	510	652	688	602	622	684	703	718	316	361	519	198	106	424	460	587	356	377	1455	1354	935	816	955	694	850	985	293	247	86	163	343	436	336	421	241	558	549	258	292	363	118	682	689	111	87	127	428	450	1372	699	859	1583	412	1409	632	875	866	902	420	611	375	405	574	808	965	716	331	699	216	451	222	224	851	937	417	222	768	308	365	241	512	992	600	113	644	533	408	744	666	433	403	637	280	473	648					
		61.51%	59.18%	57.94%	56.17%	57.29%	60.51%	55.59%	58.35%	56.20%	60.87%	57.44%	62.45%	58.13%	65.28%	61.30%	79.10%	55.14%	54.31%	58.99%	63.46%	61.20%	77.64%	72.87%	69.26%	64.15%	61.22%	56.06%	61.24%	66.92%	51.58%	65.34%	73.50%	61.74%	57.74%	58.13%	55.63%	59.55%	55.28%	57.53%	55.23%	56.09%	55.73%	49.73%	55.66%	58.34%	61.14%	62.01%	69.05%	64.47%	54.18%	58.90%	66.70%	63.55%	59.99%	74.25%	59.71%	72.29%	53.47%	62.90%	59.85%	62.64%	58.99%	56.78%	51.72%	55.18%	56.11%	55.30%	61.94%	55.03%	54.26%	55.13%	60.67%	61.19%	57.96%	68.92%	60.83%	67.07%	67.59%	77.35%	77.03%	72.64%	68.10%	63.59%	71.01%	60.45%	67.80%	48.09%	57.19%	59.49%	59.82%	54.43%	61.16%	64.82%	67.73%	56.82%	64.07%	64.09%	65.85%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1379	11	11	20	27	11	15	18	17	24	15	6	7	10	3	0	27	35	16	11	7	13	8	12	18	23	14	9	9	7	3	0	3	12	28	14	13	7	29	30	17	15	39	2	13	16	3	0	4	15	14	12	14	28	17	10	10	15	13	12	17	1	44	24	18	26	44	48	34	21	35	8	10	6	0	15	13	3	3	1	2	3	4	0	33	15	6	17	4	15	27	23	5	4	19	3	8	8					
