Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																										
Дата голосования: 02.12.2007																																																																																																										
																																																																																																										
Наименование Избирательной комиссии:    Братская городская																																																																																																										
																																																																																																										
Сводная таблица результатов выборов																																																																																																										
																																																																																																										
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305					
		1.19%	0.67%	1.48%	0.69%	0.40%	1.34%	0.45%	0.59%	1.17%	0.54%	0.75%	1.29%	1.43%	0.86%	1.30%	1.18%	1.01%	0.79%	1.18%	1.33%	0.86%	1.32%	0.38%	1.10%	0.79%	0.75%	1.05%	0.51%	0.85%	0.73%	1.02%	0.83%	1.04%	1.38%	1.26%	0.77%	1.71%	0.79%	1.16%	1.24%	1.25%	1.17%	0.90%	1.25%	1.06%	1.08%	0.65%	1.07%	1.23%	1.02%	0.74%	1.41%	0.52%	0.00%	1.05%	1.08%	0.76%	2.20%	1.21%	2.25%	2.63%	0.56%	1.32%	1.83%	1.62%	2.91%	1.56%	1.29%	2.74%	1.68%	1.01%	1.39%	1.50%	2.28%	1.38%	1.52%	1.59%	1.90%	1.95%	0.99%	0.55%	2.18%	1.19%	1.88%	1.11%	0.86%	1.32%	1.06%	2.19%	1.49%	1.48%	0.94%	0.55%	1.53%	2.42%	0.69%	0.83%	1.16%	1.32%	1.02%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	60769	473	465	840	713	556	649	586	673	646	570	746	522	573	595	528	567	904	955	785	836	759	579	595	893	873	651	739	702	807	751	800	742	794	862	794	591	849	861	877	855	772	711	594	706	716	654	619	641	627	572	718	626	111	170	409	388	514	604	497	465	504	343	350	656	673	523	694	757	628	568	722	804	738	530	1170	758	622	610	643	105	135	495	552	684	726	672	598	247	699	303	240	287	250	92	702	546	634	321	518					
		54.69%	63.24%	62.50%	63.98%	57.50%	53.26%	58.89%	57.28%	60.41%	57.99%	60.96%	56.82%	57.62%	61.81%	59.32%	56.84%	63.57%	55.12%	53.83%	52.30%	55.40%	55.85%	54.32%	54.64%	53.93%	54.36%	52.46%	53.71%	54.21%	59.29%	51.30%	55.56%	54.88%	54.76%	54.25%	55.92%	56.13%	61.17%	55.48%	57.10%	56.32%	56.68%	53.34%	52.99%	53.61%	55.16%	53.13%	50.78%	52.50%	53.36%	53.26%	53.42%	54.62%	55.22%	59.23%	62.92%	42.22%	70.60%	56.40%	56.03%	53.14%	56.38%	56.69%	53.27%	53.07%	50.22%	47.85%	52.78%	56.03%	52.91%	47.69%	50.14%	50.09%	49.50%	52.37%	57.21%	52.35%	49.37%	51.78%	45.70%	58.01%	58.95%	53.57%	54.55%	50.48%	56.72%	49.16%	57.78%	54.17%	51.93%	56.11%	56.34%	52.37%	54.59%	55.76%	54.00%	50.23%	56.46%	53.15%	58.60%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2314	4	3	12	18	10	22	21	14	13	10	19	9	6	18	14	11	31	48	30	38	31	24	25	40	35	26	36	25	19	44	37	32	23	40	33	23	24	32	46	34	27	41	29	31	43	21	37	29	34	35	39	29	3	4	1	13	3	8	12	21	16	7	9	21	34	28	30	28	56	42	53	52	33	31	52	41	34	33	51	4	1	18	14	20	27	25	10	6	8	8	7	4	1	3	25	18	8	8	8					
		2.08%	0.53%	0.40%	0.91%	1.45%	0.96%	1.99%	2.05%	1.26%	1.17%	1.07%	1.45%	0.99%	0.65%	1.79%	1.51%	1.23%	1.89%	2.71%	1.99%	2.52%	2.28%	2.25%	2.30%	2.42%	2.18%	2.10%	2.62%	1.93%	1.40%	3.01%	2.57%	2.37%	1.59%	2.52%	2.32%	2.18%	1.73%	2.06%	2.99%	2.24%	1.98%	3.08%	2.59%	2.35%	3.31%	1.71%	3.04%	2.38%	2.89%	3.26%	2.90%	2.53%	1.49%	1.39%	0.15%	1.41%	0.41%	0.75%	1.35%	2.40%	1.79%	1.16%	1.37%	1.70%	2.54%	2.56%	2.28%	2.07%	4.72%	3.53%	3.68%	3.24%	2.21%	3.06%	2.54%	2.83%	2.70%	2.80%	3.62%	2.21%	0.44%	1.95%	1.38%	1.48%	2.11%	1.83%	0.97%	1.32%	0.59%	1.48%	1.64%	0.73%	0.22%	1.82%	1.92%	1.66%	0.71%	1.32%	0.90%					
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
																																																																																																										
