Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																																																								
																																																																																																																								
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																																																																								
																																																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																								
																																																																																																																								
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №1410	УИК №1411	УИК №1412	УИК №1414	УИК №1416	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1431	УИК №1433	УИК №1436	УИК №1443	УИК №1445	УИК №1447	УИК №1448	УИК №1451	УИК №1453	УИК №1454	УИК №1455	УИК №1457	УИК №1458	УИК №1459	УИК №1462	УИК №1463	УИК №1468	УИК №1472	УИК №1473	УИК №1475	УИК №1477	УИК №1478	УИК №1479	УИК №1485	УИК №1486	УИК №1487	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1496	УИК №1499	УИК №1501	УИК №1504	УИК №1506	УИК №1510	УИК №1511	УИК №1522	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1538	УИК №1539	УИК №1542	УИК №1544	УИК №1554	УИК №1555	УИК №1559					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1945	41	41	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	81	31	41	41	31	41	21	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	490	5	3	5	8	8	9	5	7	8	9	3	10	8	6	3	10	21	11	10	13	6	15	10	8	15	7	7	13	25	15	11	3	6	6	12	10	5	14	7	72	6	9	10	8	11	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	336	10	9	14	4	3	2	1	2	13	2	4	6	5	1	10	5	2	6	5	5	5	7	15	6	17	9	4	16	6	1	8	3	11	9	6	2	6	3	5	43	3	8	7	3	12	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	1455	36	38	37	34	34	33	37	35	34	33	39	32	34	36	39	32	21	31	32	29	36	26	31	33	26	34	34	28	16	26	30	38	35	35	29	31	36	27	34	9	25	32	31	23	30	8	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	55	2	1	0	0	1	0	0	3	1	2	1	2	2	3	0	1	0	0	0	2	5	1	1	0	3	2	1	0	2	1	1	0	1	0	0	2	1	1	1	1	0	5	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																								
18	"1. ""ЕДИНЕНИЕ"""	638	7	7	13	12	9	17	10	13	11	22	9	23	17	7	7	5	19	22	6	8	13	12	61	6	11	14	16	12	23	8	7	2	17	18	4	5	8	8	17	31	16	5	14	12	11	18	10	0	0	1	0	0	1	1	2	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		1.35%	0.68%	1.10%	1.43%	1.27%	1.70%	1.67%	0.94%	1.29%	1.20%	1.70%	1.49%	1.88%	1.93%	1.16%	1.04%	0.49%	1.59%	1.83%	0.55%	0.75%	1.03%	0.99%	3.64%	0.77%	1.44%	1.57%	1.72%	1.10%	2.23%	1.26%	0.78%	0.42%	1.56%	1.59%	0.56%	0.44%	1.09%	0.82%	1.59%	2.24%	3.01%	0.74%	1.31%	1.17%	1.07%	1.63%	2.28%	0.0%	0.0%	1.23%	0.0%	0.0%	1.17%	1.06%	2.19%	0.0%	0.0%	4.22%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.91%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1919	30	11	30	38	22	41	42	47	27	57	27	50	32	12	22	39	35	48	44	54	70	56	69	42	35	28	46	56	49	23	55	19	44	50	16	48	23	49	58	74	32	39	41	46	47	55	10	0	0	4	1	1	1	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	1	4	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		4.07%	2.94%	1.72%	3.31%	4.04%	4.15%	4.03%	3.98%	4.68%	2.95%	4.42%	4.48%	4.10%	3.64%	2.0%	3.28%	3.85%	2.94%	4.01%	4.10%	5.11%	5.57%	4.63%	4.12%	5.41%	4.61%	3.14%	4.96%	5.16%	4.75%	3.63%	6.20%	4.03%	4.05%	4.41%	2.26%	4.25%	3.15%	5.05%	5.43%	5.35%	6.03%	5.77%	3.85%	4.50%	4.59%	5.00%	2.28%	0.0%	0.0%	4.93%	3.33%	3.33%	1.17%	1.06%	2.19%	0.0%	2.94%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	NaN%	2.24%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	9.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.89%	3.57%	15.38%	0.0%	3.70%	4.54%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1760	61	31	38	35	14	46	41	25	30	42	25	48	41	23	33	32	50	54	37	49	50	72	49	24	18	33	38	34	43	32	33	19	46	26	23	35	32	42	15	39	21	35	31	40	45	34	32	3	0	0	0	3	2	2	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	4	7	15	2	1	0	0	2	0	0	1	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	1					
		3.73%	5.98%	4.87%	4.19%	3.72%	2.64%	4.53%	3.88%	2.49%	3.28%	3.25%	4.15%	3.94%	4.67%	3.83%	4.93%	3.16%	4.20%	4.51%	3.45%	4.64%	3.98%	5.96%	2.92%	3.09%	2.37%	3.70%	4.10%	3.13%	4.17%	5.05%	3.72%	4.03%	4.24%	2.29%	3.26%	3.10%	4.38%	4.32%	1.40%	2.82%	3.96%	5.18%	2.91%	3.91%	4.39%	3.09%	7.32%	7.69%	0.0%	0.0%	0.0%	10.0%	2.35%	2.12%	0.0%	0.0%	4.41%	5.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	1.21%	0.0%	0.0%	6.89%	0.0%	16.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	13.33%	2.41%	4.58%	6.89%	3.57%	0.0%	0.0%	7.40%	0.0%	0.0%	5.88%	0.0%	0.0%	8.57%	5.40%	16.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	1.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	6185	150	79	114	138	88	146	179	160	116	186	76	173	109	69	91	149	168	153	179	169	198	165	157	94	86	146	146	181	170	75	166	75	147	127	108	130	87	91	220	121	56	66	142	156	159	143	26	2	0	2	1	1	5	3	2	0	1	2	0	0	0	0	0	2	0	0	0	0	0	1	2	0	3	1	1	0	2	0	0	2	0	1	0	0	0	1	1	0	0	0	5	1	2	0	0	2	0	1	0	1	0	1	0	4	1	0	0	0	0	1	0	0	0					
		13.11%	14.70%	12.42%	12.59%	14.69%	16.63%	14.38%	16.96%	15.93%	12.70%	14.42%	12.62%	14.21%	12.42%	11.5%	13.60%	14.72%	14.14%	12.78%	16.69%	16.01%	15.76%	13.65%	9.38%	12.11%	11.33%	16.40%	15.76%	16.69%	16.48%	11.84%	18.71%	15.92%	13.56%	11.21%	15.31%	11.51%	11.93%	9.38%	20.59%	8.76%	10.56%	9.77%	13.34%	15.27%	15.54%	13.01%	5.94%	5.12%	0.0%	2.46%	3.33%	3.33%	5.88%	3.19%	2.19%	0.0%	1.47%	2.81%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	4.0%	NaN%	3.37%	1.21%	3.33%	0.0%	6.89%	0.0%	0.0%	11.11%	0.0%	4.76%	0.0%	0.0%	0.0%	7.14%	3.33%	0.0%	0.0%	0.0%	17.85%	3.84%	8.0%	0.0%	0.0%	7.14%	0.0%	3.57%	0.0%	2.85%	0.0%	5.55%	0.0%	13.33%	3.70%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	192	4	3	1	2	5	7	3	2	4	7	4	3	6	3	2	4	5	4	3	7	6	5	10	2	5	1	3	5	2	2	3	2	3	11	0	1	4	3	3	8	2	5	6	4	6	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.40%	0.39%	0.47%	0.11%	0.21%	0.94%	0.68%	0.28%	0.19%	0.43%	0.54%	0.66%	0.24%	0.68%	0.5%	0.29%	0.39%	0.42%	0.33%	0.27%	0.66%	0.47%	0.41%	0.59%	0.25%	0.65%	0.11%	0.32%	0.46%	0.19%	0.31%	0.33%	0.42%	0.27%	0.97%	0.0%	0.08%	0.54%	0.30%	0.28%	0.57%	0.37%	0.74%	0.56%	0.39%	0.58%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.81%	0.0%	0.0%	0.0%	0.0%	0.0%	4.54%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	2.0%	NaN%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	175	0	4	0	4	1	1	2	3	5	2	2	2	1	2	4	5	4	3	3	3	4	2	6	1	3	0	6	2	4	2	5	4	6	11	4	7	4	4	3	9	4	3	4	5	6	5	5	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.37%	0.0%	0.62%	0.0%	0.42%	0.18%	0.09%	0.18%	0.29%	0.54%	0.15%	0.33%	0.16%	0.11%	0.33%	0.59%	0.49%	0.33%	0.25%	0.27%	0.28%	0.31%	0.16%	0.35%	0.12%	0.39%	0.0%	0.64%	0.18%	0.38%	0.31%	0.56%	0.84%	0.55%	0.97%	0.56%	0.62%	0.54%	0.41%	0.28%	0.65%	0.75%	0.44%	0.37%	0.48%	0.58%	0.45%	1.14%	0.0%	0.0%	2.46%	0.0%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	615	15	7	18	9	2	15	16	11	11	10	11	20	12	7	9	21	9	28	7	15	16	8	25	13	12	9	5	24	9	7	13	8	9	22	8	14	10	16	17	22	10	5	11	10	13	11	3	0	0	1	0	1	0	1	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	1	0	0	0	3	0	0	2					
		1.30%	1.47%	1.10%	1.98%	0.95%	0.37%	1.47%	1.51%	1.09%	1.20%	0.77%	1.82%	1.64%	1.36%	1.16%	1.34%	2.07%	0.75%	2.33%	0.65%	1.42%	1.27%	0.66%	1.49%	1.67%	1.58%	1.01%	0.53%	2.21%	0.87%	1.10%	1.46%	1.69%	0.83%	1.94%	1.13%	1.24%	1.37%	1.64%	1.59%	1.59%	1.88%	0.74%	1.03%	0.97%	1.27%	1.00%	0.68%	0.0%	0.0%	1.23%	0.0%	3.33%	0.0%	1.06%	1.09%	0.0%	0.0%	7.04%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.0%	NaN%	1.12%	3.65%	0.0%	0.0%	0.0%	3.57%	0.0%	5.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	11.76%	3.57%	0.0%	0.0%	0.0%	5.55%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	14.28%	NaN%	0.0%	2.32%					
25	"8. ""Народно-республиканская партия России"""	105	6	0	1	3	0	0	0	0	3	3	2	2	2	1	3	1	3	5	3	4	1	0	6	2	1	2	2	1	1	2	0	0	5	3	2	6	4	0	2	4	0	1	0	1	5	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.22%	0.58%	0.0%	0.11%	0.31%	0.0%	0.0%	0.0%	0.0%	0.32%	0.23%	0.33%	0.16%	0.22%	0.16%	0.44%	0.09%	0.25%	0.41%	0.27%	0.37%	0.07%	0.0%	0.35%	0.25%	0.13%	0.22%	0.21%	0.09%	0.09%	0.31%	0.0%	0.0%	0.46%	0.26%	0.28%	0.53%	0.54%	0.0%	0.18%	0.28%	0.0%	0.14%	0.0%	0.09%	0.48%	0.18%	0.45%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	1.83%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	314	8	6	14	3	4	4	10	8	7	7	4	13	2	1	4	10	6	6	6	11	5	9	7	3	4	3	4	12	9	1	5	1	7	13	1	7	6	6	10	13	3	4	8	4	10	9	0	0	0	0	0	1	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.66%	0.78%	0.94%	1.54%	0.31%	0.75%	0.39%	0.94%	0.79%	0.76%	0.54%	0.66%	1.06%	0.22%	0.16%	0.59%	0.98%	0.50%	0.50%	0.55%	1.04%	0.39%	0.74%	0.41%	0.38%	0.52%	0.33%	0.43%	1.10%	0.87%	0.15%	0.56%	0.21%	0.64%	1.14%	0.14%	0.62%	0.82%	0.61%	0.93%	0.94%	0.56%	0.59%	0.75%	0.39%	0.97%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	1.17%	2.12%	0.0%	0.0%	0.0%	4.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	NaN%	0.0%	2.43%	0.0%	5.88%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	1.16%					
