Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Нижний Новгород, Автозаводская Северная"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1710	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	969	28	20	23	16	11	18	13	10	7	16	18	17	13	16	11	10	18	18	9	19	13	12	7	19	14	9	17	23	15	14	19	23	19	21	20	21	21	19	26	18	15	15	12	17	19	13	9	22	18	18	20	15	24	27	27	14	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	612	5	7	9	14	9	10	12	8	12	13	7	9	2	9	15	8	6	7	10	13	13	10	0	1	3	12	19	8	11	10	12	15	14	0	9	9	10	6	19	7	11	15	9	12	4	13	13	12	15	11	15	25	13	11	16	15	29									
14	Число погашенных неиспользованных открепительных удостоверений	741	2	10	7	14	19	12	17	20	23	14	12	13	17	14	19	20	12	12	21	11	17	18	23	11	16	21	13	7	15	16	11	7	11	9	10	9	9	11	4	12	15	15	18	13	11	17	21	8	12	12	10	15	6	3	3	16	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	0	0	1	1	1	2	0	0	0	2	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	2	1	1	0	1	3	0	1	0	0	0	2	2	1	4	0	1	1	2	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	953	21	19	10	21	20	12	6	11	16	11	14	45	17	18	22	9	10	10	19	11	12	15	11	20	20	17	7	28	17	19	21	22	10	12	15	12	11	18	10	23	14	22	9	14	20	13	13	12	26	18	32	18	27	19	21	6	27									
		2.41%	2.33%	2.41%	1.25%	1.98%	2.08%	1.99%	1.12%	1.39%	2.32%	1.79%	1.77%	5.26%	2.06%	3.12%	3.56%	1.94%	2.78%	1.96%	2.81%	1.80%	1.80%	2.50%	2.40%	3.68%	3.48%	3.27%	1.44%	3.29%	2.58%	2.41%	3.40%	2.77%	1.23%	1.92%	2.45%	2.12%	1.33%	2.48%	1.01%	3.59%	2.49%	2.67%	2.10%	1.57%	3.13%	1.80%	2.23%	2.51%	2.82%	2.49%	3.73%	2.25%	4.62%	1.90%	3.81%	0.93%	2.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	798	14	27	15	15	21	13	9	10	9	8	17	14	17	12	11	13	10	14	10	14	12	19	6	9	8	12	10	14	7	16	16	14	11	8	13	12	14	15	14	8	16	18	26	8	9	13	5	23	19	8	13	12	25	19	34	28	11									
		2.02%	1.55%	3.42%	1.88%	1.41%	2.19%	2.16%	1.69%	1.27%	1.30%	1.30%	2.15%	1.64%	2.06%	2.08%	1.78%	2.80%	2.78%	2.75%	1.48%	2.29%	1.80%	3.17%	1.31%	1.65%	1.39%	2.31%	2.05%	1.65%	1.06%	2.03%	2.59%	1.77%	1.35%	1.28%	2.12%	2.12%	1.69%	2.06%	1.41%	1.25%	2.85%	2.18%	6.06%	0.90%	1.41%	1.80%	0.86%	4.81%	2.06%	1.11%	1.52%	1.50%	4.28%	1.90%	6.17%	4.32%	1.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	831	20	6	24	20	15	11	19	21	14	6	17	28	8	9	15	11	2	10	16	15	11	12	11	4	11	14	11	24	14	19	17	20	13	19	12	14	22	18	20	10	6	10	9	8	22	14	11	12	21	19	22	13	16	17	19	12	17									
		2.10%	2.22%	0.76%	3.01%	1.88%	1.56%	1.83%	3.56%	2.66%	2.03%	0.98%	2.15%	3.27%	0.97%	1.56%	2.43%	2.37%	0.56%	1.96%	2.37%	2.45%	1.65%	2.00%	2.40%	0.74%	1.91%	2.69%	2.26%	2.82%	2.13%	2.41%	2.75%	2.52%	1.59%	3.04%	1.96%	2.47%	2.66%	2.48%	2.01%	1.56%	1.07%	1.21%	2.10%	0.90%	3.44%	1.94%	1.89%	2.51%	2.28%	2.63%	2.57%	1.62%	2.74%	1.70%	3.45%	1.85%	1.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18737	492	391	428	672	458	314	254	409	369	313	418	385	383	298	308	188	163	207	343	256	285	228	189	220	223	205	196	391	237	392	236	343	431	255	303	285	358	310	496	280	237	392	199	531	276	343	273	253	446	319	316	439	243	443	248	400	467									
		47.35%	54.61%	49.49%	53.70%	63.28%	47.71%	52.25%	47.57%	51.84%	53.40%	50.89%	52.98%	44.98%	46.42%	51.65%	49.84%	40.52%	45.28%	40.59%	50.74%	41.83%	42.66%	38.00%	41.27%	40.44%	38.78%	39.42%	40.25%	45.95%	36.02%	49.75%	38.19%	43.25%	52.82%	40.73%	49.51%	50.26%	43.29%	42.64%	49.85%	43.68%	42.17%	47.52%	46.39%	59.60%	43.19%	47.44%	46.91%	52.93%	48.43%	44.12%	36.87%	54.81%	41.61%	44.34%	45.01%	61.73%	48.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	336	4	6	6	3	8	5	3	2	7	4	8	5	6	4	1	3	2	11	9	5	7	2	1	3	5	4	7	1	2	3	3	8	0	8	5	3	11	11	6	5	7	4	12	12	4	7	7	6	13	6	13	9	7	15	2	3	12									
		0.85%	0.44%	0.76%	0.75%	0.28%	0.83%	0.83%	0.56%	0.25%	1.01%	0.65%	1.01%	0.58%	0.73%	0.69%	0.16%	0.65%	0.56%	2.16%	1.33%	0.82%	1.05%	0.33%	0.22%	0.55%	0.87%	0.77%	1.44%	0.12%	0.30%	0.38%	0.49%	1.01%	0.00%	1.28%	0.82%	0.53%	1.33%	1.51%	0.60%	0.78%	1.25%	0.48%	2.80%	1.35%	0.63%	0.97%	1.20%	1.26%	1.41%	0.83%	1.52%	1.12%	1.20%	1.50%	0.36%	0.46%	1.25%									
24	"6. Политическая партия ""Гражданская Платформа"""	70	0	1	1	10	3	0	1	3	2	0	1	1	2	0	1	0	2	1	1	2	1	1	0	0	0	0	2	0	2	1	1	3	0	0	0	0	0	0	0	3	0	4	2	0	1	1	0	1	3	2	1	1	1	2	2	0	3									
		0.18%	0.00%	0.13%	0.13%	0.94%	0.31%	0.00%	0.19%	0.38%	0.29%	0.00%	0.13%	0.12%	0.24%	0.00%	0.16%	0.00%	0.56%	0.20%	0.15%	0.33%	0.15%	0.17%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.30%	0.13%	0.16%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.48%	0.47%	0.00%	0.16%	0.14%	0.00%	0.21%	0.33%	0.28%	0.12%	0.12%	0.17%	0.20%	0.36%	0.00%	0.31%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5533	110	126	86	110	238	75	68	139	91	80	104	137	144	82	97	66	49	81	95	94	96	96	69	102	72	76	54	133	149	91	119	119	99	86	66	68	115	106	137	90	71	113	65	55	96	74	63	44	111	110	121	92	99	137	61	79	127									
		13.98%	12.21%	15.95%	10.79%	10.36%	24.79%	12.48%	12.73%	17.62%	13.17%	13.01%	13.18%	16.00%	17.45%	14.21%	15.70%	14.22%	13.61%	15.88%	14.05%	15.36%	14.37%	16.00%	15.07%	18.75%	12.52%	14.62%	11.09%	15.63%	22.64%	11.55%	19.26%	15.01%	12.13%	13.74%	10.78%	11.99%	13.91%	14.58%	13.77%	14.04%	12.63%	13.70%	15.15%	6.17%	15.02%	10.24%	10.82%	9.21%	12.05%	15.21%	14.12%	11.49%	16.95%	13.71%	11.07%	12.19%	13.20%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	402	10	8	8	8	8	5	4	6	5	6	3	7	9	4	6	5	3	5	3	8	9	7	2	8	11	8	8	5	9	1	6	9	9	4	6	9	8	9	6	10	6	5	6	16	0	8	9	6	7	9	9	8	5	15	11	9	8									
		1.02%	1.11%	1.01%	1.00%	0.75%	0.83%	0.83%	0.75%	0.76%	0.72%	0.98%	0.38%	0.82%	1.09%	0.69%	0.97%	1.08%	0.83%	0.98%	0.44%	1.31%	1.35%	1.17%	0.44%	1.47%	1.91%	1.54%	1.64%	0.59%	1.37%	0.13%	0.97%	1.13%	1.10%	0.64%	0.98%	1.59%	0.97%	1.24%	0.60%	1.56%	1.07%	0.61%	1.40%	1.80%	0.00%	1.11%	1.55%	1.26%	0.76%	1.24%	1.05%	0.99%	0.86%	1.50%	1.99%	1.39%	0.83%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	596	6	6	5	4	3	7	5	13	3	8	6	12	2	9	4	3	5	5	2	6	13	6	12	7	11	6	11	9	13	8	14	21	14	9	10	9	14	7	15	11	10	14	6	21	13	17	15	6	12	13	20	15	20	26	17	9	28									
		1.51%	0.67%	0.76%	0.63%	0.38%	0.31%	1.16%	0.94%	1.65%	0.43%	1.30%	0.76%	1.40%	0.24%	1.56%	0.65%	0.65%	1.39%	0.98%	0.30%	0.98%	1.95%	1.00%	2.62%	1.29%	1.91%	1.15%	2.26%	1.06%	1.98%	1.02%	2.27%	2.65%	1.72%	1.44%	1.63%	1.59%	1.69%	0.96%	1.51%	1.72%	1.78%	1.70%	1.40%	2.36%	2.03%	2.35%	2.58%	1.26%	1.30%	1.80%	2.33%	1.87%	3.42%	2.60%	3.09%	1.39%	2.91%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	70	1	2	1	1	3	4	1	0	4	1	0	0	3	0	1	1	0	0	1	1	1	0	0	1	0	0	1	2	2	1	0	0	2	1	1	0	1	4	3	1	0	5	1	2	2	1	0	0	3	0	1	2	3	3	1	0	0									
		0.18%	0.11%	0.25%	0.13%	0.09%	0.31%	0.67%	0.19%	0.00%	0.58%	0.16%	0.00%	0.00%	0.36%	0.00%	0.16%	0.22%	0.00%	0.00%	0.15%	0.16%	0.15%	0.00%	0.00%	0.18%	0.00%	0.00%	0.21%	0.24%	0.30%	0.13%	0.00%	0.00%	0.25%	0.16%	0.16%	0.00%	0.12%	0.55%	0.30%	0.16%	0.00%	0.61%	0.23%	0.22%	0.31%	0.14%	0.00%	0.00%	0.33%	0.00%	0.12%	0.25%	0.51%	0.30%	0.18%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	812	13	9	8	11	10	8	8	14	4	5	10	20	14	6	2	7	5	7	11	14	7	20	6	4	8	12	7	13	6	17	11	19	10	14	16	12	17	17	19	13	14	15	16	35	14	28	26	11	28	15	32	21	20	34	20	10	39									
		2.05%	1.44%	1.14%	1.00%	1.04%	1.04%	1.33%	1.50%	1.77%	0.58%	0.81%	1.27%	2.34%	1.70%	1.04%	0.32%	1.51%	1.39%	1.37%	1.63%	2.29%	1.05%	3.33%	1.31%	0.74%	1.39%	2.31%	1.44%	1.53%	0.91%	2.16%	1.78%	2.40%	1.23%	2.24%	2.61%	2.12%	2.06%	2.34%	1.91%	2.03%	2.49%	1.82%	3.73%	3.93%	2.19%	3.87%	4.47%	2.30%	3.04%	2.07%	3.73%	2.62%	3.42%	3.40%	3.63%	1.54%	4.05%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4532	97	73	89	86	75	64	63	69	69	67	65	92	88	57	76	67	51	68	73	66	63	59	64	62	87	53	82	123	71	103	76	97	78	103	85	56	110	81	124	76	70	94	30	102	73	97	90	38	102	102	130	75	64	140	67	47	103									
		11.45%	10.77%	9.24%	11.17%	8.10%	7.81%	10.65%	11.80%	8.75%	9.99%	10.89%	8.24%	10.75%	10.67%	9.88%	12.30%	14.44%	14.17%	13.33%	10.80%	10.78%	9.43%	9.83%	13.97%	11.40%	15.13%	10.19%	16.84%	14.45%	10.79%	13.07%	12.30%	12.23%	9.56%	16.45%	13.89%	9.88%	13.30%	11.14%	12.46%	11.86%	12.46%	11.39%	6.99%	11.45%	11.42%	13.42%	15.46%	7.95%	11.07%	14.11%	15.17%	9.36%	10.96%	14.01%	12.16%	7.25%	10.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	209	1	2	3	6	8	0	4	3	4	4	9	3	10	2	4	4	1	3	3	3	2	3	0	4	2	2	0	3	3	5	2	5	3	7	5	1	11	1	7	3	4	7	2	1	1	8	0	2	3	4	3	6	2	8	2	0	10									
		0.53%	0.11%	0.25%	0.38%	0.56%	0.83%	0.00%	0.75%	0.38%	0.58%	0.65%	1.14%	0.35%	1.21%	0.35%	0.65%	0.86%	0.28%	0.59%	0.44%	0.49%	0.30%	0.50%	0.00%	0.74%	0.35%	0.38%	0.00%	0.35%	0.46%	0.63%	0.32%	0.63%	0.37%	1.12%	0.82%	0.18%	1.33%	0.14%	0.70%	0.47%	0.71%	0.85%	0.47%	0.11%	0.16%	1.11%	0.00%	0.42%	0.33%	0.55%	0.35%	0.75%	0.34%	0.80%	0.36%	0.00%	1.04%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4765	79	92	90	83	85	61	75	81	72	88	100	92	74	64	60	77	42	65	90	93	115	113	75	78	89	97	67	89	110	100	77	96	94	84	66	73	125	110	127	91	87	107	39	78	79	86	70	57	111	88	117	86	49	103	38	38	93									
		12.04%	8.77%	11.65%	11.29%	7.82%	8.85%	10.15%	14.04%	10.27%	10.42%	14.31%	12.67%	10.75%	8.97%	11.09%	9.71%	16.59%	11.67%	12.75%	13.31%	15.20%	17.22%	18.83%	16.38%	14.34%	15.48%	18.65%	13.76%	10.46%	16.72%	12.69%	12.46%	12.11%	11.52%	13.42%	10.78%	12.87%	15.11%	15.13%	12.76%	14.20%	15.48%	12.97%	9.09%	8.75%	12.36%	11.89%	12.03%	11.92%	12.05%	12.17%	13.65%	10.74%	8.39%	10.31%	6.90%	5.86%	9.67%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
